mode,day,workload_type,num_jobs,rho,strategy,total_jobs,completed_jobs,failed_jobs,completion_ratio,makespan_seconds,throughput_jobs_per_second,turnaround_mean,turnaround_std,waiting_mean,waiting_std,execution_mean,execution_std,decision_mean,decision_std,makespan_seconds_pct_vs_purelocal,waiting_mean_pct_vs_purelocal,execution_mean_pct_vs_purelocal,turnaround_mean_pct_vs_purelocal
centralized,bursty_high_stress,large_long,54,0.9,EmbeddingBidding,54,54,0,1.0,88198.706,0.0006122538804594253,8549.527129629629,5313.246518721061,417.8085185185185,2170.0300924775534,8131.720000000001,4681.147971535542,7.810430000000003e-05,2.735956744811867e-20,-31.66% ↓,-100.0% ↓,-23.71% ↓,-52.06% ↓
centralized,bursty_high_stress,large_long,54,0.9,HeuristicBidding,54,54,0,1.0,108791.206,0.0004963636490986229,9344.604722222222,7698.638545181499,416.527037037037,2163.4942272800445,8928.07537037037,7325.346781403959,7.810430000000003e-05,2.735956744811867e-20,-35.57% ↓,-100.0% ↓,-22.64% ↓,-51.38% ↓
centralized,bursty_high_stress,large_long,91,1.5,EmbeddingBidding,91,91,0,1.0,103333.974,0.0008806397013241743,11107.248065934065,8033.868898465329,2753.5861538461536,5901.455796686247,8353.661208791207,3949.4454544437376,7.81043e-05,0.0,-31.66% ↓,-96.27% ↓,-26.75% ↓,-63.19% ↓
centralized,bursty_high_stress,large_long,91,1.5,HeuristicBidding,91,91,0,1.0,145639.974,0.0006248284554074419,14573.31817582418,19456.321659188612,4650.441505494506,13499.082006541697,9922.877252747252,9085.544041566012,7.81043e-05,0.0,-31.66% ↓,-96.67% ↓,-28.67% ↓,-64.31% ↓
centralized,bursty_high_stress,mixed_20_80,67,0.9,EmbeddingBidding,67,67,0,1.0,70520.43500000001,0.0009500792217177899,6949.520029850746,4316.572414343156,269.97432835820894,1118.3046837732384,6679.546955223882,4181.346744316924,7.810430000000002e-05,1.3654811830960976e-20,0.0% ,0.0% ,0.0% ,0.0% 
centralized,bursty_high_stress,mixed_20_80,67,0.9,HeuristicBidding,67,67,0,1.0,70520.43500000001,0.0009500792217177899,7137.762835820896,5499.633880214117,106.3341791044776,615.3048294782351,7031.427149253733,5505.252368629141,7.810430000000002e-05,1.3654811830960976e-20,-75.68% ↓,-100.0% ↓,-35.68% ↓,-96.21% ↓
centralized,bursty_high_stress,mixed_20_80,112,1.5,EmbeddingBidding,112,112,0,1.0,122910.974,0.0009112286426108705,13819.416830357144,22322.775167511925,6023.862017857142,18187.74958103579,7795.549232142856,7063.5654046816235,7.810429999999998e-05,2.722687539476028e-20,0.0% ,0.0% ,0.0% ,0.0% 
centralized,bursty_high_stress,mixed_20_80,112,1.5,HeuristicBidding,112,112,0,1.0,129372.974,0.0008657140400900113,14692.83575,22248.76420222633,6708.895964285714,17857.59419254694,7983.937616071429,6967.007662556654,7.810429999999998e-05,2.722687539476028e-20,-58.16% ↓,-85.11% ↓,-19.15% ↓,-67.36% ↓
centralized,bursty_high_stress,mixed_80_20,251,0.9,EmbeddingBidding,251,251,0,1.0,98173.784,0.002556690694534093,2761.1868645418326,3013.098332432334,2.1455418326693225,24.696300881250274,2759.041864541832,3010.7209783417725,7.81043e-05,0.0,-62.06% ↓,-100.0% ↓,-19.98% ↓,-90.55% ↓
centralized,bursty_high_stress,mixed_80_20,251,0.9,HeuristicBidding,251,251,0,1.0,98173.784,0.002556690694534093,2917.668131474103,4180.299652505217,6.548067729083666,91.1519882237979,2911.1214661354584,4124.5388331395,7.81043e-05,0.0,0.0% ,0.0% ,0.0% ,0.0% 
