JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Crux","Frontier",0,0.000674915,0.000674915,24.6729,0.000674915,0,24.6722,"0.74:0.71:0.79:0.76:0.77:0.84","None"
2,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",0,0.000676533,0.000676533,21.6007,0.000676533,0,21.6,"0.79:0.77:0.74:0.78:0.84:0.84","None"
3,"COMPLETED","Aurora","Aurora",0,0.00068356,0.00068356,190.674,0.00068356,0,190.673,"0.00:0.85:0.96:0.00:0.00:0.86","None"
4,"COMPLETED","Frontier","Perlmutter-Phase-1",0,0.000671517,0.000671517,153.601,0.000671517,0,153.6,"0.00:0.92:0.84:0.00:0.00:0.89","None"
5,"COMPLETED","Andes","Perlmutter-Phase-2",0,0.000682347,122.401,219.601,0.000682347,122.4,97.2,"0.84:0.83:0.75:0.76:0.90:0.81","None"
6,"COMPLETED","Frontier","Frontier",0,0.000651378,0.000651378,69.7265,0.000651378,0,69.7259,"0.00:0.00:0.85:0.00:0.00:0.89","None"
7,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",0,0.000681261,116.401,211.201,0.000681261,116.4,94.8,"0.78:0.78:0.76:0.75:0.85:0.85","None"
8,"COMPLETED","Frontier","Frontier",0,0.000651378,0.000651378,24.6729,0.000651378,0,24.6722,"0.00:0.00:0.74:0.00:0.78:0.80","None"
9,"COMPLETED","Perlmutter-Phase-1","Aurora",0,0.000682373,0.000682373,117.981,0.000682373,0,117.981,"0.00:0.88:0.93:0.00:0.00:0.86","None"
10,"COMPLETED","Frontier","Frontier",0,0.000664312,0.000664312,65.4357,0.000664312,0,65.435,"0.00:0.00:0.85:0.00:0.00:0.89","None"
11,"COMPLETED","Andes","Andes",0,0.000681315,0.000681315,208.801,0.000681315,0,208.8,"0.96:0.74:0.76:0.88:0.80:0.80","None"
12,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,0.000679164,194.401,808.801,0.000679164,194.4,614.4,"0.00:0.97:0.85:0.00:0.00:0.85","None"
13,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000682302,0.000682302,38.6181,0.000682302,0,38.6174,"0.75:0.76:0.75:0.00:0.84:0.85","None"
14,"COMPLETED","Aurora","Frontier",0,0.000667968,0.000667968,121.216,0.000667968,0,121.216,"0.00:0.72:0.80:0.00:0.80:0.85","None"
15,"COMPLETED","Crux","Frontier",0,0.000687492,24.6729,160.907,0.000687492,24.6722,136.234,"0.78:0.73:0.80:0.79:0.80:0.85","None"
16,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,0.000677269,148.801,412.801,0.000677269,148.8,264,"0.00:0.95:0.86:0.00:0.00:0.86","None"
17,"COMPLETED","Perlmutter-Phase-1","Aurora",0,0.000680775,0.000680775,18.7507,0.000680775,0,18.75,"0.00:0.87:0.93:0.00:0.00:0.86","None"
18,"COMPLETED","Crux","Frontier",0,0.000683532,0.000683532,199.524,0.000683532,0,199.523,"0.78:0.73:0.80:0.81:0.79:0.84","None"
19,"COMPLETED","Aurora","Aurora",0,0.000680008,0.000680008,15.8661,0.000680008,0,15.8654,"0.00:0.72:0.80:0.00:0.79:0.77","None"
20,"COMPLETED","Frontier","Perlmutter-Phase-2",0,0.000676533,0.000676533,147.601,0.000676533,0,147.6,"0.00:0.00:0.75:0.00:0.89:0.80","None"
21,"COMPLETED","Aurora","Frontier",0,0.000681315,0.000681315,211.324,0.000681315,0,211.323,"0.00:0.84:0.89:0.00:0.00:0.93","None"
22,"COMPLETED","Frontier","Aurora",0,0.000679125,0.000679125,30.5776,0.000679125,0,30.5769,"0.00:0.00:0.92:0.00:0.00:0.89","None"
23,"COMPLETED","Andes","Perlmutter-Phase-2",0,0.000669664,0.000669664,202.801,0.000669664,0,202.8,"0.82:0.82:0.76:0.73:0.90:0.81","None"
24,"COMPLETED","Aurora","Frontier",0,0.000682924,0.000682924,22.5275,0.000682924,0,22.5268,"0.00:0.84:0.88:0.00:0.00:0.92","None"
25,"COMPLETED","Aurora","Aurora",0,0.000671259,0.000671259,21.0584,0.000671259,0,21.0577,"0.00:0.72:0.80:0.00:0.79:0.77","None"
26,"COMPLETED","Crux","Crux",0,0.000682373,0.000682373,44.4007,0.000682373,0,44.4,"0.90:0.73:0.79:0.94:0.79:0.76","None"
27,"COMPLETED","Frontier","Aurora",0,0.00067613,0.00067613,78.7507,0.00067613,0,78.75,"0.00:0.00:0.92:0.00:0.00:0.89","None"
28,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",0,0.000680492,84.0007,165.601,0.000680492,84,81.6,"0.77:0.86:0.76:0.73:0.95:0.77","None"
29,"COMPLETED","Perlmutter-Phase-1","Andes",0,0.000680645,0.000680645,28.8007,0.000680645,0,28.8,"0.87:0.76:0.75:0.00:0.84:0.76","None"
30,"COMPLETED","Aurora","Aurora",0,0.00066854,0.00066854,40.0968,0.00066854,0,40.0962,"0.00:0.83:0.96:0.00:0.00:0.86","None"
31,"COMPLETED","Aurora","Perlmutter-Phase-2",0,0.000681231,84.0007,409.201,0.000681231,84,325.2,"0.78:0.82:0.79:0.82:0.90:0.75","None"
32,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000682924,0.000682924,16.0913,0.000682924,0,16.0906,"0.75:0.76:0.73:0.72:0.83:0.84","None"
33,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,0.000678666,412.801,694.801,0.000678666,412.8,282,"0.00:0.95:0.86:0.00:0.00:0.86","None"
34,"COMPLETED","Aurora","Aurora",0,0.000686612,0.000686612,38.943,0.000686612,0,38.9423,"0.00:0.84:0.96:0.00:0.00:0.86","None"
35,"COMPLETED","Aurora","Aurora",0,0.000673364,0.000673364,33.4622,0.000673364,0,33.4615,"0.00:0.84:0.96:0.00:0.00:0.86","None"
36,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",0,0.000673145,0.000673145,116.401,0.000673145,0,116.4,"0.77:0.86:0.76:0.00:0.95:0.77","None"
37,"COMPLETED","Crux","Perlmutter-Phase-2",0,0.000679357,0.000679357,145.201,0.000679357,0,145.2,"0.78:0.83:0.78:0.83:0.90:0.74","None"
38,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,0.000681231,288.001,1033.2,0.000681231,288,745.2,"0.00:0.97:0.85:0.00:0.00:0.85","None"
39,"COMPLETED","Perlmutter-Phase-1","Aurora",0,0.00066039,0.00066039,168.174,0.00066039,0,168.173,"0.00:0.87:0.93:0.00:0.00:0.86","None"
40,"COMPLETED","Aurora","Aurora",0,0.000682373,0.000682373,79.9045,0.000682373,0,79.9038,"0.00:0.85:0.96:0.00:0.00:0.86","None"
41,"COMPLETED","Andes","Andes",0,0.000680645,0.000680645,292.801,0.000680645,0,292.8,"0.96:0.74:0.76:0.88:0.80:0.80","None"
42,"COMPLETED","Perlmutter-Phase-2","Frontier",0,0.000683679,0.000683679,43.9816,0.000683679,0,43.9809,"0.75:0.76:0.75:0.71:0.84:0.85","None"
43,"COMPLETED","Aurora","Aurora",0,0.000682373,0.000682373,129.231,0.000682373,0,129.231,"0.00:0.85:0.96:0.00:0.00:0.86","None"
44,"COMPLETED","Aurora","Frontier",0,0.000673011,0.000673011,178.07,0.000673011,0,178.069,"0.00:0.83:0.89:0.00:0.00:0.93","None"
45,"COMPLETED","Frontier","Frontier",0,0.00067084,0.00067084,112.635,0.00067084,0,112.634,"0.00:0.00:0.85:0.00:0.00:0.96","None"
46,"COMPLETED","Frontier","Aurora",0,0.000678051,0.000678051,44.1353,0.000678051,0,44.1346,"0.00:0.85:0.92:0.00:0.00:0.89","None"
47,"COMPLETED","Aurora","Frontier",0,0.00068336,0.00068336,80.4536,0.00068336,0,80.4529,"0.76:0.72:0.78:0.81:0.77:0.83","None"
48,"COMPLETED","Andes","Andes",0,0.000679862,0.000679862,79.2007,0.000679862,0,79.2,"0.93:0.73:0.76:0.84:0.80:0.81","None"
49,"COMPLETED","Frontier","Aurora",0,0.000681422,0.000681422,81.3468,0.000681422,0,81.3462,"0.00:0.00:0.92:0.00:0.00:0.89","None"
50,"COMPLETED","Aurora","Frontier",0,0.000677836,0.000677836,74.0174,0.000677836,0,74.0167,"0.00:0.83:0.89:0.00:0.00:0.93","None"
51,"COMPLETED","Aurora","Frontier",0,0.000681315,0.000681315,227.414,0.000681315,0,227.414,"0.00:0.85:0.89:0.00:0.00:0.93","None"
52,"COMPLETED","Perlmutter-Phase-1","Andes",0,0.00068264,98.4007,166.801,0.00068264,98.4,68.4,"0.87:0.77:0.76:0.83:0.85:0.77","None"
53,"COMPLETED","Frontier","Frontier",0,0.000659311,0.000659311,42.9089,0.000659311,0,42.9082,"0.00:0.00:0.75:0.00:0.00:0.88","None"
54,"COMPLETED","Frontier","Frontier",0,0.000606255,0.000606255,172.706,0.000606255,0,172.706,"0.00:0.00:0.76:0.00:0.00:0.89","None"
55,"COMPLETED","Andes","Frontier",0,0.00068264,0.00068264,60.0722,0.00068264,0,60.0715,"0.80:0.71:0.74:0.70:0.78:0.89","None"
56,"COMPLETED","Frontier","Aurora",0,0.000680775,0.000680775,26.5391,0.000680775,0,26.5385,"0.00:0.00:0.92:0.00:0.00:0.89","None"
57,"COMPLETED","Frontier","Frontier",0,0.000667968,0.000667968,163.052,0.000667968,0,163.051,"0.00:0.00:0.76:0.00:0.00:0.81","None"
58,"COMPLETED","Aurora","Aurora",0,0.000673364,0.000673364,20.7699,0.000673364,0,20.7692,"0.00:0.85:0.96:0.00:0.00:0.85","None"
59,"COMPLETED","Frontier","Frontier",0,0.000684229,0.000684229,320.74,0.000684229,0,320.739,"0.00:0.74:0.75:0.00:0.80:0.81","None"
60,"COMPLETED","Frontier","Aurora",0,0.00066854,0.00066854,22.2122,0.00066854,0,22.2115,"0.00:0.00:0.92:0.00:0.00:0.89","None"
