JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Crux","Frontier",0,0.000407215,0.000407215,24.6726,0.000407215,0,24.6722,"0.92:0.92:0.92:0.95:0.92:0.96","None"
2,"COMPLETED","Perlmutter-Phase-2","Frontier",0,0.000409391,0.000409391,19.3091,0.000409391,0,19.3087,"0.92:0.92:0.92:0.96:0.92:0.96","None"
3,"COMPLETED","Aurora","Aurora",0,0.00041065,0.00041065,190.673,0.00041065,0,190.673,"0.00:0.00:0.87:0.97:0.00:0.92","None"
4,"COMPLETED","Frontier","Frontier",0,0.000405439,0.000405439,137.307,0.000405439,0,137.306,"0.00:0.00:0.92:0.92:0.00:0.92","None"
5,"COMPLETED","Andes","Crux",0,0.000405287,208.8,306,0.000405287,208.8,97.2,"0.92:0.92:0.92:0.92:0.92:0.92","None"
6,"COMPLETED","Frontier","Frontier",0,0.000405978,0.000405978,69.7263,0.000405978,0,69.7259,"0.00:0.00:0.00:0.92:0.00:0.92","None"
7,"COMPLETED","Perlmutter-Phase-2","Frontier",0,0.000409911,0.000409911,84.7442,0.000409911,0,84.7437,"0.92:0.92:0.92:0.96:0.92:0.96","None"
8,"COMPLETED","Frontier","Aurora",0,0.000402942,0.000402942,6.63502,0.000402942,0,6.63462,"0.00:0.92:0.00:0.92:0.00:0.92","None"
9,"COMPLETED","Perlmutter-Phase-1","Aurora",0,0.000410911,11.8273,129.808,0.000410911,11.8269,117.981,"0.00:0.00:0.92:0.94:0.00:0.93","None"
10,"COMPLETED","Frontier","Frontier",0,0.000405748,0.000405748,65.4354,0.000405748,0,65.435,"0.00:0.00:0.00:0.92:0.00:0.92","None"
11,"COMPLETED","Andes","Crux",0,0.000405287,0.000405287,208.8,0.000405287,0,208.8,"0.92:0.92:0.92:0.92:0.92:0.92","None"
12,"COMPLETED","Perlmutter-Phase-1","Aurora",0,0.00040504,0.00040504,147.693,0.00040504,0,147.692,"0.00:0.00:0.92:0.92:0.00:0.92","None"
13,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000409655,0.000409655,38.6178,0.000409655,0,38.6174,"0.92:0.92:0.92:0.95:0.00:0.96","None"
14,"COMPLETED","Aurora","Aurora",0,0.000408472,0.000408472,32.5966,0.000408472,0,32.5962,"0.00:0.92:0.92:0.96:0.00:0.95","None"
