JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Crux","Crux",0,0.000419718,0.000419718,27.6004,0.000419718,0,27.6,"0.27:0.25:0.49:0.77:0.76:0.74","None"
2,"COMPLETED","Perlmutter-Phase-2","Andes",0,0.000421426,0.000421426,21.6004,0.000421426,0,21.6,"0.98:0.38:0.91:0.26:0.25:0.09","None"
3,"REJECTED","Aurora","Crux",0,-1,-1,0.000421777,0.000421777,-1,-1,"0.78:0.86:0.02:0.97:0.76:0.26","Job requires GPU while System has none"
4,"REJECTED","Frontier","Perlmutter-Phase-2",0,-1,-1,0.000420875,0.000420875,-1,-1,"0.91:0.87:0.23:0.71:0.93:0.50","Job requires GPU while System has none"
5,"COMPLETED","Andes","Frontier",0,0.000421426,0.000421426,86.8896,0.000421426,0,86.8892,"0.40:0.63:0.37:0.83:0.02:0.96","None"
6,"REJECTED","Frontier","Perlmutter-Phase-2",0,-1,-1,0.000420875,0.000420875,-1,-1,"0.73:0.51:0.38:0.50:0.77:0.42","Job requires GPU while System has none"
7,"COMPLETED","Perlmutter-Phase-2","Crux",0,0.000421777,27.6004,122.4,0.000421777,27.6,94.8,"0.28:0.07:0.46:0.57:0.37:0.54","None"
8,"REJECTED","Frontier","Perlmutter-Phase-1",0,-1,-1,0.000420875,0.000420875,-1,-1,"0.87:0.97:0.06:0.76:0.52:0.87","Job requires more nodes than the System has"
9,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000421426,0.000421426,438.737,0.000421426,0,438.737,"0.53:0.54:0.51:0.25:0.29:0.92","None"
10,"COMPLETED","Frontier","Frontier",0,0.000421426,0.000421426,65.4355,0.000421426,0,65.435,"0.15:0.73:0.64:0.33:0.24:0.81","None"
11,"COMPLETED","Andes","Frontier",0,0.000421426,0.000421426,186.651,0.000421426,0,186.651,"0.43:0.77:0.33:0.12:0.84:0.95","None"
12,"REJECTED","Perlmutter-Phase-1","Crux",0,-1,-1,0.000421777,0.000421777,-1,-1,"0.82:0.59:0.45:0.86:0.57:0.70","Job requires GPU while System has none"
13,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",0,0.000420875,0.000420875,43.2004,0.000420875,0,43.2,"0.18:0.14:0.55:0.13:0.85:0.07","None"
14,"REJECTED","Aurora","Andes",0,-1,-1,0.000421426,0.000421426,-1,-1,"0.85:0.04:0.28:0.72:0.27:0.81","Job requires more nodes than the System has"
15,"COMPLETED","Crux","Aurora",0,0.000421777,0.000421777,36.635,0.000421777,0,36.6346,"0.79:0.48:0.99:0.59:0.08:0.83","None"
16,"REJECTED","Perlmutter-Phase-1","Perlmutter-Phase-2",0,-1,-1,0.000420875,0.000420875,-1,-1,"0.05:0.21:0.60:0.29:0.87:0.06","Job requires GPU while System has none"
17,"REJECTED","Perlmutter-Phase-1","Andes",0,-1,-1,0.000421426,0.000421426,-1,-1,"0.90:0.40:0.50:0.03:0.43:0.63","Job requires GPU while System has none"
18,"COMPLETED","Crux","Crux",0,0.000421777,325.2,548.4,0.000421777,325.2,223.2,"0.10:0.55:0.71:0.91:0.72:0.09","None"
19,"COMPLETED","Aurora","Perlmutter-Phase-1",0,0.000420875,0.000420875,66.0004,0.000420875,0,66,"0.40:0.83:0.05:0.23:0.32:0.37","None"
20,"COMPLETED","Frontier","Aurora",0,0.000421777,0.000421777,35.4812,0.000421777,0,35.4808,"0.61:0.73:0.86:0.32:0.80:0.67","None"
21,"REJECTED","Aurora","Andes",0,-1,-1,0.000421426,0.000421426,-1,-1,"0.74:0.38:0.73:0.37:0.47:0.45","Job requires GPU while System has none"
22,"REJECTED","Frontier","Perlmutter-Phase-1",0,-1,-1,0.000420875,0.000420875,-1,-1,"0.29:0.70:0.19:0.16:0.26:0.63","Job requires more nodes than the System has"
23,"COMPLETED","Andes","Crux",0,0.000421777,122.4,325.2,0.000421777,122.4,202.8,"0.54:0.65:0.25:0.95:0.77:0.31","None"
24,"REJECTED","Aurora","Crux",0,-1,-1,0.000421777,0.000421777,-1,-1,"0.32:0.04:0.01:0.92:0.90:0.58","Job requires GPU while System has none"
25,"COMPLETED","Aurora","Perlmutter-Phase-1",0,0.000420875,0.000420875,87.6004,0.000420875,0,87.6,"0.36:0.78:0.18:0.59:0.37:0.39","None"
26,"COMPLETED","Crux","Perlmutter-Phase-2",0,0.000420875,0.000420875,44.4004,0.000420875,0,44.4,"0.26:0.57:0.35:0.13:0.61:0.07","None"
27,"REJECTED","Frontier","Perlmutter-Phase-1",0,-1,-1,0.000420875,0.000420875,-1,-1,"0.67:0.97:0.11:0.90:0.16:0.92","Job requires more nodes than the System has"
28,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,0.000420875,0.000420875,81.6004,0.000420875,0,81.6,"0.51:0.93:0.55:0.03:0.59:0.02","None"
29,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,0.000420875,0.000420875,28.8004,0.000420875,0,28.8,"0.43:0.93:0.81:0.92:0.25:0.74","None"
30,"COMPLETED","Aurora","Aurora",0,0.000421777,0.000421777,40.0966,0.000421777,0,40.0962,"0.14:0.71:0.76:0.72:0.29:0.43","None"
31,"COMPLETED","Aurora","Frontier",0,0.000421426,0.000421426,290.704,0.000421426,0,290.703,"0.43:0.37:0.28:0.07:0.15:0.69","None"
32,"COMPLETED","Perlmutter-Phase-1","Aurora",0,0.000421777,0.000421777,4.32734,0.000421777,0,4.32692,"0.72:0.73:1.00:0.74:0.63:0.72","None"
33,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,0.000420875,0.000420875,282,0.000420875,0,282,"0.05:0.98:0.61:0.53:0.67:0.02","None"
34,"COMPLETED","Aurora","Aurora",0,0.000421777,0.000421777,38.9427,0.000421777,0,38.9423,"0.61:0.13:0.91:0.43:0.10:0.49","None"
35,"COMPLETED","Aurora","Perlmutter-Phase-1",0,0.000420875,0.000420875,139.2,0.000420875,0,139.2,"0.22:0.79:0.17:0.06:0.23:0.43","None"
36,"COMPLETED","Perlmutter-Phase-1","Aurora",0,0.000421777,0.000421777,27.9812,0.000421777,0,27.9808,"0.06:0.67:0.90:0.08:0.64:0.23","None"
37,"COMPLETED","Crux","Perlmutter-Phase-1",0,0.000420875,0.000420875,145.2,0.000420875,0,145.2,"0.43:0.86:0.16:0.01:0.62:0.33","None"
38,"REJECTED","Perlmutter-Phase-1","Perlmutter-Phase-2",0,-1,-1,0.000420875,0.000420875,-1,-1,"0.76:0.24:0.88:0.54:0.91:0.09","Job requires GPU while System has none"
39,"REJECTED","Perlmutter-Phase-1","Andes",0,-1,-1,0.000421426,0.000421426,-1,-1,"0.93:0.44:0.48:0.77:0.46:0.37","Job requires GPU while System has none"
40,"COMPLETED","Aurora","Aurora",0,0.000421777,0.000421777,79.9043,0.000421777,0,79.9038,"0.81:0.49:0.89:0.78:0.00:0.58","None"
41,"COMPLETED","Andes","Perlmutter-Phase-2",0,0.000420875,0.000420875,292.8,0.000420875,0,292.8,"0.96:0.73:0.38:0.01:0.99:0.46","None"
42,"COMPLETED","Perlmutter-Phase-2","Crux",0,0.000421777,548.4,597.6,0.000421777,548.4,49.2,"0.32:0.28:0.43:0.44:0.06:0.37","None"
43,"COMPLETED","Aurora","Frontier",0,0.000421426,0.000421426,480.573,0.000421426,0,480.572,"0.61:0.72:0.82:0.67:0.44:0.89","None"
44,"COMPLETED","Aurora","Aurora",0,0.000421777,0.000421777,47.885,0.000421777,0,47.8846,"0.66:0.50:0.79:0.58:0.54:0.48","None"
45,"COMPLETED","Frontier","Aurora",0,0.000421777,0.000421777,30.2889,0.000421777,0,30.2885,"0.36:0.28:0.88:0.76:0.80:0.54","None"
46,"REJECTED","Frontier","Crux",0,-1,-1,0.000421777,0.000421777,-1,-1,"0.42:0.29:0.36:0.84:0.28:0.23","Job requires more nodes than the System has"
47,"COMPLETED","Aurora","Frontier",0,0.000421426,0.000421426,80.4533,0.000421426,0,80.4529,"0.23:0.57:0.53:0.34:0.61:0.81","None"
48,"COMPLETED","Andes","Perlmutter-Phase-1",0,0.000420875,0.000420875,79.2004,0.000420875,0,79.2,"0.19:0.74:0.14:0.55:0.02:0.48","None"
49,"COMPLETED","Frontier","Aurora",0,0.000421777,0.000421777,81.3466,0.000421777,0,81.3462,"0.27:0.57:0.99:0.21:0.21:0.44","None"
50,"REJECTED","Aurora","Crux",0,-1,-1,0.000421777,0.000421777,-1,-1,"0.12:0.27:0.22:0.94:0.18:0.30","Job requires more nodes than the System has"
51,"REJECTED","Aurora","Crux",0,-1,-1,0.000421777,0.000421777,-1,-1,"0.25:0.10:0.10:0.66:0.58:0.13","Job requires GPU while System has none"
52,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000421426,0.000421426,61.1446,0.000421426,0,61.1442,"0.61:0.79:0.48:0.09:0.83:0.92","None"
53,"REJECTED","Frontier","Andes",0,-1,-1,0.000421426,0.000421426,-1,-1,"0.94:0.02:0.43:0.15:0.25:0.11","Job requires more nodes than the System has"
54,"REJECTED","Frontier","Perlmutter-Phase-2",0,-1,-1,0.000420875,0.000420875,-1,-1,"0.39:0.84:0.10:0.42:0.97:0.82","Job requires more nodes than the System has"
55,"COMPLETED","Andes","Perlmutter-Phase-2",0,0.000420875,0.000420875,67.2004,0.000420875,0,67.2,"0.53:0.60:0.15:0.59:0.63:0.33","None"
56,"COMPLETED","Frontier","Frontier",0,0.000421426,0.000421426,98.6893,0.000421426,0,98.6889,"0.76:0.27:0.43:0.66:0.27:0.99","None"
57,"COMPLETED","Frontier","Frontier",0,0.000421426,0.000421426,163.052,0.000421426,0,163.051,"0.88:0.86:0.67:0.76:0.20:0.91","None"
58,"COMPLETED","Aurora","Frontier",0,0.000421426,0.000421426,77.2352,0.000421426,0,77.2348,"0.54:0.43:0.64:0.86:0.06:0.90","None"
59,"REJECTED","Frontier","Andes",0,-1,-1,0.000421426,0.000421426,-1,-1,"0.88:0.49:0.16:0.69:0.69:0.46","Job requires more nodes than the System has"
60,"REJECTED","Frontier","Perlmutter-Phase-2",0,-1,-1,0.000420875,0.000420875,-1,-1,"0.43:0.12:0.91:0.73:0.95:0.55","Job requires more nodes than the System has"
