JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Andes","Frontier",0,1.83254,1.83254,728.054,1.83254,0,726.222,"0.85:0.95:0.00:0.95:0.85:0.85","None"
2,"COMPLETED","Aurora","Aurora",0,2.44545,2.44545,235.234,2.44545,0,232.788,"0.75:0.95:0.00:0.85:0.85:0.85","None"
3,"COMPLETED","Aurora","Aurora",0,1.72234,1.72234,203.357,1.72234,0,201.635,"0.00:0.95:0.00:0.85:0.00:0.00","None"
4,"COMPLETED","Frontier","Frontier",0,2.30722,2.30722,871.199,2.30722,0,868.892,"0.00:0.95:0.00:0.95:0.85:0.00","None"
5,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",0,7.21859,7.21859,775.219,7.21859,0,768,"0.85:0.75:0.00:0.75:0.75:0.95","None"
6,"COMPLETED","Frontier","Frontier",0,1.74458,1.74458,825.582,1.74458,0,823.838,"0.00:0.92:0.00:0.95:0.72:0.00","None"
7,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",0,1.74502,1.74502,1183.75,1.74502,0,1182,"0.65:0.85:0.00:0.85:0.85:0.95","None"
8,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",0,2.61159,2.61159,1056.21,2.61159,0,1053.6,"0.65:0.85:0.00:0.85:0.85:0.95","None"
9,"COMPLETED","Andes","Andes",0,1.79095,1.79095,844.191,1.79095,0,842.4,"0.95:0.85:0.00:0.85:0.72:0.85","None"
10,"COMPLETED","Frontier","Frontier",0,1.73953,1.73953,756.924,1.73953,0,755.185,"0.00:0.95:0.00:0.95:0.85:0.00","None"
11,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,2.72156,682.055,1494.45,2.72156,679.333,812.4,"0.00:0.75:0.00:0.75:0.85:0.85","None"
12,"COMPLETED","Aurora","Aurora",0,1.94267,1.94267,156.27,1.94267,0,154.327,"0.00:0.95:0.00:0.85:0.85:0.00","None"
13,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,1.65472,1.65472,682.055,1.65472,0,680.4,"0.00:0.85:0.00:0.85:0.85:0.85","None"
14,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",0,1.75094,1.75094,822.551,1.75094,0,820.8,"0.00:0.85:0.00:0.85:0.75:0.95","None"
15,"COMPLETED","Aurora","Frontier",1288.63,1290.36,1290.36,1760.2,1.7261,0,469.845,"0.00:0.85:0.00:0.85:0.00:0.00","None"
