JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"REJECTED","Andes","Crux",0,-1,-1,0.000245353,0.000245353,-1,-1,"0.48:0.38:0.97:0.57:0.05:0.93","Job requires more nodes than the System has"
2,"COMPLETED","Aurora","Perlmutter-Phase-1",0,0.000244236,0.000244236,968.4,0.000244236,0,968.4,"0.69:0.89:0.46:0.77:0.92:0.12","None"
3,"REJECTED","Aurora","Perlmutter-Phase-2",0,-1,-1,0.000244236,0.000244236,-1,-1,"0.12:0.50:0.06:0.60:0.48:0.71","Job requires GPU while System has none"
4,"COMPLETED","Frontier","Aurora",0,0.000245353,0.000245353,233.654,0.000245353,0,233.654,"0.31:0.42:0.07:0.20:0.21:0.24","None"
5,"REJECTED","Perlmutter-Phase-2","Crux",0,-1,-1,0.000245353,0.000245353,-1,-1,"0.65:0.89:0.95:0.07:0.52:0.88","Job requires more nodes than the System has"
6,"COMPLETED","Frontier","Aurora",0,0.000245353,0.000245353,221.539,0.000245353,0,221.538,"0.33:0.93:0.87:0.68:0.12:0.20","None"
7,"REJECTED","Perlmutter-Phase-2","Crux",0,-1,-1,0.000245353,0.000245353,-1,-1,"0.42:0.26:0.95:0.70:0.69:0.90","Job requires more nodes than the System has"
8,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-1",0,0.000244236,0.000244236,1053.6,0.000244236,0,1053.6,"0.34:0.03:0.28:0.86:0.95:0.38","None"
9,"COMPLETED","Andes","Frontier",0,0.000244951,0.000244951,753.04,0.000244951,0,753.039,"0.31:0.84:0.08:0.96:0.89:0.08","None"
10,"REJECTED","Frontier","Andes",0,-1,-1,0.000244951,0.000244951,-1,-1,"0.82:0.22:0.82:0.02:0.05:0.21","Job requires more nodes than the System has"
11,"REJECTED","Perlmutter-Phase-1","Andes",0,-1,-1,0.000244951,0.000244951,-1,-1,"0.72:0.68:0.58:0.26:0.30:0.62","Job requires more nodes than the System has"
12,"COMPLETED","Aurora","Perlmutter-Phase-1",0,0.000244236,1053.6,1695.6,0.000244236,1053.6,642,"0.86:0.00:0.98:0.21:0.98:0.60","None"
13,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000244951,0.000244951,608.224,0.000244951,0,608.224,"0.82:0.36:0.38:0.89:0.80:0.15","None"
14,"REJECTED","Perlmutter-Phase-2","Crux",0,-1,-1,0.000245353,0.000245353,-1,-1,"0.03:0.36:0.73:0.40:0.50:0.01","Job requires more nodes than the System has"
15,"REJECTED","Aurora","Andes",1288.63,-1,-1,1288.63,0.000235244,-1,-1,"0.84:0.67:0.37:0.48:0.40:0.83","Job requires more nodes than the System has"
16,"COMPLETED","Aurora","Perlmutter-Phase-1",3071.55,3071.55,3071.55,4287.15,0.000235244,0,1215.6,"0.79:0.40:0.67:0.52:0.98:0.40","None"
17,"COMPLETED","Perlmutter-Phase-1","Aurora",4342.68,4342.68,4342.68,4599.12,0.000235244,0,256.442,"0.34:0.89:0.77:0.78:0.01:0.53","None"
18,"REJECTED","Frontier","Perlmutter-Phase-1",5011.38,-1,-1,5011.38,0.000234839,-1,-1,"0.42:0.66:0.44:0.10:0.68:0.26","Job requires more nodes than the System has"
19,"REJECTED","Aurora","Perlmutter-Phase-1",6203.04,-1,-1,6203.04,0.000235244,-1,-1,"0.69:0.79:0.80:0.86:0.94:0.68","Job requires more nodes than the System has"
20,"REJECTED","Perlmutter-Phase-1","Crux",6209.07,-1,-1,6209.07,0.000235244,-1,-1,"0.80:0.64:0.96:0.13:0.33:0.80","Job requires more nodes than the System has"
21,"COMPLETED","Aurora","Aurora",7564.55,7564.55,7564.55,7775.13,0.000234889,0,210.577,"0.98:0.98:0.81:0.94:0.59:0.39","None"
22,"COMPLETED","Frontier","Aurora",8648.4,8648.4,8648.4,8892.72,0.000234839,0,244.327,"0.72:0.89:0.06:0.48:0.82:0.77","None"
23,"COMPLETED","Aurora","Perlmutter-Phase-1",9480.89,9480.89,9480.89,10212.9,0.000235244,0,732,"0.29:0.07:0.65:0.26:0.84:0.33","None"
24,"REJECTED","Perlmutter-Phase-2","Perlmutter-Phase-1",11380,-1,-1,11380,0.000234696,-1,-1,"0.12:0.09:0.24:0.76:0.83:0.30","Job requires more nodes than the System has"
25,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",11543.9,11543.9,11543.9,12355.1,0.000234696,0,811.2,"0.43:0.51:0.51:0.03:0.57:0.69","None"
26,"REJECTED","Aurora","Perlmutter-Phase-2",12008.3,-1,-1,12008.3,0.000235244,-1,-1,"0.26:0.14:0.04:0.80:0.65:0.94","Job requires GPU while System has none"
27,"REJECTED","Perlmutter-Phase-2","Perlmutter-Phase-1",12863.5,-1,-1,12863.5,0.000234696,-1,-1,"0.63:0.73:0.70:0.49:0.75:0.45","Job requires more nodes than the System has"
28,"REJECTED","Frontier","Andes",12909,-1,-1,12909,0.000234889,-1,-1,"0.98:0.75:0.85:0.12:0.94:0.93","Job requires GPU while System has none"
29,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",13766.3,13766.3,13766.3,14771.9,0.000234696,0,1005.6,"0.12:0.29:0.68:0.71:0.75:0.79","None"
30,"REJECTED","Frontier","Crux",14033.1,-1,-1,14033.1,0.000234737,-1,-1,"0.77:0.41:0.87:0.33:0.67:0.13","Job requires more nodes than the System has"
31,"COMPLETED","Aurora","Perlmutter-Phase-1",14204.6,14204.6,14204.6,14882.6,0.000235244,0,678,"0.13:0.30:0.50:0.64:1.00:0.20","None"
32,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",14400,14400,14400,15040.8,0.000237372,0,640.8,"0.67:0.64:0.16:0.60:0.53:0.96","None"
33,"COMPLETED","Aurora","Aurora",14400,14400,14400,14550,0.000237727,0,150,"0.73:0.96:0.31:0.54:0.82:0.61","None"
34,"COMPLETED","Perlmutter-Phase-1","Aurora",14400,14400,14400,14557.5,0.000237727,0,157.5,"0.49:0.71:0.07:0.57:0.52:0.54","None"
35,"COMPLETED","Frontier","Aurora",14400,14400,14400,14558.9,0.000237727,0,158.942,"0.06:0.69:0.20:0.50:0.21:0.18","None"
36,"REJECTED","Perlmutter-Phase-1","Andes",14899.3,-1,-1,14899.3,0.000235244,-1,-1,"0.88:0.72:0.41:0.30:0.32:0.87","Job requires more nodes than the System has"
37,"COMPLETED","Aurora","Aurora",15051.9,15051.9,15051.9,15212,0.000234889,0,160.096,"0.61:0.97:0.48:0.18:0.10:0.84","None"
38,"REJECTED","Perlmutter-Phase-1","Andes",15103.5,-1,-1,15103.5,0.000235244,-1,-1,"0.78:0.75:0.37:0.68:0.05:0.72","Job requires GPU while System has none"
39,"COMPLETED","Frontier","Aurora",15166.9,15166.9,15166.9,15366.8,0.000234839,0,199.904,"0.75:0.93:0.39:0.42:0.90:0.50","None"
40,"REJECTED","Aurora","Crux",15337.5,-1,-1,15337.5,0.000234889,-1,-1,"0.84:0.37:0.85:0.39:0.64:0.24","Job requires more nodes than the System has"
41,"COMPLETED","Frontier","Perlmutter-Phase-1",15675.6,15675.6,15675.6,16683.6,0.000234839,0,1008,"0.16:0.13:0.08:0.07:0.39:0.23","None"
