JobId,FinalStatus,SubmittedTo,ScheduledOn,NodeList,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Perlmutter-Phase-1","Aurora","1-475:536:542",19.026,19.0266,19.0266,6651.03,0.000636535,0,6632,"0.00:0.87:0.00:0.80:0.71:0.00","None"
2,"COMPLETED","Frontier","Aurora","476-535:537-541:543-1523:2049-2051:2352-2355:2358-2361",41.257,41.2576,41.2576,4665.26,0.000612352,0,4624,"0.00:0.86:0.00:0.82:0.69:0.00","None"
3,"COMPLETED","Aurora","Frontier","1-527:542:1025:5248-5282",63.393,63.3936,63.3936,6681.99,0.000612535,0,6618.59,"0.62:0.81:0.00:0.82:0.68:0.73","None"
4,"COMPLETED","Frontier","Aurora","1524-2048:2052-2351:2356-2357:2362-3446:4097-4103:5082-5098",63.502,63.5025,63.5025,3975.5,0.000545352,0,3912,"0.00:0.83:0.00:0.80:0.00:0.00","None"
5,"COMPLETED","Aurora","Aurora","3447-4096:4104-4543:8193-8206",71.365,71.3657,71.3657,6967.37,0.000717535,0,6896,"0.00:0.82:0.00:0.78:0.68:0.00","None"
6,"COMPLETED","Aurora","Frontier","528-541:543-1024:1026-1188:2049-2051:2358-2361",77.794,77.7946,77.7946,7747.64,0.000590535,0,7669.85,"0.00:0.77:0.00:0.82:0.71:0.00","None"
7,"COMPLETED","Frontier","Frontier","1189-1566",111.387,111.388,111.388,11514.2,0.000685535,0,11402.9,"0.00:0.77:0.00:0.81:0.71:0.00","None"
8,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","1-645:1025:1110-1111",116.67,116.677,116.677,12422.8,0.00661953,0,12306.1,"0.00:0.75:0.00:0.75:0.71:0.75","None"
9,"COMPLETED","Perlmutter-Phase-2","Frontier","1567-1823",149.162,149.163,149.163,9470.97,0.000599535,0,9321.81,"0.62:0.75:0.00:0.78:0.68:0.68","None"
10,"COMPLETED","Perlmutter-Phase-2","Aurora","4544-5081:5099-5507:10268-10302",150.621,150.622,150.622,7262.62,0.000607535,0,7112,"0.00:0.75:0.00:0.75:0.71:0.71","None"
11,"COMPLETED","Aurora","Frontier","1824-2048:2052-2166:4097-4103",251.815,251.816,251.816,11182.7,0.000618535,0,10930.9,"0.62:0.73:0.00:0.77:0.68:0.67","None"
12,"COMPLETED","Perlmutter-Phase-2","Frontier","2167-2357:2362-4096:4104-5222:8193-8206",252.044,252.045,252.045,6012.47,0.000589535,0,5760.43,"0.00:0.73:0.00:0.76:0.00:0.50","None"
13,"COMPLETED","Perlmutter-Phase-2","Aurora","5508-6000",255.636,255.637,255.637,6351.64,0.000609535,0,6096,"0.62:0.73:0.00:0.67:0.71:0.71","None"
14,"COMPLETED","Frontier","Aurora","6001-7037",264.87,264.871,264.871,6184.87,0.000649535,0,5920,"0.00:0.75:0.00:0.69:0.73:0.00","None"
15,"COMPLETED","Perlmutter-Phase-1","Aurora","7038-7885",288.843,288.844,288.844,4824.84,0.000622535,0,4536,"0.00:0.71:0.00:0.70:0.68:0.67","None"
16,"COMPLETED","Frontier","Aurora","7886-8192:8207-10219",317.515,317.516,317.516,6069.52,0.000591352,0,5752,"0.00:0.72:0.00:0.69:0.00:0.00","None"
17,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","1-676:1025:1110-1111",318.927,318.928,318.928,15597,0.000641535,0,15278,"0.65:0.50:0.00:0.67:0.68:0.68","None"
18,"COMPLETED","Perlmutter-Phase-1","Frontier","5223-5247:5283-5773",325.208,325.209,325.209,10633.9,0.000605535,0,10308.7,"0.00:0.54:0.00:0.72:0.61:0.00","None"
19,"COMPLETED","Perlmutter-Phase-2","Frontier","5774-6282",357.981,357.982,357.982,9132.71,0.000580535,0,8774.73,"0.61:0.50:0.00:0.69:0.58:0.67","None"
20,"COMPLETED","Frontier","Frontier","6283-7022",359.483,359.484,359.484,9724.2,0.000689535,0,9364.72,"0.00:0.54:0.00:0.67:0.59:0.00","None"
21,"COMPLETED","Frontier","Perlmutter-Phase-2","646-951",409.03,409.031,409.031,23735.6,0.000603579,0,23326.5,"0.62:0.65:0.00:0.66:0.59:0.68","None"
22,"COMPLETED","Perlmutter-Phase-2","Frontier","7023-7496",507.184,507.185,507.185,9764.63,0.000588392,0,9257.45,"0.62:0.51:0.00:0.66:0.58:0.65","None"
23,"COMPLETED","Frontier","Frontier","7497-7897",727.019,727.02,727.02,8461.23,0.000643535,0,7734.21,"0.61:0.50:0.00:0.65:0.58:0.65","None"
24,"COMPLETED","Frontier","Perlmutter-Phase-2","952-1024:1026-1109:1112-1786:2049-2051:2358-2361",823.577,823.58,823.58,14764.4,0.00276653,0,13940.8,"0.00:0.50:0.00:0.62:0.58:0.65","None"
25,"COMPLETED","Frontier","Frontier","7898-8192:8207-8692",874.509,874.51,874.51,9134.34,0.000630535,0,8259.83,"0.00:0.53:0.00:0.67:0.61:0.00","None"
26,"COMPLETED","Aurora","Frontier","8693-9378",941.905,941.912,941.912,11883.5,0.00666635,0,10941.6,"0.00:0.57:0.00:0.61:0.58:0.00","None"
27,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","1787-2048:2052-2256",974.993,974.994,974.994,12821.9,0.000631535,0,11846.9,"0.62:0.49:0.00:0.43:0.61:0.63","None"
28,"COMPLETED","Frontier","Aurora","1524-2048:2052-2351:2356-2357:2362-2785:4097-4103:5082-5098",1070.48,1070.48,3975.5,8735.5,0.000586352,2905.02,4760,"0.00:0.51:0.00:0.45:0.48:0.00","None"
29,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","677-1024:1026-1092",1183.55,1183.55,1183.55,17493.3,0.000589535,0,16309.8,"0.00:0.52:0.00:0.47:0.64:0.00","None"
30,"COMPLETED","Perlmutter-Phase-2","Aurora","476-535:537-541:543-1523:2049-2051:2352-2355:2358-2361:3280-3446:10220-10250",1238.26,1238.26,4665.26,8673.26,0.000616352,3426.99,4008,"0.00:0.47:0.00:0.42:0.36:0.40","None"
31,"COMPLETED","Aurora","Perlmutter-Phase-1","1093-1109:1112-1474",1268.96,1268.97,1268.97,19356.8,0.000602535,0,18087.8,"0.00:0.53:0.00:0.49:0.56:0.00","None"
32,"COMPLETED","Aurora","Aurora","7886-8192:8207-9709",1307.39,1307.39,6069.52,11645.5,0.000725535,4762.12,5576,"0.00:0.52:0.00:0.45:0.00:0.00","None"
