JobId,FinalStatus,SubmittedTo,ScheduledOn,NodeList,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Perlmutter-Phase-1","Aurora","1-475:536:542",19.026,19.0414,19.0414,6651.04,0.0153685,0,6632,"0.00:0.70:0.00:0.66:0.62:0.00","None"
2,"COMPLETED","Frontier","Aurora","476-535:537-541:543-1523:2049-2051:2352-2355:2358-2361",41.257,41.2656,41.2656,4665.27,0.00863727,0,4624,"0.00:0.71:0.00:0.71:0.54:0.00","None"
3,"COMPLETED","Aurora","Aurora","1524-2048:2052-2083:4097-4103",63.393,63.4112,63.4112,4999.41,0.0182305,0,4936,"0.53:0.70:0.00:0.70:0.60:0.65","None"
4,"COMPLETED","Frontier","Aurora","2084-2351:2356-2357:2362-4010:5082-5098",63.502,63.5074,63.5074,3975.51,0.00541435,0,3912,"0.00:0.70:0.00:0.70:0.00:0.00","None"
5,"COMPLETED","Aurora","Frontier","1-1064:1110-1111:2049-2051:5248-5282",71.365,71.3733,71.3733,9318.1,0.00834935,0,9246.72,"0.00:0.65:0.00:0.66:0.52:0.00","None"
6,"COMPLETED","Aurora","Frontier","1065-1109:1112-1728:2358-2361",77.794,77.8059,77.8059,7747.65,0.0118715,0,7669.85,"0.00:0.64:0.00:0.68:0.62:0.00","None"
7,"COMPLETED","Frontier","Frontier","1729-2048:2052-2102:4097-4103",111.387,111.397,111.397,11514.3,0.00951053,0,11402.9,"0.00:0.64:0.00:0.66:0.62:0.00","None"
8,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","1-645:1025:1110-1111",116.67,116.682,116.682,12422.8,0.0123882,0,12306.1,"0.00:0.63:0.00:0.63:0.60:0.64","None"
9,"COMPLETED","Perlmutter-Phase-2","Aurora","4011-4096:4104-4260:8193-8206",149.162,149.171,149.171,7101.17,0.00859739,0,6952,"0.56:0.64:0.00:0.63:0.62:0.58","None"
10,"COMPLETED","Perlmutter-Phase-2","Frontier","2103-2357:2362-3079:5088-5096",150.621,150.634,150.634,9686.99,0.0125893,0,9536.35,"0.00:0.62:0.00:0.63:0.58:0.57","None"
11,"COMPLETED","Aurora","Aurora","4261-4607",251.815,251.821,251.821,8403.82,0.00589853,0,8152,"0.55:0.63:0.00:0.60:0.61:0.58","None"
12,"COMPLETED","Perlmutter-Phase-2","Frontier","3080-4096:4104-5087:5097-5247:5283-6175:8193-8206",252.044,252.125,252.125,6012.55,0.0807085,0,5760.43,"0.00:0.59:0.00:0.59:0.00:0.44","None"
13,"COMPLETED","Perlmutter-Phase-2","Aurora","4608-5081:10268-10286",255.636,255.649,255.649,6351.65,0.0128864,0,6096,"0.54:0.61:0.00:0.50:0.61:0.59","None"
14,"COMPLETED","Frontier","Aurora","5099-6119:10287-10302",264.87,264.891,264.891,6184.89,0.0206485,0,5920,"0.00:0.61:0.00:0.51:0.60:0.00","None"
15,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","1-845:1025:1110-1111",288.843,288.855,288.855,12735.2,0.0116791,0,12446.3,"0.00:0.57:0.00:0.50:0.59:0.57","None"
16,"COMPLETED","Frontier","Aurora","6120-8192:8207-8453",317.515,317.536,317.536,6069.54,0.0210463,0,5752,"0.00:0.51:0.00:0.48:0.00:0.00","None"
