JobId,FinalStatus,SubmittedTo,ScheduledOn,NodeList,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Perlmutter-Phase-1","Aurora","1-475:536:542",19.026,35.8722,35.8722,6667.87,16.8462,0,6632,"0.00:0.93:0.00:0.04:0.82:0.00","None"
2,"COMPLETED","Frontier","Frontier","1-1019:1025:1110-1111:5248-5282",41.257,57.9144,57.9144,6258.15,16.6574,0,6200.24,"0.00:0.85:0.00:0.88:0.04:0.00","None"
3,"COMPLETED","Aurora","Perlmutter-Phase-1","1-561:1025:1110-1111",63.393,78.5324,78.5324,13622.4,15.1394,0,13543.9,"0.04:0.87:0.00:0.04:0.88:0.55","None"
4,"COMPLETED","Frontier","Aurora","476-535:537-541:543-2389:4097-4103:5082-5098",63.502,80.2584,80.2584,3992.26,16.7564,0,3912,"0.00:0.88:0.00:0.05:0.00:0.00","None"
5,"COMPLETED","Aurora","Aurora","2390-3493",71.365,86.1129,86.1129,6982.11,14.7479,0,6896,"0.00:0.91:0.00:0.78:0.04:0.00","None"
6,"COMPLETED","Aurora","Aurora","3494-4096:4104-4152:8193-8206",77.794,92.1024,92.1024,5812.1,14.3084,0,5720,"0.00:0.91:0.00:0.04:0.04:0.00","None"
7,"COMPLETED","Frontier","Frontier","1020-1024:1026-1109:1112-1393:2049-2051:2358-2361",111.387,126.528,126.528,11529.4,15.1406,0,11402.9,"0.00:0.85:0.00:0.91:0.04:0.00","None"
8,"COMPLETED","Perlmutter-Phase-2","Aurora","4153-4800",116.67,133.824,133.824,5493.82,17.1536,0,5360,"0.00:0.87:0.00:0.04:0.82:0.72","None"
9,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","1-256:258",149.162,163.741,163.741,16125,14.5786,0,15961.2,"0.03:0.82:0.00:0.05:0.04:0.93","None"
10,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","257:259-1232:2049-2051:2358-2361",150.621,166.661,166.661,16495.2,16.0397,0,16328.6,"0.00:0.82:0.00:0.87:0.52:0.91","None"
11,"COMPLETED","Aurora","Perlmutter-Phase-2","1233-1579",251.815,267.562,267.562,18983.9,15.7471,0,18716.3,"0.03:0.82:0.00:0.08:0.04:0.87","None"
