JobId,FinalStatus,SubmittedTo,ScheduledOn,NodeList,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","1-476:542",19.026,19.0261,19.0261,18216.6,5.20843e-05,0,18197.6,"1.00","None"
2,"COMPLETED","Frontier","Frontier","1-1019:1025:1110-1111:5248-5282",41.257,41.2571,41.2571,6241.5,5.20843e-05,0,6200.24,"1.00","None"
3,"COMPLETED","Aurora","Aurora","1-559:1025:1104-1105:1110-1111",63.393,63.3931,63.3931,4999.39,5.20843e-05,0,4936,"1.00","None"
4,"COMPLETED","Frontier","Frontier","1020-1024:1026-1109:1112-2942:4097-4103:5088-5096",63.502,63.5021,63.5021,5309.03,5.20843e-05,0,5245.53,"1.00","None"
5,"COMPLETED","Aurora","Aurora","560-1024:1026-1103:1106-1109:1112-1657:2049-2051:2352-2355:2358-2361",71.365,71.3651,71.3651,6967.37,5.20843e-05,0,6896,"1.00","None"
6,"COMPLETED","Aurora","Aurora","1658-2048:2052-2319:4097-4103",77.794,77.7941,77.7941,5797.79,5.20843e-05,0,5720,"1.00","None"
7,"COMPLETED","Frontier","Frontier","2943-3320",111.387,111.387,111.387,11514.2,5.20843e-05,0,11402.9,"1.00","None"
8,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","1-645:1025:1110-1111",116.67,116.67,116.67,12422.8,5.20843e-05,0,12306.1,"1.00","None"
9,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","646-902",149.162,149.162,149.162,16110.4,5.20843e-05,0,15961.2,"1.00","None"
10,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","903-1024:1026-1109:1112-1880:2049-2051:2358-2361",150.621,150.621,150.621,16479.2,5.20843e-05,0,16328.6,"1.00","None"
11,"COMPLETED","Aurora","Aurora","2320-2351:2356-2357:2362-2657:5082-5098",251.815,251.815,251.815,8403.82,5.20843e-05,0,8152,"1.00","None"
12,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","1-3059",252.044,252.044,25681.2,35544.5,5.20843e-05,25429.2,9863.27,"1.00","None"
13,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","1881-2048:2052-2357:2362-2380",255.636,255.636,255.636,14251.6,5.20843e-05,0,13995.9,"1.00","None"
14,"COMPLETED","Frontier","Frontier","3321-4096:4104-4350:8193-8206",264.87,264.87,264.87,8202.89,5.20843e-05,0,7938.02,"1.00","None"
15,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","477-541:543-1325",288.843,288.843,288.843,12735.2,5.20843e-05,0,12446.3,"1.00","None"
16,"COMPLETED","Frontier","Frontier","4351-5087:5097-5247:5283-6714",317.515,317.515,317.515,8030.27,5.20843e-05,0,7712.75,"1.00","None"
17,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","477-541:543-1156",318.927,318.927,12735.2,28013.2,5.20843e-05,12416.3,15278,"1.00","None"
18,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","1-476:542:1157-1195",325.208,325.208,18216.6,39311.7,5.20843e-05,17891.4,21095.1,"1.00","None"
19,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","2381-2889",357.981,357.981,357.981,15382.5,5.20843e-05,0,15024.5,"1.00","None"
20,"COMPLETED","Frontier","Frontier","6715-7454",359.483,359.483,359.483,9724.2,5.20843e-05,0,9364.72,"1.00","None"
21,"COMPLETED","Frontier","Frontier","7455-7760",409.03,409.03,409.03,14032.4,5.20843e-05,0,13623.4,"1.00","None"
22,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","496-541:543-967:1025:1110-1111",507.184,507.184,35544.5,51395.5,5.20843e-05,35037.3,15851,"1.00","None"
23,"COMPLETED","Frontier","Frontier","7761-8161",727.019,727.019,727.019,8461.23,5.20843e-05,0,7734.21,"1.00","None"
24,"COMPLETED","Frontier","Frontier","8162-8192:8207-9014",823.577,823.577,823.577,8965.41,5.20843e-05,0,8141.84,"1.00","None"
25,"COMPLETED","Frontier","Frontier","2287-2357:2362-2942:5088-5096:9015-9134",874.509,874.509,5309.03,13568.9,5.20843e-05,4434.52,8259.83,"1.00","None"
26,"COMPLETED","Aurora","Aurora","2658-3343",941.905,941.905,941.905,9101.91,5.20843e-05,0,8160,"1.00","None"
27,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","1-466:542",974.993,974.993,12422.8,24269.7,5.20843e-05,11447.8,11846.9,"1.00","None"
28,"COMPLETED","Frontier","Frontier","1020-1024:1026-1109:1112-2286:2358-2361:4097-4103",1070.48,1070.48,5309.03,11691.6,5.20843e-05,4238.55,6382.6,"1.00","None"
29,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","477-541:543-889:1025:1110-1111",1183.55,1183.55,28013.2,44323,5.20843e-05,26829.7,16309.8,"1.00","None"
30,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","646-1024:1026-1109:1112-1880:2049-2051:2358-2361:2381-2396",1238.26,1238.26,16479.2,25681.2,5.20843e-05,15240.9,9202.04,"1.00","None"
31,"COMPLETED","Aurora","Aurora","3344-3723",1268.96,1268.97,1268.97,7860.97,5.20843e-05,0,6592,"1.00","None"
32,"COMPLETED","Aurora","Aurora","3724-4096:4104-5081:5099-5508:8193-8206:10268-10302",1307.39,1307.39,1307.39,6883.39,5.20843e-05,0,5576,"1.00","None"
33,"COMPLETED","Frontier","Frontier","504-541:543-995:1025:1110-1111",1339.27,1339.27,6241.5,13804.1,5.20843e-05,4902.23,7562.57,"1.00","None"
34,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","444-541:543-1403",1357.03,1357.03,44323,56966.9,5.20843e-05,42966,12643.9,"1.00","None"
35,"COMPLETED","Aurora","Aurora","5509-6306",2102.57,2102.57,2102.57,8190.57,5.20843e-05,0,6088,"1.00","None"
36,"COMPLETED","Aurora","Aurora","6307-6919",2146.28,2146.29,2146.29,9930.29,5.20843e-05,0,7784,"1.00","None"
37,"COMPLETED","Aurora","Aurora","6920-8180",2163.79,2163.79,2163.79,8467.79,5.20843e-05,0,6304,"1.00","None"
38,"COMPLETED","Frontier","Frontier","1-503:542:5248-5282",2456.38,2456.38,6241.5,15209.3,5.20843e-05,3785.12,8967.82,"1.00","None"
39,"COMPLETED","Aurora","Aurora","8181-8192:8207-9924",2811.87,2811.87,2811.87,7851.87,5.20843e-05,0,5040,"1.00","None"
40,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","890-1024:1026-1109:1112-1156:1196-1507",3596.18,3596.18,28013.2,41184,5.20843e-05,24417.1,13170.7,"1.00","None"
41,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","1-1090:1110-1111",4778.9,4778.9,195106,213040,5.20843e-05,190327,17934.1,"1.00","None"
42,"COMPLETED","Frontier","Frontier","996-1019:3321-4096:4104-4202:8193-8206",9788.06,9788.06,9788.06,15677.2,5.20843e-05,0,5889.15,"1.00","None"
43,"COMPLETED","Aurora","Aurora","1-709:1025:1104-1105:1110-1111",10313.8,10313.8,10313.8,16441.8,5.20843e-05,0,6128,"1.00","None"
44,"COMPLETED","Aurora","Aurora","710-1024:1026-1103:1106-1109:1112-2090:2352-2355:2358-2361:4097-4103",11649.7,11649.7,11649.7,16145.7,5.20843e-05,0,4496,"1.00","None"
45,"COMPLETED","Aurora","Aurora","2091-2351:2356-2357:2362-2575:5082-5098",13008,13008,13008,18416,5.20843e-05,0,5408,"1.00","None"
46,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","1-1406",13055.7,13055.7,83835.2,98959.6,5.20843e-05,70779.5,15124.4,"1.00","None"
47,"COMPLETED","Andes","Andes","1-597",13262.1,13262.1,13262.1,59912.1,5.20843e-05,0,46650,"1.00","None"
48,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","1-1234",13391.5,13391.5,98959.6,109452,5.20843e-05,85568.1,10492.7,"1.00","None"
