JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Frontier",0,0.00061216,867.819,1030.87,0.00061216,867.819,163.051,"0.00:0.00:0.76:0.00:0.00:0.81","None"
2,"COMPLETED","Crux","Frontier",0,0.000662387,5274.8,6296.01,0.000662387,5274.8,1021.22,"0.77:0.73:0.80:0.77:0.80:0.85","None"
3,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000657982,1712.04,2569.13,0.000657982,1712.04,857.092,"0.00:0.85:0.86:0.00:0.00:0.93","None"
4,"COMPLETED","Frontier","Frontier",0,0.000489531,7986.29,9055.78,0.000489531,7986.29,1069.49,"0.00:0.00:0.00:0.00:0.00:0.86","None"
5,"COMPLETED","Frontier","Aurora",0,0.00065142,1691.54,2532.98,0.00065142,1691.54,841.442,"0.00:0.00:0.91:0.00:0.00:0.89","None"
6,"COMPLETED","Frontier","Frontier",0,0.000471262,0.000471262,867.819,0.000471262,0,867.819,"0.00:0.00:0.00:0.00:0.00:0.87","None"
7,"COMPLETED","Aurora","Aurora",0,0.000665527,38.0776,228.751,0.000665527,38.0769,190.673,"0.00:0.85:0.96:0.00:0.00:0.85","None"
8,"COMPLETED","Andes","Frontier",0,0.000661899,6767.7,8118.24,0.000661899,6767.7,1350.54,"0.79:0.71:0.76:0.00:0.79:0.89","None"
9,"COMPLETED","Frontier","Frontier",0,0.00048906,10740.8,14898.6,0.00048906,10740.8,4157.81,"0.00:0.00:0.00:0.00:0.00:0.87","None"
10,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000650925,9225.27,11480.1,0.000650925,9225.27,2254.83,"0.00:0.83:0.85:0.00:0.00:0.92","None"
11,"COMPLETED","Perlmutter-Phase-1","Aurora",0,0.000614759,0.000614759,1229.42,0.000614759,0,1229.42,"0.00:0.80:0.91:0.00:0.00:0.85","None"
12,"COMPLETED","Andes","Perlmutter-Phase-2",0,0.000625271,0.000625271,4399.2,0.000625271,0,4399.2,"0.77:0.78:0.76:0.00:0.88:0.81","None"
13,"COMPLETED","Andes","Andes",0,0.00066226,4524,5782.8,0.00066226,4524,1258.8,"0.87:0.70:0.76:0.00:0.78:0.81","None"
14,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",0,0.000698492,1018.8,1633.2,0.000698492,1018.8,614.4,"0.77:0.86:0.76:0.00:0.95:0.77","None"
15,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000657982,1505.01,2853.4,0.000657982,1505.01,1348.39,"0.00:0.77:0.76:0.00:0.85:0.85","None"
16,"COMPLETED","Aurora","Frontier",0,0.000607519,21320.1,24174.6,0.000607519,21320.1,2854.47,"0.00:0.00:0.87:0.00:0.00:0.91","None"
17,"COMPLETED","Crux","Frontier",0,0.00064232,1505.01,4579.38,0.00064232,1505.01,3074.37,"0.77:0.73:0.80:0.77:0.80:0.85","None"
18,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",0,0.000655089,0.000655089,2878.8,0.000655089,0,2878.8,"0.76:0.85:0.76:0.00:0.95:0.77","None"
19,"COMPLETED","Perlmutter-Phase-1","Aurora",0,0.000659681,2007.12,2230.39,0.000659681,2007.12,223.269,"0.00:0.82:0.92:0.00:0.00:0.86","None"
20,"COMPLETED","Crux","Frontier",0,0.000653398,3797.38,7724.55,0.000653398,3797.38,3927.18,"0.77:0.73:0.80:0.77:0.80:0.85","None"
21,"COMPLETED","Aurora","Aurora",0,0.00065142,339.231,355.097,0.00065142,339.231,15.8654,"0.00:0.72:0.80:0.00:0.79:0.77","None"
22,"COMPLETED","Frontier","Frontier",0,0.000468469,0.000468469,1505.01,0.000468469,0,1505.01,"0.00:0.00:0.00:0.00:0.00:0.80","None"
23,"COMPLETED","Aurora","Frontier",0,0.00065957,2853.4,6939.33,0.00065957,2853.4,4085.94,"0.00:0.72:0.80:0.00:0.80:0.85","None"
24,"COMPLETED","Frontier","Frontier",0,0.00048923,5274.8,6880.64,0.00048923,5274.8,1605.84,"0.00:0.00:0.00:0.00:0.00:0.80","None"
25,"COMPLETED","Aurora","Aurora",0,0.000648343,1709.71,3075.58,0.000648343,1709.71,1365.87,"0.00:0.88:0.89:0.00:0.00:0.86","None"
26,"COMPLETED","Frontier","Aurora",0,0.000662073,38.0776,100.962,0.000662073,38.0769,62.8846,"0.00:0.85:0.92:0.00:0.00:0.89","None"
27,"COMPLETED","Aurora","Aurora",0,0.000661315,3898.85,4105.67,0.000661315,3898.85,206.827,"0.00:0.00:0.77:0.00:0.00:0.74","None"
28,"COMPLETED","Crux","Crux",0,0.000662271,2739.6,3380.4,0.000662271,2739.6,640.8,"0.87:0.73:0.80:0.87:0.80:0.77","None"
29,"COMPLETED","Perlmutter-Phase-1","Aurora",0,0.00066065,442.789,608.078,0.00066065,442.788,165.288,"0.00:0.88:0.93:0.00:0.00:0.86","None"
30,"COMPLETED","Perlmutter-Phase-1","Aurora",0,0.000656482,4467.12,6476.54,0.000656482,4467.12,2009.42,"0.00:0.82:0.92:0.00:0.00:0.86","None"
31,"COMPLETED","Frontier","Frontier",0,0.000471262,3831.7,6431.94,0.000471262,3831.7,2600.24,"0.00:0.00:0.00:0.00:0.00:0.93","None"
32,"COMPLETED","Aurora","Frontier",0,0.000658879,2391.06,5054.59,0.000658879,2391.06,2663.53,"0.00:0.81:0.89:0.00:0.00:0.93","None"
33,"COMPLETED","Frontier","Frontier",0,0.00048923,22819.7,29313.8,0.00048923,22819.7,6494.16,"0.00:0.00:0.00:0.00:0.00:0.80","None"
34,"COMPLETED","Frontier","Aurora",0,0.000620427,1709.71,3073.27,0.000620427,1709.71,1363.56,"0.00:0.00:0.91:0.00:0.00:0.89","None"
35,"COMPLETED","Crux","Crux",0,0.00066065,0.00066065,1477.2,0.00066065,0,1477.2,"0.87:0.73:0.80:0.87:0.80:0.77","None"
36,"COMPLETED","Aurora","Aurora",0,0.00065142,2035.1,2297.6,0.00065142,2035.1,262.5,"0.00:0.00:0.94:0.00:0.00:0.85","None"
37,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",0,0.000659639,199.201,481.201,0.000659639,199.2,282,"0.78:0.86:0.76:0.73:0.96:0.77","None"
38,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000635738,11166.9,13651.3,0.000635738,11166.9,2484.39,"0.00:0.81:0.85:0.00:0.00:0.92","None"
39,"COMPLETED","Crux","Crux",0,0.000670593,3380.4,4455.6,0.000670593,3380.4,1075.2,"0.87:0.73:0.80:0.87:0.80:0.77","None"
40,"COMPLETED","Aurora","Frontier",0,0.000660579,8995.71,11166.9,0.000660579,8995.71,2171.16,"0.00:0.00:0.80:0.00:0.77:0.84","None"
41,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.00065533,8285.33,10740.8,0.00065533,8285.33,2455.42,"0.00:0.82:0.85:0.00:0.00:0.92","None"
42,"COMPLETED","Perlmutter-Phase-1","Aurora",0,0.000659013,5417.89,7125,0.000659013,5417.88,1707.12,"0.00:0.80:0.91:0.00:0.00:0.85","None"
43,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,0.000632888,0.000632888,895.201,0.000632888,0,895.2,"0.00:0.92:0.86:0.00:0.00:0.86","None"
44,"COMPLETED","Aurora","Aurora",0,0.000662194,4866.64,5423.37,0.000662194,4866.63,556.731,"0.00:0.00:0.92:0.00:0.00:0.83","None"
45,"COMPLETED","Aurora","Frontier",0,0.000661524,25974,30315.2,0.000661524,25974,4341.24,"0.00:0.00:0.88:0.00:0.00:0.91","None"
46,"COMPLETED","Frontier","Aurora",0,0.000659681,2213.94,2622.98,0.000659681,2213.94,409.038,"0.00:0.00:0.91:0.00:0.00:0.89","None"
47,"COMPLETED","Aurora","Aurora",0,0.000661002,2230.39,3086.25,0.000661002,2230.38,855.865,"0.00:0.79:0.95:0.00:0.00:0.86","None"
48,"COMPLETED","Andes","Andes",0,0.000661899,2062.8,3520.8,0.000661899,2062.8,1458,"0.87:0.70:0.76:0.00:0.78:0.81","None"
49,"COMPLETED","Aurora","Frontier",0,0.00069067,12581.8,16233.3,0.00069067,12581.8,3651.49,"0.00:0.81:0.89:0.00:0.00:0.93","None"
50,"COMPLETED","Frontier","Perlmutter-Phase-1",0,0.000652457,0.000652457,256.801,0.000652457,0,256.8,"0.00:0.92:0.85:0.00:0.00:0.89","None"
51,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000660133,2502.62,3317.88,0.000660133,2502.62,815.256,"0.00:0.83:0.85:0.00:0.00:0.93","None"
52,"COMPLETED","Frontier","Frontier",0,0.000658879,534.208,670.442,0.000658879,534.207,136.234,"0.00:0.84:0.84:0.00:0.00:0.96","None"
53,"COMPLETED","Frontier","Aurora",0,0.000615716,339.231,1021.15,0.000615716,339.231,681.923,"0.00:0.00:0.91:0.00:0.00:0.89","None"
54,"COMPLETED","Aurora","Frontier",0,0.000660579,670.442,725.15,0.000660579,670.441,54.708,"0.76:0.72:0.78:0.81:0.77:0.84","None"
55,"COMPLETED","Aurora","Aurora",0,0.000659681,38.0776,56.5391,0.000659681,38.0769,18.4615,"0.00:0.84:0.96:0.00:0.00:0.85","None"
56,"COMPLETED","Aurora","Aurora",0,0.000643399,1460.77,1691.54,0.000643399,1460.77,230.769,"0.00:0.00:0.88:0.00:0.00:0.85","None"
57,"COMPLETED","Andes","Andes",0,0.000662387,5782.8,6637.2,0.000662387,5782.8,854.4,"0.87:0.70:0.76:0.00:0.78:0.81","None"
58,"COMPLETED","Frontier","Frontier",0,0.000488348,3341.78,5274.8,0.000488348,3341.78,1933.02,"0.00:0.00:0.00:0.00:0.00:0.88","None"
59,"COMPLETED","Frontier","Frontier",0,0.00048879,6431.94,8261.98,0.00048879,6431.94,1830.04,"0.00:0.00:0.00:0.00:0.00:0.87","None"
60,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000662315,1112.4,1177.83,0.000662315,1112.4,65.435,"0.00:0.87:0.85:0.00:0.00:0.93","None"
61,"COMPLETED","Perlmutter-Phase-2","Frontier",0,0.000653398,8118.24,8995.71,0.000653398,8118.24,877.473,"0.00:0.00:0.75:0.00:0.80:0.83","None"
62,"COMPLETED","Crux","Frontier",0,0.000660133,4579.38,8089.27,0.000660133,4579.38,3509.89,"0.77:0.73:0.80:0.77:0.80:0.85","None"
63,"COMPLETED","Aurora","Aurora",0,0.000662323,1253.94,1418.08,0.000662323,1253.94,164.135,"0.00:0.83:0.96:0.00:0.00:0.86","None"
64,"COMPLETED","Frontier","Frontier",0,0.000487151,15926.5,22819.7,0.000487151,15926.5,6893.21,"0.00:0.00:0.00:0.00:0.00:0.88","None"
65,"COMPLETED","Andes","Frontier",0,0.000661264,9252.09,11648.5,0.000661264,9252.09,2396.42,"0.77:0.70:0.76:0.00:0.78:0.89","None"
66,"COMPLETED","Aurora","Aurora",0,0.000661566,2680.39,2936.54,0.000661566,2680.38,256.154,"0.00:0.86:0.89:0.00:0.00:0.86","None"
67,"COMPLETED","Frontier","Frontier",0,0.00048906,7048.75,7986.29,0.00048906,7048.75,937.545,"0.00:0.00:0.00:0.00:0.00:0.87","None"
68,"COMPLETED","Crux","Crux",0,0.000678525,4455.6,4941.6,0.000678525,4455.6,486,"0.87:0.73:0.80:0.87:0.80:0.77","None"
69,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000656833,19804.4,21320.1,0.000656833,19804.4,1515.73,"0.00:0.80:0.84:0.00:0.00:0.91","None"
70,"COMPLETED","Aurora","Aurora",0,0.00065142,1709.71,2952.98,0.00065142,1709.71,1243.27,"0.00:0.82:0.96:0.00:0.00:0.86","None"
71,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",0,0.000657698,576.001,1080,0.000657698,576,504,"0.00:0.73:0.76:0.00:0.83:0.77","None"
72,"COMPLETED","Crux","Frontier",0,0.00067867,5929.45,6883.09,0.00067867,5929.45,953.635,"0.77:0.73:0.80:0.77:0.80:0.85","None"
73,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,0.000656622,4748.4,6416.4,0.000656622,4748.4,1668,"0.00:0.92:0.86:0.00:0.00:0.86","None"
74,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000657982,6170.2,7323.36,0.000657982,6170.2,1153.16,"0.00:0.74:0.76:0.00:0.83:0.85","None"
75,"COMPLETED","Aurora","Frontier",0,0.000660579,5054.59,7042.31,0.000660579,5054.59,1987.72,"0.00:0.82:0.89:0.00:0.00:0.93","None"
76,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",0,0.000672492,224.401,447.601,0.000672492,224.4,223.2,"0.78:0.86:0.76:0.73:0.96:0.77","None"
77,"COMPLETED","Aurora","Frontier",0,0.000660579,534.208,774.494,0.000660579,534.207,240.286,"0.00:0.85:0.89:0.00:0.00:0.93","None"
78,"COMPLETED","Aurora","Aurora",0,0.000661315,3655.67,3898.85,0.000661315,3655.67,243.173,"0.00:0.00:0.78:0.00:0.00:0.75","None"
79,"COMPLETED","Aurora","Frontier",0,0.000661727,11674.3,12512,0.000661727,11674.3,837.783,"0.00:0.00:0.87:0.00:0.00:0.91","None"
80,"COMPLETED","Frontier","Frontier",0,0.000656833,341.121,387.247,0.000656833,341.12,46.1263,"0.00:0.00:0.84:0.00:0.00:0.96","None"
81,"COMPLETED","Frontier","Frontier",0,0.000487804,42204.7,47527.4,0.000487804,42204.6,5322.77,"0.00:0.00:0.00:0.00:0.00:0.87","None"
82,"COMPLETED","Aurora","Frontier",0,0.00064232,34705.8,36437.2,0.00064232,34705.8,1731.35,"0.00:0.00:0.77:0.00:0.00:0.81","None"
83,"COMPLETED","Frontier","Frontier",0,0.000609265,0.000609265,299.285,0.000609265,0,299.285,"0.00:0.00:0.85:0.00:0.00:0.89","None"
84,"COMPLETED","Frontier","Frontier",0,0.000677315,10505,12581.8,0.000677315,10505,2076.76,"0.00:0.00:0.85:0.00:0.00:0.96","None"
85,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000660942,1088.8,1112.4,0.000660942,1088.8,23.5995,"0.00:0.87:0.83:0.00:0.00:0.92","None"
86,"COMPLETED","Aurora","Aurora",0,0.000612655,0.000612655,1181.83,0.000612655,0,1181.83,"0.00:0.00:0.88:0.00:0.00:0.85","None"
87,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,0.00065717,5082,7234.8,0.00065717,5082,2152.8,"0.00:0.93:0.86:0.00:0.00:0.86","None"
88,"COMPLETED","Frontier","Frontier",0,0.000660133,1030.87,1088.8,0.000660133,1030.87,57.9261,"0.00:0.00:0.85:0.00:0.00:0.96","None"
89,"COMPLETED","Aurora","Aurora",0,0.000658169,1181.83,1460.77,0.000658169,1181.83,278.942,"0.00:0.88:0.89:0.00:0.00:0.86","None"
90,"COMPLETED","Perlmutter-Phase-1","Aurora",0,0.000659681,1691.54,2007.12,0.000659681,1691.54,315.577,"0.00:0.83:0.92:0.00:0.00:0.86","None"
91,"COMPLETED","Perlmutter-Phase-1","Aurora",0,0.000637115,1229.42,1563.46,0.000637115,1229.42,334.038,"0.00:0.80:0.91:0.00:0.00:0.85","None"
92,"COMPLETED","Frontier","Frontier",0,0.000489531,9055.78,10555.4,0.000489531,9055.78,1499.64,"0.00:0.00:0.00:0.00:0.00:0.93","None"
