JobId,FinalStatus,SubmittedTo,ScheduledOn,NodeList,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","1-192:258",19.026,19.0304,19.0304,570.051,0.00435753,0,551.02,"0.77:0.76:0.70:0.77:0.73:0.77","None"
2,"COMPLETED","Frontier","Frontier","1-2519:4097-4103:5088-5096:5248-5282",25.849,25.8497,25.8497,5528.83,0.000662535,0,5502.98,"0.00:0.75:0.00:0.75:0.00:0.00","None"
3,"COMPLETED","Aurora","Aurora","1-193:258",63.393,63.3936,63.3936,647.394,0.000643535,0,584,"0.00:0.84:0.00:0.77:0.73:0.00","None"
4,"COMPLETED","Aurora","Aurora","194-257:259-1779:2049-2051:2352-2355:2358-2361",71.365,71.3655,71.3655,5871.37,0.000524535,0,5800,"0.00:0.81:0.00:0.72:0.00:0.00","None"
5,"COMPLETED","Aurora","Aurora","1780-1806",77.794,77.7946,77.7946,789.795,0.000642535,0,712,"0.00:0.84:0.00:0.77:0.76:0.00","None"
6,"COMPLETED","Frontier","Aurora","1807-2048:2052-2295:4097-4103",114.232,114.233,114.233,5666.23,0.000518535,0,5552,"0.00:0.80:0.00:0.80:0.77:0.00","None"
7,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","193-257:259-766:1025:1110-1111",116.67,116.671,116.671,11945.2,0.000599499,0,11828.6,"0.64:0.75:0.00:0.75:0.71:0.79","None"
8,"COMPLETED","Perlmutter-Phase-1","Frontier","2520-3041",149.162,149.163,149.163,11605.7,0.000602535,0,11456.5,"0.00:0.80:0.00:0.83:0.73:0.00","None"
9,"COMPLETED","Perlmutter-Phase-1","Frontier","3042-3211",150.621,150.622,150.622,515.342,0.000640392,0,364.72,"0.72:0.76:0.65:0.80:0.73:0.77","None"
10,"COMPLETED","Frontier","Frontier","3212-4096:4104-5087:5097-5247:5283-5433:8193-8206",151.278,151.279,151.279,4699.55,0.000609535,0,4548.27,"0.00:0.74:0.00:0.76:0.00:0.00","None"
11,"COMPLETED","Crux","Andes","1-46",251.815,251.816,251.816,3401.82,0.000635519,0,3150,"0.83:0.77:0.80:0.77:0.76:0.79","None"
12,"COMPLETED","Perlmutter-Phase-2","Aurora","2296-2351:2356-2357:2362-3928:5082-5098",252.044,252.045,252.045,4148.04,0.000599535,0,3896,"0.00:0.72:0.00:0.72:0.00:0.66","None"
13,"COMPLETED","Perlmutter-Phase-1","Frontier","5434-5467",255.636,255.637,255.637,1489.25,0.000605535,0,1233.61,"0.74:0.74:0.73:0.79:0.73:0.76","None"
14,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","767-1024:1026-1109:1112-1488:2049-2051:2358-2361",288.843,288.844,288.844,18380.7,0.000601535,0,18091.8,"0.00:0.74:0.00:0.73:0.70:0.77","None"
15,"COMPLETED","Perlmutter-Phase-1","Aurora","3929-4096:4104-4880:8193-8206",318.927,318.928,318.928,6758.93,0.000592535,0,6440,"0.00:0.77:0.00:0.72:0.69:0.00","None"
16,"COMPLETED","Perlmutter-Phase-1","Aurora","4881-5081:5099-5469:10268-10302",325.208,325.209,325.209,7205.21,0.000590352,0,6880,"0.00:0.78:0.00:0.74:0.72:0.00","None"
17,"COMPLETED","Frontier","Aurora","5470-7325",327.919,327.92,327.92,6183.92,0.000535352,0,5856,"0.00:0.73:0.00:0.71:0.00:0.00","None"
18,"COMPLETED","Perlmutter-Phase-2","Frontier","5468-5698",357.981,357.982,357.982,2417.58,0.000706535,0,2059.59,"0.75:0.75:0.68:0.76:0.72:0.75","None"
19,"COMPLETED","Frontier","Frontier","5699-6477",416.768,416.769,416.769,7217.72,0.000633535,0,6800.95,"0.00:0.75:0.00:0.77:0.67:0.00","None"
20,"COMPLETED","Frontier","Frontier","6478-6993",425.071,425.072,425.072,7740.92,0.000631535,0,7315.85,"0.00:0.77:0.00:0.80:0.73:0.00","None"
21,"COMPLETED","Frontier","Frontier","6994-7907",475.264,475.265,475.265,6321.51,0.000689535,0,5846.25,"0.00:0.69:0.00:0.72:0.63:0.67","None"
22,"COMPLETED","Perlmutter-Phase-2","Aurora","7326-8192:8207-9575",507.184,507.193,507.193,4107.19,0.00853027,0,3600,"0.00:0.64:0.00:0.39:0.00:0.42","None"
23,"COMPLETED","Frontier","Frontier","3042-3211:7908-8192:8207-9337",522.864,522.865,522.865,7463.27,0.000617535,0,6940.41,"0.00:0.41:0.00:0.66:0.00:0.00","None"
24,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2","1489-1895",533.272,533.276,533.276,16145.5,0.00353112,0,15612.2,"0.66:0.67:0.00:0.36:0.73:0.77","None"
25,"COMPLETED","Frontier","Perlmutter-Phase-1","1-183:258",551.695,551.696,551.696,1605.35,0.000609535,0,1053.66,"0.00:0.75:0.00:0.39:0.81:0.00","None"
26,"COMPLETED","Frontier","Aurora","9576-10258",601.792,601.796,601.796,5233.8,0.00361053,0,4632,"0.00:0.68:0.00:0.35:0.67:0.00","None"
27,"COMPLETED","Frontier","Perlmutter-Phase-2","1-192:258:1896-2048:2052-2357:2362-2686",678.159,678.16,678.16,16896.5,0.000614535,0,16218.4,"0.00:0.37:0.00:0.36:0.62:0.66","None"
28,"COMPLETED","Frontier","Perlmutter-Phase-1","1-1533",701.187,701.191,1605.35,12515.1,0.00358335,904.164,10909.8,"0.00:0.35:0.00:0.34:0.61:0.00","None"
29,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","1-1324",939.142,939.143,12515.1,25268.8,0.000601535,11576,12753.7,"0.00:0.32:0.00:0.31:0.44:0.33","None"
30,"COMPLETED","Aurora","Andes","47-623",941.905,941.906,941.906,47141.9,0.000620392,0,46200,"0.64:0.42:0.00:0.35:0.54:0.50","None"
31,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","1-1442",974.993,974.994,25268.8,39163.9,0.000643535,24293.8,13895.1,"0.00:0.33:0.00:0.32:0.40:0.34","None"
32,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","1-2773",1009.84,1009.84,29639.9,40843.9,0.000649535,28630,11204.1,"0.00:0.30:0.00:0.30:0.00:0.31","None"
33,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","1-901:1025:1110-1111",1183.55,1183.55,39163.9,59885.8,0.000610535,37980.3,20722,"0.00:0.44:0.00:0.35:0.48:0.00","None"
34,"COMPLETED","Perlmutter-Phase-1","Aurora","1-193:258:1780-1806:10259-10267:10303-10429",1218.9,1218.9,1218.9,8890.9,0.000623535,0,7672,"0.00:0.68:0.00:0.48:0.58:0.00","None"
35,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","1-914:1025:1110-1111",1238.26,1238.26,59885.8,77161.5,0.000774535,58647.6,17275.6,"0.00:0.31:0.00:0.36:0.42:0.36","None"
36,"COMPLETED","Aurora","Perlmutter-Phase-1","1-1192",1268.96,1268.97,77161.5,92988.3,0.000609535,75892.5,15826.8,"0.00:0.29:0.00:0.34:0.40:0.33","None"
