JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",19.026,31.7297,31.7297,582.75,12.7037,0,551.02,"0.91:0.70:0.92:0.70:0.88:0.93","None"
2,"COMPLETED","Frontier","Frontier",25.849,40.1674,40.1674,5543.15,14.3184,0,5502.98,"0.00:0.80:0.00:0.93:0.00:0.00","None"
3,"COMPLETED","Aurora","Aurora",63.393,75.0703,75.0703,659.07,11.6773,0,584,"0.00:0.95:0.00:0.78:0.78:0.00","None"
4,"COMPLETED","Aurora","Aurora",71.365,84.4283,84.4283,5884.43,13.0633,0,5800,"0.00:0.93:0.00:0.78:0.00:0.00","None"
5,"COMPLETED","Aurora","Aurora",77.794,92.1141,92.1141,804.114,14.3201,0,712,"0.00:0.96:0.00:0.74:0.78:0.00","None"
6,"COMPLETED","Frontier","Frontier",114.232,128.747,128.747,7573.32,14.5152,0,7444.58,"0.00:0.88:0.00:0.93:0.91:0.00","None"
7,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",116.67,131.888,131.888,11960.5,15.2183,0,11828.6,"0.65:0.75:0.00:0.85:0.90:0.91","None"
8,"COMPLETED","Perlmutter-Phase-1","Frontier",149.162,163.116,163.116,11619.6,13.9541,0,11456.5,"0.00:0.88:0.00:0.93:0.88:0.00","None"
9,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",150.621,165.146,165.146,911.487,14.5247,0,746.341,"0.65:0.80:0.60:0.82:0.88:0.84","None"
10,"COMPLETED","Frontier","Frontier",151.278,166.459,166.459,4714.73,15.1806,0,4548.27,"0.00:0.81:0.00:0.88:0.00:0.00","None"
11,"COMPLETED","Crux","Andes",251.815,265.125,265.125,3415.13,13.3102,0,3150,"0.97:0.75:0.95:0.75:0.65:0.84","None"
12,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",252.044,265.859,265.859,9210.76,13.8152,0,8944.9,"0.00:0.73:0.00:0.73:0.00:0.85","None"
13,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",255.636,270.129,270.129,2382.37,14.4928,0,2112.24,"0.60:0.77:0.75:0.82:0.84:0.89","None"
14,"COMPLETED","Perlmutter-Phase-2","Frontier",288.843,302.785,302.785,10868.9,13.9419,0,10566.2,"0.00:0.80:0.00:0.82:0.70:0.78","None"
15,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",318.927,334.466,334.466,18005.2,15.5388,0,17670.7,"0.00:0.80:0.00:0.78:0.88:0.00","None"
16,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",325.208,339.859,18005.2,36883.2,14.6508,17665.3,18878,"0.00:0.80:0.00:0.78:0.87:0.00","None"
17,"COMPLETED","Frontier","Frontier",327.919,343.029,343.029,8195.23,15.1095,0,7852.21,"0.00:0.77:0.00:0.93:0.00:0.00","None"
18,"COMPLETED","Perlmutter-Phase-2","Crux",357.981,373.061,373.061,3829.06,15.0804,0,3456,"0.80:0.65:0.92:0.75:0.65:0.81","None"
19,"COMPLETED","Frontier","Frontier",416.768,432.428,432.428,7233.38,15.6597,0,6800.95,"0.00:0.80:0.00:0.88:0.33:0.00","None"
20,"COMPLETED","Frontier","Frontier",425.071,438.651,4714.73,12030.6,13.5802,4276.08,7315.85,"0.00:0.84:0.00:0.92:0.73:0.00","None"
21,"COMPLETED","Frontier","Aurora",475.264,491.991,491.991,4851.99,16.7266,0,4360,"0.00:0.75:0.00:0.68:0.53:0.45","None"
22,"COMPLETED","Perlmutter-Phase-2","Aurora",507.184,522.579,522.579,4122.58,15.3951,0,3600,"0.00:0.63:0.00:0.30:0.00:0.47","None"
23,"COMPLETED","Frontier","Aurora",522.864,539.69,539.69,5715.69,16.8264,0,5176,"0.00:0.81:0.00:0.48:0.00:0.00","None"
24,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",533.272,548.012,548.012,16160.3,14.7404,0,15612.2,"0.32:0.75:0.00:0.75:0.78:0.88","None"
25,"COMPLETED","Frontier","Frontier",551.695,565.445,565.445,1080.34,13.7499,0,514.899,"0.00:0.84:0.00:0.93:0.91:0.00","None"
26,"COMPLETED","Frontier","Frontier",601.792,616.791,4714.73,10925.7,14.9992,4097.94,6210.97,"0.00:0.77:0.00:0.78:0.47:0.00","None"
27,"COMPLETED","Frontier","Aurora",678.159,694.176,694.176,7758.18,16.0174,0,7064,"0.00:0.75:0.00:0.70:0.43:0.54","None"
28,"COMPLETED","Frontier","Aurora",701.187,717.598,717.598,4693.6,16.4111,0,3976,"0.00:0.93:0.00:0.45:0.33:0.00","None"
29,"COMPLETED","Perlmutter-Phase-1","Aurora",939.142,955.546,955.546,5603.55,16.4036,0,4648,"0.00:0.78:0.00:0.40:0.60:0.49","None"
30,"COMPLETED","Aurora","Aurora",941.905,957.353,4122.58,11514.6,15.4476,3165.23,7392,"0.68:0.85:0.00:0.60:0.82:0.77","None"
31,"COMPLETED","Perlmutter-Phase-1","Aurora",974.993,991.904,4122.58,9186.58,16.9109,3130.68,5064,"0.00:0.60:0.00:0.38:0.48:0.38","None"
32,"COMPLETED","Perlmutter-Phase-2","Frontier",1009.84,1030.98,5543.15,12086.7,21.14,4512.17,6543.5,"0.00:0.30:0.00:0.40:0.00:0.33","None"
33,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",1183.55,1199.24,18005.2,38727.1,15.6876,16806,20722,"0.00:0.55:0.00:0.55:0.62:0.00","None"
34,"COMPLETED","Perlmutter-Phase-1","Aurora",1218.9,1233.49,1233.49,8905.49,14.5878,0,7672,"0.00:0.81:0.00:0.78:0.72:0.00","None"
35,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",1238.26,1256.09,9210.76,23665.9,17.8298,7954.66,14455.1,"0.00:0.50:0.00:0.67:0.52:0.73","None"
36,"COMPLETED","Aurora","Frontier",1268.96,1284.54,7233.38,14967.6,15.5786,5948.84,7734.21,"0.00:0.40:0.00:0.50:0.42:0.47","None"
37,"COMPLETED","Aurora","Aurora",1307.39,1321.86,4851.99,10532,14.47,3530.13,5680,"0.00:0.58:0.00:0.33:0.00:0.00","None"
38,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",1357.03,1373.13,9210.76,23151.6,16.0982,7837.63,13940.8,"0.00:0.40:0.00:0.33:0.30:0.50","None"
39,"COMPLETED","Frontier","Frontier",1428.76,1443.5,7573.32,14063.2,14.7428,6129.82,6489.87,"0.00:0.63:0.00:0.72:0.68:0.00","None"
40,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",1480.38,1495.78,1495.78,4788.46,15.3962,0,3292.68,"0.00:0.73:0.00:0.73:0.92:0.00","None"
41,"COMPLETED","Perlmutter-Phase-1","Aurora",1895.99,1913.41,5603.55,9963.55,17.4118,3690.14,4360,"0.00:0.55:0.00:0.49:0.54:0.00","None"
42,"COMPLETED","Crux","Perlmutter-Phase-1",2102.57,2117.27,2117.27,5585.56,14.701,0,3468.29,"0.78:0.70:0.60:0.85:0.90:0.88","None"
43,"COMPLETED","Aurora","Perlmutter-Phase-2",2146.28,2162.88,16160.3,30082.7,16.5984,13997.4,13922.4,"0.00:0.35:0.00:0.45:0.38:0.62","None"
44,"COMPLETED","Aurora","Perlmutter-Phase-2",2163.79,2181,23665.9,34851.6,17.2155,21484.9,11185.7,"0.00:0.40:0.00:0.30:0.28:0.46","None"
45,"COMPLETED","Frontier","Perlmutter-Phase-2",2193.3,2208.06,30082.7,40846,14.7606,27874.7,10763.3,"0.00:0.40:0.00:0.35:0.40:0.67","None"
46,"COMPLETED","Frontier","Frontier",2258.68,2274.41,2274.41,2703.5,15.7303,0,429.082,"0.00:0.70:0.00:0.88:0.62:0.00","None"
47,"COMPLETED","Frontier","Perlmutter-Phase-2",2506.18,2521.81,23151.6,36798.5,15.6308,20629.8,13646.9,"0.00:0.50:0.00:0.35:0.40:0.70","None"
48,"COMPLETED","Aurora","Aurora",2811.87,2828.74,5715.69,11051.7,16.8715,2886.95,5336,"0.00:0.50:0.00:0.38:0.48:0.37","None"
49,"COMPLETED","Frontier","Frontier",3063.68,3079.57,8195.23,16090.3,15.8876,5115.67,7895.11,"0.00:0.40:0.00:0.62:0.00:0.00","None"
50,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",3596.18,3612.18,34851.6,45302.6,15.9948,31239.4,10451,"0.00:0.45:0.00:0.37:0.45:0.62","None"
51,"COMPLETED","Perlmutter-Phase-2","Aurora",4778.9,4795.06,5884.43,10844.4,16.1655,1089.37,4960,"0.00:0.58:0.00:0.40:0.00:0.35","None"
52,"COMPLETED","Frontier","Perlmutter-Phase-2",9182.16,9199.12,40846,51664.3,16.9606,31646.9,10818.4,"0.00:0.67:0.00:0.50:0.52:0.70","None"
53,"COMPLETED","Aurora","Aurora",10313.8,10328.9,10328.9,16160.9,15.0799,0,5832,"0.00:0.92:0.00:0.43:0.47:0.00","None"
54,"COMPLETED","Frontier","Frontier",10477.7,10492.2,10492.2,11918.9,14.486,0,1426.7,"0.00:0.80:0.00:0.90:0.67:0.00","None"
55,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",11309.4,11326.1,11326.1,25597.5,16.6364,0,14271.4,"0.72:0.80:0.00:0.70:0.75:0.84","None"
56,"COMPLETED","Aurora","Aurora",11649.7,11665.6,11665.6,17729.6,15.9033,0,6064,"0.00:0.93:0.00:0.66:0.43:0.00","None"
57,"COMPLETED","Aurora","Perlmutter-Phase-1",13008,13022.6,13022.6,13856.8,14.5738,0,834.146,"0.72:0.77:0.55:0.82:0.83:0.82","None"
58,"COMPLETED","Andes","Crux",13408.1,13421.3,13421.3,14393.3,13.1667,0,972,"0.90:0.65:0.92:0.70:0.81:0.78","None"
59,"COMPLETED","Perlmutter-Phase-2","Aurora",13767.3,13783.3,13783.3,17743.3,15.9981,0,3960,"0.00:0.75:0.00:0.75:0.45:0.36","None"
60,"COMPLETED","Perlmutter-Phase-1","Aurora",13831.7,13847.1,13847.1,18319.1,15.353,0,4472,"0.00:0.77:0.00:0.73:0.40:0.73","None"
61,"COMPLETED","Frontier","Frontier",14032.3,14047.3,14047.3,21631.4,15.0246,0,7584.03,"0.00:0.75:0.00:0.85:0.60:0.62","None"
62,"COMPLETED","Perlmutter-Phase-1","Aurora",14041.2,14055.9,14055.9,20167.9,14.605,0,6112,"0.00:0.80:0.00:0.68:0.70:0.00","None"
63,"COMPLETED","Perlmutter-Phase-1","Frontier",14107.6,14123.1,14123.1,23198.2,15.4415,0,9075.09,"0.00:0.93:0.00:0.93:0.50:0.00","None"
64,"COMPLETED","Frontier","Frontier",14111.7,14126.2,14126.2,20294.3,14.4625,0,6168.06,"0.00:0.73:0.00:0.82:0.50:0.72","None"
65,"COMPLETED","Perlmutter-Phase-2","Frontier",14128.4,14145.1,14145.1,21557.5,16.6911,0,7412.4,"0.00:0.73:0.00:0.75:0.45:0.50","None"
66,"COMPLETED","Aurora","Aurora",14195.7,14210.8,14210.8,19754.8,15.0568,0,5544,"0.00:0.93:0.00:0.78:0.58:0.00","None"
67,"COMPLETED","Andes","Perlmutter-Phase-2",14219.2,14234.6,34851.6,49582.2,15.4573,20617,14730.6,"0.62:0.75:0.00:0.85:0.60:0.85","None"
68,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",14250.2,14265.5,14265.5,15000.2,15.3176,0,734.694,"0.57:0.77:0.55:0.85:0.80:0.86","None"
69,"COMPLETED","Perlmutter-Phase-2","Frontier",14259.2,14274.1,14274.1,22373,14.9216,0,8098.93,"0.00:0.67:0.00:0.75:0.40:0.60","None"
70,"COMPLETED","Frontier","Frontier",14261.6,14277,14277,19308,15.3357,0,5030.99,"0.00:0.80:0.00:0.88:0.50:0.00","None"
71,"COMPLETED","Frontier","Frontier",14263.5,14279.5,14967.6,21006.9,16.0057,688.078,6039.33,"0.00:0.90:0.00:0.93:0.72:0.00","None"
72,"COMPLETED","Perlmutter-Phase-2","Aurora",14265.1,14281.1,14281.1,20953.1,15.9908,0,6672,"0.60:0.77:0.00:0.75:0.59:0.52","None"
73,"COMPLETED","Aurora","Frontier",14344.5,14360.1,14360.1,16087.2,15.5707,0,1727.06,"0.00:0.88:0.00:0.93:0.88:0.00","None"
74,"COMPLETED","Perlmutter-Phase-1","Aurora",14403.7,14420.1,14420.1,19084.1,16.3686,0,4664,"0.00:0.80:0.00:0.60:0.50:0.00","None"
75,"COMPLETED","Perlmutter-Phase-1","Aurora",14533.1,14548.3,14548.3,22236.3,15.1702,0,7688,"0.00:0.73:0.00:0.50:0.50:0.64","None"
76,"COMPLETED","Andes","Aurora",14533.8,14548,14548,21156,14.1692,0,6608,"0.60:0.73:0.00:0.57:0.65:0.70","None"
77,"COMPLETED","Perlmutter-Phase-1","Aurora",14546.1,14561.9,14561.9,21297.9,15.8426,0,6736,"0.00:0.78:0.00:0.70:0.47:0.00","None"
78,"COMPLETED","Aurora","Aurora",14560.6,14578.6,17729.6,22129.6,18.0261,3150.99,4400,"0.00:0.88:0.00:0.53:0.00:0.00","None"
