JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",0,0.000641486,0.000641486,1003.2,0.000641486,0,1003.2,"0.67:0.76:0.00:0.77:0.73:0.81","None"
2,"COMPLETED","Andes","Frontier",0,0.000694954,0.000694954,937.545,0.000694954,0,937.545,"0.64:0.76:0.00:0.80:0.68:0.75","None"
3,"COMPLETED","Andes","Frontier",0,0.000635486,0.000635486,789.512,0.000635486,0,789.511,"0.67:0.76:0.00:0.76:0.66:0.74","None"
4,"COMPLETED","Aurora","Aurora",0,0.000617486,0.000617486,233.654,0.000617486,0,233.654,"0.00:0.83:0.00:0.60:0.46:0.00","None"
5,"COMPLETED","Aurora","Aurora",0,0.000703486,0.000703486,259.039,0.000703486,0,259.038,"0.00:0.83:0.00:0.60:0.47:0.00","None"
6,"COMPLETED","Perlmutter-Phase-2","Aurora",0,0.000653486,0.000653486,150.001,0.000653486,0,150,"0.00:0.71:0.00:0.71:0.00:0.69","None"
7,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.00354149,0.00354149,611.446,0.00354149,0,611.442,"0.00:0.75:0.00:0.79:0.63:0.72","None"
8,"COMPLETED","Frontier","Perlmutter-Phase-2",0,0.000727954,0.000727954,967.201,0.000727954,0,967.2,"0.65:0.76:0.00:0.76:0.72:0.80","None"
9,"COMPLETED","Frontier","Frontier",0,0.000678954,0.000678954,1250.78,0.000678954,0,1250.77,"0.00:0.81:0.00:0.84:0.74:0.00","None"
10,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,0.000672954,0.000672954,770.401,0.000672954,0,770.4,"0.00:0.64:0.00:0.60:0.69:0.00","None"
11,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000717486,0.000717486,93.3261,0.000717486,0,93.3254,"0.71:0.76:0.64:0.81:0.72:0.77","None"
12,"COMPLETED","Aurora","Frontier",0,0.000619663,0.000619663,582.48,0.000619663,0,582.479,"0.00:0.77:0.00:0.80:0.00:0.00","None"
13,"COMPLETED","Perlmutter-Phase-2","Frontier",0,0.000660954,0.000660954,740.168,0.000660954,0,740.167,"0.00:0.74:0.00:0.78:0.61:0.70","None"
14,"COMPLETED","Frontier","Aurora",0,0.0155708,0.0155708,142.516,0.0155708,0,142.5,"0.00:0.79:0.00:0.79:0.71:0.00","None"
15,"COMPLETED","Frontier","Frontier",0,0.00663549,0.00663549,71.8779,0.00663549,0,71.8713,"0.00:0.68:0.00:0.81:0.57:0.00","None"
16,"COMPLETED","Frontier","Frontier",125.941,125.942,125.942,708.421,0.000617535,0,582.479,"0.00:0.73:0.00:0.75:0.36:0.70","None"
17,"COMPLETED","Aurora","Frontier",1288.63,1288.63,1288.63,2131.78,0.000607267,0,843.147,"0.00:0.80:0.00:0.83:0.70:0.00","None"
18,"COMPLETED","Aurora","Aurora",3071.55,3071.55,3071.55,3281.26,0.000632535,0,209.712,"0.00:0.81:0.00:0.57:0.00:0.00","None"
19,"COMPLETED","Perlmutter-Phase-2","Frontier",4342.68,4342.68,4342.68,4958.41,0.000619535,0,615.733,"0.00:0.70:0.00:0.74:0.00:0.63","None"
20,"COMPLETED","Frontier","Aurora",4501.03,4501.04,4501.04,4655.08,0.00958635,0,154.038,"0.00:0.80:0.00:0.79:0.73:0.00","None"
21,"COMPLETED","Frontier","Frontier",4845.93,4845.93,4845.93,4907.08,0.00663953,0,61.1442,"0.00:0.79:0.00:0.83:0.77:0.00","None"
22,"COMPLETED","Frontier","Andes",4908.68,4908.7,4908.7,4944.7,0.0156565,0,36,"0.82:0.76:0.81:0.77:0.75:0.78","None"
23,"COMPLETED","Perlmutter-Phase-1","Frontier",5474.99,5475,5475,6161.53,0.000624535,0,686.532,"0.00:0.75:0.00:0.75:0.64:0.72","None"
24,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",6209.07,6209.07,6209.07,6837.87,0.000623535,0,628.8,"0.00:0.74:0.00:0.74:0.66:0.75","None"
25,"COMPLETED","Perlmutter-Phase-1","Frontier",6557.98,6557.99,6557.99,7510.55,0.0126224,0,952.563,"0.00:0.75:0.00:0.75:0.69:0.74","None"
26,"COMPLETED","Frontier","Frontier",6707.08,6707.08,6707.08,7843.08,0.000626535,0,1136,"0.00:0.66:0.00:0.80:0.49:0.00","None"
27,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",7492,7492,7492,8410,0.000621535,0,918,"0.00:0.65:0.00:0.58:0.68:0.00","None"
28,"COMPLETED","Aurora","Aurora",7564.55,7564.55,7564.55,7828.49,0.000671535,0,263.942,"0.00:0.84:0.00:0.62:0.41:0.00","None"
29,"COMPLETED","Crux","Perlmutter-Phase-2",9480.89,9480.89,9480.89,9540.89,0.000617535,0,60,"0.73:0.74:0.70:0.75:0.77:0.81","None"
30,"COMPLETED","Frontier","Perlmutter-Phase-2",9729.08,9729.08,9729.08,10456.3,0.000656535,0,727.2,"0.00:0.75:0.00:0.76:0.70:0.78","None"
31,"COMPLETED","Frontier","Frontier",10587.1,10587.1,10587.1,11172.8,0.000647535,0,585.697,"0.00:0.65:0.00:0.79:0.44:0.00","None"
32,"COMPLETED","Perlmutter-Phase-1","Frontier",11380,11380,11380,12105.2,0.000645392,0,725.149,"0.00:0.74:0.00:0.78:0.61:0.70","None"
33,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",11548.4,11548.4,11548.4,12568.4,0.00954412,0,1020,"0.63:0.76:0.00:0.76:0.71:0.79","None"
34,"COMPLETED","Perlmutter-Phase-2","Frontier",11831.8,11831.8,11831.8,12529.1,0.000642535,0,697.259,"0.00:0.74:0.00:0.77:0.60:0.67","None"
35,"COMPLETED","Aurora","Frontier",12008.3,12008.3,12008.3,12664.8,0.00840227,0,656.496,"0.00:0.80:0.00:0.82:0.71:0.00","None"
36,"COMPLETED","Perlmutter-Phase-2","Frontier",13875.5,13875.5,13875.5,14551.3,0.000606392,0,675.805,"0.69:0.76:0.00:0.76:0.67:0.74","None"
37,"COMPLETED","Perlmutter-Phase-2","Frontier",14040.4,14040.4,14040.4,14917.8,0.000687535,0,877.473,"0.00:0.75:0.00:0.79:0.65:0.73","None"
38,"COMPLETED","Crux","Frontier",14204.6,14204.6,14204.6,14285,0.000681519,0,80.4529,"0.73:0.75:0.70:0.80:0.73:0.76","None"
39,"COMPLETED","Andes","Frontier",14212,14212,14212,15017.6,0.000627535,0,805.602,"0.64:0.76:0.00:0.80:0.68:0.75","None"
40,"COMPLETED","Frontier","Frontier",14400,14400,14400,15162.7,0.00662289,0,762.694,"0.00:0.81:0.00:0.84:0.75:0.00","None"
41,"COMPLETED","Perlmutter-Phase-1","Frontier",14400,14400,14400,14493.3,0.000732889,0,93.3254,"0.73:0.76:0.67:0.81:0.74:0.78","None"
42,"COMPLETED","Aurora","Aurora",14400,14400,14400,14414.4,0.00254608,0,14.4231,"0.00:0.84:0.00:0.62:0.57:0.00","None"
43,"COMPLETED","Frontier","Frontier",14400,14400,14400,14967.5,0.000664889,0,567.461,"0.00:0.64:0.00:0.78:0.42:0.00","None"
44,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",14400,14400,14400,14474.4,0.00344308,0,74.4,"0.00:0.79:0.00:0.80:0.83:0.00","None"
45,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",14524.1,14524.1,14524.1,15320.9,0.000661535,0,796.8,"0.00:0.65:0.00:0.56:0.67:0.00","None"
46,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",14627.1,14627.1,14627.1,14691.9,0.000667519,0,64.8,"0.73:0.75:0.68:0.75:0.72:0.82","None"
47,"COMPLETED","Perlmutter-Phase-2","Frontier",14698.9,14698.9,14698.9,15543.1,0.000691535,0,844.219,"0.00:0.76:0.00:0.79:0.35:0.75","None"
48,"COMPLETED","Frontier","Perlmutter-Phase-2",14803.8,14803.8,14803.8,15904.2,0.000615535,0,1100.4,"0.00:0.76:0.00:0.75:0.37:0.79","None"
49,"COMPLETED","Aurora","Frontier",15051.9,15051.9,15051.9,15581.9,0.000606535,0,529.917,"0.00:0.78:0.00:0.81:0.33:0.00","None"
50,"COMPLETED","Aurora","Aurora",15337.5,15337.5,15337.5,15528.5,0.000638535,0,190.962,"0.00:0.74:0.00:0.73:0.60:0.67","None"
51,"COMPLETED","Aurora","Frontier",16667.2,16667.2,16667.2,17422.4,0.000620352,0,755.185,"0.00:0.74:0.00:0.74:0.60:0.69","None"
52,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",16895.1,16895.1,16895.1,17589.9,0.000679535,0,694.8,"0.00:0.74:0.00:0.73:0.65:0.75","None"
53,"COMPLETED","Perlmutter-Phase-1","Aurora",17104.4,17104.4,17104.4,17287.9,0.000599535,0,183.462,"0.00:0.80:0.00:0.79:0.75:0.00","None"
54,"COMPLETED","Frontier","Frontier",17182.3,17182.3,17182.3,17907.5,0.0126595,0,725.149,"0.00:0.80:0.00:0.83:0.73:0.00","None"
55,"COMPLETED","Andes","Perlmutter-Phase-2",17325.4,17325.4,17325.4,18297.4,0.000599392,0,972,"0.66:0.76:0.00:0.76:0.73:0.78","None"
56,"COMPLETED","Perlmutter-Phase-1","Aurora",17399.2,17399.2,17399.2,17653.4,0.000643392,0,254.135,"0.00:0.75:0.00:0.74:0.67:0.70","None"
57,"COMPLETED","Frontier","Frontier",17564.1,17564.1,17564.1,17655.3,0.000631535,0,91.18,"0.00:0.67:0.00:0.81:0.58:0.00","None"
58,"COMPLETED","Frontier","Frontier",18596.4,18596.4,18596.4,19249.7,0.000656535,0,653.278,"0.00:0.74:0.00:0.78:0.62:0.70","None"
59,"COMPLETED","Perlmutter-Phase-1","Frontier",18755.9,18755.9,18755.9,19729.9,0.000608535,0,974.017,"0.00:0.76:0.00:0.80:0.66:0.74","None"
60,"COMPLETED","Perlmutter-Phase-1","Frontier",21587.8,21587.8,21587.8,21642.5,0.000647535,0,54.708,"0.70:0.76:0.62:0.81:0.72:0.77","None"
61,"COMPLETED","Aurora","Frontier",22646.7,22646.7,22646.7,23647.5,0.000586535,0,1000.83,"0.00:0.81:0.00:0.81:0.77:0.00","None"
62,"COMPLETED","Frontier","Perlmutter-Phase-2",24408.1,24408.1,24408.1,25321.3,0.000705392,0,913.2,"0.66:0.76:0.00:0.76:0.74:0.81","None"
63,"COMPLETED","Perlmutter-Phase-1","Frontier",29544,29544,29544,30330.2,0.000606352,0,786.293,"0.00:0.79:0.00:0.79:0.72:0.00","None"
64,"COMPLETED","Perlmutter-Phase-1","Frontier",53807.9,53807.9,53807.9,54011.7,0.000668535,0,203.814,"0.00:0.80:0.00:0.84:0.79:0.00","None"
65,"COMPLETED","Aurora","Aurora",53905.6,53905.6,53905.6,54129.8,0.000634535,0,224.135,"0.00:0.81:0.00:0.57:0.40:0.00","None"
66,"COMPLETED","Perlmutter-Phase-1","Aurora",54354.9,54354.9,54354.9,54620.6,0.000645535,0,265.673,"0.00:0.80:0.00:0.80:0.74:0.00","None"
67,"COMPLETED","Frontier","Frontier",56300.1,56300.1,56300.1,57729,0.000629535,0,1428.84,"0.00:0.81:0.00:0.81:0.80:0.00","None"
