JobId,FinalStatus,SubmittedTo,ScheduledOn,NodeList,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Frontier","1-198:258:5248-5282",68.165,68.1653,68.1653,786.878,0.000294535,0,718.713,"0.00:0.66:0.00:0.76:0.65:0.00","None"
2,"COMPLETED","Aurora","Aurora","1-736:1025:1104-1105:1110-1111",77.794,77.7943,77.7943,7261.79,0.000292535,0,7184,"0.00:0.76:0.00:0.66:0.63:0.00","None"
3,"COMPLETED","Frontier","Frontier","199-257:259-353:542",168.541,168.541,168.541,779.983,0.000282535,0,611.442,"0.00:0.73:0.00:0.76:0.71:0.00","None"
4,"COMPLETED","Andes","Perlmutter-Phase-1","1-701:1025:1110-1111",180.533,180.533,180.533,16336.6,0.000252535,0,16156.1,"0.71:0.69:0.00:0.70:0.71:0.71","None"
5,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","1-416:542",214.137,214.137,214.137,15569.2,0.000258535,0,15355.1,"0.71:0.69:0.00:0.70:0.58:0.71","None"
6,"COMPLETED","Aurora","Aurora","737-1024:1026-1103:1106-1109:1112-2261:2352-2355:2358-2361:4097-4103",251.815,251.815,251.815,6467.82,0.000295535,0,6216,"0.00:0.74:0.00:0.63:0.24:0.00","None"
7,"COMPLETED","Perlmutter-Phase-1","Frontier","354-541:543-1208:2049-2051:2358-2361",267.252,267.252,267.252,9792.88,0.000252535,0,9525.63,"0.00:0.65:0.00:0.70:0.33:0.67","None"
8,"COMPLETED","Frontier","Frontier","1209-2048:2052-2296:4097-4103",274.348,274.348,274.348,5573.51,0.000253535,0,5299.17,"0.00:0.65:0.00:0.67:0.26:0.00","None"
9,"COMPLETED","Perlmutter-Phase-1","Aurora","2262-2351:2356-2357:2362-3245:5082-5098",289.72,289.72,289.72,4849.72,0.000277535,0,4560,"0.00:0.69:0.00:0.67:0.28:0.67","None"
10,"COMPLETED","Andes","Andes","1-568",296.318,296.318,296.318,43996.3,0.000279535,0,43700,"0.71:0.66:0.00:0.67:0.58:0.67","None"
11,"COMPLETED","Perlmutter-Phase-2","Frontier","2297-2357:2362-3691:5088-5096",309.45,309.45,309.45,7711.12,0.000276535,0,7401.67,"0.00:0.66:0.00:0.68:0.30:0.67","None"
12,"COMPLETED","Frontier","Perlmutter-Phase-2","417-541:543-896:1025:1110-1111",347.518,347.518,347.518,15151.6,0.000253535,0,14804.1,"0.30:0.62:0.00:0.60:0.58:0.67","None"
13,"COMPLETED","Perlmutter-Phase-1","Crux","1-226",349.812,349.812,349.812,1267.81,0.000277535,0,918,"0.11:0.65:0.71:0.63:0.58:0.63","None"
14,"COMPLETED","Frontier","Perlmutter-Phase-2","897-927",403.753,403.753,403.753,954.774,0.000252535,0,551.02,"0.47:0.62:0.11:0.60:0.58:0.63","None"
15,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","928-1024:1026-1109:1112-2135:2358-2361",414.98,414.98,414.98,10039.5,0.000254535,0,9624.49,"0.00:0.62:0.00:0.60:0.27:0.62","None"
16,"COMPLETED","Frontier","Aurora","3246-3736",477.918,477.918,477.918,9805.92,0.000254535,0,9328,"0.00:0.66:0.00:0.65:0.58:0.00","None"
17,"COMPLETED","Perlmutter-Phase-1","Aurora","3737-4096:4104-4891:8193-8206",577.401,577.401,577.401,5985.4,0.000276535,0,5408,"0.00:0.65:0.00:0.64:0.30:0.24","None"
18,"COMPLETED","Perlmutter-Phase-2","Frontier","3692-4096:4104-5087:5097-5247:5283-6439:8193-8206",616.788,616.788,616.788,6774.12,0.000275535,0,6157.33,"0.00:0.61:0.00:0.63:0.00:0.18","None"
19,"COMPLETED","Perlmutter-Phase-1","Aurora","4892-5081:5099-5733:10268-10302",637.642,637.642,637.642,5773.64,0.000298535,0,5136,"0.00:0.56:0.00:0.45:0.29:0.00","None"
20,"COMPLETED","Perlmutter-Phase-1","Aurora","5734-5917",791.023,791.023,791.023,1487.02,0.000281535,0,696,"0.11:0.58:0.24:0.55:0.58:0.51","None"
21,"COMPLETED","Frontier","Aurora","5918-6765",841.463,841.463,841.463,5185.46,0.000256535,0,4344,"0.00:0.58:0.00:0.56:0.27:0.51","None"
22,"COMPLETED","Perlmutter-Phase-2","Frontier","1-353:542:5248-5282:6440-8192:8207-9034",1137.79,1137.79,1137.79,6715.86,0.000257535,0,5578.07,"0.00:0.52:0.00:0.52:0.00:0.17","None"
23,"COMPLETED","Frontier","Perlmutter-Phase-1","702-1024:1026-1109:1112-1324",1162.76,1162.76,1162.76,24409.1,0.000296535,0,23246.3,"0.00:0.48:0.00:0.21:0.48:0.00","None"
24,"COMPLETED","Perlmutter-Phase-1","Aurora","6766-7894",1200.33,1200.33,1200.33,7320.33,0.000306535,0,6120,"0.00:0.48:0.00:0.07:0.15:0.00","None"
25,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2","897-927:2136-2357:2362-3025",1251.78,1251.78,1251.78,13006.9,0.000256535,0,11755.1,"0.00:0.49:0.00:0.11:0.13:0.51","None"
26,"COMPLETED","Aurora","Aurora","7895-8192:8207-8719",1268.96,1268.97,1268.97,7556.97,0.000279535,0,6288,"0.00:0.53:0.00:0.18:0.20:0.00","None"
27,"COMPLETED","Aurora","Aurora","2262-2351:2356-2357:2362-3245:5082-5098:8904-10001",1307.39,1307.39,4849.72,9193.72,0.000278535,3542.33,4344,"0.00:0.15:0.00:0.14:0.00:0.00","None"
28,"COMPLETED","Frontier","Perlmutter-Phase-1","1-701:1025:1110-1111:1325-1502",1726.46,1726.46,16336.6,28058.6,0.000257535,14610.2,11722,"0.00:0.12:0.00:0.09:0.15:0.00","None"
29,"COMPLETED","Aurora","Aurora","5918-6738",2102.57,2102.57,5185.46,11665.5,0.000303535,3082.89,6480,"0.00:0.19:0.00:0.09:0.05:0.00","None"
30,"COMPLETED","Aurora","Aurora","5734-5917:8720-8903",2146.28,2146.29,2146.29,9466.29,0.000295535,0,7320,"0.00:0.52:0.00:0.37:0.05:0.00","None"
31,"COMPLETED","Aurora","Aurora","3737-4096:4104-5081:5099-5297:8193-8206:10268-10302",2163.79,2163.79,5985.4,11801.4,0.000294535,3821.61,5816,"0.00:0.16:0.00:0.04:0.00:0.00","None"
32,"COMPLETED","Crux","Crux","1-63",6203.04,6203.04,6203.04,7103.04,0.000266535,0,900,"0.47:0.44:0.71:0.46:0.46:0.05","None"
33,"COMPLETED","Andes","Frontier","1-353:542:1209-1226:5248-5282",9729.08,9729.08,9729.08,18418,0.000255535,0,8688.92,"0.32:0.63:0.00:0.69:0.17:0.23","None"
34,"COMPLETED","Andes","Frontier","354-541:543-881:1025:1110-1111",10587.1,10587.1,10587.1,18643.1,0.000279535,0,8056.02,"0.32:0.68:0.00:0.74:0.16:0.54","None"
35,"COMPLETED","Perlmutter-Phase-2","Frontier","882-1024:1026-1109:1112-1208:1227-1498:2049-2051:2358-2361",11548.4,11548.4,11548.4,18306.5,0.000262535,0,6758.05,"0.30:0.65:0.00:0.68:0.14:0.54","None"
36,"COMPLETED","Perlmutter-Phase-2","Aurora","1-763:1025:1104-1105:1110-1111",11831.8,11831.8,11831.8,18375.8,0.000279535,0,6544,"0.00:0.75:0.00:0.70:0.15:0.54","None"
37,"COMPLETED","Aurora","Aurora","764-920",12008.3,12008.3,12008.3,12408.3,0.000290535,0,400,"0.00:0.74:0.00:0.60:0.36:0.00","None"
38,"COMPLETED","Perlmutter-Phase-1","Aurora","764-1024:1026-1103:1106-1109:1112-1427:2049-2051:2352-2355:2358-2361",12674.7,12674.7,12674.7,19474.7,0.000253535,0,6800,"0.34:0.69:0.00:0.67:0.16:0.54","None"
39,"COMPLETED","Perlmutter-Phase-1","Aurora","1428-1441",13962.9,13962.9,13962.9,14458.9,0.000259535,0,496,"0.00:0.67:0.00:0.67:0.46:0.00","None"
40,"COMPLETED","Perlmutter-Phase-2","Aurora","1442-2048:2052-2351:2356-2357:2362-2961:4097-4103:5082-5098",14005.9,14005.9,14005.9,19205.9,0.000277535,0,5200,"0.00:0.71:0.00:0.70:0.13:0.63","None"
41,"COMPLETED","Frontier","Frontier","1499-2048:2052-2357:2362-2602:4097-4103:5088-5096",14119.9,14119.9,14119.9,20652.7,0.000282535,0,6532.78,"0.00:0.67:0.00:0.70:0.13:0.63","None"
42,"COMPLETED","Aurora","Frontier","2603-3096",14204.6,14204.6,14204.6,24212.9,0.000252535,0,10008.3,"0.00:0.63:0.00:0.63:0.20:0.00","None"
43,"COMPLETED","Frontier","Frontier","3097-3227",14212,14212,14212,15123.8,0.000295535,0,911.8,"0.00:0.61:0.00:0.65:0.37:0.00","None"
44,"COMPLETED","Frontier","Aurora","2962-3381",14338.4,14338.4,14338.4,20426.4,0.000256535,0,6088,"0.33:0.63:0.00:0.61:0.17:0.63","None"
