JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Frontier",0,0.000400643,0.000400643,163.052,0.000400643,0,163.051,"0.00:0.00:0.00:0.92:0.00:0.92","None"
2,"COMPLETED","Crux","Frontier",0,0.000409053,421.574,446.246,0.000409053,421.573,24.6722,"0.92:0.92:0.92:0.96:0.92:0.96","None"
3,"COMPLETED","Aurora","Frontier",0,0.000407277,297.14,350.775,0.000407277,297.139,53.6353,"0.00:0.00:0.92:0.96:0.00:0.97","None"
4,"COMPLETED","Andes","Crux",0,0.00040622,481.2,583.2,0.00040622,481.2,102,"0.92:0.92:0.92:0.92:0.92:0.92","None"
5,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000409746,821.693,1538.26,0.000409746,821.692,716.567,"0.00:0.00:0.92:0.91:0.00:0.93","None"
6,"COMPLETED","Frontier","Frontier",0,0.000408766,117.998,335.757,0.000408766,117.998,217.759,"0.00:0.00:0.92:0.96:0.00:0.97","None"
7,"COMPLETED","Frontier","Aurora",0,0.000405234,0.000405234,21.635,0.000405234,0,21.6346,"0.00:0.00:0.00:0.92:0.00:0.92","None"
8,"COMPLETED","Frontier","Frontier",0,0.000409678,1524.32,1680.93,0.000409678,1524.31,156.615,"0.00:0.00:0.00:0.92:0.00:0.96","None"
9,"COMPLETED","Perlmutter-Phase-1","Aurora",0,0.000404811,0.000404811,147.693,0.000404811,0,147.692,"0.00:0.00:0.92:0.92:0.00:0.92","None"
10,"COMPLETED","Perlmutter-Phase-1","Aurora",0,0.000409194,13.2696,23.6543,0.000409194,13.2692,10.3846,"0.92:0.92:0.92:0.96:0.92:0.95","None"
11,"COMPLETED","Aurora","Frontier",0,0.000408921,1214.3,1335.52,0.000408921,1214.3,121.216,"0.00:0.00:0.92:0.96:0.00:0.97","None"
12,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000409241,1312.99,1501.79,0.000409241,1312.99,188.796,"0.00:0.00:0.92:0.97:0.00:0.97","None"
13,"COMPLETED","Frontier","Frontier",0,0.000409241,468.773,601.788,0.000409241,468.772,133.015,"0.00:0.92:0.00:0.95:0.00:0.96","None"
14,"COMPLETED","Perlmutter-Phase-1","Aurora",0,0.000405624,0.000405624,30.5773,0.000405624,0,30.5769,"0.00:0.00:0.92:0.92:0.00:0.92","None"
15,"COMPLETED","Frontier","Frontier",0,0.000405212,2940.29,4445.29,0.000405212,2940.29,1505.01,"0.00:0.00:0.00:0.92:0.00:0.92","None"
16,"COMPLETED","Aurora","Aurora",0,0.000405624,0.000405624,83.6543,0.000405624,0,83.6538,"0.92:0.92:0.92:0.92:0.00:0.92","None"
17,"COMPLETED","Frontier","Frontier",0,0.000398849,2333.14,3118.36,0.000398849,2333.13,785.221,"0.00:0.00:0.00:0.00:0.00:0.92","None"
18,"COMPLETED","Crux","Aurora",0,0.000409194,30.5773,89.7119,0.000409194,30.5769,59.1346,"0.92:0.92:0.92:0.96:0.00:0.95","None"
19,"COMPLETED","Crux","Frontier",0,0.000409156,1418.12,1649.82,0.000409156,1418.12,231.704,"0.92:0.92:0.92:0.95:0.00:0.96","None"
20,"COMPLETED","Crux","Andes",0,0.000405212,0.000405212,44.4004,0.000405212,0,44.4,"0.92:0.92:0.92:0.92:0.92:0.92","None"
21,"COMPLETED","Perlmutter-Phase-1","Andes",0,0.000405494,44.4004,73.2004,0.000405494,44.4,28.8,"0.92:0.92:0.92:0.92:0.92:0.92","None"
22,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,0.000409983,640.8,1474.8,0.000409983,640.8,834,"0.00:0.00:0.92:0.92:0.00:0.92","None"
23,"COMPLETED","Frontier","Frontier",0,0.000394706,0.000394706,950.418,0.000394706,0,950.417,"0.00:0.00:0.00:0.00:0.00:0.97","None"
24,"COMPLETED","Aurora","Perlmutter-Phase-1",0,0.000405587,6164.4,6838.8,0.000405587,6164.4,674.4,"0.00:0.92:0.92:0.92:0.00:0.92","None"
25,"COMPLETED","Frontier","Frontier",0,0.000402165,3069.01,9563.17,0.000402165,3069.01,6494.16,"0.00:0.00:0.00:0.92:0.00:0.92","None"
26,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,0.000404759,0.000404759,136.8,0.000404759,0,136.8,"0.00:0.00:0.92:0.92:0.00:0.92","None"
27,"COMPLETED","Perlmutter-Phase-2","Frontier",0,0.000403543,7072.35,8417.52,0.000403543,7072.35,1345.17,"0.00:0.00:0.00:0.92:0.00:0.92","None"
28,"COMPLETED","Crux","Perlmutter-Phase-2",0,0.000404161,0.000404161,181.2,0.000404161,0,181.2,"0.92:0.92:0.92:0.92:0.00:0.92","None"
29,"COMPLETED","Aurora","Aurora",0,0.000409748,194.423,456.923,0.000409748,194.423,262.5,"0.00:0.00:0.88:0.97:0.00:0.92","None"
30,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000408921,320.739,418.356,0.000408921,320.739,97.6162,"0.92:0.92:0.92:0.95:0.92:0.96","None"
31,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",0,0.000405587,0.000405587,225.6,0.000405587,0,225.6,"0.92:0.92:0.92:0.92:0.92:0.92","None"
32,"COMPLETED","Aurora","Frontier",0,0.000408921,1206.79,1286.17,0.000408921,1206.79,79.3802,"0.00:0.00:0.92:0.96:0.00:0.97","None"
33,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000409241,1501.79,1734.57,0.000409241,1501.79,232.777,"0.92:0.92:0.92:0.96:0.00:0.96","None"
34,"COMPLETED","Andes","Andes",0,0.000405212,0.000405212,352.8,0.000405212,0,352.8,"0.92:0.92:0.92:0.92:0.92:0.92","None"
35,"COMPLETED","Andes","Frontier",0,0.000407576,1948.03,2940.29,0.000407576,1948.03,992.253,"0.92:0.92:0.92:0.96:0.00:0.96","None"
36,"COMPLETED","Aurora","Aurora",0,0.000409764,83.6543,212.885,0.000409764,83.6538,129.231,"0.00:0.00:0.89:0.97:0.00:0.91","None"
37,"COMPLETED","Andes","Crux",0,0.00040587,224.4,481.2,0.00040587,224.4,256.8,"0.92:0.92:0.92:0.92:0.92:0.92","None"
38,"COMPLETED","Aurora","Frontier",0,0.000404182,950.418,1418.12,0.000404182,950.417,467.7,"0.00:0.00:0.92:0.92:0.00:0.92","None"
39,"COMPLETED","Perlmutter-Phase-1","Aurora",0,0.000409627,46.7312,1658.94,0.000409627,46.7308,1612.21,"0.00:0.00:0.92:0.93:0.00:0.92","None"
40,"COMPLETED","Frontier","Frontier",0,0.000389674,0.000389674,3069.01,0.000389674,0,3069.01,"0.00:0.00:0.00:0.00:0.00:0.97","None"
41,"COMPLETED","Frontier","Frontier",0,0.00040976,1645.53,1948.03,0.00040976,1645.53,302.503,"0.00:0.00:0.00:0.92:0.00:0.96","None"
42,"COMPLETED","Andes","Frontier",0,0.000405494,297.14,316.449,0.000405494,297.139,19.3087,"0.92:0.92:0.92:0.92:0.92:0.92","None"
43,"COMPLETED","Aurora","Aurora",0,0.000409627,111.058,1216.44,0.000409627,111.058,1105.38,"0.00:0.00:0.88:0.97:0.00:0.93","None"
44,"COMPLETED","Aurora","Frontier",0,0.000409241,601.788,656.496,0.000409241,601.788,54.708,"0.00:0.00:0.92:0.96:0.00:0.97","None"
45,"COMPLETED","Frontier","Frontier",0,0.000409678,605.006,1118.83,0.000409678,605.006,513.826,"0.00:0.00:0.88:0.93:0.00:0.96","None"
46,"COMPLETED","Aurora","Aurora",0,0.00040731,0.00040731,19.9043,0.00040731,0,19.9038,"0.92:0.92:0.92:0.96:0.92:0.95","None"
47,"COMPLETED","Perlmutter-Phase-1","Aurora",0,0.000408886,0.000408886,61.1543,0.000408886,0,61.1538,"0.92:0.92:0.92:0.95:0.92:0.95","None"
48,"COMPLETED","Aurora","Frontier",0,0.000408766,316.449,333.612,0.000408766,316.448,17.1633,"0.92:0.92:0.92:0.95:0.92:0.96","None"
49,"COMPLETED","Frontier","Frontier",0,0.000409156,272.468,445.173,0.000409156,272.467,172.706,"0.00:0.00:0.92:0.96:0.00:0.97","None"
50,"COMPLETED","Frontier","Frontier",0,0.000409721,656.496,830.275,0.000409721,656.496,173.778,"0.00:0.00:0.89:0.94:0.00:0.97","None"
51,"COMPLETED","Frontier","Frontier",0,0.000402165,0.000402165,1830.04,0.000402165,0,1830.04,"0.00:0.00:0.00:0.92:0.00:0.92","None"
52,"COMPLETED","Aurora","Aurora",0,0.000409761,8.07733,26.5389,0.000409761,8.07692,18.4615,"0.00:0.00:0.88:0.97:0.00:0.93","None"
53,"COMPLETED","Frontier","Frontier",0,0.000404711,0.000404711,320.739,0.000404711,0,320.739,"0.00:0.92:0.00:0.92:0.00:0.92","None"
54,"COMPLETED","Perlmutter-Phase-2","Aurora",0,0.000408751,0.000408751,62.3081,0.000408751,0,62.3077,"0.92:0.92:0.92:0.96:0.92:0.96","None"
55,"COMPLETED","Perlmutter-Phase-2","Crux",0,0.000405624,200.4,224.4,0.000405624,200.4,24,"0.92:0.92:0.92:0.92:0.92:0.92","None"
56,"COMPLETED","Aurora","Aurora",0,0.000409627,23.6543,46.7312,0.000409627,23.6538,23.0769,"0.00:0.00:0.89:0.97:0.00:0.93","None"
57,"COMPLETED","Crux","Andes",0,0.000406296,73.2004,232.8,0.000406296,73.2,159.6,"0.92:0.92:0.92:0.92:0.92:0.92","None"
58,"COMPLETED","Frontier","Frontier",0,0.00040962,1271.16,1404.17,0.00040962,1271.16,133.015,"0.00:0.00:0.00:0.93:0.00:0.96","None"
59,"COMPLETED","Frontier","Frontier",0,0.000408766,396.901,541.717,0.000408766,396.901,144.815,"0.00:0.92:0.92:0.96:0.00:0.96","None"
60,"COMPLETED","Aurora","Aurora",0,0.00040587,0.00040587,21.635,0.00040587,0,21.6346,"0.00:0.00:0.92:0.92:0.00:0.92","None"
61,"COMPLETED","Perlmutter-Phase-1","Aurora",0,0.00040587,0.00040587,13.2696,0.00040587,0,13.2692,"0.92:0.92:0.92:0.92:0.00:0.92","None"
62,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-1",0,0.000405848,0.000405848,28.8004,0.000405848,0,28.8,"0.92:0.92:0.92:0.92:0.92:0.92","None"
63,"COMPLETED","Andes","Crux",0,0.000405234,0.000405234,88.8004,0.000405234,0,88.8,"0.92:0.92:0.92:0.92:0.92:0.92","None"
64,"COMPLETED","Perlmutter-Phase-1","Aurora",0,0.000409627,143.654,635.481,0.000409627,143.654,491.827,"0.00:0.00:0.92:0.92:0.00:0.91","None"
65,"COMPLETED","Aurora","Aurora",0,0.000409472,18.7504,149.135,0.000409472,18.75,130.385,"0.00:0.00:0.87:0.97:0.00:0.92","None"
66,"COMPLETED","Aurora","Aurora",0,0.000409725,75.0004,194.423,0.000409725,75,119.423,"0.00:0.00:0.88:0.97:0.00:0.93","None"
67,"COMPLETED","Aurora","Frontier",0,0.000409156,3962.57,4751.01,0.000409156,3962.57,788.439,"0.00:0.92:0.00:0.96:0.00:0.96","None"
68,"COMPLETED","Aurora","Aurora",0,0.000409627,21.635,75.2889,0.000409627,21.6346,53.6538,"0.00:0.00:0.87:0.97:0.00:0.93","None"
69,"COMPLETED","Frontier","Frontier",0,0.000409721,2181.88,5147.91,0.000409721,2181.88,2966.03,"0.00:0.00:0.00:0.94:0.00:0.96","None"
70,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000409241,1360.19,1573.66,0.000409241,1360.19,213.468,"0.00:0.00:0.92:0.96:0.00:0.97","None"
71,"COMPLETED","Frontier","Frontier",0,0.000409721,397.974,915.018,0.000409721,397.974,517.044,"0.00:0.00:0.89:0.94:0.00:0.96","None"
72,"COMPLETED","Perlmutter-Phase-1","Aurora",0,0.000403072,0.000403072,130.385,0.000403072,0,130.385,"0.00:0.00:0.92:0.92:0.00:0.92","None"
73,"COMPLETED","Andes","Perlmutter-Phase-2",0,0.000404759,0.000404759,595.2,0.000404759,0,595.2,"0.92:0.92:0.92:0.92:0.92:0.92","None"
74,"COMPLETED","Crux","Frontier",0,0.000408921,1820.38,2984.27,0.000408921,1820.38,1163.89,"0.92:0.92:0.92:0.96:0.00:0.96","None"
75,"COMPLETED","Andes","Aurora",0,0.000408991,0.000408991,18.1735,0.000408991,0,18.1731,"0.92:0.92:0.92:0.96:0.92:0.96","None"
76,"COMPLETED","Perlmutter-Phase-2","Frontier",0,0.000409313,397.974,421.574,0.000409313,397.974,23.5995,"0.92:0.92:0.92:0.95:0.92:0.96","None"
77,"COMPLETED","Aurora","Frontier",0,0.000405494,5383.91,9778.78,0.000405494,5383.91,4394.87,"0.00:0.00:0.00:0.92:0.00:0.92","None"
78,"COMPLETED","Frontier","Aurora",0,0.000409194,8.36579,14.7119,0.000409194,8.36538,6.34615,"0.00:0.00:0.00:0.96:0.00:0.96","None"
79,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",0,0.000405848,0.000405848,171.6,0.000405848,0,171.6,"0.92:0.92:0.92:0.92:0.00:0.92","None"
80,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000405212,950.418,1123.12,0.000405212,950.417,172.706,"0.00:0.00:0.92:0.92:0.00:0.92","None"
81,"COMPLETED","Frontier","Frontier",0,0.000409678,3118.36,4201.79,0.000409678,3118.36,1083.43,"0.00:0.00:0.00:0.93:0.00:0.96","None"
82,"COMPLETED","Aurora","Frontier",0,0.000409241,359.357,379.738,0.000409241,359.356,20.3814,"0.00:0.00:0.92:0.96:0.00:0.97","None"
83,"COMPLETED","Aurora","Aurora",0,0.000409555,21.635,46.1543,0.000409555,21.6346,24.5192,"0.00:0.00:0.87:0.97:0.00:0.92","None"
84,"COMPLETED","Perlmutter-Phase-2","Frontier",0,0.000405212,70.799,98.6893,0.000405212,70.7986,27.8903,"0.92:0.92:0.92:0.92:0.92:0.92","None"
85,"COMPLETED","Aurora","Aurora",0,0.000409725,61.1543,143.654,0.000409725,61.1538,82.5,"0.00:0.00:0.88:0.97:0.00:0.92","None"
86,"COMPLETED","Andes","Aurora",0,0.00040587,0.00040587,225.866,0.00040587,0,225.865,"0.00:0.92:0.92:0.92:0.00:0.92","None"
87,"COMPLETED","Perlmutter-Phase-2","Aurora",0,0.000406046,0.000406046,8.36579,0.000406046,0,8.36538,"0.92:0.92:0.92:0.92:0.92:0.92","None"
88,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000409241,1335.52,1479.26,0.000409241,1335.52,143.743,"0.00:0.00:0.92:0.96:0.00:0.97","None"
89,"COMPLETED","Aurora","Aurora",0,0.000409194,12.9812,21.635,0.000409194,12.9808,8.65385,"0.00:0.92:0.92:0.96:0.00:0.96","None"
90,"COMPLETED","Aurora","Aurora",0,0.000408886,0.000408886,239.712,0.000408886,0,239.712,"0.00:0.00:0.00:0.96:0.00:0.96","None"
91,"COMPLETED","Aurora","Frontier",0,0.000409053,1246.48,1324.79,0.000409053,1246.48,78.3075,"0.00:0.00:0.92:0.96:0.00:0.97","None"
92,"COMPLETED","Aurora","Perlmutter-Phase-1",0,0.000405587,0.000405587,676.8,0.000405587,0,676.8,"0.00:0.92:0.92:0.92:0.00:0.92","None"
93,"COMPLETED","Perlmutter-Phase-2","Crux",0,0.000404257,0.000404257,40.8004,0.000404257,0,40.8,"0.92:0.92:0.92:0.92:0.92:0.92","None"
94,"COMPLETED","Aurora","Frontier",0,0.000409053,556.735,605.006,0.000409053,556.734,48.2718,"0.00:0.00:0.92:0.97:0.00:0.97","None"
95,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",0,0.000405587,0.000405587,73.2004,0.000405587,0,73.2,"0.92:0.92:0.92:0.92:0.92:0.92","None"
96,"COMPLETED","Aurora","Aurora",0,0.000405624,0.000405624,111.058,0.000405624,0,111.058,"0.00:0.00:0.92:0.92:0.00:0.92","None"
97,"COMPLETED","Frontier","Perlmutter-Phase-2",0,0.000404759,0.000404759,187.2,0.000404759,0,187.2,"0.00:0.92:0.00:0.92:0.00:0.92","None"
98,"COMPLETED","Andes","Frontier",0,0.000403543,950.418,4227.53,0.000403543,950.417,3277.12,"0.00:0.92:0.92:0.92:0.00:0.92","None"
99,"COMPLETED","Perlmutter-Phase-2","Aurora",0,0.00040587,0.00040587,25.0966,0.00040587,0,25.0962,"0.92:0.92:0.92:0.92:0.92:0.92","None"
100,"COMPLETED","Perlmutter-Phase-2","Aurora",0,0.000408751,0.000408751,6.0581,0.000408751,0,6.05769,"0.92:0.92:0.92:0.96:0.92:0.95","None"
101,"COMPLETED","Aurora","Aurora",0,0.000409472,14.7119,140.193,0.000409472,14.7115,125.481,"0.00:0.00:0.86:0.97:0.00:0.93","None"
102,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000409053,446.246,468.773,0.000409053,446.246,22.5268,"0.00:0.00:0.92:0.96:0.00:0.97","None"
103,"COMPLETED","Frontier","Frontier",0,0.000403543,4059.12,7072.35,0.000403543,4059.12,3013.23,"0.00:0.00:0.00:0.00:0.00:0.92","None"
104,"COMPLETED","Aurora","Aurora",0,0.000409761,25.0966,45.0004,0.000409761,25.0961,19.9038,"0.00:0.00:0.86:0.97:0.00:0.90","None"
105,"COMPLETED","Andes","Perlmutter-Phase-1",0,0.000405848,676.8,6164.4,0.000405848,676.8,5487.6,"0.00:0.92:0.92:0.92:0.00:0.92","None"
106,"COMPLETED","Andes","Perlmutter-Phase-2",0,0.000404759,0.000404759,1862.4,0.000404759,0,1862.4,"0.92:0.92:0.92:0.92:0.00:0.92","None"
107,"COMPLETED","Frontier","Frontier",0,0.000408766,741.24,821.693,0.000408766,741.24,80.4529,"0.00:0.00:0.00:0.97:0.00:0.97","None"
108,"COMPLETED","Aurora","Aurora",0,0.000409725,52.7889,113.077,0.000409725,52.7885,60.2885,"0.00:0.00:0.89:0.97:0.00:0.93","None"
109,"COMPLETED","Aurora","Aurora",0,0.000408991,0.000408991,5.19272,0.000408991,0,5.19231,"0.92:0.92:0.92:0.95:0.92:0.95","None"
110,"COMPLETED","Perlmutter-Phase-2","Aurora",0,0.000409076,0.000409076,37.2119,0.000409076,0,37.2115,"0.92:0.92:0.92:0.96:0.92:0.96","None"
111,"COMPLETED","Crux","Frontier",0,0.000409313,468.773,502.027,0.000409313,468.772,33.2539,"0.92:0.92:0.92:0.95:0.92:0.96","None"
112,"COMPLETED","Perlmutter-Phase-2","Frontier",0,0.000405212,4182.48,7189.27,0.000405212,4182.48,3006.79,"0.00:0.92:0.92:0.92:0.00:0.92","None"
113,"COMPLETED","Aurora","Aurora",0,0.000409194,8.36579,14.7119,0.000409194,8.36538,6.34615,"0.00:0.92:0.92:0.96:0.00:0.95","None"
114,"COMPLETED","Perlmutter-Phase-1","Andes",0,0.000405494,106.8,217.2,0.000405494,106.8,110.4,"0.92:0.92:0.92:0.92:0.00:0.92","None"
115,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000409721,4227.53,5383.91,0.000409721,4227.53,1156.38,"0.00:0.00:0.00:0.93:0.00:0.93","None"
116,"COMPLETED","Aurora","Aurora",0,0.000409683,13.2696,109.904,0.000409683,13.2692,96.6346,"0.00:0.00:0.88:0.97:0.00:0.93","None"
117,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,0.000409979,1242,1657.2,0.000409979,1242,415.2,"0.00:0.00:0.92:0.92:0.00:0.90","None"
118,"COMPLETED","Aurora","Frontier",0,0.000409156,91.1804,117.998,0.000409156,91.18,26.8176,"0.00:0.00:0.92:0.96:0.00:0.97","None"
119,"COMPLETED","Crux","Aurora",0,0.000408751,0.000408751,8.07733,0.000408751,0,8.07692,"0.92:0.92:0.92:0.96:0.92:0.96","None"
120,"COMPLETED","Aurora","Aurora",0,0.000409748,239.712,481.154,0.000409748,239.712,241.442,"0.00:0.00:0.00:0.97:0.00:0.91","None"
121,"COMPLETED","Frontier","Frontier",0,0.000407576,5383.91,10000.8,0.000407576,5383.91,4616.92,"0.00:0.00:0.00:0.96:0.00:0.97","None"
122,"COMPLETED","Andes","Aurora",0,0.000407553,0.000407553,48.7504,0.000407553,0,48.75,"0.92:0.92:0.92:0.96:0.92:0.95","None"
123,"COMPLETED","Frontier","Aurora",0,0.000407553,0.000407553,8.36579,0.000407553,0,8.36538,"0.00:0.00:0.00:0.96:0.00:0.96","None"
124,"COMPLETED","Aurora","Frontier",0,0.000405212,163.052,297.14,0.000405212,163.051,134.088,"0.00:0.00:0.92:0.92:0.00:0.92","None"
125,"COMPLETED","Frontier","Perlmutter-Phase-2",0,0.000405587,0.000405587,187.2,0.000405587,0,187.2,"0.00:0.92:0.00:0.92:0.00:0.92","None"
