JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"REJECTED","Frontier","Perlmutter-Phase-2",0,-1,-1,0.000415048,0.000415048,-1,-1,"0.45:0.51:0.79:0.01:0.82:0.81","Job requires more nodes than the System has"
2,"COMPLETED","Crux","Frontier",0,0.000420512,0.000420512,24.6726,0.000420512,0,24.6722,"0.12:0.55:0.76:0.59:0.78:0.89","None"
3,"COMPLETED","Aurora","Perlmutter-Phase-1",0,0.000420656,0.000420656,60.0004,0.000420656,0,60,"0.59:0.88:0.50:0.53:0.76:0.56","None"
4,"COMPLETED","Andes","Frontier",0,0.000420512,0.000420512,91.1804,0.000420512,0,91.18,"0.11:0.65:0.38:0.38:0.14:0.72","None"
5,"REJECTED","Perlmutter-Phase-1","Andes",0,-1,-1,0.000420512,0.000420512,-1,-1,"0.59:0.37:0.55:0.31:0.08:0.44","Job requires GPU while System has none"
6,"REJECTED","Frontier","Andes",0,-1,-1,0.000420512,0.000420512,-1,-1,"0.77:0.36:0.20:0.60:0.11:0.33","Job requires more nodes than the System has"
7,"REJECTED","Frontier","Perlmutter-Phase-2",0,-1,-1,0.000420656,0.000420656,-1,-1,"0.15:0.03:0.74:0.45:0.79:0.32","Job requires more nodes than the System has"
8,"REJECTED","Frontier","Andes",0,-1,-1,0.000420512,0.000420512,-1,-1,"0.80:0.21:0.19:0.18:0.71:0.77","Job requires more nodes than the System has"
9,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000420512,0.000420512,549.226,0.000420512,0,549.225,"0.15:0.44:0.42:0.06:0.46:0.77","None"
10,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",0,0.000420656,0.000420656,43.2004,0.000420656,0,43.2,"0.30:0.64:0.07:0.67:0.73:0.00","None"
11,"REJECTED","Aurora","Perlmutter-Phase-2",0,-1,-1,0.000420656,0.000420656,-1,-1,"0.42:0.01:0.40:0.38:0.99:0.41","Job requires GPU while System has none"
12,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000420512,0.000420512,188.797,0.000420512,0,188.796,"0.13:0.26:0.22:0.92:0.09:1.00","None"
13,"REJECTED","Frontier","Crux",0,-1,-1,0.000420656,0.000420656,-1,-1,"0.20:0.37:0.11:0.60:0.42:0.31","Job requires more nodes than the System has"
14,"REJECTED","Perlmutter-Phase-1","Crux",0,-1,-1,0.000420656,0.000420656,-1,-1,"0.42:0.28:0.17:0.50:0.17:0.18","Job requires more nodes than the System has"
15,"REJECTED","Frontier","Perlmutter-Phase-1",0,-1,-1,0.000420656,0.000420656,-1,-1,"0.34:0.65:0.33:0.58:0.31:0.43","Job requires more nodes than the System has"
16,"COMPLETED","Aurora","Crux",0,0.000420656,246,594,0.000420656,246,348,"0.03:0.38:0.43:0.77:0.03:0.44","None"
17,"REJECTED","Frontier","Perlmutter-Phase-2",0,-1,-1,0.000420656,0.000420656,-1,-1,"0.03:0.17:0.73:0.45:1.00:0.85","Job requires more nodes than the System has"
18,"COMPLETED","Crux","Crux",0,0.000420656,0.000420656,246,0.000420656,0,246,"0.53:0.84:0.39:0.91:0.00:0.33","None"
19,"COMPLETED","Crux","Andes",0,0.000420512,0.000420512,259.2,0.000420512,0,259.2,"0.76:0.67:0.33:0.05:0.67:0.42","None"
