JobId,FinalStatus,SubmittedTo,ScheduledOn,NodeList,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Perlmutter-Phase-2","Frontier","1-91:5248-5282",7.316,23.1238,23.1238,527.295,15.8078,0,504.172,"0.52:0.72:0.07:0.18:0.82:0.62","None"
2,"COMPLETED","Aurora","Perlmutter-Phase-1","1-14",63.393,77.5473,77.5473,1328.77,14.1543,0,1251.22,"0.00:0.93:0.00:0.95:0.91:0.00","None"
3,"COMPLETED","Crux","Perlmutter-Phase-2","1-246:258",69.369,88.4517,88.4517,3082.33,19.0827,0,2993.88,"0.02:0.04:0.02:0.03:0.04:0.61","None"
4,"COMPLETED","Aurora","Aurora","1-69",71.365,84.6295,84.6295,612.629,13.2645,0,528,"0.00:0.97:0.00:0.04:0.82:0.00","None"
5,"COMPLETED","Aurora","Aurora","70-164:258",77.794,92.952,92.952,540.952,15.158,0,448,"0.00:0.97:0.00:0.04:0.18:0.00","None"
6,"COMPLETED","Perlmutter-Phase-1","Frontier","92-341:542",81.67,96.6889,96.6889,922.672,15.0189,0,825.983,"0.00:0.62:0.00:0.05:0.82:0.00","None"
7,"COMPLETED","Crux","Aurora","165-226",82.42,96.375,96.375,408.375,13.955,0,312,"0.04:0.78:0.05:0.05:0.04:0.72","None"
8,"COMPLETED","Perlmutter-Phase-1","Aurora","227-257:259-1073:1104-1105:1110-1111:2049-2051",95.929,110.924,110.924,5454.92,14.9955,0,5344,"0.00:0.91:0.00:0.88:0.05:0.00","None"
9,"COMPLETED","Frontier","Frontier","342-348",103.515,116.526,116.526,545.609,13.0115,0,429.082,"0.00:0.88:0.00:0.88:0.95:0.00","None"
10,"COMPLETED","Perlmutter-Phase-1","Aurora","1074-1103:1106-1109:1112-2048:2052-2128:2352-2355:2358-2361:4097-4103",103.623,119.368,119.368,4271.37,15.7451,0,4152,"0.00:0.82:0.00:0.82:0.04:0.57","None"
11,"COMPLETED","Frontier","Frontier","349-541:543-814:1025:1110-1111",120.474,136.571,136.571,10069.8,16.0972,0,9933.25,"0.03:0.74:0.00:0.03:0.87:0.74","None"
12,"COMPLETED","Perlmutter-Phase-1","Aurora","2129-2306",126.243,140.655,140.655,868.655,14.4122,0,728,"0.00:0.93:0.00:0.12:0.87:0.00","None"
13,"COMPLETED","Perlmutter-Phase-1","Frontier","815-928",135.564,150.62,150.62,1523.68,15.0563,0,1373.06,"0.00:0.88:0.00:0.28:0.91:0.00","None"
14,"COMPLETED","Crux","Perlmutter-Phase-2","247-257:259-408:542",138.396,152.192,152.192,850.151,13.7963,0,697.959,"0.08:0.05:0.04:0.05:0.05:0.88","None"
15,"COMPLETED","Aurora","Aurora","2307-2351:2356-2357:2362-2464:5082-5098",161.669,175.894,175.894,1423.89,14.2247,0,1248,"0.00:0.95:0.00:0.78:0.72:0.00","None"
16,"COMPLETED","Frontier","Frontier","929-955",162.076,177.99,177.99,1293.6,15.9144,0,1115.61,"0.00:0.87:0.00:0.07:0.95:0.00","None"
17,"COMPLETED","Perlmutter-Phase-1","Aurora","2465-2674",177.935,192.702,192.702,1104.7,14.7672,0,912,"0.00:0.88:0.00:0.04:0.78:0.00","None"
18,"COMPLETED","Frontier","Frontier","956-1024:1026-1067:2049-2051",185.35,199.803,199.803,607.431,14.4531,0,407.628,"0.03:0.25:0.02:0.05:0.93:0.03","None"
19,"COMPLETED","Aurora","Perlmutter-Phase-1","15-252:258",201.219,217.584,217.584,1337.1,16.3653,0,1119.51,"0.03:0.82:0.05:0.88:0.04:0.72","None"
20,"COMPLETED","Frontier","Aurora","2675-2729",206.013,219.013,219.013,523.013,12.9999,0,304,"0.00:0.91:0.00:0.05:0.04:0.00","None"
21,"COMPLETED","Aurora","Aurora","2730-3684",214.137,230.431,230.431,6998.43,16.2939,0,6768,"0.00:0.91:0.00:0.03:0.08:0.00","None"
22,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2","409-541:543-1857:2049-2051:2358-2361",232.282,247.827,247.827,9707.01,15.5451,0,9459.18,"0.00:0.04:0.00:0.38:0.05:0.82","None"
23,"COMPLETED","Perlmutter-Phase-1","Aurora","3685-3715",246.465,261.119,261.119,565.119,14.6539,0,304,"0.00:0.87:0.00:0.05:0.82:0.00","None"
24,"COMPLETED","Aurora","Frontier","1068-1077",251.815,265.492,265.492,1295.29,13.6768,0,1029.8,"0.00:0.91:0.00:0.05:0.93:0.00","None"
25,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2","1858-1922",261.43,277.945,277.945,975.905,16.5153,0,697.959,"0.08:0.03:0.05:0.05:0.72:0.87","None"
26,"COMPLETED","Andes","Frontier","1078-1109:1112-1197:2358-2361",264.612,283.082,283.082,679.983,18.4699,0,396.901,"0.78:0.72:0.03:0.04:0.82:0.47","None"
27,"COMPLETED","Crux","Frontier","1198-1227",283.661,297.324,297.324,801.496,13.6634,0,504.172,"0.04:0.03:0.03:0.04:0.95:0.91","None"
28,"COMPLETED","Frontier","Perlmutter-Phase-2","1923-2048:2052-2120",289.037,302.808,302.808,4361.99,13.7715,0,4059.18,"0.03:0.05:0.03:0.05:0.87:0.92","None"
29,"COMPLETED","Aurora","Aurora","3716-3968",289.72,304.181,304.181,904.181,14.4611,0,600,"0.00:0.88:0.00:0.82:0.08:0.00","None"
30,"COMPLETED","Frontier","Frontier","1257-1399",291.141,306.601,306.601,1776.21,15.4601,0,1469.61,"0.00:0.82:0.00:0.82:0.91:0.00","None"
31,"COMPLETED","Frontier","Frontier","1228-1256",291.662,306.027,306.027,1303.64,14.3646,0,997.616,"0.04:0.04:0.03:0.88:0.91:0.04","None"
32,"COMPLETED","Perlmutter-Phase-1","Aurora","3969-4096:4104-4409:8193-8206",299.492,315.475,315.475,5987.47,15.9829,0,5672,"0.04:0.82:0.00:0.82:0.05:0.55","None"
33,"COMPLETED","Aurora","Frontier","1400-1545",309.45,325.011,325.011,668.276,15.5605,0,343.266,"0.03:0.82:0.04:0.05:0.88:0.52","None"
34,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2","2121-2357:2362-2522",322.317,337.6,337.6,15453.9,15.2829,0,15116.3,"0.45:0.68:0.00:0.78:0.05:0.78","None"
35,"COMPLETED","Crux","Crux","1-125",348.205,361.3,361.3,3853.3,13.0945,0,3492,"0.04:0.04:0.87:0.04:0.04:0.78","None"
36,"COMPLETED","Aurora","Perlmutter-Phase-2","2523-2560",349.812,364.353,364.353,1154.15,14.5409,0,789.796,"0.03:0.05:0.04:0.05:0.72:0.91","None"
37,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","2561-2721",362.635,377.322,377.322,3150.79,14.6867,0,2773.47,"0.62:0.04:0.04:0.78:0.05:0.82","None"
38,"COMPLETED","Aurora","Frontier","1546-1562",371.687,385.803,385.803,1319.06,14.1165,0,933.254,"0.04:0.03:0.03:0.04:0.91:0.88","None"
39,"COMPLETED","Aurora","Aurora","4410-4471",375.378,389.598,389.598,781.598,14.2198,0,392,"0.00:0.91:0.00:0.07:0.82:0.00","None"
40,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2","2722-2754",394.221,409.398,409.398,1272.66,15.1765,0,863.265,"0.72:0.68:0.18:0.82:0.82:0.87","None"
41,"COMPLETED","Perlmutter-Phase-2","Andes","1-193:258",399.695,414.437,414.437,3464.44,14.742,0,3050,"0.55:0.05:0.04:0.03:0.04:0.52","None"
42,"COMPLETED","Crux","Perlmutter-Phase-2","2755-3010",407.988,423.41,423.41,2645.86,15.4223,0,2222.45,"0.03:0.03:0.02:0.03:0.04:0.82","None"
43,"COMPLETED","Aurora","Aurora","165-226:4472-4544",414.98,429.657,429.657,1101.66,14.6774,0,672,"0.00:0.91:0.00:0.82:0.05:0.00","None"
44,"COMPLETED","Frontier","Aurora","4545-5081:5099-5368:10268-10302",437.475,451.405,451.405,4923.41,13.9302,0,4472,"0.00:0.82:0.00:0.02:0.03:0.00","None"
45,"COMPLETED","Frontier","Perlmutter-Phase-1","253-257:259-445:542",442.945,457.779,457.779,2543.15,14.8343,0,2085.37,"0.00:0.82:0.00:0.90:0.88:0.00","None"
46,"COMPLETED","Andes","Frontier","1563-1640",464.393,479.148,479.148,2817.65,14.7553,0,2338.5,"0.82:0.04:0.03:0.07:0.88:0.62","None"
47,"COMPLETED","Frontier","Frontier","1641-1853",489.498,503.611,503.611,1662.13,14.1125,0,1158.52,"0.00:0.82:0.00:0.04:0.88:0.00","None"
48,"COMPLETED","Perlmutter-Phase-2","Aurora","2675-2697",515.2,531.998,531.998,1044,16.7985,0,512,"0.05:0.72:0.03:0.04:0.62:0.58","None"
49,"COMPLETED","Frontier","Aurora","70-164:258:2698-2729:5369-7043",529.963,542.928,542.928,6686.93,12.965,0,6144,"0.00:0.82:0.00:0.00:0.04:0.00","None"
50,"COMPLETED","Crux","Perlmutter-Phase-2","247-257:259-408:542:1858-1922:3011-3024",577.401,592.975,975.905,3326.92,15.5743,382.929,2351.02,"0.03:0.04:0.02:0.04:0.04:0.28","None"
51,"COMPLETED","Aurora","Frontier","5248-5280",590.217,604.794,604.794,1795.5,14.5774,0,1190.7,"0.03:0.05:0.04:0.04:0.91:0.87","None"
52,"COMPLETED","Frontier","Aurora","3685-3708",596.018,610.103,610.103,1130.1,14.0851,0,520,"0.00:0.88:0.00:0.04:0.88:0.00","None"
