JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"REJECTED","Perlmutter-Phase-1","Crux",0,-1,-1,0.000274154,0.000274154,-1,-1,"0.41:0.41:0.81:0.35:0.37:0.38","Job requires GPU while System has none"
2,"COMPLETED","Perlmutter-Phase-1","Aurora",0,0.000274154,0.000274154,21.6349,0.000274154,0,21.6346,"0.37:0.96:0.33:0.50:0.54:0.73","None"
3,"COMPLETED","Aurora","Frontier",0,0.000276745,0.000276745,160.906,0.000276745,0,160.906,"0.38:0.89:0.35:0.99:0.08:0.44","None"
4,"COMPLETED","Perlmutter-Phase-1","Aurora",0,0.000274154,0.000274154,11.5387,0.000274154,0,11.5385,"0.56:0.86:0.51:0.02:0.77:0.52","None"
5,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-1",0,0.000263936,0.000263936,36.0003,0.000263936,0,36,"0.16:0.22:0.39:0.20:0.67:0.16","None"
6,"COMPLETED","Crux","Andes",0,0.000276745,0.000276745,45.6003,0.000276745,0,45.6,"0.99:0.53:0.80:0.09:0.33:0.45","None"
7,"REJECTED","Perlmutter-Phase-1","Perlmutter-Phase-2",0,-1,-1,0.000263936,0.000263936,-1,-1,"0.03:0.15:0.90:0.23:0.67:0.92","Job requires GPU while System has none"
8,"COMPLETED","Frontier","Andes",0,0.000276745,0.000276745,45.6003,0.000276745,0,45.6,"0.64:0.18:0.64:0.04:0.43:0.15","None"
9,"COMPLETED","Perlmutter-Phase-2","Aurora",0,0.000274154,0.000274154,14.7118,0.000274154,0,14.7115,"0.42:0.99:0.60:0.24:0.33:0.18","None"
10,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",0,0.000263936,0.000263936,64.8003,0.000263936,0,64.8,"0.05:0.19:0.81:0.35:0.96:0.99","None"
11,"COMPLETED","Aurora","Frontier",0,0.000276745,0.000276745,123.361,0.000276745,0,123.361,"0.11:0.18:0.78:0.95:0.64:0.53","None"
12,"REJECTED","Frontier","Perlmutter-Phase-2",0,-1,-1,0.000263936,0.000263936,-1,-1,"0.43:0.80:0.41:0.33:0.06:0.98","Job requires GPU while System has none"
