JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Perlmutter-Phase-2","Frontier",0,0.000296199,0.000296199,868.892,0.000296199,0,868.892,"0.00:0.71:0.00:0.71:0.71:0.71","None"
2,"COMPLETED","Aurora","Aurora",0,0.000297354,0.000297354,192.404,0.000297354,0,192.404,"0.00:0.71:0.00:0.71:0.71:0.71","None"
3,"COMPLETED","Perlmutter-Phase-2","Frontier",0,0.000304402,0.000304402,1207.87,0.000304402,0,1207.87,"0.71:0.75:0.00:0.75:0.71:0.71","None"
4,"COMPLETED","Perlmutter-Phase-2","Aurora",0,0.000311073,0.000311073,16.4426,0.000311073,0,16.4423,"0.71:0.75:0.71:0.75:0.71:0.71","None"
5,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000323289,33.2542,113.707,0.000323289,33.2538,80.4529,"0.00:0.76:0.00:0.76:0.71:0.00","None"
6,"COMPLETED","Aurora","Andes",0,0.000296651,0.000296651,38.4003,0.000296651,0,38.4,"0.71:0.71:0.71:0.71:0.71:0.71","None"
7,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000311516,0.000311516,688.677,0.000311516,0,688.677,"0.00:0.75:0.00:0.75:0.71:0.71","None"
8,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000293503,0.000293503,121.216,0.000293503,0,121.216,"0.00:0.71:0.00:0.71:0.71:0.00","None"
9,"COMPLETED","Frontier","Perlmutter-Phase-2",0,0.000297261,0.000297261,45.6003,0.000297261,0,45.6,"0.71:0.71:0.71:0.71:0.71:0.71","None"
10,"COMPLETED","Aurora","Perlmutter-Phase-2",0,0.000296379,0.000296379,45.6003,0.000296379,0,45.6,"0.71:0.71:0.71:0.71:0.71:0.71","None"
11,"COMPLETED","Aurora","Aurora",0,0.00313608,11.2503,27.9811,0.00313608,11.2472,16.7308,"0.00:0.76:0.00:0.65:0.60:0.00","None"
12,"COMPLETED","Frontier","Frontier",0,0.000330531,33.2542,80.4532,0.000330531,33.2538,47.199,"0.00:0.68:0.00:0.75:0.61:0.00","None"
13,"COMPLETED","Perlmutter-Phase-2","Frontier",0,0.000313531,0.000313531,63.2899,0.000313531,0,63.2896,"0.71:0.74:0.71:0.75:0.71:0.71","None"
14,"COMPLETED","Perlmutter-Phase-2","Aurora",0,0.000339708,8.65414,32.5964,0.000339708,8.6538,23.9423,"0.71:0.75:0.71:0.75:0.71:0.71","None"
15,"COMPLETED","Frontier","Frontier",0,0.000306708,0.000306708,587.843,0.000306708,0,587.843,"0.00:0.74:0.00:0.74:0.71:0.71","None"
16,"COMPLETED","Aurora","Frontier",0,0.000297584,0.000297584,33.2542,0.000297584,0,33.2539,"0.00:0.71:0.00:0.71:0.71:0.00","None"
17,"COMPLETED","Perlmutter-Phase-2","Frontier",0,0.000316999,33.2542,156.615,0.000316999,33.2539,123.361,"0.71:0.75:0.71:0.75:0.71:0.71","None"
18,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",0,0.000297888,0.000297888,73.2003,0.000297888,0,73.2,"0.71:0.71:0.71:0.71:0.71:0.71","None"
19,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",0,0.000294001,0.000294001,60.0003,0.000294001,0,60,"0.71:0.71:0.71:0.71:0.71:0.71","None"
20,"COMPLETED","Aurora","Perlmutter-Phase-2",0,0.000296379,0.000296379,234,0.000296379,0,234,"0.71:0.71:0.71:0.71:0.71:0.71","None"
21,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000307033,0.000307033,100.835,0.000307033,0,100.834,"0.71:0.75:0.71:0.75:0.71:0.71","None"
22,"COMPLETED","Aurora","Aurora",0,0.000339708,8.94264,59.4234,0.000339708,8.9423,50.4808,"0.00:0.76:0.00:0.67:0.63:0.00","None"
23,"COMPLETED","Andes","Frontier",0,0.00336835,33.2542,67.5808,0.00336835,33.2508,34.3266,"0.71:0.75:0.71:0.75:0.71:0.71","None"
24,"COMPLETED","Frontier","Frontier",0,0.000332885,0.000332885,78.3078,0.000332885,0,78.3075,"0.00:0.68:0.00:0.76:0.61:0.00","None"
25,"COMPLETED","Crux","Perlmutter-Phase-2",0,0.000297488,0.000297488,212.4,0.000297488,0,212.4,"0.71:0.71:0.71:0.71:0.71:0.71","None"
26,"COMPLETED","Frontier","Aurora",0,0.000321708,0.000321708,239.423,0.000321708,0,239.423,"0.71:0.75:0.00:0.74:0.71:0.71","None"
27,"COMPLETED","Frontier","Frontier",0,0.000307708,0.000307708,138.379,0.000307708,0,138.379,"0.00:0.76:0.00:0.76:0.71:0.00","None"
28,"COMPLETED","Frontier","Frontier",0,0.000352353,33.2542,201.669,0.000352353,33.2538,168.415,"0.00:0.68:0.00:0.76:0.65:0.00","None"
