JobId,FinalStatus,SubmittedTo,ScheduledOn,NodeList,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Crux","Crux","1-243",19.026,19.0261,19.0261,3367.03,5.20843e-05,0,3348,"1.00","None"
2,"COMPLETED","Frontier","Frontier","1-15:5248-5282",26.518,26.5181,26.5181,1056.32,5.20843e-05,0,1029.8,"1.00","None"
3,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","1-212:258",34.542,34.5421,34.5421,1132.1,5.20843e-05,0,1097.56,"1.00","None"
4,"COMPLETED","Frontier","Frontier","16-867:1025:1110-1111",42.895,42.8951,42.8951,9075.08,5.20843e-05,0,9032.18,"1.00","None"
5,"COMPLETED","Frontier","Frontier","868-899",48.225,48.2251,48.2251,1045.84,5.20843e-05,0,997.616,"1.00","None"
6,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","1-144:258",54.941,54.9411,54.9411,2112.08,5.20843e-05,0,2057.14,"1.00","None"
7,"COMPLETED","Aurora","Aurora","1-245:258",63.393,63.3931,63.3931,543.393,5.20843e-05,0,480,"1.00","None"
8,"COMPLETED","Crux","Crux","1-161",65.726,65.7261,3367.03,4015.03,5.20843e-05,3301.3,648,"1.00","None"
9,"COMPLETED","Crux","Crux","1-126",69.369,69.3691,4015.03,4933.03,5.20843e-05,3945.66,918,"1.00","None"
10,"COMPLETED","Aurora","Aurora","246-257:259-1408:2049-2051:2352-2355:2358-2361",71.365,71.3651,71.3651,4007.37,5.20843e-05,0,3936,"1.00","None"
11,"COMPLETED","Aurora","Aurora","1409-1438",77.794,77.7941,77.7941,349.794,5.20843e-05,0,272,"1.00","None"
12,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","213-231",77.921,77.9211,77.9211,3677.92,5.20843e-05,0,3600,"1.00","None"
13,"COMPLETED","Crux","Crux","1-126:129-147",82.42,82.4201,4933.03,5923.03,5.20843e-05,4850.61,990,"1.00","None"
14,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","145-153",86.785,86.7851,86.7851,876.581,5.20843e-05,0,789.796,"1.00","None"
15,"COMPLETED","Frontier","Frontier","900-918",87.355,87.3551,87.3551,1471.15,5.20843e-05,0,1383.79,"1.00","None"
16,"COMPLETED","Andes","Andes","1-169:258",100.842,100.842,100.842,2800.84,5.20843e-05,0,2700,"1.00","None"
17,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","232-257:259-269:542",101.182,101.182,101.182,5325.57,5.20843e-05,0,5224.39,"1.00","None"
18,"COMPLETED","Aurora","Aurora","1439-1574",116.67,116.67,116.67,1372.67,5.20843e-05,0,1256,"1.00","None"
19,"COMPLETED","Frontier","Frontier","919-997",129.811,129.811,129.811,1223.97,5.20843e-05,0,1094.16,"1.00","None"
20,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","270-458",133.173,133.173,133.173,3842.93,5.20843e-05,0,3709.76,"1.00","None"
21,"COMPLETED","Aurora","Aurora","1575-1595",138.396,138.396,138.396,442.396,5.20843e-05,0,304,"1.00","None"
22,"COMPLETED","Frontier","Frontier","998-1024:1026-1109:1112-1128:2049-2051:2358-2361",144.014,144.014,144.014,841.273,5.20843e-05,0,697.259,"1.00","None"
23,"COMPLETED","Aurora","Aurora","1596-1801",149.162,149.162,149.162,2029.16,5.20843e-05,0,1880,"1.00","None"
24,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","154-257:259-319:542",150.192,150.192,150.192,829.784,5.20843e-05,0,679.592,"1.00","None"
25,"COMPLETED","Aurora","Aurora","1802-1832",150.621,150.621,150.621,982.621,5.20843e-05,0,832,"1.00","None"
26,"COMPLETED","Andes","Andes","170-257:259-366:542",161.421,161.421,161.421,2011.42,5.20843e-05,0,1850,"1.00","None"
27,"COMPLETED","Aurora","Aurora","1833-2045",161.669,161.669,161.669,425.669,5.20843e-05,0,264,"1.00","None"
28,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","1-1152",162.968,162.968,92018.2,103126,5.20843e-05,91855.3,11107.3,"1.00","None"
29,"COMPLETED","Frontier","Frontier","1129-1400",170.775,170.775,170.775,9138.59,5.20843e-05,0,8967.82,"1.00","None"
30,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","1-212:258:543-577:1110-1111",173.283,173.283,1535.3,6320.67,5.20843e-05,1362.02,4785.37,"1.00","None"
31,"COMPLETED","Crux","Crux","1-126:129-157",201.219,201.219,5923.03,7237.03,5.20843e-05,5721.81,1314,"1.00","None"
32,"COMPLETED","Frontier","Frontier","1401-1449",206.704,206.704,206.704,775.238,5.20843e-05,0,568.534,"1.00","None"
