JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Frontier",0,0.00064691,7907.85,9737.89,0.00064691,7907.85,1830.04,"0.00:0.00:0.00:0.75:0.00:0.80","None"
2,"COMPLETED","Aurora","Aurora",0,0.000660142,31997.5,32826.6,0.000660142,31997.5,829.038,"0.00:0.00:0.00:0.81:0.00:0.78","None"
3,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000663813,25500.2,27811.9,0.000663813,25500.2,2311.68,"0.00:0.80:0.70:0.75:0.00:0.84","None"
4,"COMPLETED","Frontier","Frontier",0,0.000472962,3210.48,4078.3,0.000472962,3210.48,867.819,"0.00:0.00:0.00:0.00:0.00:0.84","None"
5,"COMPLETED","Andes","Perlmutter-Phase-2",0,0.000659992,35546.4,41371.2,0.000659992,35546.4,5824.8,"0.00:0.88:0.78:0.76:0.00:0.81","None"
6,"COMPLETED","Aurora","Aurora",0,0.000653881,1910.48,2307.12,0.000653881,1910.48,396.635,"0.00:0.00:0.00:0.95:0.00:0.85","None"
7,"COMPLETED","Andes","Perlmutter-Phase-2",0,0.000660219,3001.2,3876,0.000660219,3001.2,874.8,"0.79:0.89:0.79:0.76:0.00:0.81","None"
8,"COMPLETED","Andes","Perlmutter-Phase-2",0,0.000692421,21086.4,25485.6,0.000692421,21086.4,4399.2,"0.00:0.88:0.78:0.76:0.00:0.81","None"
9,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000663273,11158.3,12506.7,0.000663273,11158.3,1348.39,"0.00:0.83:0.74:0.76:0.00:0.85","None"
10,"COMPLETED","Crux","Frontier",0,0.000699376,5793.55,6750.4,0.000699376,5793.55,956.853,"0.76:0.80:0.73:0.80:0.00:0.85","None"
11,"COMPLETED","Frontier","Frontier",0,0.000478679,882.837,1701.31,0.000478679,882.837,818.474,"0.00:0.00:0.00:0.00:0.00:0.88","None"
12,"COMPLETED","Crux","Frontier",0,0.000663485,6596.07,10523.2,0.000663485,6596.07,3927.18,"0.76:0.80:0.73:0.80:0.00:0.85","None"
13,"COMPLETED","Aurora","Aurora",0,0.000657962,1711.15,1894.62,0.000657962,1711.15,183.462,"0.00:0.76:0.00:0.79:0.00:0.76","None"
14,"COMPLETED","Aurora","Frontier",0,0.000663273,41073.8,45159.7,0.000663273,41073.8,4085.94,"0.00:0.00:0.00:0.87:0.00:0.91","None"
15,"COMPLETED","Aurora","Aurora",0,0.00064786,7716.04,8609.12,0.00064786,7716.04,893.077,"0.00:0.00:0.00:0.87:0.00:0.84","None"
16,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",0,0.000659338,4666.8,5990.4,0.000659338,4666.8,1323.6,"0.00:0.82:0.72:0.76:0.00:0.77","None"
17,"COMPLETED","Frontier","Frontier",0,0.000661413,8400.23,10006.1,0.000661413,8400.23,1605.84,"0.00:0.00:0.00:0.85:0.00:0.89","None"
18,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.00065966,10987.6,11944.4,0.00065966,10987.6,956.853,"0.00:0.80:0.00:0.75:0.00:0.84","None"
19,"COMPLETED","Crux","Frontier",0,0.000658317,4959.12,9142.67,0.000658317,4959.12,4183.55,"0.76:0.80:0.73:0.80:0.00:0.85","None"
20,"COMPLETED","Frontier","Frontier",0,0.000523236,66270.5,68821.4,0.000523236,66270.5,2550.89,"0.00:0.00:0.00:0.00:0.00:0.85","None"
21,"COMPLETED","Crux","Andes",0,0.000662588,0.000662588,640.801,0.000662588,0,640.8,"0.86:0.80:0.73:0.80:0.00:0.77","None"
22,"COMPLETED","Aurora","Aurora",0,0.00066363,2307.12,2541.06,0.00066363,2307.12,233.942,"0.00:0.00:0.00:0.88:0.00:0.85","None"
23,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000662588,16347.9,18923.5,0.000662588,16347.9,2575.57,"0.00:0.82:0.72:0.76:0.00:0.84","None"
24,"COMPLETED","Frontier","Frontier",0,0.000461763,0.000461763,2402.86,0.000461763,0,2402.86,"0.00:0.00:0.00:0.00:0.00:0.93","None"
25,"COMPLETED","Frontier","Frontier",0,0.000477584,64302.1,65252.6,0.000477584,64302.1,950.417,"0.00:0.00:0.00:0.00:0.00:0.85","None"
26,"COMPLETED","Perlmutter-Phase-2","Frontier",0,0.000662588,20630.1,22053.6,0.000662588,20630.1,1423.48,"0.00:0.81:0.70:0.75:0.00:0.84","None"
27,"COMPLETED","Frontier","Frontier",0,0.000663927,11175.4,17669.6,0.000663927,11175.4,6494.16,"0.00:0.00:0.00:0.76:0.00:0.81","None"
28,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",0,0.000659017,60411.6,61976.4,0.000659017,60411.6,1564.8,"0.00:0.91:0.79:0.75:0.00:0.76","None"
29,"COMPLETED","Aurora","Aurora",0,0.000660433,3160.39,3613.85,0.000660433,3160.38,453.462,"0.00:0.00:0.00:0.94:0.00:0.85","None"
30,"COMPLETED","Aurora","Aurora",0,0.00066363,2351.83,2614.33,0.00066363,2351.83,262.5,"0.00:0.00:0.78:0.95:0.00:0.85","None"
31,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000661413,927.891,1707.75,0.000661413,927.89,779.857,"0.00:0.80:0.00:0.75:0.00:0.84","None"
32,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",0,0.000659338,13472.4,16528.8,0.000659338,13472.4,3056.4,"0.00:0.93:0.81:0.76:0.00:0.77","None"
33,"COMPLETED","Aurora","Aurora",0,0.000663906,2096.25,2351.83,0.000663906,2096.25,255.577,"0.00:0.77:0.68:0.80:0.00:0.77","None"
34,"COMPLETED","Frontier","Frontier",0,0.000472962,5736.83,7066.98,0.000472962,5736.83,1330.15,"0.00:0.00:0.00:0.00:0.00:0.80","None"
35,"COMPLETED","Aurora","Frontier",0,0.000663666,76992.2,79163.4,0.000663666,76992.2,2171.16,"0.00:0.00:0.00:0.85:0.00:0.89","None"
36,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000662588,18007.4,20462.8,0.000662588,18007.4,2455.42,"0.00:0.00:0.81:0.85:0.00:0.92","None"
37,"COMPLETED","Aurora","Aurora",0,0.000661234,27613.7,28170.5,0.000661234,27613.7,556.731,"0.00:0.00:0.00:0.90:0.00:0.80","None"
38,"COMPLETED","Andes","Frontier",0,0.000692421,9313.23,10305.5,0.000692421,9313.23,992.253,"0.78:0.79:0.70:0.76:0.00:0.89","None"
39,"COMPLETED","Aurora","Aurora",0,0.000663906,2016.06,3355.1,0.000663906,2016.06,1339.04,"0.00:0.00:0.82:0.96:0.00:0.86","None"
40,"COMPLETED","Aurora","Frontier",0,0.000660643,11646.4,15297.9,0.000660643,11646.4,3651.49,"0.00:0.78:0.69:0.80:0.00:0.85","None"
41,"COMPLETED","Perlmutter-Phase-1","Aurora",0,0.000663212,6675.09,8287.3,0.000663212,6675.08,1612.21,"0.00:0.00:0.00:0.91:0.00:0.85","None"
42,"COMPLETED","Aurora","Frontier",0,0.000675376,18923.5,21100,0.000675376,18923.5,2176.52,"0.00:0.00:0.00:0.88:0.00:0.92","None"
43,"COMPLETED","Perlmutter-Phase-1","Aurora",0,0.000691142,2660.19,4040.77,0.000691142,2660.19,1380.58,"0.00:0.00:0.85:0.93:0.00:0.86","None"
44,"COMPLETED","Crux","Perlmutter-Phase-2",0,0.000656834,0.000656834,1158,0.000656834,0,1158,"0.76:0.90:0.81:0.80:0.00:0.77","None"
45,"COMPLETED","Frontier","Frontier",0,0.000466833,5061.97,7597.84,0.000466833,5061.97,2535.88,"0.00:0.00:0.00:0.00:0.00:0.87","None"
46,"COMPLETED","Frontier","Frontier",0,0.000468635,138414,143708,0.000468635,138414,5293.8,"0.00:0.00:0.00:0.00:0.00:0.84","None"
47,"COMPLETED","Crux","Perlmutter-Phase-2",0,0.00066018,2041.2,3001.2,0.00066018,2041.2,960,"0.76:0.90:0.81:0.80:0.00:0.77","None"
48,"COMPLETED","Frontier","Frontier",0,0.000660643,5736.83,9313.23,0.000660643,5736.83,3576.4,"0.00:0.00:0.00:0.85:0.00:0.96","None"
49,"COMPLETED","Frontier","Frontier",0,0.000466833,2402.86,5736.83,0.000466833,2402.86,3333.97,"0.00:0.00:0.00:0.00:0.00:0.87","None"
50,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000654446,10030.7,11933.7,0.000654446,10030.7,1902.98,"0.00:0.00:0.82:0.85:0.00:0.92","None"
51,"COMPLETED","Aurora","Aurora",0,0.000663906,1782.4,2026.73,0.000663906,1782.4,244.327,"0.00:0.00:0.80:0.96:0.00:0.86","None"
52,"COMPLETED","Perlmutter-Phase-2","Frontier",0,0.000656581,100433,104756,0.000656581,100433,4323,"0.00:0.00:0.00:0.73:0.00:0.81","None"
53,"COMPLETED","Frontier","Frontier",0,0.000482977,7090.45,8302.61,0.000482977,7090.45,1212.16,"0.00:0.00:0.00:0.00:0.00:0.88","None"
54,"COMPLETED","Aurora","Aurora",0,0.000656118,8057.36,9412.26,0.000656118,8057.35,1354.9,"0.00:0.00:0.00:0.94:0.00:0.84","None"
55,"COMPLETED","Perlmutter-Phase-2","Frontier",0,0.000663273,39651.4,41073.8,0.000663273,39651.4,1422.41,"0.00:0.79:0.00:0.75:0.00:0.83","None"
56,"COMPLETED","Crux","Perlmutter-Phase-2",0,0.000659745,1158,2962.8,0.000659745,1158,1804.8,"0.76:0.90:0.81:0.80:0.00:0.77","None"
57,"COMPLETED","Andes","Frontier",0,0.000663813,12095.7,14492.1,0.000663813,12095.7,2396.42,"0.00:0.78:0.69:0.76:0.00:0.89","None"
58,"COMPLETED","Frontier","Aurora",0,0.000663779,1578.17,1986.06,0.000663779,1578.17,407.885,"0.00:0.00:0.00:0.92:0.00:0.89","None"
59,"COMPLETED","Frontier","Frontier",0,0.000472962,147139,150329,0.000472962,147139,3190.23,"0.00:0.00:0.00:0.00:0.00:0.90","None"
60,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",0,0.00065473,3428.4,4131.6,0.00065473,3428.4,703.2,"0.00:0.80:0.00:0.75:0.00:0.76","None"
