JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Frontier",0,0.000401346,1037.31,2867.34,0.000401346,1037.31,1830.04,"0.00:0.00:0.92:0.00:0.00:0.92","None"
2,"COMPLETED","Aurora","Frontier",0,0.000404279,151619,154702,0.000404279,151619,3082.96,"0.00:0.00:0.92:0.00:0.00:0.92","None"
3,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000411192,35312.4,37624.1,0.000411192,35312.4,2311.68,"0.00:0.92:0.95:0.00:0.92:0.96","None"
4,"COMPLETED","Frontier","Frontier",0,0.000404279,67179.3,68047.1,0.000404279,67179.3,867.819,"0.00:0.00:0.00:0.00:0.00:0.95","None"
5,"COMPLETED","Andes","Frontier",0,0.00040778,8767.22,13974.1,0.00040778,8767.22,5206.91,"0.92:0.92:0.92:0.00:0.92:0.92","None"
6,"COMPLETED","Aurora","Aurora",0,0.000411891,2183.65,2580.29,0.000411891,2183.65,396.635,"0.00:0.00:0.97:0.00:0.00:0.91","None"
7,"COMPLETED","Andes","Frontier",0,0.000407115,0.000407115,782.003,0.000407115,0,782.002,"0.92:0.92:0.92:0.00:0.92:0.92","None"
8,"COMPLETED","Andes","Perlmutter-Phase-2",0,0.00040783,0.00040783,4399.2,0.00040783,0,4399.2,"0.92:0.92:0.92:0.00:0.92:0.92","None"
9,"COMPLETED","Perlmutter-Phase-1","Aurora",0,0.000411066,1881.92,2244.52,0.000411066,1881.92,362.596,"0.00:0.92:0.96:0.00:0.92:0.96","None"
10,"COMPLETED","Crux","Aurora",0,0.000411066,1172.02,1429.33,0.000411066,1172.02,257.308,"0.92:0.92:0.96:0.92:0.92:0.95","None"
11,"COMPLETED","Frontier","Frontier",0,0.000401346,423.719,1242.19,0.000401346,423.719,818.474,"0.00:0.00:0.00:0.00:0.00:0.96","None"
12,"COMPLETED","Crux","Frontier",0,0.000410041,4907.63,8834.8,0.000410041,4907.63,3927.18,"0.92:0.92:0.95:0.92:0.92:0.96","None"
13,"COMPLETED","Aurora","Perlmutter-Phase-2",0,0.000408679,7323.6,8086.8,0.000408679,7323.6,763.2,"0.00:0.00:0.92:0.00:0.92:0.92","None"
14,"COMPLETED","Aurora","Frontier",0,0.000410862,39446.6,43532.6,0.000410862,39446.6,4085.94,"0.00:0.00:0.96:0.00:0.00:0.97","None"
15,"COMPLETED","Aurora","Frontier",0,0.000406668,62162.2,65483.3,0.000406668,62162.2,3321.1,"0.00:0.00:0.92:0.00:0.00:0.92","None"
16,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-1",0,0.000408679,9772.8,11096.4,0.000408679,9772.8,1323.6,"0.00:0.92:0.92:0.00:0.92:0.92","None"
17,"COMPLETED","Frontier","Frontier",0,0.000405972,2553.04,4158.88,0.000405972,2553.04,1605.84,"0.00:0.00:0.92:0.00:0.00:0.92","None"
18,"COMPLETED","Perlmutter-Phase-1","Aurora",0,0.000411218,2369.71,2627.02,0.000411218,2369.71,257.308,"0.00:0.92:0.96:0.00:0.92:0.95","None"
19,"COMPLETED","Crux","Frontier",0,0.000411192,6891.06,11074.6,0.000411192,6891.06,4183.55,"0.92:0.92:0.95:0.92:0.92:0.96","None"
20,"COMPLETED","Frontier","Frontier",0,0.000404279,65483.3,68034.2,0.000404279,65483.3,2550.89,"0.00:0.00:0.00:0.00:0.00:0.96","None"
21,"COMPLETED","Crux","Frontier",0,0.000408189,0.000408189,572.825,0.000408189,0,572.825,"0.92:0.92:0.92:0.92:0.92:0.92","None"
22,"COMPLETED","Aurora","Aurora",0,0.0004087,1647.98,1881.92,0.0004087,1647.98,233.942,"0.00:0.00:0.92:0.00:0.00:0.92","None"
23,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000410862,13647,16222.5,0.000410862,13647,2575.57,"0.00:0.92:0.95:0.00:0.92:0.96","None"
24,"COMPLETED","Frontier","Frontier",0,0.000405256,37043.8,39446.6,0.000405256,37043.8,2402.86,"0.00:0.00:0.00:0.00:0.00:0.97","None"
25,"COMPLETED","Frontier","Frontier",0,0.000401346,2055.3,3005.72,0.000401346,2055.3,950.417,"0.00:0.00:0.00:0.00:0.00:0.96","None"
26,"COMPLETED","Perlmutter-Phase-2","Aurora",0,0.000411066,2580.29,2963.08,0.000411066,2580.29,382.788,"0.00:0.92:0.96:0.00:0.92:0.95","None"
27,"COMPLETED","Frontier","Frontier",0,0.000407115,10764.6,17258.8,0.000407115,10764.6,6494.16,"0.00:0.00:0.92:0.00:0.00:0.92","None"
28,"COMPLETED","Perlmutter-Phase-2","Aurora",0,0.000408201,1271.83,1647.98,0.000408201,1271.83,376.154,"0.00:0.92:0.92:0.00:0.92:0.92","None"
29,"COMPLETED","Aurora","Aurora",0,0.000411772,2616.06,3069.52,0.000411772,2616.06,453.462,"0.00:0.00:0.97:0.00:0.00:0.92","None"
30,"COMPLETED","Aurora","Aurora",0,0.000411837,2039.71,2302.21,0.000411837,2039.71,262.5,"0.00:0.86:0.97:0.00:0.00:0.92","None"
31,"COMPLETED","Perlmutter-Phase-1","Aurora",0,0.000411066,1973.94,2183.65,0.000411066,1973.94,209.712,"0.00:0.92:0.95:0.00:0.92:0.95","None"
32,"COMPLETED","Perlmutter-Phase-2","Aurora",0,0.000407872,1271.83,2006.54,0.000407872,1271.83,734.712,"0.00:0.92:0.92:0.00:0.92:0.92","None"
33,"COMPLETED","Aurora","Perlmutter-Phase-1",0,0.00040885,14875.2,15938.4,0.00040885,14875.2,1063.2,"0.00:0.92:0.92:0.00:0.92:0.92","None"
34,"COMPLETED","Frontier","Frontier",0,0.000405256,12276,13606.2,0.000405256,12276,1330.15,"0.00:0.00:0.00:0.00:0.00:0.92","None"
35,"COMPLETED","Aurora","Frontier",0,0.000411192,88796.4,90967.6,0.000411192,88796.4,2171.16,"0.00:0.00:0.96:0.00:0.00:0.97","None"
36,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000411093,17747.9,20203.3,0.000411093,17747.9,2455.42,"0.00:0.92:0.96:0.00:0.00:0.97","None"
37,"COMPLETED","Aurora","Aurora",0,0.000411934,11395.1,11951.8,0.000411934,11395.1,556.731,"0.00:0.00:0.97:0.00:0.00:0.91","None"
38,"COMPLETED","Andes","Frontier",0,0.000410862,6737.66,7729.92,0.000410862,6737.66,992.253,"0.92:0.92:0.95:0.00:0.92:0.96","None"
39,"COMPLETED","Aurora","Aurora",0,0.000411589,1654.62,2993.65,0.000411589,1654.62,1339.04,"0.00:0.89:0.97:0.00:0.00:0.92","None"
40,"COMPLETED","Aurora","Frontier",0,0.000411192,9587.84,13239.3,0.000411192,9587.84,3651.49,"0.00:0.92:0.96:0.00:0.92:0.96","None"
41,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000411886,36097.6,42093,0.000411886,36097.6,5995.35,"0.00:0.92:0.92:0.00:0.00:0.93","None"
42,"COMPLETED","Aurora","Frontier",0,0.000410862,13606.2,15782.7,0.000410862,13606.2,2176.52,"0.00:0.00:0.96:0.00:0.00:0.97","None"
43,"COMPLETED","Perlmutter-Phase-1","Aurora",0,0.000411962,2394.52,3775.1,0.000411962,2394.52,1380.58,"0.00:0.92:0.94:0.00:0.00:0.93","None"
44,"COMPLETED","Crux","Crux",0,0.000408866,0.000408866,1158,0.000408866,0,1158,"0.92:0.92:0.92:0.92:0.92:0.92","None"
45,"COMPLETED","Frontier","Frontier",0,0.000401346,26778,29313.8,0.000401346,26777.9,2535.88,"0.00:0.00:0.00:0.00:0.00:0.96","None"
46,"COMPLETED","Frontier","Frontier",0,0.000404279,110443,115736,0.000404279,110443,5293.8,"0.00:0.00:0.00:0.00:0.00:0.97","None"
47,"COMPLETED","Crux","Andes",0,0.000408022,8454,9414,0.000408022,8454,960,"0.92:0.92:0.92:0.92:0.92:0.92","None"
48,"COMPLETED","Frontier","Frontier",0,0.000409794,4559,8135.4,0.000409794,4559,3576.4,"0.00:0.00:0.96:0.00:0.00:0.97","None"
49,"COMPLETED","Frontier","Frontier",0,0.000399264,29742.9,33076.9,0.000399264,29742.9,3333.97,"0.00:0.00:0.00:0.00:0.00:0.92","None"
50,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000411093,15782.7,17685.7,0.000411093,15782.7,1902.98,"0.00:0.92:0.96:0.00:0.00:0.97","None"
51,"COMPLETED","Aurora","Aurora",0,0.000411837,2125.39,2369.71,0.000411837,2125.38,244.327,"0.00:0.88:0.97:0.00:0.00:0.91","None"
52,"COMPLETED","Perlmutter-Phase-2","Frontier",0,0.000411192,81244.6,85567.6,0.000411192,81244.6,4323,"0.00:0.00:0.95:0.00:0.92:0.96","None"
53,"COMPLETED","Frontier","Frontier",0,0.000404279,1037.31,2249.46,0.000404279,1037.31,1212.16,"0.00:0.00:0.00:0.00:0.00:0.96","None"
54,"COMPLETED","Aurora","Aurora",0,0.000411962,5646.35,7001.25,0.000411962,5646.35,1354.9,"0.00:0.00:0.97:0.00:0.00:0.91","None"
55,"COMPLETED","Perlmutter-Phase-2","Frontier",0,0.000411093,49311.2,50733.6,0.000411093,49311.2,1422.41,"0.00:0.00:0.96:0.00:0.92:0.96","None"
56,"COMPLETED","Crux","Perlmutter-Phase-2",0,0.000408679,1228.8,3033.6,0.000408679,1228.8,1804.8,"0.92:0.92:0.92:0.92:0.92:0.92","None"
57,"COMPLETED","Andes","Aurora",0,0.000411218,2302.21,2946.64,0.000411218,2302.21,644.423,"0.92:0.92:0.96:0.00:0.92:0.95","None"
58,"COMPLETED","Frontier","Frontier",0,0.00041158,11549.8,13066.6,0.00041158,11549.8,1516.81,"0.00:0.00:0.93:0.00:0.00:0.96","None"
