JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Frontier",0,5.4789e-05,5.4789e-05,1830.04,5.4789e-05,0,1830.04,"1.00","None"
2,"COMPLETED","Aurora","Aurora",0,5.43456e-05,5.43456e-05,829.039,5.43456e-05,0,829.038,"1.00","None"
3,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,5.44786e-05,5.44786e-05,2586,5.44786e-05,0,2586,"1.00","None"
4,"COMPLETED","Frontier","Frontier",0,5.4789e-05,5.4789e-05,867.819,5.4789e-05,0,867.819,"1.00","None"
5,"COMPLETED","Andes","Andes",0,5.26607e-05,5.26607e-05,5824.8,5.26607e-05,0,5824.8,"1.00","None"
6,"COMPLETED","Aurora","Aurora",0,5.43456e-05,5.43456e-05,396.635,5.43456e-05,0,396.635,"1.00","None"
7,"COMPLETED","Andes","Andes",0,5.26607e-05,5824.8,6699.6,5.26607e-05,5824.8,874.8,"1.00","None"
8,"COMPLETED","Andes","Andes",0,5.26607e-05,6699.6,11098.8,5.26607e-05,6699.6,4399.2,"1.00","None"
9,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,5.44786e-05,2586,4094.4,5.44786e-05,2586,1508.4,"1.00","None"
10,"COMPLETED","Crux","Crux",0,5.29268e-05,5.29268e-05,1070.4,5.29268e-05,0,1070.4,"1.00","None"
11,"COMPLETED","Frontier","Frontier",0,5.4789e-05,5.4789e-05,818.474,5.4789e-05,0,818.474,"1.00","None"
12,"COMPLETED","Crux","Crux",0,5.29268e-05,1070.4,5463.6,5.29268e-05,1070.4,4393.2,"1.00","None"
13,"COMPLETED","Aurora","Aurora",0,5.43456e-05,396.635,580.096,5.43456e-05,396.635,183.462,"1.00","None"
14,"COMPLETED","Aurora","Aurora",0,5.43456e-05,829.039,1927.79,5.43456e-05,829.038,1098.75,"1.00","None"
15,"COMPLETED","Aurora","Aurora",0,5.43456e-05,829.039,1722.12,5.43456e-05,829.038,893.077,"1.00","None"
16,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",0,5.31485e-05,5.31485e-05,1323.6,5.31485e-05,0,1323.6,"1.00","None"
17,"COMPLETED","Frontier","Frontier",0,5.4789e-05,5.4789e-05,1605.84,5.4789e-05,0,1605.84,"1.00","None"
18,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,5.44786e-05,72104.4,73174.8,5.44786e-05,72104.4,1070.4,"1.00","None"
19,"COMPLETED","Crux","Crux",0,5.29268e-05,5463.6,10143.6,5.29268e-05,5463.6,4680,"1.00","None"
