JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"REJECTED","Frontier","Crux",0,-1,-1,0.000423356,0.000423356,-1,-1,"0.46:0.02:0.52:0.73:0.02:0.11","Job requires more nodes than the System has"
2,"REJECTED","Aurora","Crux",0,-1,-1,0.000423356,0.000423356,-1,-1,"0.08:0.82:0.45:0.89:0.03:0.03","Job requires more nodes than the System has"
3,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,0.000423373,0.000423373,2586,0.000423373,0,2586,"0.51:0.56:0.23:0.37:0.48:0.08","None"
4,"REJECTED","Frontier","Perlmutter-Phase-1",0,-1,-1,0.000423373,0.000423373,-1,-1,"0.95:0.98:0.42:0.87:0.82:0.56","Job requires more nodes than the System has"
5,"COMPLETED","Andes","Aurora",0,0.000423356,0.000423356,1400.19,0.000423356,0,1400.19,"0.17:0.17:0.84:0.04:0.53:0.11","None"
6,"REJECTED","Aurora","Perlmutter-Phase-1",0,-1,-1,0.000423373,0.000423373,-1,-1,"0.59:0.83:0.30:0.18:0.59:0.05","Job requires more nodes than the System has"
7,"COMPLETED","Andes","Perlmutter-Phase-1",0,0.000423373,2586,3460.8,0.000423373,2586,874.8,"0.12:0.99:0.70:0.03:0.55:0.91","None"
8,"COMPLETED","Andes","Perlmutter-Phase-1",0,0.000423373,2586,6985.2,0.000423373,2586,4399.2,"0.53:0.87:0.34:0.14:0.77:0.30","None"
9,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",0,0.000423373,0.000423373,1508.4,0.000423373,0,1508.4,"0.16:0.21:0.71:0.40:0.93:0.67","None"
10,"COMPLETED","Crux","Perlmutter-Phase-1",0,0.000423373,2586,3656.4,0.000423373,2586,1070.4,"0.15:0.81:0.16:0.40:0.80:0.05","None"
11,"REJECTED","Frontier","Crux",0,-1,-1,0.000423356,0.000423356,-1,-1,"0.57:0.41:0.90:0.96:0.03:0.76","Job requires more nodes than the System has"
12,"COMPLETED","Crux","Andes",0,0.000423373,0.000423373,4393.2,0.000423373,0,4393.2,"0.90:0.16:0.11:0.24:0.47:0.75","None"
13,"REJECTED","Aurora","Perlmutter-Phase-1",0,-1,-1,0.000423373,0.000423373,-1,-1,"0.06:0.80:0.33:0.20:0.02:0.35","Job requires more nodes than the System has"
14,"REJECTED","Aurora","Perlmutter-Phase-1",0,-1,-1,0.000423373,0.000423373,-1,-1,"0.82:0.86:0.73:0.61:0.71:0.54","Job requires more nodes than the System has"
15,"REJECTED","Aurora","Andes",0,-1,-1,0.000423373,0.000423373,-1,-1,"0.99:0.27:0.57:0.65:0.21:0.58","Job requires more nodes than the System has"
16,"REJECTED","Perlmutter-Phase-2","Crux",0,-1,-1,0.000423356,0.000423356,-1,-1,"0.66:0.60:0.15:0.81:0.80:0.24","Job requires more nodes than the System has"
