JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Perlmutter-Phase-2","Frontier",0,0.000845174,33.2547,69.7267,0.000845174,33.2539,36.472,"0.77:0.76:0.75:0.80:0.75:0.78","None"
2,"COMPLETED","Perlmutter-Phase-1","Crux",0,0.00084613,0.00084613,88.8008,0.00084613,0,88.8,"0.83:0.75:0.83:0.76:0.75:0.77","None"
3,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,0.000835919,154.801,297.601,0.000835919,154.8,142.8,"0.00:0.67:0.00:0.62:0.80:0.00","None"
4,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,0.00081691,66.0008,246.001,0.00081691,65.9999,180,"0.00:0.66:0.00:0.62:0.80:0.00","None"
5,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",0,0.000847719,372.001,496.801,0.000847719,372,124.8,"0.71:0.77:0.63:0.77:0.77:0.83","None"
6,"COMPLETED","Andes","Perlmutter-Phase-2",0,0.000832829,0.000832829,75.6008,0.000832829,0,75.6,"0.75:0.75:0.72:0.76:0.79:0.83","None"
7,"COMPLETED","Frontier","Frontier",0,0.000838123,70.7992,133.016,0.000838123,70.7984,62.2169,"0.00:0.66:0.00:0.81:0.58:0.00","None"
8,"COMPLETED","Frontier","Perlmutter-Phase-2",0,0.000845374,0.000845374,50.4008,0.000845374,0,50.4,"0.77:0.75:0.76:0.76:0.79:0.83","None"
9,"COMPLETED","Frontier","Frontier",0,0.000828349,0.000828349,172.706,0.000828349,0,172.706,"0.00:0.81:0.00:0.81:0.81:0.00","None"
10,"COMPLETED","Aurora","Frontier",0,0.00083876,129.798,223.124,0.00083876,129.797,93.3254,"0.00:0.80:0.00:0.84:0.76:0.00","None"
11,"COMPLETED","Andes","Frontier",0,0.000847332,127.653,216.687,0.000847332,127.652,89.0346,"0.76:0.77:0.71:0.81:0.75:0.78","None"
12,"COMPLETED","Aurora","Perlmutter-Phase-2",0,0.0125243,492.001,696.001,0.0125243,491.988,204,"0.70:0.76:0.62:0.76:0.76:0.82","None"
13,"COMPLETED","Crux","Perlmutter-Phase-2",0,0.000840267,0.000840267,60.0008,0.000840267,0,60,"0.71:0.75:0.65:0.75:0.76:0.81","None"
14,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.0016251,243.505,447.319,0.0016251,243.503,203.814,"0.00:0.80:0.00:0.84:0.79:0.00","None"
15,"COMPLETED","Perlmutter-Phase-1","Andes",0,0.000790716,0.000790716,57.6008,0.000790716,0,57.6,"0.83:0.76:0.82:0.77:0.76:0.79","None"
16,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,0.000843017,214.801,424.801,0.000843017,214.8,210,"0.00:0.67:0.00:0.62:0.79:0.00","None"
17,"COMPLETED","Frontier","Frontier",0,0.000836318,0.000836318,227.414,0.000836318,0,227.414,"0.00:0.65:0.00:0.80:0.60:0.00","None"
18,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000838448,143.743,316.449,0.000838448,143.743,172.706,"0.00:0.80:0.00:0.84:0.76:0.00","None"
19,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,0.000829553,787.201,975.601,0.000829553,787.2,188.4,"0.00:0.68:0.00:0.63:0.78:0.00","None"
20,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,0.000838617,109.201,147.601,0.000838617,109.2,38.4,"0.00:0.67:0.00:0.62:0.79:0.00","None"
21,"COMPLETED","Andes","Andes",0,0.00144296,144.001,208.801,0.00144296,143.999,64.8,"0.83:0.77:0.79:0.77:0.75:0.79","None"
22,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,0.000821374,66.0008,129.601,0.000821374,65.9999,63.6,"0.00:0.68:0.00:0.62:0.80:0.00","None"
23,"COMPLETED","Frontier","Perlmutter-Phase-1",0,0.000839752,346.801,500.401,0.000839752,346.8,153.6,"0.00:0.81:0.00:0.81:0.82:0.00","None"
24,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,0.000838914,682.801,896.401,0.000838914,682.8,213.6,"0.00:0.68:0.00:0.63:0.78:0.00","None"
25,"COMPLETED","Andes","Frontier",0,0.000844574,72.9448,142.671,0.000844574,72.9439,69.7259,"0.76:0.75:0.76:0.80:0.75:0.77","None"
26,"COMPLETED","Aurora","Aurora",0,0.0010761,0.0010761,26.828,0.0010761,0,26.8269,"0.00:0.85:0.00:0.63:0.59:0.00","None"
27,"COMPLETED","Frontier","Perlmutter-Phase-2",0,0.000847558,51.6008,316.801,0.000847558,51.6,265.2,"0.78:0.76:0.77:0.76:0.80:0.84","None"
28,"COMPLETED","Perlmutter-Phase-2","Frontier",0,0.00102596,43.9818,83.6719,0.00102596,43.9807,39.6901,"0.77:0.76:0.74:0.81:0.75:0.78","None"
29,"COMPLETED","Frontier","Frontier",0,0.000830622,0.000830622,211.324,0.000830622,0,211.323,"0.72:0.75:0.67:0.80:0.73:0.76","None"
30,"COMPLETED","Frontier","Frontier",0,0.000702757,0.000702757,90.108,0.000702757,0,90.1073,"0.00:0.65:0.00:0.79:0.60:0.00","None"
31,"COMPLETED","Frontier","Frontier",0,0.000782112,0.000782112,115.853,0.000782112,0,115.852,"0.00:0.68:0.00:0.81:0.59:0.00","None"
32,"COMPLETED","Frontier","Frontier",0,0.000702757,0.000702757,139.452,0.000702757,0,139.452,"0.00:0.67:0.00:0.81:0.56:0.00","None"
33,"COMPLETED","Frontier","Perlmutter-Phase-2",0,0.000856135,88.8008,368.401,0.000856135,88.8,279.6,"0.75:0.76:0.71:0.76:0.79:0.83","None"
34,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000842636,172.706,347.557,0.000842636,172.706,174.851,"0.00:0.80:0.00:0.84:0.77:0.00","None"
35,"COMPLETED","Frontier","Frontier",0,0.000840381,40.7636,74.0175,0.000840381,40.7628,33.2539,"0.00:0.68:0.00:0.81:0.60:0.00","None"
36,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000842474,117.998,187.724,0.000842474,117.998,69.7259,"0.73:0.75:0.68:0.79:0.73:0.76","None"
37,"COMPLETED","Frontier","Frontier",0,0.000828349,0.000828349,51.4907,0.000828349,0,51.4899,"0.00:0.68:0.00:0.81:0.57:0.00","None"
