JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Perlmutter-Phase-2","Frontier",0,0.00075441,35.4,71.872,0.00075441,35.3993,36.472,"0.71:0.75:0.71:0.75:0.71:0.71","None"
2,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",0,0.000747295,0.000747295,88.8007,0.000747295,0,88.8,"0.71:0.71:0.71:0.71:0.71:0.71","None"
3,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,0.000756691,174.001,316.801,0.000756691,174,142.8,"0.00:0.69:0.00:0.67:0.71:0.00","None"
4,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,0.000756784,79.2007,259.201,0.000756784,79.2,180,"0.00:0.70:0.00:0.64:0.71:0.00","None"
5,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",0,0.00074458,0.00074458,124.801,0.00074458,0,124.8,"0.71:0.71:0.71:0.71:0.71:0.71","None"
6,"COMPLETED","Andes","Andes",0,0.000746211,0.000746211,75.6007,0.000746211,0,75.6,"0.71:0.71:0.71:0.71:0.71:0.71","None"
7,"COMPLETED","Frontier","Frontier",0,0.000756117,114.78,176.997,0.000756117,114.779,62.2169,"0.00:0.66:0.00:0.76:0.60:0.00","None"
8,"COMPLETED","Frontier","Crux",0,0.000746251,0.000746251,50.4007,0.000746251,0,50.4,"0.71:0.71:0.71:0.71:0.71:0.71","None"
9,"COMPLETED","Frontier","Aurora",0,0.000744633,0.000744633,46.4431,0.000744633,0,46.4423,"0.00:0.71:0.00:0.71:0.71:0.00","None"
10,"COMPLETED","Aurora","Frontier",0,0.000754594,154.47,247.796,0.000754594,154.47,93.3254,"0.00:0.76:0.00:0.76:0.71:0.00","None"
11,"COMPLETED","Andes","Frontier",0,0.00075538,55.7814,144.816,0.00075538,55.7807,89.0346,"0.71:0.75:0.71:0.75:0.71:0.71","None"
12,"COMPLETED","Aurora","Andes",0,0.00074697,385.201,589.201,0.00074697,385.2,204,"0.71:0.71:0.71:0.71:0.71:0.71","None"
13,"COMPLETED","Crux","Crux",0,0.000749268,464.401,524.401,0.000749268,464.4,60,"0.71:0.71:0.71:0.71:0.71:0.71","None"
14,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000755472,218.833,422.647,0.000755472,218.832,203.814,"0.00:0.76:0.00:0.76:0.71:0.00","None"
15,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,0.000745761,42.0007,99.6007,0.000745761,42,57.6,"0.71:0.71:0.71:0.71:0.71:0.71","None"
16,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,0.00075648,358.801,568.801,0.00075648,358.8,210,"0.00:0.69:0.00:0.64:0.71:0.00","None"
17,"COMPLETED","Frontier","Frontier",0,0.000756117,40.7636,268.177,0.000756117,40.7628,227.414,"0.00:0.68:0.00:0.76:0.61:0.00","None"
18,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000755635,247.796,420.501,0.000755635,247.795,172.706,"0.00:0.76:0.00:0.76:0.71:0.00","None"
19,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,0.000756713,872.401,1060.8,0.000756713,872.4,188.4,"0.00:0.70:0.00:0.65:0.71:0.00","None"
20,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,0.000756677,79.2007,117.601,0.000756677,79.2,38.4,"0.00:0.70:0.00:0.66:0.71:0.00","None"
21,"COMPLETED","Andes","Perlmutter-Phase-1",0,0.000746219,42.0007,106.801,0.000746219,42,64.8,"0.71:0.71:0.71:0.71:0.71:0.71","None"
22,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,0.000756663,70.8007,134.401,0.000756663,70.8,63.6,"0.00:0.65:0.00:0.67:0.71:0.00","None"
23,"COMPLETED","Frontier","Frontier",0,0.000745211,0.000745211,137.307,0.000745211,0,137.306,"0.00:0.71:0.00:0.71:0.71:0.00","None"
24,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,0.000756663,841.201,1054.8,0.000756663,841.2,213.6,"0.00:0.68:0.00:0.65:0.71:0.00","None"
25,"COMPLETED","Andes","Aurora",0,0.000756743,14.1354,32.8854,0.000756743,14.1346,18.75,"0.71:0.75:0.71:0.75:0.71:0.71","None"
