JobId,FinalStatus,SubmittedTo,ScheduledOn,NodeList,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Perlmutter-Phase-2","Frontier","122-237:258",4.502,20.7882,20.7882,2230.56,16.2862,0,2209.77,"0.03:0.78:0.03:0.93:0.03:0.67","None"
2,"COMPLETED","Perlmutter-Phase-2","Aurora","1-208:258",4.883,21.975,21.975,1133.97,17.092,0,1112,"0.02:0.82:0.02:0.05:0.04:0.45","None"
3,"COMPLETED","Frontier","Frontier","1-64:5248-5282",5.489,19.0308,19.0308,973.739,13.5418,0,954.708,"0.00:0.89:0.00:0.95:0.05:0.00","None"
4,"COMPLETED","Crux","Frontier","238-257:259-283:542",7.316,24.7934,24.7934,410.967,17.4774,0,386.174,"0.02:0.82:0.04:0.87:0.03:0.62","None"
5,"COMPLETED","Aurora","Aurora","349-526:1025",8.041,24.4323,24.4323,920.432,16.3913,0,896,"0.00:0.96:0.00:0.72:0.05:0.00","None"
6,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","1-189:258",8.61,22.4773,22.4773,1106.15,13.8673,0,1083.67,"0.04:0.04:0.04:0.05:0.05:0.72","None"
7,"COMPLETED","Frontier","Frontier","65-121",8.739,20.5152,20.5152,2519.92,11.7762,0,2499.4,"0.00:0.05:0.00:0.97:0.05:0.00","None"
8,"COMPLETED","Aurora","Aurora","209-257:259-348:536:542",10.036,24.0814,24.0814,1712.08,14.0454,0,1688,"0.00:0.35:0.00:0.04:0.04:0.00","None"
9,"COMPLETED","Perlmutter-Phase-2","Aurora","620-771",10.667,25.2858,25.2858,729.286,14.6188,0,704,"0.03:0.91:0.02:0.04:0.02:0.72","None"
10,"COMPLETED","Crux","Aurora","527-535:537-541:543-619:1104-1105:1110-1111",11.464,24.5748,24.5748,1064.57,13.1108,0,1040,"0.04:0.72:0.05:0.04:0.02:0.04","None"
11,"COMPLETED","Perlmutter-Phase-1","Aurora","772-1005",11.769,25.6193,25.6193,353.619,13.8503,0,328,"0.05:0.78:0.04:0.05:0.04:0.04","None"
12,"COMPLETED","Frontier","Aurora","1006-1024:1026-1103:1106-1109:1112-1136:2049-2051:2352-2355:2358-2361",12.004,28.2674,28.2674,708.267,16.2634,0,680,"0.00:0.93:0.00:0.28:0.03:0.00","None"
13,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2","190-257:259-413:542",13.125,27.0683,27.0683,3057.68,13.9433,0,3030.61,"0.02:0.03:0.02:0.04:0.03:0.93","None"
14,"COMPLETED","Frontier","Frontier","284-317",14.068,27.5044,27.5044,1228.93,13.4364,0,1201.43,"0.00:0.04:0.00:0.96:0.04:0.00","None"
15,"COMPLETED","Frontier","Aurora","1137-1306",14.155,28.83,28.83,1556.83,14.675,0,1528,"0.03:0.88:0.04:0.05:0.04:0.45","None"
16,"COMPLETED","Aurora","Aurora","1307-1487",15.816,29.83,29.83,957.83,14.014,0,928,"0.00:0.96:0.00:0.07:0.95:0.00","None"
17,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2","414-432",16.4,32.1497,32.1497,1299.5,15.7497,0,1267.35,"0.28:0.82:0.04:0.82:0.88:0.93","None"
18,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","79-290:542",16.498,31.7944,31.7944,975.697,15.2964,0,943.902,"0.00:0.88:0.00:0.08:0.93:0.00","None"
19,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","1-78",16.851,30.3209,30.3209,4859.59,13.4699,0,4829.27,"0.00:0.88:0.00:0.87:0.95:0.00","None"
20,"COMPLETED","Frontier","Frontier","318-541:543-571:1025:1110-1111",17.079,31.6515,31.6515,2026.88,14.5725,0,1995.23,"0.00:0.88:0.00:0.93:0.82:0.00","None"
21,"COMPLETED","Perlmutter-Phase-1","Aurora","1634-1729",18.655,32.7912,32.7912,296.791,14.1362,0,264,"0.00:0.92:0.00:0.05:0.05:0.00","None"
22,"COMPLETED","Aurora","Aurora","1488-1633",19.026,32.4854,32.4854,896.485,13.4594,0,864,"0.00:0.97:0.00:0.05:0.03:0.00","None"
23,"COMPLETED","Aurora","Frontier","726-877",19.03,33.7681,33.7681,934.841,14.7381,0,901.073,"0.00:0.12:0.00:0.73:0.04:0.00","None"
24,"COMPLETED","Frontier","Frontier","572-725",19.65,32.263,32.263,2274.22,12.613,0,2241.95,"0.00:0.90:0.00:0.92:0.04:0.00","None"
25,"COMPLETED","Frontier","Frontier","878-880",19.988,34.4781,34.4781,881.916,14.4901,0,847.437,"0.00:0.93:0.00:0.96:0.08:0.00","None"
26,"COMPLETED","Andes","Frontier","881-906",20.03,35.0621,35.0621,957.589,15.0321,0,922.527,"0.08:0.82:0.03:0.88:0.07:0.62","None"
27,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","291-329",21.394,36.3524,36.3524,4185.13,14.9584,0,4148.78,"0.22:0.82:0.04:0.93:0.93:0.93","None"
28,"COMPLETED","Frontier","Frontier","915-1007",22.054,36.14,36.14,443.768,14.086,0,407.628,"0.00:0.08:0.00:0.91:0.04:0.00","None"
29,"COMPLETED","Frontier","Frontier","907-914",23.247,35.6632,35.6632,936.736,12.4162,0,901.073,"0.00:0.91:0.00:0.95:0.04:0.00","None"
30,"COMPLETED","Perlmutter-Phase-1","Aurora","1730-1877",24.526,39.2688,39.2688,335.269,14.7428,0,296,"0.00:0.93:0.00:0.88:0.25:0.00","None"
31,"COMPLETED","Perlmutter-Phase-2","Frontier","1008-1024:1026-1109:1112-1150:2049-2051:2358-2361",24.615,38.5949,38.5949,682.218,13.9799,0,643.623,"0.02:0.04:0.02:0.07:0.04:0.03","None"
32,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","433-541:543-584:1025:1110-1111",25.508,41.1686,41.1686,1584.03,15.6606,0,1542.86,"0.03:0.82:0.02:0.04:0.88:0.92","None"
33,"COMPLETED","Crux","Perlmutter-Phase-2","585-747",25.849,45.1782,45.1782,1294.16,19.3292,0,1248.98,"0.08:0.62:0.05:0.04:0.04:0.87","None"
34,"COMPLETED","Perlmutter-Phase-1","Aurora","1878-2048:2052-2055:4097-4103",28.05,44.2487,44.2487,1428.25,16.1987,0,1384,"0.00:0.91:0.00:0.87:0.87:0.00","None"
35,"COMPLETED","Andes","Frontier","1181-1254",29.051,45.0467,45.0467,667.216,15.9957,0,622.169,"0.45:0.05:0.02:0.78:0.04:0.47","None"
36,"COMPLETED","Frontier","Perlmutter-Phase-2","748-836",30.092,45.2862,45.2862,2543.25,15.1942,0,2497.96,"0.35:0.03:0.04:0.04:0.04:0.88","None"
37,"COMPLETED","Frontier","Frontier","1151-1180",30.092,42.8941,42.8941,1040.51,12.8021,0,997.616,"0.00:0.88:0.00:0.95:0.05:0.00","None"
38,"COMPLETED","Frontier","Perlmutter-Phase-2","1083-1109:1112-1292:2358-2361",30.173,47.9285,47.9285,2656.09,17.7555,0,2608.16,"0.03:0.78:0.03:0.04:0.03:0.82","None"
39,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","837-1024:1026-1082:2049-2051",30.354,46.3089,46.3089,2856.51,15.9549,0,2810.2,"0.02:0.87:0.03:0.04:0.87:0.91","None"
40,"COMPLETED","Perlmutter-Phase-1","Frontier","1271-1408",30.397,46.0698,46.0698,485.879,15.6728,0,439.809,"0.00:0.22:0.00:0.88:0.04:0.00","None"
41,"COMPLETED","Perlmutter-Phase-1","Aurora","2480-2501",30.887,50.175,50.175,362.175,19.288,0,312,"0.00:0.88:0.00:0.82:0.72:0.00","None"
42,"COMPLETED","Aurora","Aurora","2056-2158",30.993,45.3215,45.3215,1725.32,14.3285,0,1680,"0.00:0.91:0.00:0.82:0.04:0.00","None"
43,"COMPLETED","Frontier","Frontier","1255-1270",31.07,45.5054,45.5054,1997.83,14.4354,0,1952.32,"0.02:0.04:0.03:0.88:0.03:0.03","None"
44,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","330-425",31.302,45.9795,45.9795,4063.05,14.6775,0,4017.07,"0.00:0.87:0.00:0.82:0.88:0.00","None"
45,"COMPLETED","Frontier","Frontier","1409-1505",31.641,46.6711,46.6711,379.21,15.0301,0,332.539,"0.03:0.04:0.03:0.88:0.03:0.02","None"
46,"COMPLETED","Frontier","Frontier","1506-1761",32.643,48.9106,48.9106,692.534,16.2676,0,643.623,"0.00:0.91:0.00:0.91:0.04:0.00","None"
47,"COMPLETED","Aurora","Aurora","2356-2357:2362-2479:5083-5098",33.466,48.3692,48.3692,640.369,14.9032,0,592,"0.00:0.95:0.00:0.03:0.04:0.00","None"
48,"COMPLETED","Aurora","Aurora","2159-2351:5082",34.542,47.7114,47.7114,751.711,13.1694,0,704,"0.00:0.91:0.00:0.04:0.04:0.00","None"
49,"COMPLETED","Crux","Perlmutter-Phase-2","1293-1471",37.347,53.8553,53.8553,4388.55,16.5083,0,4334.69,"0.04:0.04:0.03:0.03:0.04:0.58","None"
50,"COMPLETED","Andes","Frontier","1790-2017",39.991,55.6671,55.6671,463.295,15.6761,0,407.628,"0.28:0.05:0.02:0.88:0.04:0.62","None"
51,"COMPLETED","Aurora","Aurora","2702-2765",40.008,55.2235,55.2235,423.223,15.2155,0,368,"0.00:0.93:0.00:0.88:0.03:0.00","None"
52,"COMPLETED","Frontier","Frontier","2018-2046",40.585,55.8675,55.8675,624.401,15.2825,0,568.534,"0.00:0.87:0.00:0.93:0.05:0.00","None"
53,"COMPLETED","Aurora","Frontier","2047-2048:4097-4100",41.257,57.8101,57.8101,508.346,16.5531,0,450.536,"0.03:0.91:0.03:0.91:0.03:0.62","None"
54,"COMPLETED","Perlmutter-Phase-1","Aurora","2502-2701",41.456,54.4298,54.4298,926.43,12.9738,0,872,"0.00:0.83:0.00:0.08:0.04:0.00","None"
55,"COMPLETED","Perlmutter-Phase-1","Aurora","2766-2914",41.593,56.2486,56.2486,1320.25,14.6556,0,1264,"0.00:0.87:0.00:0.74:0.05:0.00","None"
56,"COMPLETED","Perlmutter-Phase-1","Aurora","3027-3186",41.724,57.5383,57.5383,1193.54,15.8143,0,1136,"0.00:0.88:0.00:0.82:0.87:0.00","None"
57,"COMPLETED","Perlmutter-Phase-1","Frontier","1762-1789",42.019,55.4971,55.4971,538.215,13.4781,0,482.718,"0.08:0.05:0.03:0.93:0.04:0.04","None"
58,"COMPLETED","Perlmutter-Phase-1","Aurora","2915-3026",42.373,57.2292,57.2292,1345.23,14.8562,0,1288,"0.00:0.91:0.00:0.82:0.05:0.00","None"
59,"COMPLETED","Aurora","Perlmutter-Phase-1","426-541:543-575:1025:1110-1111",44.776,62.1754,62.1754,4145.1,17.3994,0,4082.93,"0.00:0.82:0.00:0.07:0.91:0.00","None"
60,"COMPLETED","Aurora","Aurora","3613-3684",45.423,63.3437,63.3437,527.344,17.9207,0,464,"0.00:0.95:0.00:0.78:0.08:0.00","None"
