JobId,FinalStatus,SubmittedTo,ScheduledOn,NodeList,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","1-117",4.502,4.50205,4.50205,3788.18,5.20843e-05,0,3783.67,"1.00","None"
2,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","118-325:542",4.883,4.88305,4.88305,2557.94,5.20843e-05,0,2553.06,"1.00","None"
3,"COMPLETED","Frontier","Frontier","1-64:5248-5282",5.489,5.48905,5.48905,960.197,5.20843e-05,0,954.708,"1.00","None"
4,"COMPLETED","Crux","Crux","1-46",7.316,7.31605,7.31605,655.316,5.20843e-05,0,648,"1.00","None"
5,"COMPLETED","Aurora","Aurora","1-178:258",8.041,8.04105,8.04105,904.041,5.20843e-05,0,896,"1.00","None"
6,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","326-514:1025",8.61,8.61005,8.61005,1092.28,5.20843e-05,0,1083.67,"1.00","None"
7,"COMPLETED","Frontier","Frontier","65-121",8.739,8.73905,8.73905,2508.14,5.20843e-05,0,2499.4,"1.00","None"
8,"COMPLETED","Aurora","Aurora","179-257:259-318:536:542",10.036,10.0361,10.0361,1698.04,5.20843e-05,0,1688,"1.00","None"
9,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","515-541:543-665:1110-1111",10.667,10.6671,10.6671,1626.99,5.20843e-05,0,1616.33,"1.00","None"
10,"COMPLETED","Crux","Crux","47-141",11.464,11.4641,11.4641,2351.46,5.20843e-05,0,2340,"1.00","None"
11,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","1-233:258",11.769,11.7691,11.7691,911.769,5.20843e-05,0,900,"1.00","None"
12,"COMPLETED","Frontier","Frontier","122-258",12.004,12.0041,12.0041,923.804,5.20843e-05,0,911.8,"1.00","None"
13,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","234-257:259-457:542",13.125,13.1251,13.1251,3635.08,5.20843e-05,0,3621.95,"1.00","None"
14,"COMPLETED","Frontier","Frontier","259-291:542",14.068,14.0681,14.0681,1215.5,5.20843e-05,0,1201.43,"1.00","None"
15,"COMPLETED","Frontier","Frontier","292-461",14.155,14.1551,14.1551,2063.02,5.20843e-05,0,2048.87,"1.00","None"
16,"COMPLETED","Aurora","Aurora","319-499",15.816,15.8161,15.8161,943.816,5.20843e-05,0,928,"1.00","None"
17,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","458-476",16.4,16.4001,16.4001,1531.03,5.20843e-05,0,1514.63,"1.00","None"
18,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","477-541:543-687:1025:1110-1111",16.498,16.4981,16.4981,960.4,5.20843e-05,0,943.902,"1.00","None"
19,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","688-765",16.851,16.8511,16.8511,4846.12,5.20843e-05,0,4829.27,"1.00","None"
20,"COMPLETED","Frontier","Frontier","462-541:543-715:1025:1110-1111",17.079,17.0791,17.0791,2012.31,5.20843e-05,0,1995.23,"1.00","None"
21,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","766-861",18.655,18.6551,18.6551,743.045,5.20843e-05,0,724.39,"1.00","None"
22,"COMPLETED","Aurora","Aurora","500-535:537-541:543-642:1025:1104-1105:1110-1111",19.026,19.0261,19.0261,883.026,5.20843e-05,0,864,"1.00","None"
23,"COMPLETED","Aurora","Aurora","643-794",19.03,19.0301,19.0301,691.03,5.20843e-05,0,672,"1.00","None"
24,"COMPLETED","Frontier","Frontier","716-869",19.65,19.6501,19.6501,2261.6,5.20843e-05,0,2241.95,"1.00","None"
25,"COMPLETED","Frontier","Frontier","870-872",19.988,19.9881,19.9881,867.425,5.20843e-05,0,847.437,"1.00","None"
26,"COMPLETED","Andes","Andes","1-26",20.03,20.0301,20.0301,4320.03,5.20843e-05,0,4300,"1.00","None"
27,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","862-900",21.394,21.3941,21.3941,4170.17,5.20843e-05,0,4148.78,"1.00","None"
28,"COMPLETED","Frontier","Frontier","873-965",22.054,22.0541,22.0541,429.682,5.20843e-05,0,407.628,"1.00","None"
29,"COMPLETED","Frontier","Frontier","966-973",23.247,23.2471,23.2471,924.32,5.20843e-05,0,901.073,"1.00","None"
30,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","901-1024:1026-1049",24.526,24.5261,24.5261,836.721,5.20843e-05,0,812.195,"1.00","None"
31,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","666-812",24.615,24.6151,24.6151,1126.66,5.20843e-05,0,1102.04,"1.00","None"
32,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","813-966",25.508,25.5081,25.5081,1568.37,5.20843e-05,0,1542.86,"1.00","None"
33,"COMPLETED","Crux","Crux","1-163",25.849,25.8491,22229.4,23453.4,5.20843e-05,22203.5,1224,"1.00","None"
34,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","1050-1109:1112-1233",28.05,28.0501,28.0501,3825.61,5.20843e-05,0,3797.56,"1.00","None"
35,"COMPLETED","Andes","Andes","27-100",29.051,29.0511,29.0511,2929.05,5.20843e-05,0,2900,"1.00","None"
36,"COMPLETED","Frontier","Frontier","974-1024:1026-1060:2049-2051",30.092,30.0921,30.0921,1488.97,5.21287e-05,0,1458.88,"1.00","None"
37,"COMPLETED","Frontier","Frontier","1061-1090",30.092,30.0921,30.0921,1027.71,5.21287e-05,0,997.616,"1.00","None"
38,"COMPLETED","Frontier","Frontier","1091-1109:1112-1300:2358-2361",30.173,30.1731,30.1731,1553.42,5.20843e-05,0,1523.24,"1.00","None"
39,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","967-1024:1026-1109:1112-1210:2049-2051:2358-2361",30.354,30.3541,30.3541,2840.56,5.20843e-05,0,2810.2,"1.00","None"
40,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","1234-1371",30.397,30.3971,30.3971,930.397,5.20843e-05,0,900,"1.00","None"
41,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","1372-1393",30.887,30.8871,30.8871,886.985,5.20843e-05,0,856.098,"1.00","None"
42,"COMPLETED","Aurora","Aurora","795-897",30.993,30.9931,30.9931,1710.99,5.20843e-05,0,1680,"1.00","None"
43,"COMPLETED","Frontier","Frontier","1301-1316",31.07,31.0701,31.0701,1983.39,5.20843e-05,0,1952.32,"1.00","None"
44,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","1394-1489",31.302,31.3021,31.3021,4048.38,5.20843e-05,0,4017.07,"1.00","None"
45,"COMPLETED","Frontier","Frontier","1317-1413",31.641,31.6411,31.6411,364.18,5.20843e-05,0,332.539,"1.00","None"
46,"COMPLETED","Frontier","Frontier","1414-1669",32.643,32.6431,32.6431,676.266,5.20843e-05,0,643.623,"1.00","None"
47,"COMPLETED","Aurora","Aurora","898-1024:1026-1031:2049-2051",33.466,33.4661,33.4661,625.466,5.20843e-05,0,592,"1.00","None"
48,"COMPLETED","Aurora","Aurora","1032-1103:1106-1109:1112-1221:2352-2355:2358-2361",34.542,34.5421,34.5421,738.542,5.20843e-05,0,704,"1.00","None"
49,"COMPLETED","Crux","Crux","1-179",37.347,37.3471,35243.4,39491.4,5.20843e-05,35206,4248,"1.00","None"
50,"COMPLETED","Andes","Andes","101-327:542",39.991,39.9911,39.9911,1939.99,5.20843e-05,0,1900,"1.00","None"
51,"COMPLETED","Aurora","Aurora","1222-1285",40.008,40.0081,40.0081,408.008,5.20843e-05,0,368,"1.00","None"
52,"COMPLETED","Frontier","Frontier","1670-1698",40.585,40.5851,40.5851,609.119,5.20843e-05,0,568.534,"1.00","None"
53,"COMPLETED","Aurora","Aurora","1286-1291",41.257,41.2571,41.2571,377.257,5.20843e-05,0,336,"1.00","None"
54,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","766-861:901-1004",41.456,41.4561,836.721,3229.4,5.20843e-05,795.265,2392.68,"1.00","None"
55,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","234-257:259-382:542",41.593,41.5931,3635.08,7103.37,5.20843e-05,3593.48,3468.29,"1.00","None"
56,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","1-159:258",41.724,41.7241,911.769,4028.84,5.20843e-05,870.045,3117.07,"1.00","None"
57,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","1490-1517",42.019,42.0191,42.0191,1029.82,5.20843e-05,0,987.805,"1.00","None"
58,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","160-233:1005-1024:1026-1043",42.373,42.3731,911.769,4445.92,5.20843e-05,869.396,3534.15,"1.00","None"
59,"COMPLETED","Aurora","Aurora","1292-1443",44.776,44.7761,44.7761,1532.78,5.20843e-05,0,1488,"1.00","None"
60,"COMPLETED","Aurora","Aurora","1444-1515",45.423,45.4231,45.4231,509.423,5.20843e-05,0,464,"1.00","None"
61,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","1211-1424",45.871,45.8711,45.8711,725.463,5.20843e-05,0,679.592,"1.00","None"
62,"COMPLETED","Frontier","Frontier","1699-1717",46.616,46.6161,46.6161,861.872,5.20843e-05,0,815.256,"1.00","None"
63,"COMPLETED","Frontier","Frontier","1718-1928",47.373,47.3731,47.3731,1195.17,5.20843e-05,0,1147.79,"1.00","None"
64,"COMPLETED","Frontier","Frontier","1929-2048:2052-2094:4097-4103",47.422,47.4221,47.4221,948.495,5.20843e-05,0,901.073,"1.00","None"
