JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Perlmutter-Phase-2","Andes",0,0.000768844,0.000768844,40.8008,0.000768844,0,40.8,"0.87:0.72:0.20:0.12:0.39:0.74","None"
2,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000768262,0.000768262,79.381,0.000768262,0,79.3802,"0.55:0.74:0.32:0.78:0.34:0.52","None"
3,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,0.000778592,0.000778592,142.801,0.000778592,0,142.8,"0.72:0.61:0.71:0.89:0.98:0.34","None"
4,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000781772,0.000781772,160.907,0.000781772,0,160.906,"0.77:0.24:0.91:0.95:0.34:0.07","None"
5,"COMPLETED","Perlmutter-Phase-2","Crux",0,0.000777966,0.000777966,124.801,0.000777966,0,124.8,"0.21:0.48:0.84:0.36:0.73:0.38","None"
6,"COMPLETED","Andes","Aurora",0,0.000781772,0.000781772,18.1739,0.000781772,0,18.1731,"0.34:0.91:0.81:0.26:0.77:0.85","None"
7,"COMPLETED","Frontier","Perlmutter-Phase-1",0,0.000781225,0.000781225,69.6008,0.000781225,0,69.6,"0.30:0.27:0.52:0.82:0.90:0.24","None"
8,"COMPLETED","Frontier","Andes",0,0.000781772,0.000781772,50.4008,0.000781772,0,50.4,"0.96:0.85:0.85:0.94:0.58:0.10","None"
9,"COMPLETED","Frontier","Frontier",0,0.000781772,0.000781772,172.706,0.000781772,0,172.706,"0.29:0.70:0.86:0.90:0.59:0.56","None"
10,"REJECTED","Aurora","Andes",0,-1,-1,0.000781772,0.000781772,-1,-1,"0.90:0.39:0.47:0.00:0.32:0.17","Job requires GPU while System has none"
11,"COMPLETED","Andes","Frontier",0,0.000781772,0.000781772,89.0353,0.000781772,0,89.0346,"0.13:0.66:0.02:0.94:0.34:0.58","None"
12,"COMPLETED","Aurora","Perlmutter-Phase-1",0,0.000781225,0.000781225,204.001,0.000781225,0,204,"0.90:0.02:0.87:0.08:0.94:0.74","None"
13,"COMPLETED","Crux","Frontier",0,0.000781772,0.000781772,53.6361,0.000781772,0,53.6353,"0.76:0.04:0.10:0.85:0.20:0.47","None"
14,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,0.000781225,0.000781225,228.001,0.000781225,0,228,"0.34:0.46:0.04:0.30:0.80:0.37","None"
15,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000781772,0.000781772,51.4907,0.000781772,0,51.4899,"0.25:0.73:0.56:0.80:0.48:0.21","None"
16,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,0.000781225,0.000781225,210.001,0.000781225,0,210,"0.96:0.73:0.13:0.89:0.97:0.23","None"
17,"COMPLETED","Frontier","Aurora",0,0.000781772,0.000781772,61.1546,0.000781772,0,61.1538,"0.21:0.41:0.35:0.19:0.13:0.35","None"
