JobId,FinalStatus,SubmittedTo,ScheduledOn,NodeList,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Frontier","1-13:5248-5282",0.396,0.396588,0.396588,1427.1,0.000587535,0,1426.7,"0.00:0.74:0.00:0.74:0.78:0.00","None"
2,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","1-4",0.604,0.604724,0.604724,2459.14,0.000723535,0,2458.54,"0.00:0.73:0.00:0.75:0.67:0.00","None"
3,"COMPLETED","Frontier","Frontier","14-220:258",0.964,0.964654,0.964654,794.767,0.000653535,0,793.802,"0.00:0.73:0.00:0.65:0.76:0.00","None"
4,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","5-41",1.047,1.04767,1.04767,3930.32,0.000672535,0,3929.27,"0.00:0.75:0.00:0.79:0.76:0.00","None"
5,"COMPLETED","Frontier","Frontier","221-240",1.604,1.60467,1.60467,1020.67,0.000669535,0,1019.07,"0.00:0.69:0.00:0.66:0.75:0.00","None"
6,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","1-27",1.78,1.78061,1.78061,1452.8,0.000611519,0,1451.02,"0.70:0.69:0.70:0.73:0.70:0.77","None"
7,"COMPLETED","Frontier","Frontier","241-257:259-405:542",2.143,2.14368,2.14368,753.038,0.000679535,0,750.894,"0.00:0.70:0.00:0.64:0.76:0.00","None"
8,"COMPLETED","Perlmutter-Phase-2","Crux","1-11",2.212,2.21263,2.21263,668.213,0.000632392,0,666,"0.77:0.70:0.77:0.69:0.70:0.72","None"
9,"COMPLETED","Aurora","Perlmutter-Phase-1","42-44",2.814,2.81465,2.81465,3471.11,0.000652535,0,3468.29,"0.00:0.74:0.00:0.78:0.74:0.00","None"
10,"COMPLETED","Frontier","Frontier","406-541:543-587:1025:1110-1111",3.134,3.13463,3.13463,904.207,0.000629535,0,901.073,"0.00:0.74:0.00:0.73:0.78:0.00","None"
11,"COMPLETED","Perlmutter-Phase-1","Andes","1-237:258",3.506,3.50665,3.50665,2303.51,0.000652392,0,2300,"0.74:0.71:0.69:0.68:0.72:0.73","None"
12,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2","28-35",4.43,4.43065,4.43065,665.655,0.000654535,0,661.224,"0.72:0.70:0.72:0.74:0.70:0.77","None"
13,"COMPLETED","Andes","Perlmutter-Phase-2","36-204:258",5.24,5.24078,5.24078,941.975,0.000783392,0,936.735,"0.67:0.71:0.65:0.73:0.71:0.78","None"
14,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","45-203:258",6.268,6.26866,6.26866,3935.54,0.000663535,0,3929.27,"0.00:0.69:0.00:0.74:0.71:0.00","None"
15,"COMPLETED","Frontier","Frontier","588-821",6.707,6.70777,6.70777,1658.67,0.000765535,0,1651.97,"0.00:0.73:0.00:0.63:0.75:0.00","None"
16,"COMPLETED","Aurora","Frontier","822-1024:1026-1029:2049-2051",7.316,7.3166,7.3166,329.128,0.000599535,0,321.812,"0.00:0.75:0.00:0.72:0.79:0.00","None"
17,"COMPLETED","Andes","Frontier","1030-1109:1112-1211:2358-2361",7.45,7.45362,7.45362,404.355,0.00361753,0,396.901,"0.66:0.70:0.63:0.67:0.75:0.72","None"
18,"COMPLETED","Aurora","Frontier","1212-1325",8.041,8.04163,8.04163,383.489,0.000633535,0,375.447,"0.68:0.70:0.66:0.68:0.75:0.72","None"
19,"COMPLETED","Perlmutter-Phase-2","Frontier","1326-1474",9.461,9.46162,9.46162,738.901,0.000622392,0,729.44,"0.68:0.71:0.66:0.69:0.75:0.73","None"
20,"COMPLETED","Aurora","Perlmutter-Phase-1","204-240",10.036,10.0367,10.0367,2402.72,0.000710352,0,2392.68,"0.00:0.75:0.00:0.78:0.75:0.00","None"
21,"COMPLETED","Aurora","Aurora","1-123",11.249,11.2497,11.2497,1363.25,0.000682535,0,1352,"0.00:0.79:0.00:0.65:0.69:0.00","None"
22,"COMPLETED","Aurora","Aurora","124-251:258:536",11.464,11.4647,11.4647,643.465,0.000650535,0,632,"0.00:0.79:0.00:0.66:0.68:0.00","None"
23,"COMPLETED","Andes","Perlmutter-Phase-2","205-257:259-385:542",12.466,12.4666,12.4666,692.058,0.000627392,0,679.592,"0.66:0.70:0.64:0.72:0.71:0.77","None"
24,"COMPLETED","Frontier","Frontier","1475-1513",12.519,12.5197,12.5197,1224.68,0.000691535,0,1212.16,"0.00:0.72:0.00:0.66:0.76:0.00","None"
25,"COMPLETED","Aurora","Frontier","1514-1619",12.604,12.6046,12.6046,398.779,0.000607535,0,386.174,"0.00:0.75:0.00:0.74:0.79:0.00","None"
26,"COMPLETED","Aurora","Perlmutter-Phase-2","386-541:543-564:1025:1110-1111",13.156,13.1566,13.1566,729.483,0.000647535,0,716.327,"0.68:0.72:0.65:0.73:0.72:0.78","None"
27,"COMPLETED","Frontier","Frontier","1620-1805",13.849,13.8497,13.8497,1429.82,0.000665535,0,1415.97,"0.00:0.71:0.00:0.67:0.76:0.00","None"
28,"COMPLETED","Perlmutter-Phase-1","Andes","238-257:259-272:542",14.071,14.0716,14.0716,8114.07,0.000603535,0,8100,"0.78:0.71:0.77:0.70:0.72:0.74","None"
29,"COMPLETED","Frontier","Frontier","1806-1923",14.102,14.1027,14.1027,1569.53,0.000697535,0,1555.42,"0.00:0.71:0.00:0.67:0.75:0.00","None"
30,"COMPLETED","Perlmutter-Phase-1","Frontier","1924-1960",14.163,14.1636,14.1636,368.156,0.000586392,0,353.993,"0.69:0.69:0.69:0.68:0.74:0.71","None"
31,"COMPLETED","Frontier","Frontier","1961-1980",15.466,15.4667,15.4667,723.452,0.000667535,0,707.986,"0.00:0.74:0.00:0.69:0.76:0.00","None"
32,"COMPLETED","Aurora","Aurora","252-257:259-380:542",15.816,15.8167,15.8167,407.817,0.000657535,0,392,"0.00:0.79:0.00:0.64:0.69:0.00","None"
33,"COMPLETED","Frontier","Frontier","1981-2048:2052-2206:4097-4103",16.179,16.1818,16.1818,2429.77,0.00284853,0,2413.59,"0.00:0.69:0.00:0.63:0.75:0.00","None"
34,"COMPLETED","Perlmutter-Phase-1","Frontier","2207-2357:2362-2448:5088-5096",16.184,16.1846,16.1846,2483.41,0.000561352,0,2467.22,"0.00:0.75:0.00:0.72:0.79:0.00","None"
35,"COMPLETED","Frontier","Frontier","2449-2543",16.288,16.2886,16.2886,381.008,0.000560535,0,364.72,"0.00:0.75:0.00:0.74:0.79:0.00","None"
36,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","241-257:259-459:542",17.025,17.0257,17.0257,2234.1,0.000664535,0,2217.07,"0.00:0.70:0.00:0.73:0.67:0.00","None"
37,"COMPLETED","Perlmutter-Phase-2","Andes","273-355",17.106,17.1067,17.1067,3417.11,0.000661392,0,3400,"0.76:0.72:0.75:0.70:0.72:0.74","None"
38,"COMPLETED","Aurora","Aurora","381-535:537-541:543-571:1025:1104-1105:1110-1111",17.673,17.6767,17.6767,1777.68,0.00370053,0,1760,"0.00:0.79:0.00:0.67:0.67:0.00","None"
39,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","460-541:543-706:1025:1110-1111",17.772,17.7726,17.7726,895.821,0.000595535,0,878.049,"0.00:0.74:0.00:0.75:0.74:0.00","None"
40,"COMPLETED","Aurora","Aurora","572-726",18.817,18.8177,18.8177,826.818,0.000682535,0,808,"0.00:0.80:0.00:0.65:0.69:0.00","None"
41,"COMPLETED","Aurora","Perlmutter-Phase-1","707-887",19.026,19.0265,19.0265,2565.37,0.000549535,0,2546.34,"0.00:0.74:0.00:0.75:0.74:0.00","None"
42,"COMPLETED","Aurora","Aurora","727-968",19.03,19.0306,19.0306,923.031,0.000601535,0,904,"0.00:0.75:0.00:0.73:0.75:0.00","None"
43,"COMPLETED","Perlmutter-Phase-1","Frontier","2544-2629",19.054,19.0546,19.0546,555.407,0.000631535,0,536.353,"0.68:0.70:0.67:0.67:0.75:0.72","None"
44,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","565-659",19.988,19.9887,19.9887,681.213,0.000653535,0,661.224,"0.67:0.70:0.66:0.71:0.70:0.77","None"
45,"COMPLETED","Perlmutter-Phase-2","Frontier","2630-2862",20.03,20.0306,20.0306,2143.99,0.000622535,0,2123.96,"0.62:0.69:0.61:0.64:0.74:0.70","None"
46,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","660-678",20.718,20.7186,20.7186,755.412,0.000617249,0,734.694,"0.71:0.70:0.71:0.74:0.71:0.78","None"
47,"COMPLETED","Frontier","Frontier","2863-2882",21.166,21.1667,21.1667,503.884,0.000693535,0,482.718,"0.00:0.72:0.00:0.69:0.75:0.00","None"
48,"COMPLETED","Aurora","Frontier","2883-3039",21.744,21.7446,21.7446,1770.25,0.000606535,0,1748.51,"0.00:0.75:0.00:0.72:0.79:0.00","None"
49,"COMPLETED","Aurora","Aurora","969-984",21.938,21.9387,21.9387,589.939,0.000673535,0,568,"0.00:0.78:0.00:0.66:0.69:0.00","None"
