JobId,FinalStatus,SubmittedTo,ScheduledOn,NodeList,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Frontier","1-13:5248-5282",0.396,0.396296,0.396296,1427.09,0.000295535,0,1426.7,"0.00:0.76:0.00:0.76:0.71:0.00","None"
2,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","1-4",0.604,0.604315,0.604315,2459.14,0.000314535,0,2458.54,"0.00:0.70:0.00:0.66:0.71:0.00","None"
3,"COMPLETED","Frontier","Frontier","14-220:258",0.964,0.964322,0.964322,794.766,0.000321535,0,793.802,"0.00:0.69:0.00:0.75:0.61:0.00","None"
4,"COMPLETED","Perlmutter-Phase-1","Aurora","1-37",1.047,1.04726,1.04726,1433.05,0.000261535,0,1432,"0.00:0.71:0.00:0.71:0.71:0.00","None"
5,"COMPLETED","Frontier","Frontier","221-240",1.604,1.60435,1.60435,1020.67,0.000347535,0,1019.07,"0.00:0.65:0.00:0.75:0.61:0.00","None"
6,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","1-27",1.78,1.78625,1.78625,1452.81,0.00625125,0,1451.02,"0.71:0.71:0.71:0.71:0.71:0.71","None"
7,"COMPLETED","Frontier","Frontier","241-257:259-405:542",2.143,2.14545,2.14545,753.039,0.00245053,0,750.894,"0.00:0.66:0.00:0.75:0.60:0.00","None"
8,"COMPLETED","Perlmutter-Phase-2","Crux","1-11",2.212,2.21228,2.21228,668.212,0.000281535,0,666,"0.71:0.71:0.71:0.70:0.71:0.71","None"
9,"COMPLETED","Aurora","Perlmutter-Phase-1","5-7",2.814,2.81427,2.81427,3471.11,0.000265535,0,3468.29,"0.00:0.71:0.00:0.70:0.71:0.00","None"
10,"COMPLETED","Frontier","Aurora","38-220:258",3.134,3.13427,3.13427,675.134,0.000267535,0,672,"0.00:0.76:0.00:0.75:0.71:0.00","None"
11,"COMPLETED","Perlmutter-Phase-1","Andes","1-237:258",3.506,3.50628,3.50628,2303.51,0.000278535,0,2300,"0.71:0.71:0.70:0.70:0.71:0.71","None"
