JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Crux","Frontier",0,0.000680899,0.000680899,24.6729,0.000680899,0,24.6722,"0.74:0.71:0.79:0.76:0.77:0.84","None"
2,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",0,0.000680587,0.000680587,21.6007,0.000680587,0,21.6,"0.79:0.77:0.74:0.78:0.84:0.84","None"
3,"COMPLETED","Aurora","Aurora",0,0.000680629,0.000680629,190.674,0.000680629,0,190.673,"0.00:0.85:0.96:0.00:0.00:0.86","None"
4,"COMPLETED","Frontier","Perlmutter-Phase-1",0,0.000675098,0.000675098,153.601,0.000675098,0,153.6,"0.00:0.92:0.84:0.00:0.00:0.89","None"
5,"COMPLETED","Andes","Perlmutter-Phase-2",0,0.000680455,0.000680455,97.2007,0.000680455,0,97.2,"0.84:0.83:0.75:0.76:0.90:0.81","None"
6,"COMPLETED","Frontier","Frontier",0,0.000679779,0.000679779,69.7265,0.000679779,0,69.7259,"0.00:0.00:0.85:0.00:0.00:0.89","None"
7,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",0,0.000679795,0.000679795,94.8007,0.000679795,0,94.8,"0.78:0.78:0.76:0.75:0.85:0.85","None"
8,"COMPLETED","Frontier","Frontier",0,0.000670039,0.000670039,24.6729,0.000670039,0,24.6722,"0.00:0.00:0.74:0.00:0.78:0.80","None"
9,"COMPLETED","Perlmutter-Phase-1","Aurora",0,0.00067823,0.00067823,117.981,0.00067823,0,117.981,"0.00:0.88:0.93:0.00:0.00:0.86","None"
10,"COMPLETED","Frontier","Frontier",0,0.000685887,24.6729,90.1079,0.000685887,24.6722,65.435,"0.00:0.00:0.85:0.00:0.00:0.89","None"
11,"COMPLETED","Andes","Andes",0,0.000681023,164.401,373.201,0.000681023,164.4,208.8,"0.96:0.74:0.76:0.88:0.80:0.80","None"
12,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,0.000678805,146.401,760.801,0.000678805,146.4,614.4,"0.00:0.97:0.85:0.00:0.00:0.85","None"
13,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000677011,0.000677011,38.6181,0.000677011,0,38.6174,"0.75:0.76:0.75:0.00:0.84:0.85","None"
