JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Crux","Frontier",0,0.000406083,0.000406083,24.6726,0.000406083,0,24.6722,"0.92:0.92:0.95:0.92:0.92:0.96","None"
2,"COMPLETED","Perlmutter-Phase-2","Frontier",0,0.000408904,0.000408904,19.3091,0.000408904,0,19.3087,"0.92:0.92:0.96:0.92:0.92:0.96","None"
3,"COMPLETED","Aurora","Aurora",0,0.000410089,0.000410089,190.673,0.000410089,0,190.673,"0.00:0.87:0.97:0.00:0.00:0.92","None"
4,"COMPLETED","Frontier","Aurora",0,0.000404327,0.000404327,36.9235,0.000404327,0,36.9231,"0.00:0.92:0.92:0.00:0.00:0.92","None"
5,"COMPLETED","Andes","Perlmutter-Phase-2",0,0.000403495,0.000403495,97.2004,0.000403495,0,97.2,"0.92:0.92:0.92:0.92:0.92:0.92","None"
6,"COMPLETED","Frontier","Aurora",0,0.000403443,0.000403443,18.7504,0.000403443,0,18.75,"0.00:0.00:0.92:0.00:0.00:0.92","None"
7,"COMPLETED","Perlmutter-Phase-2","Frontier",0,0.000409379,0.000409379,84.7442,0.000409379,0,84.7437,"0.92:0.92:0.96:0.92:0.92:0.96","None"
8,"COMPLETED","Frontier","Perlmutter-Phase-2",0,0.000403495,0.000403495,27.6004,0.000403495,0,27.6,"0.00:0.00:0.92:0.00:0.92:0.92","None"
9,"COMPLETED","Perlmutter-Phase-1","Aurora",0,0.000410025,0.000410025,117.981,0.000410025,0,117.981,"0.00:0.92:0.94:0.00:0.00:0.93","None"
10,"COMPLETED","Frontier","Frontier",0,0.000404159,0.000404159,65.4354,0.000404159,0,65.435,"0.00:0.00:0.92:0.00:0.00:0.92","None"
11,"COMPLETED","Andes","Aurora",0,0.000404327,0.000404327,50.1927,0.000404327,0,50.1923,"0.92:0.92:0.92:0.92:0.92:0.92","None"
12,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,0.000402695,0.000402695,614.4,0.000402695,0,614.4,"0.00:0.92:0.92:0.00:0.00:0.92","None"
13,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000409451,0.000409451,38.6178,0.000409451,0,38.6174,"0.92:0.92:0.95:0.00:0.92:0.96","None"
14,"COMPLETED","Aurora","Aurora",0,0.000407962,0.000407962,32.5966,0.000407962,0,32.5962,"0.00:0.92:0.96:0.00:0.92:0.95","None"
15,"COMPLETED","Crux","Frontier",0,0.000409293,0.000409293,136.234,0.000409293,0,136.234,"0.92:0.92:0.95:0.92:0.92:0.95","None"
16,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,0.000404159,0.000404159,264,0.000404159,0,264,"0.00:0.92:0.92:0.00:0.00:0.92","None"
17,"COMPLETED","Perlmutter-Phase-1","Aurora",0,0.000410204,15.8658,34.6158,0.000410204,15.8654,18.75,"0.00:0.92:0.93:0.00:0.00:0.92","None"
18,"COMPLETED","Crux","Aurora",0,0.000408722,0.000408722,53.6543,0.000408722,0,53.6538,"0.92:0.92:0.96:0.92:0.92:0.95","None"
19,"COMPLETED","Aurora","Aurora",0,0.000404327,0.000404327,15.8658,0.000404327,0,15.8654,"0.00:0.92:0.92:0.00:0.92:0.92","None"
20,"COMPLETED","Frontier","Frontier",0,0.000403495,0.000403495,131.943,0.000403495,0,131.943,"0.00:0.00:0.92:0.00:0.92:0.92","None"
21,"COMPLETED","Aurora","Frontier",0,0.000407922,0.000407922,211.323,0.000407922,0,211.323,"0.00:0.92:0.97:0.00:0.00:0.97","None"
22,"COMPLETED","Frontier","Frontier",0,0.000409925,26.818,140.525,0.000409925,26.8176,113.707,"0.00:0.00:0.92:0.00:0.00:0.96","None"
23,"COMPLETED","Andes","Crux",0,0.000404575,886.8,1089.6,0.000404575,886.8,202.8,"0.92:0.92:0.92:0.92:0.92:0.92","None"
24,"COMPLETED","Aurora","Frontier",0,0.00040906,0.00040906,22.5272,0.00040906,0,22.5268,"0.00:0.92:0.96:0.00:0.00:0.97","None"
25,"COMPLETED","Aurora","Aurora",0,0.000404575,0.000404575,21.0581,0.000404575,0,21.0577,"0.00:0.92:0.92:0.00:0.92:0.92","None"
26,"COMPLETED","Crux","Perlmutter-Phase-2",0,0.000405437,0.000405437,44.4004,0.000405437,0,44.4,"0.92:0.92:0.92:0.92:0.92:0.92","None"
27,"COMPLETED","Frontier","Frontier",0,0.000410128,54.7084,347.557,0.000410128,54.708,292.849,"0.00:0.00:0.92:0.00:0.00:0.96","None"
28,"COMPLETED","Perlmutter-Phase-1","Andes",0,0.000405437,190.8,272.4,0.000405437,190.8,81.6,"0.92:0.92:0.92:0.92:0.92:0.92","None"
29,"COMPLETED","Perlmutter-Phase-1","Aurora",0,0.000404575,0.000404575,6.92348,0.000404575,0,6.92308,"0.92:0.92:0.92:0.00:0.92:0.92","None"
30,"COMPLETED","Aurora","Aurora",0,0.00041016,7.50041,47.5966,0.00041016,7.5,40.0962,"0.00:0.86:0.97:0.00:0.00:0.92","None"
31,"COMPLETED","Aurora","Frontier",0,0.00040514,0.00040514,290.704,0.00040514,0,290.703,"0.92:0.92:0.92:0.92:0.92:0.92","None"
32,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000409379,0.000409379,16.091,0.000409379,0,16.0906,"0.92:0.92:0.95:0.92:0.92:0.96","None"
33,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,0.000403495,0.000403495,282,0.000403495,0,282,"0.00:0.92:0.92:0.00:0.00:0.92","None"
34,"COMPLETED","Aurora","Aurora",0,0.00041016,6.92348,45.8658,0.00041016,6.92307,38.9423,"0.00:0.86:0.97:0.00:0.00:0.91","None"
35,"COMPLETED","Aurora","Aurora",0,0.00041016,5.76964,39.2312,0.00041016,5.76923,33.4615,"0.00:0.88:0.97:0.00:0.00:0.93","None"
36,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",0,0.000407318,0.000407318,116.4,0.000407318,0,116.4,"0.92:0.92:0.92:0.00:0.92:0.92","None"
37,"COMPLETED","Crux","Crux",0,0.000404575,90.0004,235.2,0.000404575,90,145.2,"0.92:0.92:0.92:0.92:0.92:0.92","None"
38,"COMPLETED","Perlmutter-Phase-1","Aurora",0,0.000402846,0.000402846,179.135,0.000402846,0,179.135,"0.00:0.92:0.92:0.00:0.00:0.92","None"
39,"COMPLETED","Perlmutter-Phase-1","Aurora",0,0.000410089,0.000410089,168.173,0.000410089,0,168.173,"0.00:0.92:0.93:0.00:0.00:0.92","None"
40,"COMPLETED","Aurora","Aurora",0,0.000410135,0.000410135,79.9043,0.000410135,0,79.9038,"0.00:0.87:0.97:0.00:0.00:0.92","None"
41,"COMPLETED","Andes","Perlmutter-Phase-1",0,0.00040514,0.00040514,292.8,0.00040514,0,292.8,"0.92:0.92:0.92:0.92:0.92:0.92","None"
42,"COMPLETED","Perlmutter-Phase-2","Frontier",0,0.000408873,0.000408873,43.9813,0.000408873,0,43.9809,"0.92:0.92:0.95:0.92:0.92:0.95","None"
43,"COMPLETED","Aurora","Aurora",0,0.00041016,0.00041016,129.231,0.00041016,0,129.231,"0.00:0.88:0.97:0.00:0.00:0.93","None"
44,"COMPLETED","Aurora","Frontier",0,0.000409188,0.000409188,178.07,0.000409188,0,178.069,"0.00:0.92:0.96:0.00:0.00:0.97","None"
45,"COMPLETED","Frontier","Frontier",0,0.000408873,0.000408873,112.634,0.000408873,0,112.634,"0.00:0.00:0.96:0.00:0.00:0.97","None"
46,"COMPLETED","Frontier","Frontier",0,0.000410013,19.3091,183.433,0.000410013,19.3087,164.124,"0.00:0.88:0.93:0.00:0.00:0.97","None"
47,"COMPLETED","Aurora","Aurora",0,0.000408403,0.000408403,21.635,0.000408403,0,21.6346,"0.92:0.92:0.95:0.92:0.92:0.95","None"
48,"COMPLETED","Andes","Perlmutter-Phase-2",0,0.00040514,0.00040514,79.2004,0.00040514,0,79.2,"0.92:0.92:0.92:0.92:0.92:0.92","None"
