JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Crux","Andes",0,0.000419455,0.000419455,27.6004,0.000419455,0,27.6,"0.99:0.08:0.76:0.95:0.11:0.82","None"
2,"COMPLETED","Perlmutter-Phase-2","Andes",0,0.000421426,0.000421426,21.6004,0.000421426,0,21.6,"0.91:0.71:0.72:0.82:0.13:0.44","None"
3,"COMPLETED","Aurora","Frontier",0,0.000421426,0.000421426,709.059,0.000421426,0,709.058,"0.45:0.31:0.06:0.14:0.33:0.88","None"
4,"REJECTED","Frontier","Perlmutter-Phase-2",0,-1,-1,0.000420875,0.000420875,-1,-1,"0.71:0.55:0.47:0.39:0.82:0.53","Job requires GPU while System has none"
5,"COMPLETED","Andes","Aurora",0,0.000421777,0.000421777,23.3658,0.000421777,0,23.3654,"0.23:0.16:0.89:0.07:0.46:0.60","None"
6,"REJECTED","Frontier","Perlmutter-Phase-1",0,-1,-1,0.000420875,0.000420875,-1,-1,"0.82:0.94:0.22:0.66:0.55:0.62","Job requires more nodes than the System has"
7,"COMPLETED","Perlmutter-Phase-2","Aurora",0,0.000421777,0.000421777,22.7889,0.000421777,0,22.7885,"0.31:0.85:1.00:0.03:0.55:0.49","None"
8,"REJECTED","Frontier","Andes",0,-1,-1,0.000421426,0.000421426,-1,-1,"0.73:0.17:0.71:0.65:0.20:0.39","Job requires more nodes than the System has"
9,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000421426,0.000421426,438.737,0.000421426,0,438.737,"0.07:0.66:0.66:0.62:0.52:0.67","None"
10,"REJECTED","Frontier","Andes",0,-1,-1,0.000421426,0.000421426,-1,-1,"0.98:0.33:0.26:0.36:0.06:0.28","Job requires more nodes than the System has"
11,"COMPLETED","Andes","Perlmutter-Phase-1",0,0.000420875,0.000420875,208.8,0.000420875,0,208.8,"0.56:0.70:0.12:0.62:0.63:0.53","None"
12,"COMPLETED","Perlmutter-Phase-1","Aurora",0,0.000421777,0.000421777,147.693,0.000421777,0,147.692,"0.09:0.01:0.63:0.19:0.30:0.25","None"
13,"COMPLETED","Perlmutter-Phase-1","Aurora",0,0.000421777,0.000421777,10.385,0.000421777,0,10.3846,"0.63:0.13:0.91:0.61:0.43:0.54","None"
14,"REJECTED","Aurora","Andes",0,-1,-1,0.000421426,0.000421426,-1,-1,"0.63:0.45:0.25:0.38:0.10:0.13","Job requires more nodes than the System has"
15,"COMPLETED","Crux","Crux",0,0.000421777,0.000421777,152.4,0.000421777,0,152.4,"0.02:0.10:0.44:0.79:0.42:0.53","None"
16,"REJECTED","Perlmutter-Phase-1","Andes",0,-1,-1,0.000421426,0.000421426,-1,-1,"0.82:0.65:0.25:0.13:0.56:0.69","Job requires GPU while System has none"
17,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,0.000420875,0.000420875,78.0004,0.000420875,0,78,"0.13:0.55:0.15:0.37:0.09:0.12","None"
18,"COMPLETED","Crux","Perlmutter-Phase-2",0,0.000420875,0.000420875,223.2,0.000420875,0,223.2,"0.47:0.05:0.00:0.52:0.71:0.65","None"
19,"COMPLETED","Aurora","Aurora",0,0.000421777,0.000421777,15.8658,0.000421777,0,15.8654,"0.26:0.52:0.79:0.39:0.44:0.16","None"
20,"REJECTED","Frontier","Andes",0,-1,-1,0.000421426,0.000421426,-1,-1,"0.98:0.23:0.56:0.48:0.31:0.01","Job requires more nodes than the System has"
21,"COMPLETED","Aurora","Frontier",0,0.000421426,0.000421426,211.323,0.000421426,0,211.323,"0.18:0.95:0.38:0.11:0.97:0.98","None"
22,"REJECTED","Frontier","Crux",0,-1,-1,0.000421777,0.000421777,-1,-1,"0.35:0.58:0.75:0.98:0.52:0.56","Job requires more nodes than the System has"
23,"COMPLETED","Andes","Aurora",0,0.000421777,0.000421777,48.7504,0.000421777,0,48.75,"0.40:0.61:0.91:0.14:0.01:0.68","None"
24,"REJECTED","Aurora","Perlmutter-Phase-2",0,-1,-1,0.000420875,0.000420875,-1,-1,"0.15:0.20:0.18:0.81:0.92:0.38","Job requires GPU while System has none"
25,"COMPLETED","Aurora","Perlmutter-Phase-1",0,0.000420875,0.000420875,87.6004,0.000420875,0,87.6,"0.83:0.90:0.39:0.07:0.56:0.20","None"
26,"COMPLETED","Crux","Perlmutter-Phase-2",0,0.000420875,0.000420875,44.4004,0.000420875,0,44.4,"0.80:0.74:0.77:0.79:0.98:0.96","None"
27,"COMPLETED","Frontier","Frontier",0,0.000421426,0.000421426,292.849,0.000421426,0,292.849,"0.25:0.63:0.01:0.05:0.42:0.80","None"
28,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,0.000420875,0.000420875,81.6004,0.000420875,0,81.6,"0.21:0.99:0.94:0.25:0.19:0.92","None"
29,"COMPLETED","Perlmutter-Phase-1","Andes",0,0.000421426,0.000421426,28.8004,0.000421426,0,28.8,"0.81:0.10:0.62:0.21:0.58:0.25","None"
30,"COMPLETED","Aurora","Aurora",0,0.000421777,0.000421777,40.0966,0.000421777,0,40.0962,"0.36:0.23:0.55:0.19:0.39:0.45","None"
31,"COMPLETED","Aurora","Crux",0,0.000421777,0.000421777,325.2,0.000421777,0,325.2,"0.10:0.94:0.95:0.95:0.78:0.29","None"
32,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",0,0.000420875,0.000420875,18.0004,0.000420875,0,18,"0.10:0.13:0.18:0.43:0.89:0.46","None"
33,"REJECTED","Perlmutter-Phase-1","Andes",0,-1,-1,0.000421426,0.000421426,-1,-1,"0.85:0.63:0.53:0.21:0.76:0.43","Job requires GPU while System has none"
34,"COMPLETED","Aurora","Perlmutter-Phase-1",0,0.000420875,0.000420875,162,0.000420875,0,162,"0.59:0.78:0.64:0.30:0.46:0.16","None"
35,"REJECTED","Aurora","Andes",0,-1,-1,0.000421426,0.000421426,-1,-1,"0.99:0.12:0.30:0.49:0.68:0.41","Job requires GPU while System has none"
36,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",0,0.000420875,0.000420875,116.4,0.000420875,0,116.4,"0.80:0.62:0.29:0.38:1.00:0.31","None"
37,"COMPLETED","Crux","Frontier",0,0.000421426,0.000421426,129.798,0.000421426,0,129.797,"0.57:0.38:0.37:0.83:0.72:0.91","None"
38,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000421426,0.000421426,666.151,0.000421426,0,666.15,"0.47:0.20:0.13:0.41:0.39:0.91","None"
39,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000421426,0.000421426,625.388,0.000421426,0,625.387,"0.68:0.47:0.68:0.21:0.71:0.72","None"
40,"REJECTED","Aurora","Andes",0,-1,-1,0.000421426,0.000421426,-1,-1,"0.85:0.05:0.14:0.67:0.74:0.19","Job requires GPU while System has none"
41,"COMPLETED","Andes","Andes",0,0.000421426,0.000421426,292.8,0.000421426,0,292.8,"0.81:0.51:0.08:0.60:0.27:0.30","None"
42,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",0,0.000420875,0.000420875,49.2004,0.000420875,0,49.2,"0.08:0.43:0.68:0.03:0.74:0.56","None"
43,"REJECTED","Aurora","Andes",0,-1,-1,0.000421426,0.000421426,-1,-1,"0.75:0.56:0.55:0.14:0.33:0.39","Job requires GPU while System has none"
44,"COMPLETED","Aurora","Frontier",0,0.000421426,0.000421426,178.07,0.000421426,0,178.069,"0.17:0.20:0.53:0.86:0.28:0.89","None"
45,"COMPLETED","Frontier","Aurora",0,0.000421777,0.000421777,30.2889,0.000421777,0,30.2885,"0.24:0.42:0.59:0.31:0.33:0.03","None"
46,"COMPLETED","Frontier","Frontier",0,0.000421426,0.000421426,164.124,0.000421426,0,164.124,"0.88:0.22:0.56:0.01:0.31:1.00","None"
47,"COMPLETED","Aurora","Crux",0,0.000421777,152.4,242.4,0.000421777,152.4,90,"0.07:0.68:0.51:0.95:0.17:0.18","None"
48,"COMPLETED","Andes","Perlmutter-Phase-2",0,0.000420875,0.000420875,79.2004,0.000420875,0,79.2,"0.20:0.71:0.69:0.68:0.99:0.13","None"
49,"REJECTED","Frontier","Crux",0,-1,-1,0.000421777,0.000421777,-1,-1,"0.19:0.24:0.27:0.70:0.11:0.04","Job requires more nodes than the System has"
50,"COMPLETED","Aurora","Perlmutter-Phase-1",0,0.000420875,0.000420875,82.8004,0.000420875,0,82.8,"0.75:0.94:0.53:0.55:0.07:0.26","None"
51,"REJECTED","Aurora","Perlmutter-Phase-2",0,-1,-1,0.000420875,0.000420875,-1,-1,"0.50:0.90:0.56:0.37:1.00:0.08","Job requires GPU while System has none"
52,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,0.000420875,0.000420875,68.4004,0.000420875,0,68.4,"0.35:0.94:0.87:0.42:0.59:0.94","None"
53,"REJECTED","Frontier","Crux",0,-1,-1,0.000421777,0.000421777,-1,-1,"0.37:0.27:0.06:0.84:0.36:0.10","Job requires more nodes than the System has"
54,"REJECTED","Frontier","Andes",0,-1,-1,0.000421426,0.000421426,-1,-1,"0.66:0.29:0.56:0.45:0.26:0.47","Job requires more nodes than the System has"
55,"COMPLETED","Andes","Frontier",0,0.000421426,0.000421426,60.0719,0.000421426,0,60.0715,"0.37:0.78:0.74:0.62:0.19:0.89","None"
56,"REJECTED","Frontier","Perlmutter-Phase-2",0,-1,-1,0.000420875,0.000420875,-1,-1,"0.11:0.40:0.53:0.97:0.99:0.74","Job requires more nodes than the System has"
57,"REJECTED","Frontier","Perlmutter-Phase-2",0,-1,-1,0.000420875,0.000420875,-1,-1,"0.72:0.16:0.43:0.41:0.86:0.52","Job requires more nodes than the System has"
58,"COMPLETED","Aurora","Aurora",0,0.000421777,0.000421777,20.7697,0.000421777,0,20.7692,"0.37:0.79:0.84:0.62:0.79:0.53","None"
59,"COMPLETED","Frontier","Perlmutter-Phase-2",0,0.000420875,0.000420875,358.8,0.000420875,0,358.8,"0.25:0.59:0.58:0.10:0.62:0.52","None"
60,"REJECTED","Frontier","Perlmutter-Phase-1",0,-1,-1,0.000420875,0.000420875,-1,-1,"0.29:0.69:0.07:0.09:0.25:0.58","Job requires more nodes than the System has"
61,"COMPLETED","Perlmutter-Phase-2","Aurora",0,0.000421777,0.000421777,5.76965,0.000421777,0,5.76923,"0.69:0.05:0.95:0.04:0.04:0.60","None"
62,"REJECTED","Aurora","Andes",0,-1,-1,0.000421426,0.000421426,-1,-1,"0.99:0.57:0.01:0.87:0.27:0.34","Job requires GPU while System has none"
63,"REJECTED","Frontier","Crux",0,-1,-1,0.000421777,0.000421777,-1,-1,"0.13:0.45:0.51:0.83:0.08:0.52","Job requires more nodes than the System has"
64,"COMPLETED","Crux","Aurora",0,0.000421777,0.000421777,36.635,0.000421777,0,36.6346,"0.57:0.56:0.77:0.40:0.14:0.72","None"
65,"COMPLETED","Crux","Frontier",0,0.000421426,0.000421426,21.4545,0.000421426,0,21.4541,"0.72:0.12:0.42:0.40:0.92:1.00","None"
