JobId,FinalStatus,SubmittedTo,ScheduledOn,NodeList,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Aurora","Perlmutter-Phase-2","1-481:542",155.587,155.588,155.588,14959.7,0.000641712,0,14804.1,"0.65:0.76:0.00:0.76:0.72:0.80","None"
2,"COMPLETED","Frontier","Perlmutter-Phase-2","482-541:543-1145:2049-2051:2358-2361",241.951,241.952,241.952,12970.5,0.000623392,0,12728.6,"0.62:0.75:0.00:0.76:0.70:0.77","None"
3,"COMPLETED","Frontier","Frontier","1-1073:1110-1111:2049-2051:5248-5282",256.465,256.466,256.466,8494.84,0.000616535,0,8238.38,"0.00:0.78:0.00:0.79:0.64:0.00","None"
4,"COMPLETED","Perlmutter-Phase-2","Aurora","1-1832:2049-2051:2352-2355:2358-2361",428.274,428.275,428.275,4260.27,0.000600535,0,3832,"0.00:0.73:0.00:0.72:0.00:0.68","None"
5,"COMPLETED","Aurora","Frontier","1074-1109:1112-2048:2052-3247:4097-4103:5088-5096",503.63,503.646,503.646,5674.09,0.0156255,0,5170.44,"0.00:0.71:0.00:0.75:0.00:0.42","None"
6,"COMPLETED","Frontier","Aurora","1833-2048:2052-2351:2356-2357:2362-2685:4097-4103:5082-5098",519.809,519.81,519.81,7959.81,0.000600535,0,7440,"0.00:0.78:0.00:0.78:0.66:0.00","None"
7,"COMPLETED","Perlmutter-Phase-2","Frontier","3248-3654",534.505,534.506,534.506,11100.7,0.000668535,0,10566.2,"0.67:0.76:0.00:0.80:0.70:0.74","None"
8,"COMPLETED","Perlmutter-Phase-1","Aurora","2686-3706",579.44,579.453,579.453,4947.45,0.0125824,0,4368,"0.00:0.78:0.00:0.74:0.68:0.00","None"
9,"COMPLETED","Perlmutter-Phase-2","Frontier","3655-4096:4104-4809:8193-8206",618.9,618.901,618.901,7870.39,0.000613392,0,7251.49,"0.00:0.72:0.00:0.76:0.61:0.66","None"
10,"COMPLETED","Perlmutter-Phase-1","Frontier","4810-5087:5097-5247:5283-5522",829.959,829.96,829.96,10366.3,0.000640535,0,9536.35,"0.00:0.78:0.00:0.80:0.70:0.00","None"
11,"COMPLETED","Perlmutter-Phase-2","Aurora","3707-4096:4104-5081:5099-5422:8193-8206:10268-10302",1154.8,1154.8,1154.8,6850.8,0.000591352,0,5696,"0.00:0.71:0.00:0.68:0.00:0.69","None"
12,"COMPLETED","Perlmutter-Phase-2","Frontier","5523-6515",1275.28,1275.29,1275.29,7389.71,0.00956327,0,6114.42,"0.00:0.72:0.00:0.75:0.63:0.68","None"
13,"COMPLETED","Frontier","Aurora","5423-6275",1355.43,1355.43,1355.43,8371.43,0.000611535,0,7016,"0.00:0.77:0.00:0.75:0.73:0.00","None"
14,"COMPLETED","Andes","Aurora","6276-6867",1477.93,1477.93,1477.93,8957.93,0.000616535,0,7480,"0.69:0.74:0.00:0.73:0.67:0.72","None"
15,"COMPLETED","Perlmutter-Phase-1","Frontier","6516-7379",1582.05,1582.05,1582.05,7664.29,0.000623392,0,6082.24,"0.00:0.71:0.00:0.74:0.64:0.69","None"
16,"COMPLETED","Perlmutter-Phase-1","Frontier","7380-8192:8207-8391",2275.57,2275.58,2275.58,10170.7,0.0125694,0,7895.11,"0.00:0.71:0.00:0.71:0.63:0.68","None"
17,"COMPLETED","Frontier","Aurora","6868-7508",2365.19,2365.19,2365.19,7997.19,0.000625535,0,5632,"0.00:0.76:0.00:0.69:0.68:0.00","None"
18,"COMPLETED","Perlmutter-Phase-1","Aurora","7509-8189",2400.66,2400.66,2400.66,8344.66,0.000606392,0,5944,"0.68:0.72:0.00:0.65:0.66:0.71","None"
19,"COMPLETED","Aurora","Perlmutter-Phase-2","1146-2048:2052-2357:2362-2612",2537.93,2537.93,2537.93,12915.5,0.00350727,0,10377.6,"0.00:0.65:0.00:0.40:0.64:0.70","None"
20,"COMPLETED","Aurora","Perlmutter-Phase-1","1-724:1025:1110-1111",2614.79,2614.79,2614.79,17190.4,0.000652392,0,14575.6,"0.00:0.69:0.00:0.64:0.70:0.47","None"
21,"COMPLETED","Frontier","Aurora","8190-8192:8207-8949",3835.7,3835.7,3835.7,10555.7,0.000604535,0,6720,"0.00:0.74:0.00:0.72:0.65:0.00","None"
22,"COMPLETED","Aurora","Perlmutter-Phase-2","1-2970",4205.14,4205.14,14959.7,24510.7,0.000616535,10754.5,9551.02,"0.00:0.36:0.00:0.34:0.00:0.36","None"
23,"COMPLETED","Aurora","Aurora","1-950:1025:1104-1105:1110-1111",4292.57,4292.57,4292.57,9724.57,0.000637535,0,5432,"0.00:0.78:0.00:0.63:0.46:0.00","None"
24,"COMPLETED","Aurora","Aurora","951-1024:1026-1103:1106-1109:1112-1236:2049-2051:2352-2355:2358-2361",4327.57,4327.58,4327.58,12431.6,0.00195453,0,8104,"0.00:0.82:0.00:0.71:0.69:0.00","None"
25,"COMPLETED","Aurora","Frontier","1074-1109:1112-1996:2358-2361",6203.04,6203.04,6203.04,12156.6,0.000710535,0,5953.52,"0.00:0.74:0.00:0.75:0.50:0.00","None"
26,"COMPLETED","Frontier","Frontier","1-2244:2358-2361:4097-4103:5248-5282",29307,29307,29307,34177.1,0.000610535,0,4870.08,"0.00:0.75:0.00:0.76:0.00:0.00","None"
27,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2","1-698:1025:1110-1111",40343.9,40343.9,40343.9,55735.7,0.0126865,0,15391.8,"0.63:0.76:0.00:0.76:0.70:0.79","None"
28,"COMPLETED","Aurora","Frontier","1-579:1025:1110-1111:5248-5282",40808.3,40808.3,40808.3,49465,0.000615535,0,8656.73,"0.64:0.76:0.00:0.80:0.67:0.73","None"
29,"COMPLETED","Perlmutter-Phase-2","Frontier","580-1024:1026-1109:1112-1351:2049-2051:2358-2361",41474.7,41474.7,41474.7,48812,0.000630535,0,7337.31,"0.00:0.75:0.00:0.79:0.65:0.71","None"
30,"COMPLETED","Perlmutter-Phase-1","Aurora","1-1363:2049-2051:2352-2355:2358-2361",42805.9,42805.9,42805.9,48221.9,0.000625352,0,5416,"0.00:0.74:0.00:0.74:0.61:0.68","None"
31,"COMPLETED","Aurora","Frontier","1352-2048:2052-2184:4097-4103",43004.6,43004.6,43004.6,50760.2,0.000649535,0,7755.66,"0.00:0.75:0.00:0.79:0.65:0.72","None"
32,"COMPLETED","Frontier","Frontier","2185-2357:2362-2612:5088-5096",43030.9,43030.9,43030.9,51516,0.000621535,0,8485.1,"0.00:0.80:0.00:0.83:0.74:0.00","None"
33,"COMPLETED","Frontier","Frontier","2613-4096:4104-4138:8193-8206",43069.2,43069.2,43069.2,48979.8,0.0184551,0,5910.61,"0.00:0.72:0.00:0.75:0.59:0.66","None"
34,"COMPLETED","Perlmutter-Phase-2","Frontier","4139-5087:5097-5247:5283-6939",43267.1,43267.1,43267.1,47472.1,0.000590535,0,4205.01,"0.00:0.70:0.00:0.70:0.00:0.41","None"
35,"COMPLETED","Frontier","Aurora","1364-1977",43344.2,43344.2,43344.2,48200.2,0.000606535,0,4856,"0.00:0.80:0.00:0.79:0.72:0.00","None"
36,"COMPLETED","Perlmutter-Phase-2","Aurora","1978-2048:2052-2351:2356-2357:2362-2432:4097-4103:5082-5098",43403.7,43403.7,43403.7,48523.7,0.000644392,0,5120,"0.71:0.76:0.00:0.73:0.69:0.75","None"
