JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Andes","Perlmutter-Phase-1",0,0.000264663,0.000264663,812.4,0.000264663,0,812.4,"0.71:0.71:0.00:0.71:0.71:0.71","None"
2,"COMPLETED","Aurora","Frontier",0,0.000297954,0.000297954,865.674,0.000297954,0,865.673,"0.71:0.75:0.00:0.75:0.71:0.71","None"
3,"COMPLETED","Aurora","Aurora",0,0.000328776,0.000328776,201.635,0.000328776,0,201.635,"0.00:0.76:0.00:0.67:0.00:0.00","None"
4,"COMPLETED","Frontier","Frontier",0,0.000349776,0.000349776,868.892,0.000349776,0,868.892,"0.00:0.70:0.00:0.76:0.65:0.00","None"
5,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",0,0.000272308,0.000272308,768,0.000272308,0,768,"0.71:0.71:0.00:0.71:0.71:0.71","None"
6,"COMPLETED","Frontier","Frontier",0,0.000336954,0.000336954,823.838,0.000336954,0,823.838,"0.00:0.65:0.00:0.76:0.64:0.00","None"
7,"COMPLETED","Perlmutter-Phase-2","Frontier",0,0.000297954,0.000297954,1056.62,0.000297954,0,1056.62,"0.71:0.75:0.00:0.75:0.71:0.71","None"
8,"COMPLETED","Perlmutter-Phase-2","Aurora",0,0.000264486,0.000264486,253.269,0.000264486,0,253.269,"0.71:0.71:0.00:0.71:0.71:0.71","None"
9,"COMPLETED","Andes","Andes",0,0.000266954,0.000266954,842.4,0.000266954,0,842.4,"0.71:0.71:0.00:0.71:0.71:0.71","None"
10,"COMPLETED","Frontier","Frontier",0,0.000305308,0.000305308,755.185,0.000305308,0,755.185,"0.00:0.66:0.00:0.75:0.62:0.00","None"
11,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,0.000264954,812.4,1624.8,0.000264954,812.4,812.4,"0.00:0.71:0.00:0.71:0.71:0.71","None"
12,"COMPLETED","Aurora","Aurora",0,0.000334308,0.000334308,154.327,0.000334308,0,154.327,"0.00:0.76:0.00:0.68:0.61:0.00","None"
13,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000305308,0.000305308,608.224,0.000305308,0,608.224,"0.00:0.74:0.00:0.75:0.71:0.71","None"
14,"COMPLETED","Perlmutter-Phase-2","Aurora",0,0.000314308,0.000314308,197.308,0.000314308,0,197.308,"0.00:0.75:0.00:0.75:0.71:0.71","None"
15,"COMPLETED","Aurora","Aurora",1288.63,1288.63,1288.63,1414.98,0.000299535,0,126.346,"0.00:0.99:0.00:0.87:0.00:0.00","None"
16,"COMPLETED","Aurora","Aurora",3071.55,3071.55,3071.55,3363.76,0.000324535,0,292.212,"0.00:1.00:0.00:0.88:0.76:0.00","None"
17,"COMPLETED","Perlmutter-Phase-1","Frontier",4342.68,4342.68,4342.68,5296.31,0.000305535,0,953.635,"0.00:0.99:0.00:1.00:0.95:0.00","None"
18,"COMPLETED","Frontier","Frontier",5011.38,5011.38,5011.38,5498.39,0.000325535,0,487.008,"0.00:0.94:0.00:0.97:0.00:0.00","None"
19,"COMPLETED","Aurora","Frontier",6203.04,6203.04,6203.04,6720.08,0.000253535,0,517.044,"0.00:0.98:0.00:0.98:0.00:0.84","None"
20,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",6209.07,6209.07,6209.07,7286.67,0.000330535,0,1077.6,"0.00:0.94:0.00:0.59:0.95:0.00","None"
21,"COMPLETED","Aurora","Frontier",7564.55,7564.55,7564.55,8347.62,0.000257535,0,783.075,"0.00:0.99:0.00:1.00:0.75:0.00","None"
22,"COMPLETED","Frontier","Aurora",8648.4,8648.4,8648.4,8892.72,0.000259535,0,244.327,"0.75:0.98:0.00:0.82:0.87:0.82","None"
23,"COMPLETED","Aurora","Aurora",9480.89,9480.89,9480.89,9656.85,0.000283535,0,175.962,"0.00:0.95:0.00:0.95:0.95:0.89","None"
24,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",11380,11380,11380,11954.8,0.000272535,0,574.8,"0.00:0.95:0.00:0.95:0.00:0.95","None"
25,"COMPLETED","Frontier","Frontier",15675.6,15675.6,15675.6,16576.7,0.000283535,0,901.073,"0.00:0.99:0.00:1.00:0.95:0.00","None"
26,"COMPLETED","Perlmutter-Phase-2","Aurora",21587.8,21587.8,21587.8,21793.2,0.000259535,0,205.385,"0.00:0.95:0.00:0.95:0.00:0.88","None"
27,"COMPLETED","Perlmutter-Phase-2","Aurora",40343.9,40343.9,40343.9,40538.9,0.000375352,0,195,"0.00:0.99:0.00:0.98:0.95:0.95","None"
28,"COMPLETED","Aurora","Frontier",40808.3,40808.3,40808.3,42059,0.000258535,0,1250.77,"0.00:0.94:0.00:1.00:0.95:0.00","None"
29,"COMPLETED","Perlmutter-Phase-2","Aurora",41663.5,41663.5,41663.5,41776.6,0.000328535,0,113.077,"0.00:0.98:0.00:0.97:0.00:0.95","None"
30,"COMPLETED","Frontier","Frontier",41709,41709,41709,42360.2,0.00315308,0,651.132,"0.00:0.73:0.00:0.98:0.95:0.00","None"
31,"COMPLETED","Perlmutter-Phase-1","Aurora",42566.3,42566.3,42566.3,42808,0.000261535,0,241.731,"0.95:0.95:0.00:0.76:0.95:0.95","None"
32,"COMPLETED","Frontier","Perlmutter-Phase-2",42833.1,42833.1,42833.1,43527.9,0.000263535,0,694.8,"0.00:0.74:0.00:0.88:0.95:0.95","None"
33,"COMPLETED","Aurora","Perlmutter-Phase-1",43004.6,43004.6,43004.6,43682.6,0.000269535,0,678,"0.00:0.95:0.00:0.95:0.95:0.59","None"
34,"COMPLETED","Perlmutter-Phase-2","Aurora",43200,43200,43200,43354,0.000261889,0,154.038,"0.00:0.95:0.00:0.95:0.06:0.59","None"
35,"COMPLETED","Aurora","Aurora",43200,43200,43200,43350,0.000264889,0,150,"0.00:0.95:0.00:0.95:0.00:0.28","None"
36,"COMPLETED","Perlmutter-Phase-1","Aurora",43200,43200,43200,43357.5,0.00615327,0,157.5,"0.00:0.89:0.00:0.88:0.06:0.00","None"
37,"COMPLETED","Frontier","Aurora",43200,43200,43200,43358.9,0.00328671,0,158.942,"0.00:0.98:0.00:0.98:0.06:0.59","None"
38,"COMPLETED","Perlmutter-Phase-1","Frontier",43699.3,43699.3,43699.3,44488.8,0.000326535,0,789.511,"0.00:0.98:0.00:0.99:0.72:0.72","None"
39,"COMPLETED","Aurora","Aurora",43851.9,43851.9,43851.9,44012,0.000261535,0,160.096,"0.00:0.95:0.00:0.73:0.74:0.00","None"
40,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",43903.5,43903.5,43903.5,44913.9,0.000324535,0,1010.4,"0.00:0.67:0.00:0.68:0.74:0.00","None"
41,"COMPLETED","Frontier","Andes",43966.9,43966.9,43966.9,44798.5,0.000267535,0,831.6,"0.95:0.81:0.00:0.75:0.61:0.72","None"
42,"COMPLETED","Aurora","Aurora",44137.5,44137.5,44137.5,44333.4,0.000331535,0,195.865,"0.00:0.90:0.00:0.78:0.55:0.00","None"
43,"COMPLETED","Frontier","Aurora",44725.4,44725.4,44725.4,44978.3,0.000262535,0,252.981,"0.00:0.95:0.00:0.76:0.69:0.00","None"
44,"COMPLETED","Frontier","Frontier",44894.5,44894.5,44894.5,45892.1,0.000318535,0,997.616,"0.00:0.78:0.00:0.84:0.63:0.00","None"
45,"COMPLETED","Aurora","Aurora",45467.2,45467.2,45467.2,45699.7,0.000265535,0,232.5,"0.72:0.95:0.00:0.83:0.78:0.74","None"
46,"COMPLETED","Andes","Aurora",45689,45689,45689,45958.7,0.000264535,0,269.712,"0.72:0.89:0.00:0.86:0.79:0.74","None"
47,"COMPLETED","Perlmutter-Phase-1","Aurora",46132.9,46132.9,46132.9,46347.2,0.000264535,0,214.327,"0.72:0.90:0.00:0.77:0.88:0.75","None"
48,"COMPLETED","Frontier","Frontier",47496.2,47496.2,47496.2,48344.7,0.000293535,0,848.51,"0.00:0.99:0.00:1.00:0.95:0.00","None"
49,"COMPLETED","Perlmutter-Phase-2","Aurora",47925.4,47925.4,47925.4,48148.4,0.000291535,0,222.981,"0.73:0.98:0.00:0.84:0.95:0.78","None"
50,"COMPLETED","Perlmutter-Phase-1","Aurora",48557.3,48557.3,48557.3,48778.5,0.000284535,0,221.25,"0.00:0.99:0.00:0.80:0.95:0.79","None"
51,"COMPLETED","Aurora","Perlmutter-Phase-1",51446.7,51446.7,51446.7,52243.5,0.000264535,0,796.8,"0.00:0.95:0.00:0.95:0.95:0.85","None"
52,"COMPLETED","Aurora","Frontier",53905.6,53905.6,53905.6,54681.2,0.000266535,0,775.566,"0.00:0.98:0.00:0.98:0.95:0.89","None"
53,"COMPLETED","Perlmutter-Phase-2","Frontier",64623.5,64623.5,64623.5,65234.9,0.000298535,0,611.442,"0.00:0.98:0.00:0.99:0.95:0.95","None"
54,"COMPLETED","Perlmutter-Phase-1","Frontier",68542.1,68542.1,68542.1,69098.8,0.000304535,0,556.734,"0.00:0.99:0.00:1.00:0.95:0.00","None"
