JobId,FinalStatus,SubmittedTo,ScheduledOn,NodeList,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Aurora","Perlmutter-Phase-2","1-481:542",155.587,171.125,171.125,14975.2,15.5381,0,14804.1,"0.03:0.88:0.00:0.04:0.82:0.92","None"
2,"COMPLETED","Frontier","Aurora","1-665:1025:1104-1105:1110-1111",241.951,258.626,258.626,5802.63,16.6747,0,5544,"0.04:0.91:0.00:0.05:0.87:0.88","None"
3,"COMPLETED","Frontier","Frontier","1-1073:1110-1111:2049-2051:5248-5282",256.465,275.95,275.95,8514.33,19.4847,0,8238.38,"0.00:0.78:0.00:0.91:0.05:0.00","None"
4,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","482-541:543-2321:2358-2361",428.274,444.943,444.943,9242.9,16.6689,0,8797.96,"0.00:0.82:0.00:0.05:0.00:0.82","None"
5,"COMPLETED","Aurora","Aurora","666-1024:1026-1103:1106-1109:1112-2831:4097-4103:5082-5098",503.63,520.718,520.718,4376.72,17.0876,0,3856,"0.00:0.82:0.00:0.02:0.00:0.28","None"
6,"COMPLETED","Frontier","Frontier","1074-1109:1112-1937:2358-2361",519.809,535.694,535.694,10511.9,15.8848,0,9976.16,"0.00:0.85:0.00:0.87:0.78:0.00","None"
7,"COMPLETED","Perlmutter-Phase-2","Aurora","2832-3238",534.505,552.295,552.295,8432.3,17.79,0,7880,"0.03:0.82:0.00:0.05:0.04:0.52","None"
8,"COMPLETED","Perlmutter-Phase-1","Aurora","3239-4096:4104-4252:8193-8206",579.44,594.285,594.285,4962.29,14.8451,0,4368,"0.00:0.87:0.00:0.12:0.04:0.00","None"
9,"COMPLETED","Perlmutter-Phase-2","Aurora","4253-5081:5099-5396:10268-10302",618.9,634.001,634.001,6042,15.1007,0,5408,"0.00:0.82:0.00:0.04:0.03:0.02","None"
10,"COMPLETED","Perlmutter-Phase-1","Aurora","5397-6065",829.959,843.573,843.573,7955.57,13.6139,0,7112,"0.00:0.82:0.00:0.04:0.04:0.00","None"
11,"COMPLETED","Perlmutter-Phase-2","Frontier","1938-2048:2052-2357:2362-3669:4097-4103:5088-5096",1154.8,1168.81,1168.81,8806.48,14.0103,0,7637.66,"0.00:0.03:0.00:0.04:0.00:0.03","None"
12,"COMPLETED","Perlmutter-Phase-2","Aurora","6066-7058",1275.28,1292.61,1292.61,5852.61,17.3296,0,4560,"0.00:0.74:0.00:0.04:0.03:0.55","None"
13,"COMPLETED","Frontier","Frontier","3670-4096:4104-4515:8193-8206",1355.43,1370.3,1370.3,10777.9,14.8701,0,9407.63,"0.00:0.87:0.00:0.87:0.04:0.00","None"
14,"COMPLETED","Andes","Andes","1-592",1477.93,1494.31,1494.31,48244.3,16.3777,0,46750,"0.87:0.04:0.00:0.04:0.05:0.82","None"
15,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","1-861:1025:1110-1111",1582.05,1599.35,1599.35,14045.7,17.3052,0,12446.3,"0.00:0.68:0.00:0.04:0.82:0.62","None"
16,"COMPLETED","Perlmutter-Phase-1","Aurora","7059-8056",2275.57,2291.52,2291.52,8179.52,15.9458,0,5888,"0.00:0.72:0.00:0.12:0.32:0.28","None"
17,"COMPLETED","Frontier","Frontier","4516-5087:5097-5165",2365.19,2381.86,2381.86,9933.71,16.6705,0,7551.85,"0.00:0.82:0.00:0.82:0.04:0.00","None"
18,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","1-678:1025:1110-1111",2400.66,2416.05,14045.7,30355.4,15.3891,11629.6,16309.8,"0.03:0.04:0.00:0.03:0.38:0.28","None"
19,"COMPLETED","Aurora","Aurora","8057-8192:8207-9530",2537.93,2556.3,2556.3,7076.3,18.3729,0,4520,"0.00:0.78:0.00:0.04:0.02:0.58","None"
20,"COMPLETED","Aurora","Aurora","9531-10257",2614.79,2631.6,2631.6,7943.6,16.8136,0,5312,"0.00:0.82:0.00:0.04:0.42:0.62","None"
21,"COMPLETED","Frontier","Frontier","5166-5247:5283-5946",3835.7,3851.2,3851.2,12861.9,15.5014,0,9010.73,"0.00:0.42:0.00:0.82:0.03:0.00","None"
22,"COMPLETED","Aurora","Aurora","666-1024:1026-1103:1106-1109:1112-2831:3239-4023:4097-4103:5082-5098",4205.14,4219.28,4962.29,9122.29,14.1412,743.003,4160,"0.00:0.04:0.00:0.03:0.00:0.03","None"
23,"COMPLETED","Aurora","Aurora","1-665:1025:1104-1105:1110-1111:4024-4096:4104-4252:6066-6114:8193-8206",4292.57,4308.19,5852.61,11284.6,15.6234,1544.42,5432,"0.00:0.72:0.00:0.05:0.02:0.00","None"
24,"COMPLETED","Aurora","Aurora","10258-10267:10303-10584",4327.57,4342.35,4342.35,12446.3,14.771,0,8104,"0.00:0.85:0.00:0.04:0.04:0.00","None"
25,"COMPLETED","Aurora","Aurora","4253-5081:5099-5159:10268-10302",6203.04,6217.97,6217.97,10658,14.934,0,4440,"0.00:0.05:0.00:0.04:0.03:0.00","None"
26,"COMPLETED","Frontier","Aurora","1-2275:2352-2355:2358-2361:4097-4103",29307,29322.2,29322.2,32954.2,15.213,0,3632,"0.00:0.82:0.00:0.04:0.00:0.00","None"
27,"COMPLETED","Perlmutter-Phase-1","Aurora","1-696:1025:1104-1105:1110-1111",40343.9,40360,40360,47064,16.0708,0,6704,"0.02:0.88:0.00:0.04:0.87:0.62","None"
28,"COMPLETED","Aurora","Aurora","697-1024:1026-1103:1106-1109:1112-1307:2049-2051:2352-2355:2358-2361",40808.3,40826.5,40826.5,47282.5,18.2312,0,6456,"0.02:0.72:0.00:0.12:0.04:0.05","None"
29,"COMPLETED","Perlmutter-Phase-2","Aurora","1308-2048:2052-2079:4097-4103",41474.7,41490.2,41490.2,46962.2,15.5251,0,5472,"0.00:0.82:0.00:0.04:0.03:0.03","None"
30,"COMPLETED","Perlmutter-Phase-1","Aurora","2080-2351:2356-2357:2362-3444:5082-5098",42805.9,42823,42823,48239,17.0981,0,5416,"0.00:0.72:0.00:0.04:0.62:0.54","None"
31,"COMPLETED","Aurora","Aurora","3445-4096:4104-4274:8193-8206",43004.6,43020.7,43020.7,48804.7,16.104,0,5784,"0.00:0.87:0.00:0.04:0.78:0.04","None"
32,"COMPLETED","Frontier","Perlmutter-Phase-1","1-432:542",43030.9,43044.7,43044.7,60408.1,13.7396,0,17363.4,"0.00:0.87:0.00:0.92:0.93:0.00","None"
33,"COMPLETED","Frontier","Aurora","4275-5081:5099-5789:10268-10302",43069.2,43085.4,43085.4,47493.4,16.2759,0,4408,"0.00:0.78:0.00:0.04:0.31:0.78","None"
34,"COMPLETED","Perlmutter-Phase-2","Aurora","5790-8192:8207-8560",43267.1,43283.5,43283.5,46419.5,16.4465,0,3136,"0.00:0.72:0.00:0.02:0.00:0.42","None"
35,"COMPLETED","Frontier","Frontier","1-576:1025:1110-1111:5248-5282",43344.2,43360,43360,49871.3,15.7659,0,6511.32,"0.00:0.87:0.00:0.92:0.04:0.00","None"
36,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","1-467:542",43403.7,43420.3,43420.3,55175.4,16.6276,0,11755.1,"0.15:0.68:0.00:0.04:0.04:0.87","None"
37,"COMPLETED","Frontier","Perlmutter-Phase-2","468-541:543-1763:2049-2051:2358-2361",43450.5,43466.1,43466.1,54100.8,15.603,0,10634.7,"0.00:0.04:0.00:0.12:0.02:0.88","None"
38,"COMPLETED","Aurora","Aurora","8561-9304",43538.2,43554.5,43554.5,48434.5,16.3584,0,4880,"0.00:0.87:0.00:0.05:0.82:0.87","None"
39,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-1","433-541:543-1041:1110-1111",43647.4,43663.6,43663.6,60631.9,16.1971,0,16968.3,"0.02:0.74:0.00:0.05:0.82:0.58","None"
40,"COMPLETED","Aurora","Aurora","7286-8192:8207-8560:9305-10101",43851.9,43865.7,46419.5,49923.5,13.797,2553.79,3504,"0.00:0.04:0.00:0.04:0.00:0.00","None"
41,"COMPLETED","Perlmutter-Phase-1","Aurora","5790-7285",43903.5,43921.6,46419.5,50571.5,18.1206,2497.9,4152,"0.00:0.62:0.00:0.42:0.25:0.00","None"
42,"COMPLETED","Aurora","Aurora","553-1024:1026-1103:1106-1109:1112-1307:2049-2051:2352-2355:2358-2361:4275-5081:5099-5789:10208-10244:10268-10302",44137.5,44152.2,47493.4,53085.4,14.6646,3341.28,5592,"0.00:0.58:0.00:0.04:0.00:0.00","None"
43,"COMPLETED","Andes","Perlmutter-Phase-2","1764-2048:2052-2193",44188,44205,44205,57098.9,17.0271,0,12893.9,"0.18:0.03:0.00:0.08:0.04:0.82","None"
44,"COMPLETED","Frontier","Frontier","577-1024:1026-1109:1112-1393:2049-2051:2358-2361",44381.4,44396.5,44396.5,53085.4,15.1148,0,8688.92,"0.00:0.78:0.00:0.91:0.04:0.00","None"
45,"COMPLETED","Aurora","Aurora","2080-2351:2356-2357:2362-3265:5082-5098",45467.2,45483.4,48239,52519,16.1499,2755.63,4280,"0.00:0.72:0.00:0.04:0.02:0.00","None"
46,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2","468-541:543-1763:2049-2051:2194-2227:2358-2361",45790.6,45808.3,54100.8,68188.6,17.7385,8292.54,14087.8,"0.00:0.28:0.00:0.05:0.04:0.28","None"
47,"COMPLETED","Perlmutter-Phase-2","Aurora","1308-2048:2052-2079:4097-4103:10102-10207",45904.4,45920,46962.2,51234.2,15.5951,1042.21,4272,"0.00:0.74:0.00:0.62:0.48:0.72","None"
48,"COMPLETED","Andes","Aurora","1-552:1025:1104-1105:1110-1111",46444.1,46459.9,47064,52480,15.7976,604.067,5416,"0.12:0.58:0.00:0.05:0.04:0.58","None"
