JobId,FinalStatus,SubmittedTo,ScheduledOn,NodeList,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Aurora","Aurora","1-480:536:542",155.587,155.587,155.587,6603.59,5.20843e-05,0,6448,"1.00","None"
2,"COMPLETED","Frontier","Frontier","1-632:1025:1110-1111:5248-5282",241.951,241.951,241.951,7675.8,5.20843e-05,0,7433.85,"1.00","None"
3,"COMPLETED","Frontier","Frontier","633-1024:1026-1109:1112-1741:2049-2051:2358-2361",256.465,256.465,256.465,8494.84,5.20843e-05,0,8238.38,"1.00","None"
4,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","1-1836:2049-2051:2358-2361",428.274,428.274,428.274,9226.23,5.20843e-05,0,8797.96,"1.00","None"
5,"COMPLETED","Aurora","Aurora","481-535:537-541:543-2643:4097-4103:5082-5098",503.63,503.63,503.63,4359.63,5.20843e-05,0,3856,"1.00","None"
6,"COMPLETED","Frontier","Frontier","1742-2048:2052-2357:2362-2598:4097-4103:5088-5096",519.809,519.809,519.809,10496,5.20843e-05,0,9976.16,"1.00","None"
7,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","1837-2048:2052-2246",534.505,534.505,534.505,18626.3,5.20843e-05,0,18091.8,"1.00","None"
8,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","1-1018:1025:1110-1111",579.44,579.44,579.44,12564.8,5.20843e-05,0,11985.4,"1.00","None"
9,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","991-1024:1026-1109:1112-1836:2049-2051:2247-2562",618.9,618.9,9226.23,21642.6,5.20843e-05,8607.33,12416.3,"1.00","None"
10,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","1-666:1025:1110-1111",829.959,829.959,12564.8,32079.4,5.20843e-05,11734.8,19514.6,"1.00","None"
11,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","1-990:1025:1110-1111:1837-2048:2052-2246:2563-2903",1154.8,1154.8,19695.6,32773.2,5.20843e-05,18540.8,13077.6,"1.00","None"
12,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","1-990:1025:1110-1111",1275.28,1275.28,9226.23,19695.6,5.20843e-05,7950.95,10469.4,"1.00","None"
13,"COMPLETED","Frontier","Frontier","2599-3451",1355.43,1355.43,1355.43,10763.1,5.20843e-05,0,9407.63,"1.00","None"
14,"COMPLETED","Andes","Andes","1-592",1477.93,1477.93,1477.93,48227.9,5.20843e-05,0,46750,"1.00","None"
15,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","667-1024:1026-1109:1112-1533",1582.05,1582.05,12564.8,25011.1,5.20843e-05,10982.8,12446.3,"1.00","None"
16,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","1-995:1025:1110-1111",2275.57,2275.57,32079.4,48235.5,5.20843e-05,29803.9,16156.1,"1.00","None"
17,"COMPLETED","Frontier","Frontier","3452-4092",2365.19,2365.19,2365.19,9917.04,5.20843e-05,0,7551.85,"1.00","None"
18,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","699-1024:1026-1109:1112-1382",2400.66,2400.66,48235.5,64545.3,5.20843e-05,45834.9,16309.8,"1.00","None"
19,"COMPLETED","Aurora","Aurora","2644-4096:8193-8199",2537.93,2537.93,2537.93,7057.93,5.20843e-05,0,4520,"1.00","None"
20,"COMPLETED","Aurora","Aurora","4104-4823:8200-8206",2614.79,2614.79,2614.79,7926.79,5.20843e-05,0,5312,"1.00","None"
21,"COMPLETED","Frontier","Frontier","4093-4096:4104-4831:8193-8206",3835.7,3835.7,3835.7,12846.4,5.20843e-05,0,9010.73,"1.00","None"
22,"COMPLETED","Aurora","Aurora","4824-5081:5099-7775:10268-10302",4205.14,4205.14,4205.14,8365.14,5.20843e-05,0,4160,"1.00","None"
23,"COMPLETED","Aurora","Aurora","7776-8192:8207-8744",4292.57,4292.57,4292.57,9724.57,5.20843e-05,0,5432,"1.00","None"
24,"COMPLETED","Aurora","Aurora","8745-9036",4327.57,4327.58,4327.58,12431.6,5.20843e-05,0,8104,"1.00","None"
25,"COMPLETED","Aurora","Aurora","481-535:537-541:543-1396:2049-2051:2352-2355:2358-2361",6203.04,6203.04,6203.04,10643,5.20843e-05,0,4440,"1.00","None"
26,"COMPLETED","Frontier","Frontier","1-2244:2358-2361:4097-4103:5248-5282",29307,29307,29307,34177.1,5.20843e-05,0,4870.08,"1.00","None"
27,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","1-698:1025:1110-1111",40343.9,40343.9,48235.5,66630.7,5.20843e-05,7891.65,18395.1,"1.00","None"
28,"COMPLETED","Aurora","Aurora","1-612:1025:1104-1105:1110-1111",40808.3,40808.3,40808.3,47264.3,5.20843e-05,0,6456,"1.00","None"
29,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","1-773:1025:1110-1111",41474.7,41474.7,41474.7,54038,5.20843e-05,0,12563.3,"1.00","None"
