JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Andes","Perlmutter-Phase-2",0,0.000244236,0.000244236,812.4,0.000244236,0,812.4,"0.25:0.20:0.10:0.49:0.60:0.82","None"
2,"REJECTED","Aurora","Crux",0,-1,-1,0.000245353,0.000245353,-1,-1,"0.53:0.43:0.90:0.19:0.13:0.10","Job requires more nodes than the System has"
3,"COMPLETED","Aurora","Aurora",0,0.000245353,0.000245353,201.635,0.000245353,0,201.635,"0.40:0.70:0.52:0.01:0.27:0.58","None"
4,"COMPLETED","Frontier","Aurora",0,0.000245353,0.000245353,233.654,0.000245353,0,233.654,"0.20:0.94:0.62:0.48:0.69:0.46","None"
5,"COMPLETED","Perlmutter-Phase-2","Andes",0,0.000244951,0.000244951,768,0.000244951,0,768,"0.91:0.79:0.80:0.54:0.44:0.50","None"
6,"REJECTED","Frontier","Andes",0,-1,-1,0.000244951,0.000244951,-1,-1,"0.80:0.75:0.10:0.12:0.77:0.15","Job requires more nodes than the System has"
7,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-1",0,0.000244236,812.4,1994.4,0.000244236,812.4,1182,"0.75:0.64:0.10:0.06:0.91:0.46","None"
8,"COMPLETED","Perlmutter-Phase-2","Andes",0,0.000244951,768,1821.6,0.000244951,768,1053.6,"0.62:0.20:0.57:0.49:0.58:0.26","None"
9,"COMPLETED","Andes","Aurora",0,0.000245353,0.000245353,202.5,0.000245353,0,202.5,"0.42:0.95:0.63:0.40:0.38:0.46","None"
10,"COMPLETED","Frontier","Aurora",0,0.000245353,0.000245353,203.077,0.000245353,0,203.077,"0.67:0.69:0.06:0.02:0.52:0.61","None"
11,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,0.000244236,0.000244236,812.4,0.000244236,0,812.4,"0.57:0.02:0.56:0.63:0.89:0.23","None"
12,"REJECTED","Aurora","Perlmutter-Phase-2",0,-1,-1,0.000244236,0.000244236,-1,-1,"0.36:0.13:0.38:0.19:0.17:0.83","Job requires GPU while System has none"
13,"COMPLETED","Perlmutter-Phase-1","Aurora",0,0.000245353,0.000245353,163.558,0.000245353,0,163.558,"0.53:0.95:0.85:0.23:0.12:0.45","None"
14,"COMPLETED","Perlmutter-Phase-2","Aurora",0,0.000245353,0.000245353,197.308,0.000245353,0,197.308,"0.57:0.69:0.35:0.32:0.42:0.22","None"
15,"REJECTED","Aurora","Perlmutter-Phase-2",1288.63,-1,-1,1288.63,0.000235244,-1,-1,"0.65:0.43:0.60:0.17:0.42:0.76","Job requires GPU while System has none"
16,"COMPLETED","Aurora","Frontier",3071.55,3071.55,3071.55,4158.2,0.000235244,0,1086.65,"0.29:0.60:0.56:0.97:0.59:0.71","None"
17,"COMPLETED","Perlmutter-Phase-1","Frontier",4342.68,4342.68,4342.68,5296.31,0.000235244,0,953.635,"0.47:0.35:0.56:0.67:0.28:0.60","None"
18,"COMPLETED","Frontier","Frontier",5011.38,5011.38,5011.38,5498.39,0.000234889,0,487.008,"0.07:0.81:0.27:1.00:0.98:0.35","None"
19,"COMPLETED","Aurora","Aurora",6203.04,6203.04,6203.04,6342.08,0.000234889,0,139.038,"0.48:0.82:0.40:0.33:0.06:0.63","None"
20,"COMPLETED","Perlmutter-Phase-1","Frontier",6209.07,6209.07,6209.07,7172.36,0.000235244,0,963.29,"0.87:0.81:0.51:0.88:0.83:0.86","None"
21,"COMPLETED","Aurora","Perlmutter-Phase-1",7564.55,7564.55,7564.55,8440.55,0.000235244,0,876,"0.42:0.34:0.34:0.46:0.99:0.38","None"
22,"COMPLETED","Frontier","Frontier",8648.4,8648.4,8648.4,9556.98,0.000234889,0,908.582,"0.93:0.89:0.82:0.95:0.46:0.19","None"
23,"REJECTED","Aurora","Crux",9480.89,-1,-1,9480.89,0.000234889,-1,-1,"0.51:0.54:0.95:0.44:0.75:0.07","Job requires more nodes than the System has"
24,"REJECTED","Perlmutter-Phase-2","Andes",11380,-1,-1,11380,0.000235244,-1,-1,"0.99:0.07:0.65:0.25:0.24:0.89","Job requires more nodes than the System has"
25,"REJECTED","Frontier","Perlmutter-Phase-2",15675.6,-1,-1,15675.6,0.000234839,-1,-1,"0.06:0.34:0.12:0.35:0.03:0.54","Job requires GPU while System has none"
26,"COMPLETED","Perlmutter-Phase-2","Aurora",21587.8,21587.8,21587.8,21793.2,0.000235244,0,205.385,"0.68:0.85:0.33:0.64:0.62:0.53","None"
27,"REJECTED","Perlmutter-Phase-2","Andes",40343.9,-1,-1,40343.9,0.000235244,-1,-1,"1.00:0.93:0.57:0.26:0.06:0.37","Job requires more nodes than the System has"
28,"COMPLETED","Aurora","Aurora",40808.3,40808.3,40808.3,41144.6,0.000234889,0,336.346,"0.80:0.87:0.01:0.14:0.48:0.84","None"
29,"REJECTED","Perlmutter-Phase-2","Crux",41663.5,-1,-1,41663.5,0.000235244,-1,-1,"0.39:0.52:0.85:0.84:0.17:0.43","Job requires more nodes than the System has"
30,"COMPLETED","Frontier","Frontier",41709,41709,41709,42360.2,0.000234889,0,651.132,"0.26:0.41:0.12:0.76:0.72:0.66","None"
31,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",42566.3,42566.3,42566.3,43571.9,0.000234696,0,1005.6,"0.04:0.19:0.50:0.08:0.58:0.20","None"
32,"REJECTED","Frontier","Andes",42833.1,-1,-1,42833.1,0.000234889,-1,-1,"0.80:0.10:0.51:0.79:0.17:0.17","Job requires more nodes than the System has"
33,"COMPLETED","Aurora","Perlmutter-Phase-2",43004.6,43004.6,43004.6,43682.6,0.000235244,0,678,"0.45:0.33:0.70:0.29:0.39:0.75","None"
34,"REJECTED","Perlmutter-Phase-2","Andes",43200,-1,-1,43200,0.000237727,-1,-1,"0.57:0.14:0.40:0.48:0.31:0.08","Job requires more nodes than the System has"
35,"COMPLETED","Aurora","Frontier",43200,43200,43200,43757.8,0.000237727,0,557.807,"0.16:0.17:0.72:0.90:0.22:0.48","None"
36,"REJECTED","Perlmutter-Phase-1","Crux",43200,-1,-1,43200,0.000237727,-1,-1,"0.80:0.18:0.99:0.91:0.35:0.52","Job requires more nodes than the System has"
37,"COMPLETED","Frontier","Perlmutter-Phase-2",43200,43200,43200,43861.2,0.000237372,0,661.2,"0.77:0.31:0.49:0.23:0.27:0.90","None"
38,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",43699.3,43699.3,43699.3,44582.5,0.000234696,0,883.2,"0.71:0.98:0.26:0.96:0.99:0.70","None"
39,"COMPLETED","Aurora","Aurora",43851.9,43851.9,43851.9,44012,0.000234889,0,160.096,"0.29:0.77:0.27:0.39:0.39:0.63","None"
40,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",43903.5,43903.5,44582.5,45592.9,0.000234696,679.01,1010.4,"0.51:0.12:0.47:0.55:0.57:0.04","None"
41,"REJECTED","Frontier","Crux",43966.9,-1,-1,43966.9,0.000234737,-1,-1,"0.53:0.32:0.92:0.47:0.24:0.45","Job requires more nodes than the System has"
42,"REJECTED","Aurora","Andes",44137.5,-1,-1,44137.5,0.000235244,-1,-1,"0.84:0.07:0.52:0.37:0.27:0.65","Job requires more nodes than the System has"
43,"REJECTED","Frontier","Crux",44725.4,-1,-1,44725.4,0.000234737,-1,-1,"0.01:0.70:0.87:0.67:0.08:0.38","Job requires more nodes than the System has"
44,"REJECTED","Frontier","Andes",44894.5,-1,-1,44894.5,0.000234889,-1,-1,"0.98:0.85:0.94:0.56:0.97:0.04","Job requires more nodes than the System has"
45,"REJECTED","Aurora","Crux",45467.2,-1,-1,45467.2,0.000234889,-1,-1,"0.60:0.63:0.91:0.43:0.56:0.22","Job requires more nodes than the System has"
46,"COMPLETED","Andes","Perlmutter-Phase-1",45689,45689,45689,46811,0.000234839,0,1122,"0.11:0.33:0.68:0.79:0.82:0.80","None"
47,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",46132.9,46132.9,46132.9,47024.5,0.000234696,0,891.6,"0.85:0.63:0.36:0.22:0.96:0.68","None"
48,"COMPLETED","Frontier","Frontier",47496.2,47496.2,47496.2,48344.7,0.000234889,0,848.51,"0.65:0.01:0.12:0.95:0.11:0.15","None"
49,"COMPLETED","Perlmutter-Phase-2","Andes",47925.4,47925.4,47925.4,48853,0.000235244,0,927.6,"0.89:0.81:0.00:0.48:0.54:0.08","None"
50,"COMPLETED","Perlmutter-Phase-1","Aurora",48557.3,48557.3,48557.3,48778.5,0.000235244,0,221.25,"0.11:0.57:0.03:0.19:0.16:0.54","None"
51,"COMPLETED","Aurora","Frontier",51446.7,51446.7,51446.7,52159,0.000235244,0,712.277,"0.76:0.38:0.74:0.96:0.07:0.60","None"
52,"REJECTED","Aurora","Andes",53905.6,-1,-1,53905.6,0.000235244,-1,-1,"0.94:0.43:0.14:0.66:0.64:0.92","Job requires more nodes than the System has"
53,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-1",64623.5,64623.5,64623.5,65307.5,0.000234696,0,684,"0.13:0.14:0.14:0.46:0.70:0.48","None"
54,"REJECTED","Perlmutter-Phase-1","Crux",68542.1,-1,-1,68542.1,0.000235244,-1,-1,"0.60:0.37:0.68:0.06:0.43:0.58","Job requires more nodes than the System has"
