JobId,FinalStatus,SubmittedTo,ScheduledOn,NodeList,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Perlmutter-Phase-1","Frontier","1-441:542:5248-5282",38.052,38.0652,38.0652,8930.79,0.0131775,0,8892.73,"0.00:0.88:0.00:0.91:0.90:0.00","None"
2,"COMPLETED","Frontier","Frontier","442-541:543-1492:2049-2051:2358-2361",82.515,82.5225,82.5225,6282.76,0.00749508,0,6200.24,"0.00:0.92:0.00:0.96:0.71:0.00","None"
3,"COMPLETED","Aurora","Perlmutter-Phase-2","1-561:1025:1110-1111",126.785,126.81,126.81,11459.5,0.0251644,0,11332.7,"0.78:0.97:0.00:0.92:0.89:0.98","None"
4,"COMPLETED","Frontier","Aurora","1-1925:2049-2051:2352-2355:2358-2361",127.003,127.017,127.017,4039.02,0.0143934,0,3912,"0.00:0.98:0.00:0.89:0.00:0.00","None"
5,"COMPLETED","Aurora","Aurora","1926-2048:2052-2351:2356-2357:2362-3016:4097-4103:5082-5098",142.73,142.75,142.75,7038.75,0.0200395,0,6896,"0.00:0.93:0.00:0.85:0.69:0.00","None"
6,"COMPLETED","Aurora","Frontier","1493-2048:2052-2154:4097-4103",155.587,155.595,155.595,7825.44,0.00774527,0,7669.85,"0.00:0.89:0.00:0.94:0.90:0.00","None"
7,"COMPLETED","Frontier","Perlmutter-Phase-1","1-377:542",222.774,222.784,222.784,23556.9,0.00994327,0,23334.1,"0.00:0.89:0.00:0.91:0.94:0.00","None"
8,"COMPLETED","Perlmutter-Phase-2","Frontier","2155-2357:2362-2797:5088-5096",233.34,233.343,233.343,7420.47,0.00264653,0,7187.13,"0.00:0.88:0.00:0.90:0.71:0.89","None"
9,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","562-818",298.325,298.333,298.333,16259.6,0.00840225,0,15961.2,"0.88:0.89:0.00:0.88:0.89:0.92","None"
10,"COMPLETED","Perlmutter-Phase-2","Aurora","3017-3998",301.242,301.25,301.25,7413.25,0.00792439,0,7112,"0.00:0.88:0.00:0.88:0.71:0.82","None"
11,"COMPLETED","Aurora","Perlmutter-Phase-2","819-1024:1026-1109:1112-1161:2049-2051:2358-2361",503.63,503.64,503.64,19220,0.0101815,0,18716.3,"0.87:0.86:0.00:0.88:0.85:0.90","None"
12,"COMPLETED","Perlmutter-Phase-2","Aurora","3999-4096:4104-5081:5099-7032:8193-8206:10268-10302",504.088,504.091,504.091,4800.09,0.00343835,0,4296,"0.00:0.81:0.00:0.80:0.00:0.33","None"
13,"COMPLETED","Perlmutter-Phase-2","Frontier","2798-3290",511.271,511.277,511.277,8685.29,0.00586035,0,8174.02,"0.78:0.76:0.00:0.88:0.82:0.87","None"
14,"COMPLETED","Frontier","Frontier","3291-4096:4104-4320:8193-8206",529.74,529.757,529.757,8467.78,0.0168945,0,7938.02,"0.00:0.78:0.00:0.87:0.73:0.00","None"
15,"COMPLETED","Perlmutter-Phase-1","Frontier","4321-5087:5097-5177",577.685,577.697,577.697,6659.94,0.0118103,0,6082.24,"0.00:0.76:0.00:0.83:0.71:0.82","None"
16,"COMPLETED","Frontier","Frontier","5178-5247:5283-7532",635.031,635.035,635.035,8347.79,0.00406153,0,7712.75,"0.00:0.57:0.00:0.67:0.00:0.00","None"
17,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2","1162-1840",637.854,637.863,637.863,13421.5,0.00920353,0,12783.7,"0.80:0.76:0.00:0.72:0.70:0.82","None"
18,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","378-541:543-891:1025:1110-1111",650.416,650.421,650.421,21745.5,0.00506853,0,21095.1,"0.00:0.78:0.00:0.74:0.82:0.00","None"
19,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","1841-2048:2052-2352",715.961,715.97,715.97,15740.5,0.00907408,0,15024.5,"0.78:0.77:0.00:0.73:0.61:0.79","None"
20,"COMPLETED","Frontier","Frontier","7533-8192:8207-8286",718.966,718.981,718.981,10083.7,0.0148141,0,9364.72,"0.00:0.72:0.00:0.74:0.26:0.00","None"
21,"COMPLETED","Frontier","Andes","1-305:542",818.061,818.076,818.076,64318.1,0.0152955,0,63500,"0.88:0.77:0.00:0.71:0.80:0.75","None"
22,"COMPLETED","Perlmutter-Phase-2","Aurora","7033-7506",1014.37,1014.42,1014.42,7918.42,0.0486755,0,6904,"0.44:0.77:0.00:0.71:0.61:0.64","None"
23,"COMPLETED","Frontier","Aurora","7507-7907",1454.04,1454.06,1454.06,7222.06,0.0265583,0,5768,"0.41:0.75:0.00:0.71:0.65:0.65","None"
24,"COMPLETED","Frontier","Aurora","7908-8192:8207-8760",1647.15,1647.17,1647.17,7719.17,0.0123665,0,6072,"0.00:0.73:0.00:0.60:0.30:0.35","None"
25,"COMPLETED","Frontier","Aurora","8761-9541",1749.02,1749.05,1749.05,7909.05,0.0287253,0,6160,"0.00:0.73:0.00:0.62:0.33:0.00","None"
26,"COMPLETED","Aurora","Aurora","9542-10227",1883.81,1883.81,1883.81,10043.8,0.00454453,0,8160,"0.00:0.61:0.00:0.53:0.25:0.00","None"
27,"COMPLETED","Perlmutter-Phase-2","Frontier","8287-8753",1949.98,1950.01,1950.01,8868.96,0.0287304,0,6918.95,"0.41:0.24:0.00:0.71:0.61:0.65","None"
28,"COMPLETED","Frontier","Perlmutter-Phase-1","1-1275",2140.96,2140.97,23556.9,36617.9,0.00914027,21416,13061,"0.00:0.24:0.00:0.27:0.30:0.00","None"
29,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","892-1024:1026-1109:1112-1309",2367.1,2367.11,2367.11,18676.9,0.00909408,0,16309.8,"0.00:0.26:0.00:0.60:0.67:0.00","None"
30,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","1-561:1025:1110-1111:2353-2357:2362-3047",2476.53,2476.54,11459.5,20661.5,0.00917553,8982.93,9202.04,"0.00:0.21:0.00:0.24:0.16:0.26","None"
31,"COMPLETED","Aurora","Frontier","8754-9133",2537.93,2537.93,2537.93,11377,0.00553935,0,8839.09,"0.00:0.27:0.00:0.61:0.24:0.00","None"
32,"COMPLETED","Aurora","Aurora","1-1799:2049-2051:2352-2355:2358-2361",2614.79,2614.8,4039.02,9615.02,0.0104355,1424.22,5576,"0.00:0.26:0.00:0.19:0.00:0.00","None"
33,"COMPLETED","Frontier","Frontier","442-541:543-933:1025:1110-1111",2678.53,2678.56,6282.76,13845.3,0.0310315,3604.2,7562.57,"0.00:0.14:0.00:0.27:0.08:0.00","None"
34,"COMPLETED","Perlmutter-Phase-1","Frontier","934-1024:1026-1109:1112-1492:2049-2051:2358-2361:4321-4716",2714.06,2714.07,6659.94,12838.7,0.0168105,3945.86,6178.78,"0.00:0.23:0.00:0.25:0.18:0.24","None"
35,"COMPLETED","Aurora","Frontier","2155-2357:2362-2797:4717-4866:5088-5096",4205.14,4205.17,7420.47,15583.8,0.0263413,3215.3,8163.29,"0.00:0.26:0.00:0.27:0.20:0.00","None"
36,"COMPLETED","Aurora","Perlmutter-Phase-2","1162-1774",4292.57,4292.59,13421.5,31293,0.0226905,9128.94,17871.4,"0.00:0.28:0.00:0.30:0.21:0.41","None"
37,"COMPLETED","Aurora","Aurora","1800-1925:3999-4096:4104-5081:5099-5108:8193-8206:10268-10302",4327.57,4327.59,4800.09,11104.1,0.0121741,472.504,6304,"0.00:0.26:0.00:0.26:0.21:0.00","None"
38,"COMPLETED","Frontier","Aurora","5109-5647",4912.76,4912.77,4912.77,11600.8,0.0110045,0,6688,"0.00:0.64:0.00:0.29:0.13:0.00","None"
39,"COMPLETED","Aurora","Aurora","5648-7032:10228-10267:10303-10607",5623.73,5623.75,5623.75,10663.8,0.0194255,0,5040,"0.00:0.61:0.00:0.22:0.00:0.23","None"
