JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,1.87704,916.218,1807.82,1.87704,914.341,891.6,"0.00:0.92:0.00:0.85:0.95:0.00","None"
2,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",0,1.7516,646.11,1322.91,1.7516,644.358,676.8,"0.00:0.85:0.00:0.85:0.85:0.85","None"
3,"COMPLETED","Frontier","Aurora",0,1.83707,1.83707,247.318,1.83707,0,245.481,"0.00:0.95:0.00:0.95:0.85:0.00","None"
4,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",0,1.75039,646.11,1321.71,1.75039,644.359,675.6,"0.00:0.85:0.00:0.78:0.00:0.85","None"
5,"COMPLETED","Aurora","Aurora",0,1.78196,1.78196,208.032,1.78196,0,206.25,"0.00:0.95:0.00:0.85:0.78:0.00","None"
6,"COMPLETED","Perlmutter-Phase-1","Aurora",0,2.29259,2.29259,266.235,2.29259,0,263.942,"0.00:0.95:0.00:0.85:0.95:0.00","None"
7,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",0,2.19012,1321.71,1922.91,2.19012,1319.52,601.2,"0.00:0.75:0.00:0.72:0.65:0.85","None"
8,"COMPLETED","Aurora","Aurora",0,1.76184,1.76184,183.493,1.76184,0,181.731,"0.00:0.85:0.00:0.75:0.00:0.75","None"
9,"COMPLETED","Aurora","Aurora",0,2.54954,2.54954,251.203,2.54954,0,248.654,"0.00:0.95:0.00:0.85:0.85:0.00","None"
10,"COMPLETED","Aurora","Aurora",0,1.74158,1.74158,202.799,1.74158,0,201.058,"0.00:0.83:0.00:0.81:0.00:0.00","None"
11,"COMPLETED","Frontier","Frontier",0,1.68034,1.68034,825.518,1.68034,0,823.838,"0.00:0.92:0.00:0.95:0.85:0.00","None"
12,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",0,1.70973,1.70973,646.11,1.70973,0,644.4,"0.00:0.85:0.00:0.85:0.00:0.98","None"
13,"COMPLETED","Aurora","Aurora",0,1.76429,1.76429,221.284,1.76429,0,219.519,"0.00:0.95:0.00:0.85:0.85:0.00","None"
14,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,1.81816,1.81816,916.218,1.81816,0,914.4,"0.00:0.86:0.00:0.85:0.95:0.00","None"
15,"COMPLETED","Frontier","Frontier",0,1.65296,1.65296,590.568,1.65296,0,588.915,"0.00:0.92:0.00:0.95:0.85:0.00","None"
16,"COMPLETED","Perlmutter-Phase-1","Aurora",0,1.71578,1.71578,139.6,1.71578,0,137.885,"0.00:0.85:0.00:0.00:0.80:0.60","None"
17,"COMPLETED","Aurora","Aurora",0,1.72973,1.72973,295.961,1.72973,0,294.231,"0.00:0.95:0.00:0.92:0.85:0.00","None"
18,"COMPLETED","Frontier","Frontier",0,1.6541,1.6541,573.406,1.6541,0,571.752,"0.00:0.85:0.00:0.95:0.00:0.65","None"
19,"COMPLETED","Frontier","Frontier",0,1.87585,1.87585,773.151,1.87585,0,771.275,"0.00:0.85:0.00:0.95:0.00:0.00","None"
20,"COMPLETED","Frontier","Frontier",220.27,221.9,221.9,746.453,1.6295,0,524.553,"0.00:0.85:0.00:0.95:0.00:0.00","None"
21,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",681.197,682.96,1321.71,2125.71,1.76345,638.749,804,"0.00:0.85:0.00:0.85:0.85:0.95","None"
22,"COMPLETED","Frontier","Aurora",727.065,728.737,728.737,884.218,1.67193,0,155.481,"0.00:0.92:0.00:0.89:0.65:0.00","None"
23,"COMPLETED","Aurora","Aurora",1288.63,1290.46,1290.46,1528.15,1.82425,0,237.692,"0.00:0.95:0.00:0.85:0.85:0.00","None"
24,"COMPLETED","Frontier","Aurora",1807.1,1809.68,1809.68,2067.28,2.58225,0,257.596,"0.00:0.95:0.00:0.95:0.85:0.00","None"
25,"COMPLETED","Perlmutter-Phase-2","Aurora",2204.38,2206.12,2206.12,2419,1.73445,0,212.885,"0.00:0.85:0.00:0.82:0.00:0.85","None"
26,"COMPLETED","Frontier","Frontier",2217.57,2219.35,2219.35,3045.33,1.77904,0,825.983,"0.00:0.92:0.00:0.95:0.85:0.00","None"
27,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",2253.84,2255.61,2255.61,3298.41,1.77081,0,1042.8,"0.00:0.85:0.00:0.85:0.83:0.95","None"
28,"COMPLETED","Andes","Frontier",2345.38,2347.16,2347.16,3347.99,1.78216,0,1000.83,"0.85:0.85:0.00:0.85:0.65:0.75","None"
29,"COMPLETED","Frontier","Frontier",2396.38,2398.16,2398.16,3294.94,1.78405,0,896.782,"0.00:0.95:0.00:0.95:0.85:0.00","None"
30,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",2914.32,2916.19,2916.19,3756.19,1.86683,0,840,"0.65:0.85:0.00:0.85:0.85:0.95","None"
31,"COMPLETED","Aurora","Aurora",3071.55,3073.2,3073.2,3300.51,1.65072,0,227.308,"0.00:0.88:0.00:0.85:0.82:0.00","None"
32,"COMPLETED","Perlmutter-Phase-1","Frontier",6363.39,6365.07,6365.07,7298.32,1.68196,0,933.254,"0.00:0.85:0.00:0.87:0.82:0.85","None"
33,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",6843.45,6845.12,6845.12,7671.92,1.67591,0,826.8,"0.00:0.85:0.00:0.85:0.91:0.85","None"
