JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Frontier",0,0.000519221,164.124,327.176,0.000519221,164.124,163.051,"0.00:0.00:0.00:0.76:0.00:0.81","None"
2,"COMPLETED","Crux","Frontier",0,0.000655048,1452.44,2473.66,0.000655048,1452.44,1021.22,"0.76:0.80:0.73:0.80:0.00:0.85","None"
3,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000498267,573.898,1430.99,0.000498267,573.897,857.092,"0.00:0.00:0.85:0.86:0.00:0.93","None"
4,"COMPLETED","Frontier","Frontier",0,0.000355091,1803.22,2872.71,0.000355091,1803.22,1069.49,"0.00:0.00:0.00:0.00:0.00:0.86","None"
5,"COMPLETED","Frontier","Aurora",0,0.000459891,0.000459891,841.443,0.000459891,0,841.442,"0.00:0.00:0.00:0.91:0.00:0.89","None"
6,"COMPLETED","Frontier","Frontier",0,0.000354856,0.000354856,867.819,0.000354856,0,867.819,"0.00:0.00:0.00:0.00:0.00:0.87","None"
7,"COMPLETED","Aurora","Aurora",0,0.000626683,0.000626683,190.674,0.000626683,0,190.673,"0.00:0.00:0.85:0.96:0.00:0.85","None"
8,"COMPLETED","Andes","Frontier",0,0.000661834,4266.15,5616.69,0.000661834,4266.15,1350.54,"0.79:0.79:0.71:0.76:0.00:0.89","None"
9,"COMPLETED","Frontier","Frontier",0,0.000354856,6494.16,10652,0.000354856,6494.16,4157.81,"0.00:0.00:0.00:0.00:0.00:0.87","None"
10,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000662849,11161.9,13416.7,0.000662849,11161.9,2254.83,"0.00:0.00:0.82:0.85:0.00:0.92","None"
11,"COMPLETED","Perlmutter-Phase-1","Aurora",0,0.000489117,0.000489117,1229.42,0.000489117,0,1229.42,"0.00:0.00:0.00:0.91:0.00:0.85","None"
12,"COMPLETED","Andes","Perlmutter-Phase-2",0,0.000542341,0.000542341,4399.2,0.000542341,0,4399.2,"0.00:0.88:0.78:0.76:0.00:0.81","None"
13,"COMPLETED","Andes","Frontier",0,0.000662953,6783.79,7909.06,0.000662953,6783.79,1125.27,"0.00:0.78:0.69:0.76:0.00:0.81","None"
14,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",0,0.000662553,2973.6,3588,0.000662553,2973.6,614.4,"0.77:0.95:0.86:0.76:0.00:0.77","None"
15,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000661581,3921.81,5270.2,0.000661581,3921.81,1348.39,"0.00:0.85:0.77:0.76:0.00:0.85","None"
16,"COMPLETED","Aurora","Frontier",0,0.000476055,27066.5,29921,0.000476055,27066.5,2854.47,"0.00:0.00:0.00:0.87:0.00:0.91","None"
17,"COMPLETED","Crux","Frontier",0,0.000662553,5924.55,8998.93,0.000662553,5924.55,3074.37,"0.76:0.80:0.73:0.80:0.00:0.85","None"
18,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",0,0.000668221,6830.4,9709.2,0.000668221,6830.4,2878.8,"0.76:0.95:0.85:0.76:0.00:0.77","None"
19,"COMPLETED","Perlmutter-Phase-1","Aurora",0,0.000478601,0.000478601,223.27,0.000478601,0,223.269,"0.00:0.00:0.82:0.92:0.00:0.86","None"
20,"COMPLETED","Crux","Frontier",0,0.000662817,6048.99,9976.16,0.000662817,6048.99,3927.18,"0.76:0.80:0.73:0.80:0.00:0.85","None"
21,"COMPLETED","Aurora","Aurora",0,0.000473816,0.000473816,15.8659,0.000473816,0,15.8654,"0.00:0.79:0.72:0.80:0.00:0.77","None"
22,"COMPLETED","Frontier","Frontier",0,0.000353707,0.000353707,1505.01,0.000353707,0,1505.01,"0.00:0.00:0.00:0.00:0.00:0.80","None"
23,"COMPLETED","Aurora","Frontier",0,0.000660839,2872.71,6958.64,0.000660839,2872.71,4085.94,"0.00:0.80:0.72:0.80:0.00:0.85","None"
24,"COMPLETED","Frontier","Frontier",0,0.000354856,1505.01,3110.85,0.000354856,1505.01,1605.84,"0.00:0.00:0.00:0.00:0.00:0.80","None"
25,"COMPLETED","Aurora","Aurora",0,0.000463302,0.000463302,1365.87,0.000463302,0,1365.87,"0.00:0.00:0.88:0.89:0.00:0.86","None"
26,"COMPLETED","Frontier","Aurora",0,0.000498267,0.000498267,62.8851,0.000498267,0,62.8846,"0.00:0.00:0.85:0.92:0.00:0.89","None"
27,"COMPLETED","Aurora","Aurora",0,0.00062412,2356.8,2563.63,0.00062412,2356.8,206.827,"0.00:0.00:0.00:0.77:0.00:0.74","None"
28,"COMPLETED","Crux","Andes",0,0.000660279,0.000660279,640.801,0.000660279,0,640.8,"0.86:0.80:0.73:0.80:0.00:0.77","None"
29,"COMPLETED","Perlmutter-Phase-1","Aurora",0,0.000503267,0.000503267,165.289,0.000503267,0,165.288,"0.00:0.00:0.88:0.93:0.00:0.86","None"
30,"COMPLETED","Perlmutter-Phase-1","Aurora",0,0.000647817,1371.35,3380.77,0.000647817,1371.35,2009.42,"0.00:0.00:0.82:0.92:0.00:0.86","None"
31,"COMPLETED","Frontier","Frontier",0,0.000488946,28250.8,30851,0.000488946,28250.8,2600.24,"0.00:0.00:0.00:0.00:0.00:0.93","None"
32,"COMPLETED","Aurora","Frontier",0,0.000658905,3106.56,5770.08,0.000658905,3106.56,2663.53,"0.00:0.00:0.81:0.89:0.00:0.93","None"
33,"COMPLETED","Frontier","Frontier",0,0.000354115,0.000354115,6494.16,0.000354115,0,6494.16,"0.00:0.00:0.00:0.00:0.00:0.80","None"
34,"COMPLETED","Frontier","Aurora",0,0.000701408,1168.27,2531.83,0.000701408,1168.27,1363.56,"0.00:0.00:0.00:0.91:0.00:0.89","None"
35,"COMPLETED","Crux","Andes",0,0.000662043,1003.2,2480.4,0.000662043,1003.2,1477.2,"0.86:0.80:0.73:0.80:0.00:0.77","None"
36,"COMPLETED","Aurora","Aurora",0,0.000442486,0.000442486,262.5,0.000442486,0,262.5,"0.00:0.00:0.00:0.94:0.00:0.85","None"
