JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Frontier",0,0.000305195,0.000305195,862.456,0.000305195,0,862.455,"0.71:0.75:0.00:0.75:0.71:0.71","None"
2,"COMPLETED","Frontier","Perlmutter-Phase-1",0,0.00026955,0.00026955,124.8,0.00026955,0,124.8,"0.00:0.71:0.00:0.71:0.71:0.00","None"
3,"COMPLETED","Frontier","Perlmutter-Phase-1",0,0.000271195,0.000271195,848.4,0.000271195,0,848.4,"0.00:0.71:0.00:0.71:0.71:0.71","None"
4,"COMPLETED","Aurora","Aurora",0,0.000344195,0.000344195,25.6734,0.000344195,0,25.6731,"0.00:0.76:0.00:0.64:0.65:0.00","None"
5,"COMPLETED","Frontier","Perlmutter-Phase-1",0,0.000267195,0.000267195,57.6003,0.000267195,0,57.6,"0.00:0.71:0.00:0.71:0.71:0.00","None"
6,"COMPLETED","Frontier","Frontier",0,0.000271195,0.000271195,744.458,0.000271195,0,744.458,"0.00:0.71:0.00:0.71:0.71:0.00","None"
7,"COMPLETED","Perlmutter-Phase-2","Frontier",0,0.000306407,0.000306407,1137.07,0.000306407,0,1137.07,"0.71:0.75:0.00:0.75:0.71:0.71","None"
8,"COMPLETED","Aurora","Aurora",0,0.00031255,0.00031255,192.404,0.00031255,0,192.404,"0.00:0.75:0.00:0.74:0.71:0.71","None"
9,"COMPLETED","Perlmutter-Phase-1","Aurora",0,0.00029555,0.00029555,227.02,0.00029555,0,227.019,"0.00:0.75:0.00:0.75:0.71:0.71","None"
10,"COMPLETED","Perlmutter-Phase-2","Aurora",0,0.00029355,0.00029355,224.135,0.00029355,0,224.135,"0.71:0.75:0.00:0.75:0.71:0.71","None"
11,"COMPLETED","Frontier","Aurora",0,0.000265904,0.000265904,135.289,0.000265904,0,135.288,"0.00:0.71:0.00:0.71:0.71:0.00","None"
12,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000306407,0.000306407,123.361,0.000306407,0,123.361,"0.71:0.74:0.71:0.75:0.71:0.71","None"
13,"COMPLETED","Aurora","Aurora",0,0.00033355,0.00033355,209.135,0.00033355,0,209.135,"0.00:0.76:0.00:0.68:0.00:0.00","None"
14,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,0.000339195,848.4,1880.4,0.000339195,848.4,1032,"0.00:0.64:0.00:0.69:0.71:0.00","None"
