JobId,FinalStatus,SubmittedTo,ScheduledOn,NodeList,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Perlmutter-Phase-2","Aurora","1-192:258",38.052,54.9341,54.9341,294.934,16.8821,0,240,"0.52:0.82:0.58:0.03:0.05:0.72","None"
2,"COMPLETED","Frontier","Aurora","193-257:259-2739:4097-4103:5082-5098",51.699,65.968,65.968,4169.97,14.269,0,4104,"0.00:0.87:0.00:0.00:0.05:0.00","None"
3,"COMPLETED","Aurora","Aurora","2740-2933",126.785,137.968,137.968,721.968,11.1827,0,584,"0.00:0.95:0.00:0.04:0.04:0.00","None"
4,"COMPLETED","Aurora","Aurora","2934-4096:4104-4522:8193-8206",142.73,155.296,155.296,5955.3,12.566,0,5800,"0.00:0.93:0.00:0.00:0.05:0.00","None"
5,"COMPLETED","Aurora","Aurora","4523-4549",155.587,170.817,170.817,882.817,15.2299,0,712,"0.00:0.91:0.00:0.12:0.82:0.00","None"
6,"COMPLETED","Frontier","Perlmutter-Phase-1","1-492:542",228.465,242.193,242.193,15476.3,13.7279,0,15234.1,"0.00:0.18:0.00:0.92:0.08:0.00","None"
7,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-1","493-541:543-1067:1110-1111",233.34,246.978,246.978,14383.6,13.6378,0,14136.6,"0.02:0.82:0.00:0.88:0.05:0.88","None"
8,"COMPLETED","Perlmutter-Phase-1","Aurora","1-192:258:4550-4878",298.325,314.756,314.756,8858.76,16.4314,0,8544,"0.00:0.88:0.00:0.52:0.07:0.00","None"
9,"COMPLETED","Perlmutter-Phase-1","Aurora","7046-7215",301.242,318.58,318.58,590.58,17.3381,0,272,"0.02:0.82:0.03:0.82:0.05:0.04","None"
10,"COMPLETED","Frontier","Aurora","4879-5081:5099-7045:10268-10302",302.556,317.166,317.166,3709.17,14.6102,0,3392,"0.00:0.82:0.00:0.00:0.04:0.00","None"
11,"COMPLETED","Crux","Frontier","1-11:5248-5282",503.63,517.891,517.891,1193.7,14.2614,0,675.805,"0.08:0.80:0.04:0.12:0.90:0.62","None"
12,"COMPLETED","Perlmutter-Phase-2","Aurora","7216-8192:8207-8871",504.088,518.08,518.08,4414.08,13.9918,0,3896,"0.00:0.72:0.00:0.00:0.04:0.04","None"
13,"COMPLETED","Perlmutter-Phase-1","Frontier","12-45",511.271,525.057,525.057,1758.67,13.7861,0,1233.61,"0.03:0.82:0.03:0.05:0.91:0.03","None"
14,"COMPLETED","Perlmutter-Phase-2","Aurora","7046-7215:8872-9427",577.685,595.737,595.737,8475.74,18.0518,0,7880,"0.00:0.78:0.00:0.42:0.05:0.62","None"
15,"COMPLETED","Perlmutter-Phase-1","Aurora","9428-10267:10303-10421",637.854,656.715,656.715,7096.71,18.8606,0,6440,"0.00:0.78:0.00:0.32:0.05:0.00","None"
