JobId,FinalStatus,SubmittedTo,ScheduledOn,NodeList,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","1-192:258",38.052,38.0521,38.0521,589.072,5.20843e-05,0,551.02,"1.00","None"
2,"COMPLETED","Frontier","Frontier","1-2519:4097-4103:5088-5096:5248-5282",51.699,51.6991,51.6991,5554.68,5.20843e-05,0,5502.98,"1.00","None"
3,"COMPLETED","Aurora","Aurora","1-193:258",126.785,126.785,126.785,710.785,5.20843e-05,0,584,"1.00","None"
4,"COMPLETED","Aurora","Aurora","194-257:259-1779:2049-2051:2352-2355:2358-2361",142.73,142.73,142.73,5942.73,5.20843e-05,0,5800,"1.00","None"
5,"COMPLETED","Aurora","Aurora","1780-1806",155.587,155.587,155.587,867.587,5.20843e-05,0,712,"1.00","None"
6,"COMPLETED","Frontier","Frontier","2520-3012",228.465,228.465,228.465,7673.04,5.20843e-05,0,7444.58,"1.00","None"
7,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","193-257:259-766:1025:1110-1111",233.34,233.34,233.34,12061.9,5.20843e-05,0,11828.6,"1.00","None"
8,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","1-520:542:1025",298.325,298.325,298.325,23742.2,5.20843e-05,0,23443.9,"1.00","None"
9,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","521-541:543-689:1110-1111",301.242,301.242,301.242,1047.58,5.20843e-05,0,746.341,"1.00","None"
10,"COMPLETED","Frontier","Frontier","3013-4096:4104-5087:5097-5199:8193-8206",302.556,302.556,302.556,4850.83,5.20843e-05,0,4548.27,"1.00","None"
11,"COMPLETED","Crux","Crux","1-46",503.63,503.63,503.63,1637.63,5.20843e-05,0,1134,"1.00","None"
12,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","767-1024:1026-1109:1112-2411",504.088,504.088,504.088,9448.99,5.20843e-05,0,8944.9,"1.00","None"
13,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","690-723",511.271,511.271,511.271,3035.66,5.20843e-05,0,2524.39,"1.00","None"
14,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","1-192:258:2412-2944",577.685,577.685,589.072,18680.9,5.20843e-05,11.3874,18091.8,"1.00","None"
15,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","521-541:543-689:724-1024:1026-1515",637.854,637.854,1047.58,18718.3,5.20843e-05,409.729,17670.7,"1.00","None"
16,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","521-541:543-1024:1026-1129",650.416,650.416,18718.3,37596.4,5.20843e-05,18067.9,18878,"1.00","None"
17,"COMPLETED","Frontier","Frontier","5200-5247:5283-7090",655.838,655.838,655.838,8508.04,5.20843e-05,0,7852.21,"1.00","None"
18,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","767-997",715.961,715.961,9448.99,12975.5,5.20843e-05,8733.02,3526.53,"1.00","None"
