JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",0,0.000688954,0.000688954,1003.2,0.000688954,0,1003.2,"0.67:0.76:0.00:0.77:0.73:0.81","None"
2,"COMPLETED","Andes","Frontier",0,0.0027233,0.0027233,937.547,0.0027233,0,937.545,"0.64:0.76:0.00:0.80:0.68:0.75","None"
3,"COMPLETED","Andes","Frontier",0,0.000668486,0.000668486,789.512,0.000668486,0,789.511,"0.67:0.76:0.00:0.76:0.66:0.74","None"
4,"COMPLETED","Aurora","Aurora",0,0.000609486,0.000609486,233.654,0.000609486,0,233.654,"0.00:0.83:0.00:0.60:0.46:0.00","None"
5,"COMPLETED","Aurora","Aurora",0,0.000737486,0.000737486,259.039,0.000737486,0,259.038,"0.00:0.83:0.00:0.60:0.47:0.00","None"
6,"COMPLETED","Perlmutter-Phase-2","Aurora",0,0.000624486,0.000624486,150.001,0.000624486,0,150,"0.00:0.71:0.00:0.71:0.00:0.69","None"
7,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000651954,0.000651954,611.443,0.000651954,0,611.442,"0.00:0.75:0.00:0.79:0.63:0.72","None"
8,"COMPLETED","Frontier","Perlmutter-Phase-2",0,0.0096393,0.0096393,967.21,0.0096393,0,967.2,"0.65:0.76:0.00:0.76:0.72:0.80","None"
9,"COMPLETED","Frontier","Frontier",0,0.00325849,0.00325849,1250.78,0.00325849,0,1250.77,"0.00:0.81:0.00:0.84:0.74:0.00","None"
10,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,0.000653663,0.000653663,770.401,0.000653663,0,770.4,"0.00:0.64:0.00:0.60:0.69:0.00","None"
11,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000658954,0.000658954,93.326,0.000658954,0,93.3254,"0.71:0.76:0.64:0.81:0.72:0.77","None"
12,"COMPLETED","Aurora","Frontier",0,0.000632663,0.000632663,582.48,0.000632663,0,582.479,"0.00:0.77:0.00:0.80:0.00:0.00","None"
13,"COMPLETED","Perlmutter-Phase-2","Frontier",0,0.00766095,0.00766095,740.175,0.00766095,0,740.167,"0.00:0.74:0.00:0.78:0.61:0.70","None"
14,"COMPLETED","Frontier","Aurora",0,0.000632663,0.000632663,142.501,0.000632663,0,142.5,"0.00:0.79:0.00:0.79:0.71:0.00","None"
15,"COMPLETED","Frontier","Frontier",0,0.000809954,0.000809954,71.8721,0.000809954,0,71.8713,"0.00:0.68:0.00:0.81:0.57:0.00","None"
16,"COMPLETED","Frontier","Frontier",125.941,125.942,125.942,708.421,0.000626535,0,582.479,"0.00:0.73:0.00:0.75:0.36:0.70","None"
17,"COMPLETED","Aurora","Frontier",1288.63,1288.63,1288.63,2131.78,0.000620535,0,843.147,"0.00:0.80:0.00:0.83:0.70:0.00","None"
18,"COMPLETED","Aurora","Aurora",3071.55,3071.55,3071.55,3281.26,0.000620535,0,209.712,"0.00:0.81:0.00:0.57:0.00:0.00","None"
19,"COMPLETED","Perlmutter-Phase-2","Frontier",4342.68,4342.68,4342.68,4958.42,0.00711253,0,615.733,"0.00:0.70:0.00:0.74:0.00:0.63","None"
