JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"REJECTED","Frontier","Crux",0,-1,-1,0.00041727,0.00041727,-1,-1,"0.72:0.12:0.26:0.18:0.73:0.51","Job requires more nodes than the System has"
2,"COMPLETED","Crux","Andes",0,0.000420512,0.000420512,27.6004,0.000420512,0,27.6,"0.50:0.24:0.38:0.04:0.40:0.35","None"
3,"COMPLETED","Aurora","Perlmutter-Phase-1",0,0.000420656,0.000420656,60.0004,0.000420656,0,60,"0.11:0.69:0.76:0.60:0.03:0.31","None"
4,"COMPLETED","Andes","Andes",0,0.000420512,0.000420512,102,0.000420512,0,102,"1.00:0.21:0.95:0.08:0.49:0.39","None"
5,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000420512,0.000420512,716.568,0.000420512,0,716.567,"0.20:0.04:0.07:0.64:0.53:0.71","None"
6,"COMPLETED","Frontier","Perlmutter-Phase-1",0,0.000420656,0.000420656,243.6,0.000420656,0,243.6,"0.52:0.60:0.96:0.00:0.62:0.64","None"
7,"REJECTED","Frontier","Perlmutter-Phase-2",0,-1,-1,0.000420656,0.000420656,-1,-1,"0.51:0.70:0.13:0.12:0.41:0.11","Job requires more nodes than the System has"
8,"REJECTED","Frontier","Andes",0,-1,-1,0.000420512,0.000420512,-1,-1,"0.74:0.47:0.56:0.18:0.41:0.30","Job requires more nodes than the System has"
9,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,0.000420656,0.000420656,614.4,0.000420656,0,614.4,"0.58:0.48:0.97:0.63:0.91:0.37","None"
10,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,0.000420656,0.000420656,43.2004,0.000420656,0,43.2,"0.59:0.15:0.96:0.65:0.12:0.69","None"
11,"REJECTED","Aurora","Crux",0,-1,-1,0.000420656,0.000420656,-1,-1,"0.46:0.41:0.15:0.92:0.96:0.07","Job requires more nodes than the System has"
12,"REJECTED","Perlmutter-Phase-1","Crux",0,-1,-1,0.000420656,0.000420656,-1,-1,"0.42:0.54:0.05:0.52:0.88:0.42","Job requires more nodes than the System has"
13,"COMPLETED","Frontier","Perlmutter-Phase-2",0,0.000420656,0.000420656,148.8,0.000420656,0,148.8,"0.47:0.83:0.61:0.41:0.21:0.09","None"
14,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,0.000420656,0.000420656,127.2,0.000420656,0,127.2,"0.13:0.77:0.92:0.41:0.81:0.89","None"
15,"REJECTED","Frontier","Crux",0,-1,-1,0.000420656,0.000420656,-1,-1,"0.44:0.22:0.63:0.28:0.86:0.40","Job requires more nodes than the System has"
16,"COMPLETED","Aurora","Andes",0,0.000420512,0.000420512,348,0.000420512,0,348,"0.96:0.31:0.12:0.55:0.42:0.52","None"
17,"REJECTED","Frontier","Perlmutter-Phase-2",0,-1,-1,0.000420656,0.000420656,-1,-1,"0.50:0.85:0.42:0.28:0.57:0.49","Job requires more nodes than the System has"
18,"REJECTED","Crux","Crux",0,-1,-1,0.000420656,0.000420656,-1,-1,"0.55:0.14:0.66:0.62:0.68:0.23","Job requires more nodes than the System has"
19,"COMPLETED","Crux","Perlmutter-Phase-2",0,0.000420656,0.000420656,259.2,0.000420656,0,259.2,"0.27:0.93:0.78:0.67:0.86:0.43","None"
20,"COMPLETED","Crux","Perlmutter-Phase-2",0,0.000420656,0.000420656,44.4004,0.000420656,0,44.4,"0.65:0.81:0.71:0.41:0.12:0.13","None"
21,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",0,0.000420656,0.000420656,28.8004,0.000420656,0,28.8,"0.23:0.96:0.21:0.23:0.07:0.82","None"
22,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,0.000420656,0.000420656,834,0.000420656,0,834,"0.32:0.51:0.66:0.59:0.40:0.17","None"
23,"REJECTED","Frontier","Aurora",0,-1,-1,0.000420656,0.000420656,-1,-1,"0.84:0.58:0.32:0.93:0.67:0.03","Job requires more nodes than the System has"
24,"COMPLETED","Aurora","Perlmutter-Phase-1",0,0.000420656,1585.2,2259.6,0.000420656,1585.2,674.4,"0.56:0.63:0.99:0.36:0.08:0.66","None"
25,"REJECTED","Frontier","Andes",0,-1,-1,0.000420512,0.000420512,-1,-1,"0.86:0.19:0.48:0.71:0.40:0.10","Job requires more nodes than the System has"
26,"COMPLETED","Perlmutter-Phase-1","Aurora",0,0.000420656,0.000420656,32.885,0.000420656,0,32.8846,"0.67:0.67:0.77:0.99:0.45:0.42","None"
27,"REJECTED","Perlmutter-Phase-2","Perlmutter-Phase-2",0,-1,-1,0.000420656,0.000420656,-1,-1,"0.54:0.87:0.77:0.02:0.62:0.48","Job requires more nodes than the System has"
28,"COMPLETED","Crux","Andes",0,0.000420512,0.000420512,181.2,0.000420512,0,181.2,"0.65:0.26:0.26:0.11:0.35:0.45","None"
29,"REJECTED","Aurora","Andes",0,-1,-1,0.000420512,0.000420512,-1,-1,"0.92:0.29:0.77:0.16:0.35:0.58","Job requires more nodes than the System has"
30,"COMPLETED","Perlmutter-Phase-1","Aurora",0,0.000420656,0.000420656,26.2504,0.000420656,0,26.25,"0.48:0.10:0.61:0.76:0.09:0.60","None"
31,"COMPLETED","Perlmutter-Phase-2","Andes",0,0.000420512,27.6004,253.2,0.000420512,27.6,225.6,"0.97:0.34:0.75:0.33:0.05:0.65","None"
32,"REJECTED","Aurora","Perlmutter-Phase-2",0,-1,-1,0.000420656,0.000420656,-1,-1,"0.74:0.80:0.14:0.55:0.00:0.13","Job requires GPU while System has none"
33,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,0.000420656,26.4004,286.8,0.000420656,26.4,260.4,"0.45:0.44:0.62:0.30:0.28:0.50","None"
34,"COMPLETED","Andes","Andes",0,0.000420512,27.6004,380.4,0.000420512,27.6,352.8,"0.95:0.12:0.11:0.76:0.46:0.34","None"
35,"COMPLETED","Andes","Aurora",0,0.000420656,0.000420656,266.827,0.000420656,0,266.827,"0.19:0.44:0.20:0.91:0.36:0.06","None"
36,"COMPLETED","Aurora","Aurora",0,0.000420656,0.000420656,129.231,0.000420656,0,129.231,"0.24:0.30:0.25:0.39:0.27:0.05","None"
37,"COMPLETED","Andes","Frontier",0,0.000420512,0.000420512,229.559,0.000420512,0,229.559,"0.16:0.68:0.19:0.17:0.31:0.84","None"
38,"COMPLETED","Aurora","Frontier",0,0.000420512,0.000420512,467.7,0.000420512,0,467.7,"0.77:0.40:0.49:0.28:0.32:0.91","None"
39,"COMPLETED","Perlmutter-Phase-1","Aurora",0,0.000420656,0.000420656,1612.21,0.000420656,0,1612.21,"0.11:0.54:0.06:0.86:0.02:0.26","None"
40,"REJECTED","Frontier","Perlmutter-Phase-2",0,-1,-1,0.000420656,0.000420656,-1,-1,"0.35:0.98:0.12:0.36:0.03:0.49","Job requires more nodes than the System has"
41,"REJECTED","Frontier","Perlmutter-Phase-2",0,-1,-1,0.000420656,0.000420656,-1,-1,"0.76:1.00:0.28:0.47:0.24:0.74","Job requires more nodes than the System has"
42,"COMPLETED","Andes","Crux",0,0.000420656,0.000420656,21.6004,0.000420656,0,21.6,"0.63:0.20:0.01:0.62:0.97:0.84","None"
43,"COMPLETED","Aurora","Perlmutter-Phase-1",0,0.000420656,26.4004,4624.8,0.000420656,26.4,4598.4,"0.20:0.16:0.90:0.19:0.12:0.47","None"
44,"REJECTED","Aurora","Crux",0,-1,-1,0.000420656,0.000420656,-1,-1,"0.22:0.79:0.34:0.94:0.96:0.71","Job requires more nodes than the System has"
45,"COMPLETED","Frontier","Aurora",0,0.000420656,0.000420656,138.173,0.000420656,0,138.173,"0.22:0.16:0.17:0.74:0.69:0.71","None"
46,"COMPLETED","Aurora","Crux",0,0.000420656,0.000420656,82.8004,0.000420656,0,82.8,"0.87:0.19:0.87:0.60:0.99:0.91","None"
47,"COMPLETED","Perlmutter-Phase-1","Aurora",0,0.000420656,0.000420656,61.1543,0.000420656,0,61.1538,"0.67:0.06:0.77:0.84:0.05:0.14","None"
48,"COMPLETED","Aurora","Frontier",0,0.000420512,0.000420512,17.1637,0.000420512,0,17.1633,"0.72:0.70:0.10:0.67:0.36:0.90","None"
49,"COMPLETED","Frontier","Frontier",0,0.000420512,0.000420512,172.706,0.000420512,0,172.706,"0.50:0.15:0.65:0.48:0.22:0.93","None"
50,"REJECTED","Frontier","Andes",0,-1,-1,0.000420512,0.000420512,-1,-1,"0.79:0.65:0.47:0.37:0.22:0.14","Job requires more nodes than the System has"
51,"COMPLETED","Frontier","Aurora",0,0.000420656,0.000420656,492.116,0.000420656,0,492.115,"0.23:0.19:0.39:0.92:0.42:0.11","None"
52,"REJECTED","Aurora","Andes",0,-1,-1,0.000420512,0.000420512,-1,-1,"1.00:0.47:0.31:0.64:0.94:0.41","Job requires GPU while System has none"
53,"REJECTED","Frontier","Crux",0,-1,-1,0.000420656,0.000420656,-1,-1,"0.59:0.48:0.74:0.78:0.82:0.57","Job requires more nodes than the System has"
54,"COMPLETED","Perlmutter-Phase-2","Crux",0,0.000420656,0.000420656,259.2,0.000420656,0,259.2,"0.04:0.24:0.41:0.21:0.96:0.56","None"
55,"COMPLETED","Perlmutter-Phase-2","Crux",0,0.000420656,264,288,0.000420656,264,24,"0.12:0.10:0.05:0.81:0.92:0.10","None"
56,"COMPLETED","Aurora","Aurora",0,0.000420656,0.000420656,23.0773,0.000420656,0,23.0769,"0.58:0.14:0.46:0.64:0.15:0.17","None"
57,"COMPLETED","Crux","Andes",0,0.000420512,102,261.6,0.000420512,102,159.6,"0.84:0.19:0.12:0.13:0.32:0.24","None"
