JobId,FinalStatus,SubmittedTo,ScheduledOn,NodeList,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Perlmutter-Phase-2","Andes","1-126",14.633,14.6336,14.6336,2364.63,0.000649535,0,2350,"0.80:0.77:0.74:0.77:0.74:0.78","None"
2,"COMPLETED","Aurora","Perlmutter-Phase-1","1-14",126.785,126.801,126.801,1378.02,0.0155093,0,1251.22,"0.00:0.79:0.00:0.80:0.83:0.00","None"
3,"COMPLETED","Crux","Frontier","1-211:258:5248-5282",138.739,138.74,138.74,1887.25,0.000713519,0,1748.51,"0.68:0.76:0.62:0.80:0.71:0.76","None"
4,"COMPLETED","Aurora","Aurora","1-69",142.73,142.74,142.74,670.74,0.00968553,0,528,"0.00:0.84:0.00:0.76:0.75:0.00","None"
5,"COMPLETED","Aurora","Aurora","70-164:258",155.587,155.588,155.588,603.588,0.000664535,0,448,"0.00:0.84:0.00:0.77:0.75:0.00","None"
6,"COMPLETED","Perlmutter-Phase-1","Aurora","165-257:259-414:536:542",163.341,163.342,163.342,779.342,0.000608535,0,616,"0.00:0.80:0.00:0.77:0.77:0.00","None"
7,"COMPLETED","Crux","Andes","127-187:258",164.839,164.84,164.84,2114.84,0.000699519,0,1950,"0.80:0.76:0.78:0.77:0.75:0.78","None"
8,"COMPLETED","Perlmutter-Phase-1","Frontier","212-257:259-1060:1110-1111:2049-2051",191.859,191.86,191.86,7357.53,0.000586535,0,7165.67,"0.00:0.79:0.00:0.79:0.73:0.00","None"
9,"COMPLETED","Frontier","Frontier","1061-1067",207.03,207.031,207.031,636.113,0.000610535,0,429.082,"0.00:0.80:0.00:0.80:0.76:0.00","None"
10,"COMPLETED","Perlmutter-Phase-1","Frontier","1068-1109:1112-2048:2052-2124:2358-2361:4097-4103",207.245,207.246,207.246,5774.59,0.000608535,0,5567.34,"0.00:0.75:0.00:0.78:0.63:0.71","None"
