JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,5.26607e-05,5.26607e-05,127.2,5.26607e-05,0,127.2,"1.00","None"
2,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,5.26607e-05,5.26607e-05,90.0001,5.26607e-05,0,90,"1.00","None"
3,"COMPLETED","Aurora","Aurora",0,5.27494e-05,5.27494e-05,43.2693,5.27494e-05,0,43.2692,"1.00","None"
4,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,5.26607e-05,5.26607e-05,48.0001,5.26607e-05,0,48,"1.00","None"
5,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",0,5.2306e-05,5.2306e-05,36.0001,5.2306e-05,0,36,"1.00","None"
6,"COMPLETED","Crux","Crux",0,5.22174e-05,5.22174e-05,45.6001,5.22174e-05,0,45.6,"1.00","None"
7,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,5.26607e-05,5.26607e-05,69.6001,5.26607e-05,0,69.6,"1.00","None"
8,"COMPLETED","Frontier","Frontier",0,5.24834e-05,5.24834e-05,40.7629,5.24834e-05,0,40.7628,"1.00","None"
9,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",0,5.2306e-05,5.2306e-05,61.2001,5.2306e-05,0,61.2,"1.00","None"
10,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,5.26607e-05,5.26607e-05,64.8001,5.26607e-05,0,64.8,"1.00","None"
11,"COMPLETED","Aurora","Aurora",0,5.27494e-05,5.27494e-05,33.1731,5.27494e-05,0,33.1731,"1.00","None"
12,"COMPLETED","Frontier","Frontier",0,5.24834e-05,5.24834e-05,175.924,5.24834e-05,0,175.924,"1.00","None"
13,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,5.26607e-05,5.26607e-05,127.2,5.26607e-05,0,127.2,"1.00","None"
14,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,5.26607e-05,5.26607e-05,102,5.26607e-05,0,102,"1.00","None"
15,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,5.26607e-05,5.26607e-05,211.2,5.26607e-05,0,211.2,"1.00","None"
16,"COMPLETED","Aurora","Aurora",0,5.27494e-05,5.27494e-05,313.558,5.27494e-05,0,313.558,"1.00","None"
17,"COMPLETED","Frontier","Frontier",0,5.24834e-05,5.24834e-05,142.67,5.24834e-05,0,142.67,"1.00","None"
18,"COMPLETED","Frontier","Frontier",0,5.24834e-05,5.24834e-05,40.7629,5.24834e-05,0,40.7628,"1.00","None"
19,"COMPLETED","Andes","Andes",0,5.21287e-05,5.21287e-05,44.4001,5.21287e-05,0,44.4,"1.00","None"
20,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",0,5.2306e-05,5.2306e-05,44.4001,5.2306e-05,0,44.4,"1.00","None"
21,"COMPLETED","Andes","Andes",0,5.21287e-05,44.4001,1023.6,5.21287e-05,44.4,979.2,"1.00","None"
22,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,5.26607e-05,5.26607e-05,259.2,5.26607e-05,0,259.2,"1.00","None"
23,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,5.26607e-05,5.26607e-05,70.8001,5.26607e-05,0,70.8,"1.00","None"
24,"COMPLETED","Frontier","Frontier",0,5.24834e-05,5.24834e-05,115.852,5.24834e-05,0,115.852,"1.00","None"
25,"COMPLETED","Crux","Crux",0,5.22174e-05,45.6001,200.4,5.22174e-05,45.6,154.8,"1.00","None"
26,"COMPLETED","Aurora","Aurora",0,5.27494e-05,5.27494e-05,67.2116,5.27494e-05,0,67.2115,"1.00","None"
27,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,5.26607e-05,5.26607e-05,37.2001,5.26607e-05,0,37.2,"1.00","None"
28,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",0,5.2306e-05,5.2306e-05,170.4,5.2306e-05,0,170.4,"1.00","None"
29,"COMPLETED","Frontier","Frontier",0,5.24834e-05,5.24834e-05,69.7259,5.24834e-05,0,69.7259,"1.00","None"
30,"COMPLETED","Aurora","Aurora",0,5.27494e-05,5.27494e-05,64.9039,5.27494e-05,0,64.9038,"1.00","None"
31,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,5.26607e-05,37.2001,146.4,5.26607e-05,37.2,109.2,"1.00","None"
32,"COMPLETED","Aurora","Aurora",0,5.27494e-05,5.27494e-05,19.0385,5.27494e-05,0,19.0385,"1.00","None"
33,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",0,5.2306e-05,5.2306e-05,40.8001,5.2306e-05,0,40.8,"1.00","None"
34,"COMPLETED","Frontier","Frontier",0,5.24834e-05,5.24834e-05,53.6353,5.24834e-05,0,53.6353,"1.00","None"
35,"COMPLETED","Frontier","Frontier",0,5.24834e-05,5.24834e-05,101.907,5.24834e-05,0,101.907,"1.00","None"
36,"COMPLETED","Aurora","Aurora",0,5.27494e-05,5.27494e-05,41.5385,5.27494e-05,0,41.5385,"1.00","None"
37,"COMPLETED","Aurora","Aurora",0,5.27494e-05,5.27494e-05,252.692,5.27494e-05,0,252.692,"1.00","None"
38,"COMPLETED","Aurora","Aurora",0,5.27494e-05,5.27494e-05,11.2501,5.27494e-05,0,11.25,"1.00","None"
39,"COMPLETED","Aurora","Aurora",0,5.27494e-05,5.27494e-05,12.4039,5.27494e-05,0,12.4038,"1.00","None"
40,"COMPLETED","Aurora","Aurora",0,5.27494e-05,5.27494e-05,32.0193,5.27494e-05,0,32.0192,"1.00","None"
41,"COMPLETED","Aurora","Aurora",0,5.27494e-05,5.27494e-05,19.0385,5.27494e-05,0,19.0385,"1.00","None"
42,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",0,5.2306e-05,5.2306e-05,229.2,5.2306e-05,0,229.2,"1.00","None"
43,"COMPLETED","Crux","Crux",0,5.22174e-05,200.4,265.2,5.22174e-05,200.4,64.8,"1.00","None"
44,"COMPLETED","Aurora","Aurora",0,5.27494e-05,5.27494e-05,66.6347,5.27494e-05,0,66.6346,"1.00","None"
45,"COMPLETED","Aurora","Aurora",0,5.27494e-05,5.27494e-05,14.7116,5.27494e-05,0,14.7115,"1.00","None"
46,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,5.26607e-05,5.26607e-05,66.0001,5.26607e-05,0,66,"1.00","None"
47,"COMPLETED","Aurora","Aurora",0,5.27494e-05,5.27494e-05,23.6539,5.27494e-05,0,23.6538,"1.00","None"
48,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,5.26607e-05,48.0001,120,5.26607e-05,48,72,"1.00","None"
49,"COMPLETED","Frontier","Frontier",0,5.24834e-05,5.24834e-05,128.725,5.24834e-05,0,128.725,"1.00","None"
50,"COMPLETED","Crux","Crux",0,5.22174e-05,200.4,423.6,5.22174e-05,200.4,223.2,"1.00","None"
51,"COMPLETED","Aurora","Aurora",0,5.27494e-05,5.27494e-05,16.1539,5.27494e-05,0,16.1538,"1.00","None"
52,"COMPLETED","Frontier","Frontier",0,5.24834e-05,5.24834e-05,40.7629,5.24834e-05,0,40.7628,"1.00","None"
53,"COMPLETED","Andes","Andes",115.175,115.175,115.175,179.975,5.20843e-05,0,64.8,"1.00","None"
54,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",308.765,308.765,308.765,372.365,5.20843e-05,0,63.6,"1.00","None"
55,"COMPLETED","Aurora","Aurora",665.589,665.589,665.589,697.608,5.20843e-05,0,32.0192,"1.00","None"
56,"COMPLETED","Frontier","Frontier",726.098,726.098,726.098,963.166,5.20843e-05,0,237.068,"1.00","None"
57,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",913.096,913.096,913.096,993.496,5.20843e-05,0,80.4,"1.00","None"
58,"COMPLETED","Aurora","Aurora",1288.63,1288.63,1288.63,1297.86,5.20843e-05,0,9.23077,"1.00","None"
59,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",1612.71,1612.72,1612.72,2463.52,5.20843e-05,0,850.8,"1.00","None"
60,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",1739.69,1739.69,1739.69,1932.89,5.20843e-05,0,193.2,"1.00","None"
61,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",1847,1847,1847,2462.6,5.20843e-05,0,615.6,"1.00","None"
62,"COMPLETED","Frontier","Frontier",2039.25,2039.25,2039.25,2234.48,5.20843e-05,0,195.232,"1.00","None"
63,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",2211.38,2211.38,2211.38,2313.38,5.20843e-05,0,102,"1.00","None"
64,"COMPLETED","Frontier","Frontier",2347.41,2347.41,2347.41,2494.37,5.20843e-05,0,146.961,"1.00","None"
65,"COMPLETED","Frontier","Frontier",2362.76,2362.76,2362.76,2824.02,5.20843e-05,0,461.263,"1.00","None"
66,"COMPLETED","Frontier","Frontier",2725.06,2725.06,2725.06,3718.39,5.20843e-05,0,993.325,"1.00","None"
67,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",2881.13,2881.13,2881.13,2993.93,5.20843e-05,0,112.8,"1.00","None"
68,"COMPLETED","Frontier","Frontier",3068.02,3068.02,3068.02,3258.96,5.20843e-05,0,190.942,"1.00","None"
69,"COMPLETED","Aurora","Aurora",3071.55,3071.55,3071.55,3326.84,5.20843e-05,0,255.288,"1.00","None"
70,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",3402.75,3402.75,3402.75,3445.95,5.20843e-05,0,43.2,"1.00","None"
71,"COMPLETED","Aurora","Aurora",3683.68,3683.68,3683.68,3721.18,5.20843e-05,0,37.5,"1.00","None"
72,"COMPLETED","Andes","Andes",3713.03,3713.04,3713.04,4610.64,5.20843e-05,0,897.6,"1.00","None"
73,"COMPLETED","Aurora","Aurora",3717.01,3717.01,3717.01,3726.24,5.20843e-05,0,9.23077,"1.00","None"
