JobId,FinalStatus,SubmittedTo,ScheduledOn,NodeList,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Crux","Perlmutter-Phase-2","1-242:258",38.052,38.1066,38.1066,3454.43,0.0545865,0,3416.33,"0.88:0.97:0.78:0.97:0.96:0.98","None"
2,"COMPLETED","Frontier","Frontier","1-15:5248-5282",53.035,53.0565,53.0565,1082.85,0.0214515,0,1029.8,"0.00:0.92:0.00:0.98:0.89:0.00","None"
3,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","1-212:258",69.083,69.0937,69.0937,1166.65,0.0107202,0,1097.56,"0.88:0.97:0.78:0.97:0.97:0.96","None"
4,"COMPLETED","Frontier","Frontier","16-867:1025:1110-1111",85.79,85.8022,85.8022,9117.98,0.0121705,0,9032.18,"0.00:0.96:0.00:0.96:0.74:0.91","None"
5,"COMPLETED","Frontier","Crux","1-32",96.45,96.4657,96.4657,1770.47,0.0157155,0,1674,"0.98:0.96:0.98:0.93:0.91:0.95","None"
6,"COMPLETED","Perlmutter-Phase-2","Aurora","1-144:258",109.883,109.9,109.9,1005.9,0.0169413,0,896,"0.93:0.97:0.75:0.94:0.93:0.96","None"
7,"COMPLETED","Aurora","Aurora","145-257:259-389:536:542",126.785,126.795,126.795,606.795,0.0102851,0,480,"0.00:0.98:0.00:0.87:0.82:0.00","None"
8,"COMPLETED","Crux","Aurora","390-535:537-541:543-547:1025:1104-1105:1110-1111",131.451,131.488,131.488,419.488,0.0368565,0,288,"0.92:0.96:0.74:0.94:0.93:0.95","None"
9,"COMPLETED","Crux","Andes","1-126",138.739,138.753,138.753,2688.75,0.0142783,0,2550,"0.97:0.95:0.75:0.94:0.93:0.96","None"
10,"COMPLETED","Aurora","Aurora","548-1024:1026-1103:1106-1109:1112-1714:2049-2051:2352-2355:2358-2361",142.73,142.743,142.743,4078.74,0.0125195,0,3936,"0.00:0.97:0.00:0.86:0.66:0.00","None"
11,"COMPLETED","Aurora","Frontier","868-897",155.587,155.595,155.595,520.314,0.00752135,0,364.72,"0.00:0.93:0.00:0.96:0.94:0.00","None"
12,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2","243-257:259-261:542",155.843,155.853,155.853,3168.1,0.00964653,0,3012.24,"0.93:0.91:0.95:0.93:0.91:0.95","None"
13,"COMPLETED","Andes","Perlmutter-Phase-2","262-458",161.421,161.432,161.432,841.024,0.0112935,0,679.592,"0.89:0.91:0.77:0.93:0.92:0.95","None"
14,"COMPLETED","Crux","Perlmutter-Phase-2","459-541:543-601:1025:1110-1111",164.839,164.847,164.847,1175.05,0.00775653,0,1010.2,"0.89:0.91:0.77:0.93:0.92:0.93","None"
15,"COMPLETED","Perlmutter-Phase-2","Crux","33-41",173.57,173.576,173.576,947.576,0.00584939,0,774,"0.93:0.91:0.95:0.93:0.92:0.92","None"
16,"COMPLETED","Frontier","Frontier","898-916",174.711,174.718,174.718,1558.51,0.00686808,0,1383.79,"0.00:0.93:0.00:0.95:0.94:0.00","None"
17,"COMPLETED","Andes","Frontier","917-1024:1026-1084:2049-2051",201.684,201.694,201.694,780.955,0.00966753,0,579.261,"0.89:0.91:0.76:0.93:0.91:0.92","None"
18,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","213-250",202.364,202.367,202.367,5426.76,0.00325308,0,5224.39,"0.00:0.93:0.00:0.94:0.94:0.00","None"
19,"COMPLETED","Aurora","Aurora","1715-1850",233.34,233.353,233.353,1489.35,0.0125035,0,1256,"0.00:0.94:0.00:0.84:0.85:0.00","None"
20,"COMPLETED","Frontier","Frontier","1085-1109:1112-1161:2358-2361",259.623,259.631,259.631,1353.79,0.00769408,0,1094.16,"0.00:0.87:0.00:0.94:0.85:0.00","None"
21,"COMPLETED","Perlmutter-Phase-1","Frontier","1162-1350",266.346,266.352,266.352,2079.22,0.00565253,0,1812.87,"0.87:0.92:0.73:0.93:0.92:0.92","None"
22,"COMPLETED","Aurora","Crux","42-62",276.792,276.797,276.797,960.797,0.00514453,0,684,"0.93:0.91:0.94:0.92:0.91:0.92","None"
23,"COMPLETED","Frontier","Frontier","1351-1485",288.029,288.04,288.04,985.299,0.0111972,0,697.259,"0.90:0.91:0.70:0.93:0.92:0.92","None"
24,"COMPLETED","Aurora","Aurora","1851-2048:2052:4097-4103",298.325,298.34,298.34,2178.34,0.0154755,0,1880,"0.00:0.93:0.00:0.83:0.82:0.00","None"
25,"COMPLETED","Perlmutter-Phase-2","Frontier","1486-1651",300.385,300.392,300.392,697.293,0.00667927,0,396.901,"0.87:0.92:0.71:0.92:0.92:0.92","None"
26,"COMPLETED","Aurora","Aurora","2053-2083",301.242,301.249,301.249,1133.25,0.00698053,0,832,"0.00:0.93:0.00:0.83:0.81:0.00","None"
27,"COMPLETED","Aurora","Perlmutter-Phase-1","251-257:259-463:542",323.338,323.343,323.343,1047.73,0.00547639,0,724.39,"0.82:0.91:0.39:0.91:0.92:0.92","None"
28,"COMPLETED","Perlmutter-Phase-1","Frontier","1652-2048:2052-2357:2362-2794:4097-4103:5088-5096",325.935,325.941,325.941,5753.83,0.00640439,0,5427.89,"0.00:0.91:0.00:0.92:0.67:0.84","None"
29,"COMPLETED","Frontier","Frontier","2795-3066",341.55,341.559,341.559,9309.38,0.00881153,0,8967.82,"0.00:0.82:0.00:0.89:0.80:0.00","None"
30,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","464-541:543-711:1025:1110-1111",346.566,346.571,346.571,5131.94,0.00536353,0,4785.37,"0.00:0.82:0.00:0.78:0.89:0.00","None"
31,"COMPLETED","Crux","Perlmutter-Phase-2","602-756",402.437,402.448,402.448,1743.26,0.0105683,0,1340.82,"0.87:0.91:0.71:0.87:0.83:0.92","None"
32,"COMPLETED","Frontier","Aurora","2084-2132",413.408,413.414,413.414,837.414,0.00553327,0,424,"0.00:0.92:0.00:0.89:0.84:0.00","None"
33,"COMPLETED","Perlmutter-Phase-2","Aurora","2133-2135",417.09,417.1,417.1,873.1,0.0102993,0,456,"0.90:0.91:0.88:0.87:0.82:0.90","None"
34,"COMPLETED","Perlmutter-Phase-2","Aurora","390-535:537-541:543-547:1025:1104-1105:1110-1111:2136-2153",426.087,426.093,426.093,898.093,0.00587653,0,472,"0.87:0.91:0.71:0.87:0.83:0.90","None"
35,"COMPLETED","Aurora","Aurora","2154-2351:2356-2357:2362-3002:5082-5098",428.274,428.281,428.281,8316.28,0.00720453,0,7888,"0.00:0.92:0.00:0.80:0.55:0.00","None"
36,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","757-986",441.148,441.16,441.16,1414.63,0.0115515,0,973.469,"0.82:0.88:0.36:0.87:0.83:0.90","None"
37,"COMPLETED","Frontier","Andes","127-228:258",446.553,446.559,446.559,5696.56,0.00642853,0,5250,"0.93:0.87:0.73:0.86:0.82:0.88","None"
38,"COMPLETED","Crux","Perlmutter-Phase-2","987-1024:1026-1109:1112-1178:2049-2051:2358-2361",503.63,503.64,503.64,1238.33,0.00979353,0,734.694,"0.85:0.87:0.45:0.86:0.82:0.88","None"
39,"COMPLETED","Aurora","Aurora","3003-3123",504.088,504.094,504.094,1088.09,0.00560953,0,584,"0.00:0.89:0.00:0.89:0.84:0.00","None"
40,"COMPLETED","Aurora","Aurora","3124-4096:4104-4781:8193-8206",511.271,511.282,511.282,4255.28,0.0108025,0,3744,"0.00:0.90:0.00:0.79:0.00:0.00","None"
41,"COMPLETED","Perlmutter-Phase-1","Frontier","868-897:3067-3275",521.362,521.368,521.368,1604.8,0.00607127,0,1083.43,"0.00:0.84:0.00:0.89:0.83:0.00","None"
42,"COMPLETED","Frontier","Frontier","3276-3321",525.838,525.848,525.848,997.839,0.0104385,0,471.99,"0.00:0.73:0.00:0.87:0.75:0.00","None"
