JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"REJECTED","Perlmutter-Phase-2","Andes",0,-1,-1,0.000265483,0.000265483,-1,-1,"0.62:0.01:0.04:0.05:0.60:0.46","Job requires more nodes than the System has"
2,"COMPLETED","Aurora","Perlmutter-Phase-2",0,0.000307072,0.000307072,800.4,0.000307072,0,800.4,"0.32:0.58:0.37:0.08:0.62:0.80","None"
3,"COMPLETED","Perlmutter-Phase-2","Aurora",0,0.000306488,0.000306488,324.808,0.000306488,0,324.808,"0.74:0.97:0.00:0.42:0.31:0.86","None"
4,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",0,0.000307072,0.000307072,68.4003,0.000307072,0,68.4,"0.31:0.64:0.74:0.70:0.29:0.96","None"
5,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000306185,0.000306185,80.4532,0.000306185,0,80.4529,"0.74:0.52:0.06:0.86:0.20:0.53","None"
6,"COMPLETED","Aurora","Andes",0,0.000306185,0.000306185,38.4003,0.000306185,0,38.4,"0.97:0.79:0.90:0.15:0.50:0.72","None"
7,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000306185,0.000306185,688.677,0.000306185,0,688.677,"0.04:0.53:0.06:0.60:0.02:0.19","None"
8,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000306185,0.000306185,121.216,0.000306185,0,121.216,"0.65:0.46:0.67:0.82:0.47:0.56","None"
9,"COMPLETED","Frontier","Aurora",0,0.000306488,0.000306488,10.9618,0.000306488,0,10.9615,"0.57:0.98:0.06:0.31:0.80:0.92","None"
10,"COMPLETED","Aurora","Aurora",0,0.000306488,0.000306488,10.9618,0.000306488,0,10.9615,"0.17:0.75:0.43:0.04:0.72:0.29","None"
11,"REJECTED","Aurora","Crux",0,-1,-1,0.000306488,0.000306488,-1,-1,"0.29:0.89:0.94:0.51:0.30:0.17","Job requires GPU while System has none"
12,"REJECTED","Frontier","Crux",0,-1,-1,0.000306488,0.000306488,-1,-1,"0.19:0.12:0.84:0.53:0.19:0.83","Job requires GPU while System has none"
13,"COMPLETED","Perlmutter-Phase-2","Frontier",0,0.000306185,0.000306185,63.2899,0.000306185,0,63.2896,"0.03:0.65:0.37:0.90:0.47:0.33","None"
14,"COMPLETED","Perlmutter-Phase-2","Andes",0,0.000306185,0.000306185,99.6003,0.000306185,0,99.6,"0.94:0.33:0.86:0.44:0.50:0.68","None"
15,"REJECTED","Frontier","Crux",0,-1,-1,0.000306488,0.000306488,-1,-1,"0.68:0.17:0.97:0.92:0.37:0.20","Job requires more nodes than the System has"
16,"COMPLETED","Aurora","Perlmutter-Phase-1",0,0.000307072,0.000307072,37.2003,0.000307072,0,37.2,"0.72:0.75:0.42:0.44:0.98:0.10","None"
17,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-1",0,0.000307072,0.000307072,138,0.000307072,0,138,"0.26:0.54:0.48:0.59:0.89:0.87","None"
18,"COMPLETED","Perlmutter-Phase-1","Crux",0,0.000306488,0.000306488,73.2003,0.000306488,0,73.2,"0.77:0.48:0.88:0.33:0.79:0.87","None"
19,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,0.000307072,0.000307072,60.0003,0.000307072,0,60,"0.13:0.72:0.64:0.42:0.92:0.21","None"
20,"COMPLETED","Aurora","Crux",0,0.000306488,73.2003,307.2,0.000306488,73.2,234,"0.33:0.55:0.94:0.71:0.84:0.17","None"
21,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2",0,0.000307072,0.000307072,112.8,0.000307072,0,112.8,"0.45:0.75:0.18:0.69:0.45:0.93","None"
22,"COMPLETED","Aurora","Aurora",0,0.000306488,0.000306488,50.4811,0.000306488,0,50.4808,"0.38:0.99:0.27:0.27:0.47:0.78","None"
23,"COMPLETED","Andes","Perlmutter-Phase-1",0,0.000307072,0.000307072,38.4003,0.000307072,0,38.4,"0.07:0.21:0.47:0.09:0.64:0.61","None"
24,"REJECTED","Frontier","Perlmutter-Phase-2",0,-1,-1,0.000307072,0.000307072,-1,-1,"0.14:0.53:0.13:0.38:0.29:0.78","Job requires GPU while System has none"
25,"COMPLETED","Crux","Aurora",0,0.000306488,0.000306488,51.058,0.000306488,0,51.0577,"0.67:0.78:0.58:0.16:0.48:0.04","None"
26,"COMPLETED","Frontier","Perlmutter-Phase-1",0,0.000307072,0.000307072,996,0.000307072,0,996,"0.14:0.24:0.18:0.30:0.70:0.60","None"
27,"COMPLETED","Frontier","Frontier",0,0.000306185,0.000306185,138.379,0.000306185,0,138.379,"0.68:0.28:0.03:0.92:0.51:0.00","None"
28,"REJECTED","Frontier","Andes",0,-1,-1,0.000306185,0.000306185,-1,-1,"0.85:0.16:0.28:0.19:0.58:0.21","Job requires GPU while System has none"
29,"COMPLETED","Andes","Perlmutter-Phase-2",0,0.000307072,0.000307072,79.2003,0.000307072,0,79.2,"0.75:0.88:0.78:0.90:0.86:0.97","None"
30,"REJECTED","Frontier","Crux",0,-1,-1,0.000306488,0.000306488,-1,-1,"0.55:0.57:0.87:0.03:0.49:0.71","Job requires GPU while System has none"
31,"COMPLETED","Perlmutter-Phase-2","Crux",0,0.000306488,307.2,442.8,0.000306488,307.2,135.6,"0.37:0.57:0.71:0.04:0.50:0.35","None"
32,"COMPLETED","Frontier","Andes",0,0.000306185,0.000306185,38.4003,0.000306185,0,38.4,"0.73:0.19:0.53:0.14:0.00:0.45","None"
33,"COMPLETED","Aurora","Frontier",0,0.000306185,0.000306185,142.67,0.000306185,0,142.67,"0.24:0.37:0.46:0.81:0.65:0.22","None"
34,"COMPLETED","Frontier","Perlmutter-Phase-2",0,0.000307072,0.000307072,78.0003,0.000307072,0,78,"0.17:0.49:0.32:0.54:0.33:0.90","None"
35,"REJECTED","Perlmutter-Phase-1","Crux",0,-1,-1,0.000306488,0.000306488,-1,-1,"0.13:0.87:0.96:0.21:0.05:0.80","Job requires GPU while System has none"
36,"COMPLETED","Perlmutter-Phase-2","Crux",0,0.000306488,307.2,460.8,0.000306488,307.2,153.6,"0.16:0.67:0.91:0.36:0.25:0.73","None"
37,"REJECTED","Aurora","Andes",0,-1,-1,0.000306185,0.000306185,-1,-1,"0.87:0.60:0.59:0.73:0.87:0.59","Job requires GPU while System has none"
38,"COMPLETED","Aurora","Frontier",0,0.000306185,0.000306185,637.187,0.000306185,0,637.187,"0.58:0.04:0.01:0.88:0.19:0.73","None"
39,"COMPLETED","Aurora","Perlmutter-Phase-1",0,0.000307072,0.000307072,186,0.000307072,0,186,"0.50:0.53:0.32:0.43:0.97:0.91","None"
40,"COMPLETED","Aurora","Aurora",0,0.000306488,0.000306488,10.9618,0.000306488,0,10.9615,"0.18:0.62:0.42:0.27:0.37:0.01","None"
41,"COMPLETED","Andes","Perlmutter-Phase-1",0,0.000307072,0.000307072,270,0.000307072,0,270,"0.37:0.32:0.48:0.26:0.93:0.79","None"
42,"COMPLETED","Andes","Perlmutter-Phase-1",0,0.000307072,0.000307072,92.4003,0.000307072,0,92.4,"0.03:0.34:0.77:0.42:0.90:0.34","None"
43,"REJECTED","Perlmutter-Phase-1","Crux",0,-1,-1,0.000306488,0.000306488,-1,-1,"0.68:0.01:0.95:0.39:0.13:0.08","Job requires GPU while System has none"
44,"COMPLETED","Aurora","Perlmutter-Phase-1",0,0.000307072,996,1586.4,0.000307072,996,590.4,"0.31:0.87:0.75:0.72:0.94:0.75","None"
45,"REJECTED","Frontier","Crux",0,-1,-1,0.000306488,0.000306488,-1,-1,"0.26:0.16:0.95:0.79:0.11:0.29","Job requires more nodes than the System has"
