JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Frontier",0,0.000627794,11602.4,13432.4,0.000627794,11602.4,1830.04,"0.00:0.00:0.00:0.75:0.00:0.80","None"
2,"COMPLETED","Aurora","Aurora",0,0.000653572,17288,18117,0.000653572,17288,829.038,"0.00:0.00:0.00:0.81:0.00:0.78","None"
3,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000660904,20147.6,22459.2,0.000660904,20147.6,2311.68,"0.00:0.80:0.70:0.75:0.00:0.84","None"
4,"COMPLETED","Frontier","Frontier",0,0.000470017,41737.5,42605.3,0.000470017,41737.5,867.819,"0.00:0.00:0.00:0.00:0.00:0.84","None"
5,"COMPLETED","Andes","Perlmutter-Phase-2",0,0.000659794,23011.2,28836,0.000659794,23011.2,5824.8,"0.00:0.88:0.78:0.76:0.00:0.81","None"
6,"COMPLETED","Aurora","Aurora",0,0.000656188,1972.79,2369.42,0.000656188,1972.79,396.635,"0.00:0.00:0.00:0.95:0.00:0.85","None"
7,"COMPLETED","Andes","Perlmutter-Phase-2",0,0.000679502,3922.8,4797.6,0.000679502,3922.8,874.8,"0.79:0.89:0.79:0.76:0.00:0.81","None"
8,"COMPLETED","Andes","Perlmutter-Phase-2",0,0.000657782,18612,23011.2,0.000657782,18612,4399.2,"0.00:0.88:0.78:0.76:0.00:0.81","None"
9,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000663446,5699.29,7047.68,0.000663446,5699.28,1348.39,"0.00:0.83:0.74:0.76:0.00:0.85","None"
10,"COMPLETED","Crux","Frontier",0,0.000657978,2322.41,3279.26,0.000657978,2322.41,956.853,"0.76:0.80:0.73:0.80:0.00:0.85","None"
11,"COMPLETED","Frontier","Frontier",0,0.000481067,3855.3,4673.78,0.000481067,3855.3,818.474,"0.00:0.00:0.00:0.00:0.00:0.88","None"
12,"COMPLETED","Crux","Frontier",0,0.000661947,2826.58,6753.75,0.000661947,2826.58,3927.18,"0.76:0.80:0.73:0.80:0.00:0.85","None"
13,"COMPLETED","Aurora","Aurora",0,0.000663257,1106.25,1289.71,0.000663257,1106.25,183.462,"0.00:0.76:0.00:0.79:0.00:0.76","None"
14,"COMPLETED","Aurora","Frontier",0,0.000646269,17340.3,21426.2,0.000646269,17340.3,4085.94,"0.00:0.00:0.00:0.87:0.00:0.91","None"
15,"COMPLETED","Aurora","Aurora",0,0.000661337,8381.11,9274.18,0.000661337,8381.11,893.077,"0.00:0.00:0.00:0.87:0.00:0.84","None"
