JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Frontier",0,0.000404634,1202.5,3032.54,0.000404634,1202.5,1830.04,"0.00:0.00:0.92:0.00:0.00:0.92","None"
2,"COMPLETED","Aurora","Frontier",0,0.000404634,151059,154142,0.000404634,151059,3082.96,"0.00:0.00:0.92:0.00:0.00:0.92","None"
3,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000411103,24345.1,26656.7,0.000411103,24345.1,2311.68,"0.00:0.92:0.95:0.00:0.92:0.96","None"
4,"COMPLETED","Frontier","Frontier",0,0.000404634,26501.2,27369,0.000404634,26501.2,867.819,"0.00:0.00:0.00:0.00:0.00:0.95","None"
5,"COMPLETED","Andes","Perlmutter-Phase-1",0,0.000408736,9670.8,15495.6,0.000408736,9670.8,5824.8,"0.92:0.92:0.92:0.00:0.92:0.92","None"
6,"COMPLETED","Aurora","Aurora",0,0.000411776,2980.96,3377.6,0.000411776,2980.96,396.635,"0.00:0.00:0.97:0.00:0.00:0.91","None"
7,"COMPLETED","Andes","Aurora",0,0.000408761,1248.75,1459.04,0.000408761,1248.75,210.288,"0.92:0.92:0.92:0.00:0.92:0.92","None"
8,"COMPLETED","Andes","Perlmutter-Phase-1",0,0.000408571,7866,12265.2,0.000408571,7866,4399.2,"0.92:0.92:0.92:0.00:0.92:0.92","None"
9,"COMPLETED","Perlmutter-Phase-1","Aurora",0,0.000411122,2082.12,2444.71,0.000411122,2082.12,362.596,"0.00:0.92:0.96:0.00:0.92:0.96","None"
10,"COMPLETED","Crux","Aurora",0,0.000409872,514.904,772.212,0.000409872,514.904,257.308,"0.92:0.92:0.96:0.92:0.92:0.95","None"
11,"COMPLETED","Frontier","Frontier",0,0.000401684,2164.72,2983.19,0.000401684,2164.72,818.474,"0.00:0.00:0.00:0.00:0.00:0.96","None"
12,"COMPLETED","Crux","Frontier",0,0.000411195,10431,14358.2,0.000411195,10431,3927.18,"0.92:0.92:0.95:0.92:0.92:0.96","None"
13,"COMPLETED","Aurora","Frontier",0,0.000408181,5652.09,6334.33,0.000408181,5652.09,682.241,"0.00:0.00:0.92:0.00:0.92:0.92","None"
14,"COMPLETED","Aurora","Frontier",0,0.00040983,22300.5,26386.4,0.00040983,22300.5,4085.94,"0.00:0.00:0.96:0.00:0.00:0.97","None"
15,"COMPLETED","Aurora","Aurora",0,0.000407852,984.808,1877.89,0.000407852,984.808,893.077,"0.00:0.00:0.92:0.00:0.00:0.92","None"
16,"COMPLETED","Perlmutter-Phase-2","Aurora",0,0.000407852,984.808,1302.98,0.000407852,984.808,318.173,"0.00:0.92:0.92:0.00:0.92:0.92","None"
17,"COMPLETED","Frontier","Aurora",0,0.000407399,984.808,1416.64,0.000407399,984.808,431.827,"0.00:0.00:0.92:0.00:0.00:0.92","None"
18,"COMPLETED","Perlmutter-Phase-1","Aurora",0,0.000411122,2010.58,2267.89,0.000411122,2010.58,257.308,"0.00:0.92:0.96:0.00:0.92:0.95","None"
19,"COMPLETED","Crux","Frontier",0,0.000411103,3333.97,7517.52,0.000411103,3333.97,4183.55,"0.92:0.92:0.95:0.92:0.92:0.96","None"
20,"COMPLETED","Frontier","Frontier",0,0.000404634,61160.3,63711.2,0.000404634,61160.3,2550.89,"0.00:0.00:0.00:0.00:0.00:0.96","None"
21,"COMPLETED","Crux","Frontier",0,0.000407973,409.774,982.599,0.000407973,409.774,572.825,"0.92:0.92:0.92:0.92:0.92:0.92","None"
22,"COMPLETED","Aurora","Aurora",0,0.000407852,984.808,1218.75,0.000407852,984.808,233.942,"0.00:0.00:0.92:0.00:0.00:0.92","None"
23,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000410052,12813.5,15389,0.000410052,12813.5,2575.57,"0.00:0.92:0.95:0.00:0.92:0.96","None"
24,"COMPLETED","Frontier","Frontier",0,0.000404634,12813.5,15216.3,0.000404634,12813.5,2402.86,"0.00:0.00:0.00:0.00:0.00:0.97","None"
25,"COMPLETED","Frontier","Frontier",0,0.000399615,4509.65,5460.07,0.000399615,4509.65,950.417,"0.00:0.00:0.00:0.00:0.00:0.96","None"
26,"COMPLETED","Perlmutter-Phase-2","Aurora",0,0.000411122,2267.89,2650.67,0.000411122,2267.88,382.788,"0.00:0.92:0.96:0.00:0.92:0.95","None"
27,"COMPLETED","Frontier","Aurora",0,0.000408383,1877.89,3624.23,0.000408383,1877.88,1746.35,"0.00:0.00:0.92:0.00:0.00:0.92","None"
28,"COMPLETED","Perlmutter-Phase-2","Frontier",0,0.00040692,14691.8,16090.6,0.00040692,14691.8,1398.81,"0.00:0.92:0.92:0.00:0.92:0.92","None"
29,"COMPLETED","Aurora","Aurora",0,0.000411532,2449.04,2902.5,0.000411532,2449.04,453.462,"0.00:0.00:0.97:0.00:0.00:0.92","None"
30,"COMPLETED","Aurora","Aurora",0,0.000411737,2132.6,2395.1,0.000411737,2132.6,262.5,"0.00:0.86:0.97:0.00:0.00:0.92","None"
31,"COMPLETED","Perlmutter-Phase-1","Aurora",0,0.000409621,1922.89,2132.6,0.000409621,1922.88,209.712,"0.00:0.92:0.95:0.00:0.92:0.95","None"
32,"COMPLETED","Perlmutter-Phase-2","Aurora",0,0.000408608,1218.75,1953.46,0.000408608,1218.75,734.712,"0.00:0.92:0.92:0.00:0.92:0.92","None"
33,"COMPLETED","Aurora","Frontier",0,0.000407973,11046.7,11997.1,0.000407973,11046.7,950.417,"0.00:0.92:0.92:0.00:0.92:0.92","None"
34,"COMPLETED","Frontier","Frontier",0,0.000405531,13361.6,14691.8,0.000405531,13361.6,1330.15,"0.00:0.00:0.00:0.00:0.00:0.92","None"
35,"COMPLETED","Aurora","Frontier",0,0.000409575,66724.4,68895.6,0.000409575,66724.4,2171.16,"0.00:0.00:0.96:0.00:0.00:0.97","None"
36,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000411195,22605.1,25060.5,0.000411195,22605.1,2455.42,"0.00:0.92:0.96:0.00:0.00:0.97","None"
37,"COMPLETED","Aurora","Aurora",0,0.000411688,9385.16,9941.89,0.000411688,9385.16,556.731,"0.00:0.00:0.97:0.00:0.00:0.91","None"
38,"COMPLETED","Andes","Frontier",0,0.000410996,8821.93,9814.18,0.000410996,8821.93,992.253,"0.92:0.92:0.95:0.00:0.92:0.96","None"
39,"COMPLETED","Aurora","Aurora",0,0.00041162,2132.6,3471.64,0.00041162,2132.6,1339.04,"0.00:0.89:0.97:0.00:0.00:0.92","None"
40,"COMPLETED","Aurora","Frontier",0,0.000409575,15216.3,18867.8,0.000409575,15216.3,3651.49,"0.00:0.92:0.96:0.00:0.92:0.96","None"
41,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.00041177,38075.7,44071,0.00041177,38075.7,5995.35,"0.00:0.92:0.92:0.00:0.00:0.93","None"
42,"COMPLETED","Aurora","Frontier",0,0.000409575,20124,22300.5,0.000409575,20124,2176.52,"0.00:0.00:0.96:0.00:0.00:0.97","None"
43,"COMPLETED","Perlmutter-Phase-1","Aurora",0,0.000411737,2547.69,3928.27,0.000411737,2547.69,1380.58,"0.00:0.92:0.94:0.00:0.00:0.93","None"
44,"COMPLETED","Crux","Perlmutter-Phase-1",0,0.000408092,3630,4788,0.000408092,3630,1158,"0.92:0.92:0.92:0.92:0.92:0.92","None"
45,"COMPLETED","Frontier","Frontier",0,0.000401684,7311.56,9847.44,0.000401684,7311.56,2535.88,"0.00:0.00:0.00:0.00:0.00:0.96","None"
46,"COMPLETED","Frontier","Frontier",0,0.000404634,145766,151059,0.000404634,145766,5293.8,"0.00:0.00:0.00:0.00:0.00:0.97","None"
47,"COMPLETED","Crux","Crux",0,0.000407852,0.000407852,960,0.000407852,0,960,"0.92:0.92:0.92:0.92:0.92:0.92","None"
48,"COMPLETED","Frontier","Frontier",0,0.000411195,11257,14833.4,0.000411195,11257,3576.4,"0.00:0.00:0.96:0.00:0.00:0.97","None"
49,"COMPLETED","Frontier","Frontier",0,0.000399615,0.000399615,3333.97,0.000399615,0,3333.97,"0.00:0.00:0.00:0.00:0.00:0.92","None"
50,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000411822,25813.6,27716.6,0.000411822,25813.6,1902.98,"0.00:0.92:0.96:0.00:0.00:0.97","None"
51,"COMPLETED","Aurora","Aurora",0,0.000411776,1459.04,1703.37,0.000411776,1459.04,244.327,"0.00:0.88:0.97:0.00:0.00:0.91","None"
52,"COMPLETED","Perlmutter-Phase-2","Frontier",0,0.000411195,75520.6,79843.6,0.000411195,75520.6,4323,"0.00:0.00:0.95:0.00:0.92:0.96","None"
53,"COMPLETED","Frontier","Frontier",0,0.000404634,6901.79,8113.95,0.000404634,6901.79,1212.16,"0.00:0.00:0.00:0.00:0.00:0.96","None"
54,"COMPLETED","Aurora","Aurora",0,0.000411737,5591.25,6946.15,0.000411737,5591.25,1354.9,"0.00:0.00:0.97:0.00:0.00:0.91","None"
55,"COMPLETED","Perlmutter-Phase-2","Frontier",0,0.000411271,41255.2,42677.6,0.000411271,41255.2,1422.41,"0.00:0.00:0.96:0.00:0.92:0.96","None"
56,"COMPLETED","Crux","Perlmutter-Phase-1",0,0.000408736,7866,9670.8,0.000408736,7866,1804.8,"0.92:0.92:0.92:0.92:0.92:0.92","None"
57,"COMPLETED","Andes","Aurora",0,0.000411122,2041.73,2686.15,0.000411122,2041.73,644.423,"0.92:0.92:0.96:0.00:0.92:0.95","None"
58,"COMPLETED","Frontier","Frontier",0,0.000411678,13129.9,14646.7,0.000411678,13129.9,1516.81,"0.00:0.00:0.93:0.00:0.00:0.96","None"
