JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Aurora",0,0.000423356,0.000423356,492.116,0.000423356,0,492.115,"0.11:0.46:0.93:0.14:0.12:0.44","None"
2,"REJECTED","Aurora","Perlmutter-Phase-2",0,-1,-1,0.000423373,0.000423373,-1,-1,"0.81:0.88:0.67:0.62:0.99:0.67","Job requires more nodes than the System has"
3,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000423373,0.000423373,2311.68,0.000423373,0,2311.68,"0.55:0.71:0.36:0.72:0.81:0.94","None"
4,"REJECTED","Frontier","Perlmutter-Phase-2",0,-1,-1,0.000423373,0.000423373,-1,-1,"0.24:0.44:0.64:0.54:0.80:0.79","Job requires more nodes than the System has"
5,"COMPLETED","Andes","Perlmutter-Phase-2",0,0.000423373,0.000423373,5824.8,0.000423373,0,5824.8,"0.68:0.16:0.43:0.86:0.98:0.44","None"
6,"REJECTED","Aurora","Crux",0,-1,-1,0.000423356,0.000423356,-1,-1,"0.47:0.13:0.28:0.69:0.55:0.15","Job requires more nodes than the System has"
7,"REJECTED","Andes","Crux",0,-1,-1,0.000423356,0.000423356,-1,-1,"0.69:0.30:0.56:0.72:0.42:0.19","Job requires more nodes than the System has"
8,"REJECTED","Andes","Crux",0,-1,-1,0.000423356,0.000423356,-1,-1,"0.40:0.31:0.39:0.72:0.16:0.23","Job requires more nodes than the System has"
9,"COMPLETED","Perlmutter-Phase-1","Aurora",0,0.000423356,0.000423356,362.597,0.000423356,0,362.596,"0.06:0.03:0.53:0.06:0.09:0.26","None"
10,"COMPLETED","Crux","Perlmutter-Phase-1",0,0.000423373,0.000423373,1070.4,0.000423373,0,1070.4,"0.50:0.95:0.00:0.13:0.73:0.18","None"
11,"REJECTED","Frontier","Andes",0,-1,-1,0.000423373,0.000423373,-1,-1,"0.93:0.55:0.03:0.20:0.17:0.74","Job requires more nodes than the System has"
12,"COMPLETED","Crux","Frontier",0,0.000423373,0.000423373,3927.18,0.000423373,0,3927.18,"0.15:0.57:0.84:0.88:0.09:0.91","None"
13,"REJECTED","Aurora","Perlmutter-Phase-1",0,-1,-1,0.000423373,0.000423373,-1,-1,"0.16:0.97:0.17:0.51:0.50:0.55","Job requires more nodes than the System has"
14,"REJECTED","Aurora","Perlmutter-Phase-2",0,-1,-1,0.000423373,0.000423373,-1,-1,"0.54:0.83:0.05:0.83:0.91:0.28","Job requires more nodes than the System has"
