JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Perlmutter-Phase-2","Frontier",0,0.000846291,66.5085,102.98,0.000846291,66.5077,36.472,"0.77:0.76:0.75:0.80:0.75:0.78","None"
2,"COMPLETED","Perlmutter-Phase-1","Crux",0,0.000851039,0.000851039,88.8009,0.000851039,0,88.8,"0.83:0.75:0.83:0.76:0.75:0.77","None"
3,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,0.000824784,69.6008,212.401,0.000824784,69.6,142.8,"0.00:0.67:0.00:0.62:0.80:0.00","None"
4,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,0.00668986,213.601,393.601,0.00668986,213.594,180,"0.00:0.66:0.00:0.62:0.80:0.00","None"
5,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",0,0.00951427,520.801,645.601,0.00951427,520.791,124.8,"0.71:0.77:0.63:0.77:0.77:0.83","None"
6,"COMPLETED","Andes","Perlmutter-Phase-2",0,0.00085268,84.0008,159.601,0.00085268,84,75.6,"0.75:0.75:0.72:0.76:0.79:0.83","None"
7,"COMPLETED","Frontier","Frontier",0,0.000830677,0.000830677,62.2178,0.000830677,0,62.2169,"0.00:0.66:0.00:0.81:0.58:0.00","None"
8,"COMPLETED","Frontier","Perlmutter-Phase-2",0,0.0008429,0.0008429,50.4008,0.0008429,0,50.4,"0.77:0.75:0.76:0.76:0.79:0.83","None"
9,"COMPLETED","Frontier","Frontier",0,0.000844957,241.36,414.065,0.000844957,241.359,172.706,"0.00:0.81:0.00:0.81:0.81:0.00","None"
10,"COMPLETED","Aurora","Frontier",0,0.000823681,0.000823681,93.3262,0.000823681,0,93.3254,"0.00:0.80:0.00:0.84:0.76:0.00","None"
11,"COMPLETED","Andes","Frontier",0,0.000841318,76.1628,165.197,0.000841318,76.162,89.0346,"0.76:0.77:0.71:0.81:0.75:0.78","None"
12,"COMPLETED","Aurora","Perlmutter-Phase-2",0,0.00367343,466.801,670.801,0.00367343,466.797,204,"0.70:0.76:0.62:0.76:0.76:0.82","None"
13,"COMPLETED","Crux","Perlmutter-Phase-2",0,0.0028451,338.401,398.401,0.0028451,338.398,60,"0.71:0.75:0.65:0.75:0.76:0.81","None"
14,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000675291,0.000675291,203.815,0.000675291,0,203.814,"0.00:0.80:0.00:0.84:0.79:0.00","None"
15,"COMPLETED","Perlmutter-Phase-1","Andes",0,0.0067031,102.001,159.601,0.0067031,101.994,57.6,"0.83:0.76:0.82:0.77:0.76:0.79","None"
16,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,0.000689707,0.000689707,210.001,0.000689707,0,210,"0.00:0.67:0.00:0.62:0.79:0.00","None"
17,"COMPLETED","Frontier","Frontier",0,0.000839935,43.9817,271.395,0.000839935,43.9809,227.414,"0.00:0.65:0.00:0.80:0.60:0.00","None"
18,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.000596362,0.000596362,172.706,0.000596362,0,172.706,"0.00:0.80:0.00:0.84:0.76:0.00","None"
19,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,0.00650027,879.601,1068,0.00650027,879.594,188.4,"0.00:0.68:0.00:0.63:0.78:0.00","None"
20,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,0.00651427,111.601,150.001,0.00651427,111.594,38.4,"0.00:0.67:0.00:0.62:0.79:0.00","None"
21,"COMPLETED","Andes","Andes",0,0.000844032,0.000844032,64.8008,0.000844032,0,64.8,"0.83:0.77:0.79:0.77:0.75:0.79","None"
22,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,0.00342608,148.801,212.401,0.00342608,148.797,63.6,"0.00:0.68:0.00:0.62:0.80:0.00","None"
23,"COMPLETED","Frontier","Perlmutter-Phase-1",0,0.000570222,0.000570222,153.601,0.000570222,0,153.6,"0.00:0.81:0.00:0.81:0.82:0.00","None"
24,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,0.000830701,506.401,720.001,0.000830701,506.4,213.6,"0.00:0.68:0.00:0.63:0.78:0.00","None"
