JobId,FinalStatus,SubmittedTo,ScheduledOn,NodeList,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Perlmutter-Phase-2","Frontier","1-82:5248-5282",9.004,9.00431,9.00431,2218.78,0.000311392,0,2209.77,"0.71:0.75:0.71:0.75:0.71:0.71","None"
2,"COMPLETED","Perlmutter-Phase-2","Crux","1-209",9.766,9.76626,9.76626,2511.77,0.000263535,0,2502,"0.71:0.71:0.71:0.71:0.71:0.71","None"
3,"COMPLETED","Frontier","Frontier","83-180:258",10.978,10.9783,10.9783,965.686,0.000319535,0,954.708,"0.00:0.69:0.00:0.75:0.61:0.00","None"
4,"COMPLETED","Crux","Aurora","1-46",14.633,14.6333,14.6333,302.633,0.000340535,0,288,"0.71:0.75:0.47:0.74:0.71:0.71","None"
5,"COMPLETED","Aurora","Aurora","47-224:258",16.082,16.0823,16.0823,912.082,0.000316535,0,896,"0.00:0.76:0.00:0.67:0.61:0.00","None"
6,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","1-189:258",17.22,17.2203,17.2203,1100.89,0.000269535,0,1083.67,"0.71:0.71:0.11:0.71:0.71:0.71","None"
7,"COMPLETED","Frontier","Frontier","181-237",17.477,17.4773,17.4773,2516.88,0.000295535,0,2499.4,"0.00:0.75:0.00:0.76:0.71:0.00","None"
8,"COMPLETED","Aurora","Aurora","225-257:259-364:536:542",20.072,20.0723,20.0723,1708.07,0.000322535,0,1688,"0.00:0.76:0.00:0.63:0.65:0.00","None"
9,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-1","1-151:258",21.334,21.3343,21.3343,1953.04,0.000273519,0,1931.71,"0.71:0.70:0.13:0.71:0.71:0.70","None"
10,"COMPLETED","Crux","Andes","1-95",22.928,22.9283,22.9283,6522.93,0.000269519,0,6500,"0.71:0.70:0.17:0.71:0.68:0.70","None"
11,"COMPLETED","Perlmutter-Phase-1","Frontier","238-257:259-471:542",23.538,23.5383,23.5383,463.348,0.000273535,0,439.809,"0.67:0.70:0.11:0.71:0.68:0.70","None"
12,"COMPLETED","Frontier","Frontier","472-541:543-606:1025:1110-1111",24.008,24.0084,24.0084,935.808,0.000361535,0,911.8,"0.00:0.67:0.00:0.74:0.58:0.00","None"
13,"COMPLETED","Perlmutter-Phase-1","Aurora","365-535:537-541:543-585:1025:1104-1105:1110-1111",26.249,26.2493,26.2493,1346.25,0.000318535,0,1320,"0.67:0.70:0.19:0.69:0.68:0.70","None"
14,"COMPLETED","Frontier","Frontier","607-640",28.137,28.1374,28.1374,1229.57,0.000371084,0,1201.43,"0.00:0.74:0.00:0.74:0.68:0.00","None"
15,"COMPLETED","Frontier","Aurora","586-755",28.311,28.3113,28.3113,1556.31,0.000269535,0,1528,"0.67:0.70:0.21:0.69:0.68:0.70","None"
16,"COMPLETED","Aurora","Aurora","756-936",31.631,31.6313,31.6313,959.631,0.000260535,0,928,"0.00:0.69:0.00:0.69:0.68:0.00","None"
17,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2","190-208",32.8,32.8003,32.8003,1300.15,0.000269535,0,1267.35,"0.67:0.69:0.47:0.69:0.68:0.70","None"
18,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","152-257:259-364:542",32.996,32.9963,32.9963,976.899,0.000324535,0,943.902,"0.00:0.67:0.00:0.67:0.68:0.00","None"
19,"COMPLETED","Perlmutter-Phase-1","Aurora","937-1014",33.702,33.7023,33.7023,1793.7,0.000318535,0,1760,"0.00:0.67:0.00:0.63:0.64:0.00","None"
20,"COMPLETED","Frontier","Frontier","641-896",34.158,34.1583,34.1583,2029.39,0.000319535,0,1995.23,"0.00:0.67:0.00:0.73:0.56:0.00","None"
21,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","365-460",37.309,37.3094,37.3094,761.7,0.000372535,0,724.39,"0.00:0.64:0.00:0.64:0.64:0.00","None"
22,"COMPLETED","Aurora","Aurora","1015-1024:1026-1103:1106-1109:1112-1154:2049-2051:2352-2355:2358-2361",38.052,38.0523,38.0523,902.052,0.000319535,0,864,"0.00:0.74:0.00:0.64:0.54:0.00","None"
23,"COMPLETED","Aurora","Aurora","1155-1306",38.06,38.0603,38.0603,710.06,0.000327535,0,672,"0.00:0.73:0.00:0.62:0.52:0.00","None"
24,"COMPLETED","Frontier","Frontier","897-1024:1026-1048:2049-2051",39.301,39.3013,39.3013,2281.26,0.000319535,0,2241.95,"0.00:0.64:0.00:0.73:0.52:0.00","None"
25,"COMPLETED","Frontier","Frontier","1049-1051",39.975,39.9753,39.9753,887.413,0.000264535,0,847.437,"0.00:0.68:0.00:0.68:0.62:0.00","None"
26,"COMPLETED","Andes","Perlmutter-Phase-2","209-234",40.06,40.0604,40.0604,1619.65,0.000403535,0,1579.59,"0.67:0.68:0.47:0.68:0.62:0.69","None"
27,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2","235-257:259-273:542",42.788,42.7883,42.7883,3514.22,0.000265535,0,3471.43,"0.67:0.68:0.47:0.68:0.62:0.69","None"
28,"COMPLETED","Frontier","Frontier","1052-1109:1112-1142:2358-2361",44.108,44.1083,44.1083,451.736,0.000316535,0,407.628,"0.00:0.65:0.00:0.72:0.56:0.00","None"
29,"COMPLETED","Frontier","Frontier","1143-1150",46.494,46.4943,46.4943,947.567,0.000315535,0,901.073,"0.00:0.62:0.00:0.72:0.54:0.00","None"
30,"COMPLETED","Perlmutter-Phase-1","Aurora","1307-1454",49.052,49.0523,49.0523,345.052,0.000272535,0,296,"0.00:0.68:0.00:0.68:0.62:0.00","None"
