JobId,FinalStatus,SubmittedTo,ScheduledOn,NodeList,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Frontier","1-13:5248-5282",0.791,0.80062,0.80062,1427.5,0.00961953,0,1426.7,"0.00:0.80:0.00:0.84:0.79:0.00","None"
2,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","1-4",1.209,1.20967,1.20967,2459.75,0.000673535,0,2458.54,"0.00:0.79:0.00:0.76:0.80:0.00","None"
3,"COMPLETED","Frontier","Frontier","14-220:258",1.928,1.93446,1.93446,795.737,0.00645608,0,793.802,"0.00:0.80:0.00:0.81:0.73:0.00","None"
4,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","5-41",2.093,2.0936,2.0936,3931.36,0.000596535,0,3929.27,"0.00:0.81:0.00:0.81:0.84:0.00","None"
5,"COMPLETED","Frontier","Frontier","221-240",3.209,3.20962,3.20962,1022.28,0.000621535,0,1019.07,"0.00:0.80:0.00:0.80:0.76:0.00","None"
6,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","1-27",3.559,3.56265,3.56265,1454.58,0.00365152,0,1451.02,"0.75:0.75:0.74:0.75:0.79:0.82","None"
7,"COMPLETED","Frontier","Frontier","241-257:259-405:542",4.286,4.29268,4.29268,755.187,0.00667653,0,750.894,"0.00:0.80:0.00:0.81:0.74:0.00","None"
8,"COMPLETED","Perlmutter-Phase-2","Andes","1-11",4.423,4.42666,4.42666,1854.43,0.00366253,0,1850,"0.82:0.75:0.82:0.76:0.75:0.77","None"
9,"COMPLETED","Aurora","Perlmutter-Phase-1","42-44",5.628,5.62861,5.62861,3473.92,0.000610535,0,3468.29,"0.00:0.79:0.00:0.80:0.84:0.00","None"
10,"COMPLETED","Frontier","Frontier","406-541:543-587:1025:1110-1111",6.269,6.26963,6.26963,907.342,0.000632535,0,901.073,"0.00:0.80:0.00:0.84:0.77:0.00","None"
11,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2","28-264:542",7.012,7.01868,7.01868,851.917,0.00667653,0,844.898,"0.76:0.77:0.68:0.77:0.72:0.77","None"
12,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-2","265-272",8.86,8.86061,8.86061,670.085,0.000614476,0,661.224,"0.78:0.75:0.77:0.76:0.80:0.83","None"
13,"COMPLETED","Andes","Perlmutter-Phase-2","273-442",10.48,10.4807,10.4807,947.215,0.000671392,0,936.735,"0.72:0.76:0.65:0.77:0.77:0.82","None"
14,"COMPLETED","Perlmutter-Phase-1","Aurora","1-159:258",12.537,12.5406,12.5406,1444.54,0.00364135,0,1432,"0.00:0.80:0.00:0.77:0.78:0.00","None"
15,"COMPLETED","Frontier","Frontier","588-821",13.415,13.4157,13.4157,1665.38,0.000651535,0,1651.97,"0.00:0.80:0.00:0.80:0.73:0.00","None"
16,"COMPLETED","Aurora","Frontier","822-1024:1026-1029:2049-2051",14.633,14.6335,14.6335,336.445,0.000524535,0,321.812,"0.00:0.80:0.00:0.84:0.76:0.00","None"
17,"COMPLETED","Andes","Frontier","1030-1109:1112-1211:2358-2361",14.9,14.9007,14.9007,411.802,0.000679535,0,396.901,"0.70:0.75:0.63:0.80:0.72:0.76","None"
