JobId,FinalStatus,SubmittedTo,ScheduledOn,NodeList,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Perlmutter-Phase-1","1-48",0.791,14.168,14.168,2933.68,13.377,0,2919.51,"0.00:0.88:0.00:0.18:0.95:0.00","None"
2,"COMPLETED","Perlmutter-Phase-1","Aurora","1-4",1.209,14.5259,14.5259,910.526,13.3169,0,896,"0.00:0.93:0.00:0.88:0.93:0.00","None"
3,"COMPLETED","Frontier","Frontier","1-172:258:5248-5282",1.928,16.5425,16.5425,810.345,14.6145,0,793.802,"0.00:0.85:0.00:0.88:0.82:0.00","None"
4,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","49-85",2.093,15.2531,15.2531,3944.52,13.1601,0,3929.27,"0.00:0.91:0.00:0.95:0.96:0.00","None"
5,"COMPLETED","Frontier","Frontier","341-360",3.209,19.4883,19.4883,1038.56,16.2793,0,1019.07,"0.00:0.12:0.00:0.95:0.88:0.00","None"
6,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","1-27",3.559,17.9742,17.9742,1468.99,14.4152,0,1451.02,"0.04:0.88:0.02:0.87:0.04:0.91","None"
7,"COMPLETED","Frontier","Frontier","176-257:259-340:542",4.286,19.3105,19.3105,770.204,15.0245,0,750.894,"0.00:0.93:0.00:0.95:0.08:0.00","None"
8,"COMPLETED","Perlmutter-Phase-2","Frontier","543-553",4.423,20.0085,20.0085,416.91,15.5855,0,396.901,"0.72:0.72:0.72:0.82:0.82:0.72","None"
9,"COMPLETED","Aurora","Frontier","173-175",5.628,17.3353,17.3353,1712.21,11.7073,0,1694.87,"0.00:0.96:0.00:0.97:0.93:0.00","None"
10,"COMPLETED","Frontier","Frontier","361-541:1025:1110-1111",6.269,19.615,19.615,920.688,13.346,0,901.073,"0.00:0.92:0.00:0.95:0.03:0.00","None"
11,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","86-322:542",7.012,20.8095,20.8095,1030.57,13.7975,0,1009.76,"0.58:0.08:0.03:0.05:0.88:0.62","None"
12,"COMPLETED","Perlmutter-Phase-1","Frontier","554-561",8.86,24.6216,24.6216,410.796,15.7616,0,386.174,"0.03:0.88:0.03:0.93:0.88:0.65","None"
13,"COMPLETED","Andes","Andes","1-169:258",10.48,24.1969,24.1969,2574.2,13.7169,0,2550,"0.87:0.04:0.02:0.08:0.04:0.57","None"
14,"COMPLETED","Perlmutter-Phase-1","Aurora","5-163:258",12.537,27.0173,27.0173,1459.02,14.4803,0,1432,"0.00:0.92:0.00:0.42:0.92:0.00","None"
15,"COMPLETED","Frontier","Frontier","562-795",13.415,27.4602,27.4602,1679.43,14.0452,0,1651.97,"0.00:0.88:0.00:0.91:0.02:0.00","None"
16,"COMPLETED","Aurora","Aurora","201-257:259-409:536:542",14.633,34.1236,34.1236,274.124,19.4906,0,240,"0.00:0.78:0.00:0.05:0.04:0.00","None"
17,"COMPLETED","Andes","Andes","170-257:259-353:542",14.9,30.7752,30.7752,1880.78,15.8752,0,1850,"0.72:0.04:0.02:0.04:0.03:0.70","None"
18,"COMPLETED","Aurora","Frontier","796-909",16.082,33.7277,33.7277,409.175,17.6457,0,375.447,"0.03:0.87:0.02:0.91:0.04:0.57","None"
19,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","28-175:258",18.922,33.4698,33.4698,1282.45,14.5478,0,1248.98,"0.02:0.85:0.03:0.04:0.91:0.93","None"
20,"COMPLETED","Aurora","Aurora","164-200",20.072,33.6415,33.6415,905.641,13.5695,0,872,"0.00:0.95:0.00:0.91:0.03:0.00","None"
21,"COMPLETED","Aurora","Aurora","410-531:1025",22.498,36.5316,36.5316,1388.53,14.0336,0,1352,"0.00:0.93:0.00:0.77:0.04:0.00","None"
22,"COMPLETED","Aurora","Aurora","903-1024:1026-1030:2049-2051",22.928,45.9816,45.9816,677.982,23.0536,0,632,"0.00:0.97:0.00:0.07:0.05:0.00","None"
23,"COMPLETED","Andes","Andes","354-534",24.932,40.3583,40.3583,1890.36,15.4263,0,1850,"0.52:0.03:0.02:0.04:0.04:0.45","None"
24,"COMPLETED","Frontier","Frontier","910-948",25.039,39.9279,39.9279,1252.09,14.8889,0,1212.16,"0.00:0.91:0.00:0.95:0.80:0.00","None"
25,"COMPLETED","Aurora","Aurora","532-535:537-541:543-635:1104-1105:1110-1111",25.209,38.4956,38.4956,326.496,13.2866,0,288,"0.00:0.92:0.00:0.03:0.03:0.00","None"
26,"COMPLETED","Aurora","Perlmutter-Phase-2","176-257:259-356:542",26.312,43.4196,43.4196,759.746,17.1076,0,716.327,"0.04:0.91:0.04:0.87:0.04:0.93","None"
27,"COMPLETED","Frontier","Frontier","1100-1109:1112-1283:2358-2361",27.698,43.6952,43.6952,1459.67,15.9972,0,1415.97,"0.00:0.92:0.00:0.93:0.32:0.00","None"
28,"COMPLETED","Perlmutter-Phase-1","Frontier","1065-1099",28.142,43.6022,43.6022,1781.39,15.4602,0,1737.78,"0.55:0.05:0.04:0.88:0.87:0.58","None"
29,"COMPLETED","Frontier","Frontier","949-1024:1026-1064:2049-2051",28.203,42.519,42.519,1597.94,14.316,0,1555.42,"0.00:0.18:0.00:0.88:0.04:0.00","None"
30,"COMPLETED","Perlmutter-Phase-1","Aurora","636-672",28.326,42.6507,42.6507,306.651,14.3247,0,264,"0.02:0.87:0.03:0.78:0.05:0.03","None"
31,"COMPLETED","Frontier","Frontier","1284-1303",30.933,46.7087,46.7087,754.694,15.7757,0,707.986,"0.00:0.88:0.00:0.95:0.18:0.00","None"
32,"COMPLETED","Aurora","Aurora","1031-1103:1106-1109:1112-1155:2352-2355:2358-2361",31.631,46.1541,46.1541,438.154,14.5231,0,392,"0.00:0.95:0.00:0.78:0.04:0.00","None"
33,"COMPLETED","Frontier","Aurora","673-902",32.357,45.5226,45.5226,1845.52,13.1656,0,1800,"0.00:0.92:0.00:0.05:0.04:0.00","None"
34,"COMPLETED","Perlmutter-Phase-1","Aurora","1156-1402",32.367,47.9317,47.9317,1887.93,15.5647,0,1840,"0.00:0.91:0.00:0.18:0.82:0.00","None"
