JobId,FinalStatus,SubmittedTo,ScheduledOn,NodeList,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Frontier","1-13:5248-5282",0.791,0.791052,0.791052,1427.49,5.20843e-05,0,1426.7,"1.00","None"
2,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","1-4",1.209,1.20905,1.20905,2459.75,5.20843e-05,0,2458.54,"1.00","None"
3,"COMPLETED","Frontier","Frontier","14-220:258",1.928,1.92805,1.92805,795.73,5.20843e-05,0,793.802,"1.00","None"
4,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","5-41",2.093,2.09305,2.09305,3931.36,5.20843e-05,0,3929.27,"1.00","None"
5,"COMPLETED","Frontier","Frontier","221-240",3.209,3.20905,3.20905,1022.28,5.20843e-05,0,1019.07,"1.00","None"
6,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","1-27",3.559,3.55905,3.55905,1454.58,5.20843e-05,0,1451.02,"1.00","None"
7,"COMPLETED","Frontier","Frontier","241-257:259-405:542",4.286,4.28605,4.28605,755.18,5.20843e-05,0,750.894,"1.00","None"
8,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","28-38",4.423,4.42305,4.42305,684.015,5.20843e-05,0,679.592,"1.00","None"
9,"COMPLETED","Aurora","Aurora","1-3",5.628,5.62805,5.62805,1269.63,5.20843e-05,0,1264,"1.00","None"
10,"COMPLETED","Frontier","Frontier","406-541:543-587:1025:1110-1111",6.269,6.26905,6.26905,907.342,5.20843e-05,0,901.073,"1.00","None"
11,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","42-278:542",7.012,7.01205,7.01205,1016.77,5.20843e-05,0,1009.76,"1.00","None"
12,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","279-286",8.86,8.86005,8.86005,799.104,5.20843e-05,0,790.244,"1.00","None"
13,"COMPLETED","Andes","Andes","1-169:258",10.48,10.4801,10.4801,2560.48,5.20843e-05,0,2550,"1.00","None"
14,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","287-446",12.537,12.5371,12.5371,3941.81,5.20843e-05,0,3929.27,"1.00","None"
15,"COMPLETED","Frontier","Frontier","588-821",13.415,13.4151,13.4151,1665.38,5.20843e-05,0,1651.97,"1.00","None"
