JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"REJECTED","Frontier","Perlmutter-Phase-2",0,-1,-1,0.00115002,0.00115002,-1,-1,"0.37:0.45:0.27:0.13:0.43:1.00","Job requires GPU while System has none"
2,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.00115217,0.00115217,42.9094,0.00115217,0,42.9082,"0.07:0.18:0.45:0.95:0.84:0.92","None"
3,"COMPLETED","Andes","Crux",0,0.00115217,0.00115217,127.201,0.00115217,0,127.2,"0.22:0.22:0.97:0.05:0.80:0.59","None"
4,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,0.00115002,0.00115002,68.4012,0.00115002,0,68.4,"0.30:0.68:0.27:0.42:0.71:0.33","None"
5,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1",0,0.00115002,0.00115002,90.0012,0.00115002,0,90,"0.31:0.82:0.82:0.76:0.84:0.73","None"
6,"REJECTED","Perlmutter-Phase-1","Andes",0,-1,-1,0.00115217,0.00115217,-1,-1,"0.59:0.40:0.51:0.27:0.21:0.32","Job requires GPU while System has none"
7,"COMPLETED","Perlmutter-Phase-1","Aurora",0,0.00115217,0.00115217,30.0012,0.00115217,0,30,"0.35:0.91:0.77:0.71:0.05:0.82","None"
8,"COMPLETED","Crux","Perlmutter-Phase-1",0,0.00115002,0.00115002,132.001,0.00115002,0,132,"0.80:0.32:0.61:0.70:0.85:0.84","None"
9,"COMPLETED","Perlmutter-Phase-1","Frontier",0,0.00115217,0.00115217,95.472,0.00115217,0,95.4708,"0.31:0.55:0.28:0.65:0.12:0.47","None"
10,"COMPLETED","Perlmutter-Phase-2","Frontier",0,0.00115217,0.00115217,51.491,0.00115217,0,51.4899,"0.67:0.43:0.61:0.97:0.02:0.78","None"
11,"COMPLETED","Frontier","Perlmutter-Phase-1",0,0.00115002,0.00115002,52.8012,0.00115002,0,52.8,"0.80:0.52:0.42:0.13:0.99:0.42","None"
12,"REJECTED","Perlmutter-Phase-1","Perlmutter-Phase-2",0,-1,-1,0.00115002,0.00115002,-1,-1,"0.67:0.26:0.12:0.26:0.46:0.89","Job requires GPU while System has none"
13,"COMPLETED","Frontier","Aurora",0,0.00115217,0.00115217,10.9627,0.00115217,0,10.9615,"0.62:0.99:0.46:0.11:0.51:0.61","None"
14,"COMPLETED","Perlmutter-Phase-1","Aurora",0,0.00115217,0.00115217,17.0204,0.00115217,0,17.0192,"0.01:0.79:0.28:0.21:0.50:0.58","None"
15,"COMPLETED","Perlmutter-Phase-1","Andes",0,0.00115217,0.00115217,61.2012,0.00115217,0,61.2,"0.96:0.87:0.29:0.85:0.83:0.81","None"
16,"COMPLETED","Frontier","Aurora",0,0.00115217,0.00115217,24.5204,0.00115217,0,24.5192,"0.35:0.55:0.18:0.11:0.53:0.27","None"
17,"REJECTED","Aurora","Crux",0,-1,-1,0.00115217,0.00115217,-1,-1,"0.51:0.34:0.60:0.38:0.09:0.05","Job requires GPU while System has none"
