JobId,FinalStatus,SubmittedTo,ScheduledOn,NodeList,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Andes","Perlmutter-Phase-2","1-554:1025:1110-1111",0,0.00353327,0.00353327,12434.7,0.00353327,0,12434.7,"0.64:0.76:0.00:0.76:0.72:0.80","None"
2,"COMPLETED","Aurora","Frontier","1-972:1025:1110-1111:5248-5282",3600,3600,3600,11430.8,0.000599352,0,7830.75,"0.00:0.79:0.00:0.82:0.68:0.00","None"
3,"COMPLETED","Perlmutter-Phase-2","Frontier","973-1024:1026-1109:1112-1744:2049-2051:2358-2361",10800,10800,10800,18137.3,0.000658392,0,7337.31,"0.00:0.75:0.00:0.79:0.65:0.72","None"
4,"COMPLETED","Aurora","Frontier","1-579:1025:1110-1111:5248-5282",18705.1,18705.1,18705.1,27361.8,0.0126143,0,8656.73,"0.64:0.76:0.00:0.80:0.67:0.75","None"
5,"COMPLETED","Frontier","Aurora","1-848:1025:1104-1105:1110-1111",22217,22217,22217,29233,0.000595535,0,7016,"0.00:0.80:0.00:0.79:0.73:0.00","None"
6,"COMPLETED","Aurora","Aurora","849-1024:1026-1103:1106-1109:1112-3160:4097-4103:5082-5098",28048.6,28048.6,28048.6,33640.6,0.000633535,0,5592,"0.00:0.79:0.00:0.72:0.00:0.00","None"
7,"COMPLETED","Frontier","Frontier","1-708:1025:1110-1111:5248-5282",34000.2,34000.2,34000.2,43010.9,0.000613535,0,9010.73,"0.00:0.80:0.00:0.83:0.71:0.00","None"
8,"COMPLETED","Aurora","Frontier","709-1024:1026-1109:1112-1541:2049-2051:2358-2361",34426.2,34426.2,34426.2,42181.9,0.00353127,0,7755.66,"0.00:0.76:0.00:0.79:0.65:0.73","None"
9,"COMPLETED","Aurora","Aurora","1-920:1025:1104-1105:1110-1111",34516.2,34516.2,34516.2,38956.2,0.000661535,0,4440,"0.00:0.79:0.00:0.79:0.72:0.00","None"
10,"COMPLETED","Frontier","Frontier","1542-2048:2052-2357:2362-2398:4097-4103:5088-5096",36426.6,36426.6,36426.6,46402.8,0.00644408,0,9976.16,"0.00:0.79:0.00:0.79:0.66:0.00","None"
11,"COMPLETED","Frontier","Frontier","2399-2923",38596.7,38596.7,38596.7,47682.6,0.000655535,0,9085.82,"0.65:0.76:0.00:0.80:0.68:0.75","None"
12,"COMPLETED","Andes","Aurora","1-587:1025:1104-1105:1110-1111",39238,39238,39238,46718,0.000638535,0,7480,"0.69:0.76:0.00:0.75:0.67:0.75","None"
13,"COMPLETED","Perlmutter-Phase-1","Frontier","2924-3787",41901.7,41901.7,41901.7,47984,0.000623535,0,6082.24,"0.00:0.74:0.00:0.77:0.64:0.72","None"
14,"COMPLETED","Aurora","Perlmutter-Phase-2","1-481:542",42246.1,42246.1,42246.1,57050.2,0.00956735,0,14804.1,"0.65:0.76:0.00:0.75:0.72:0.80","None"
15,"COMPLETED","Perlmutter-Phase-2","Aurora","588-1024:1026-1103:1106-1109:1112-2411:4097-4103:5082-5098",42281.7,42281.7,42281.7,46113.7,0.000616535,0,3832,"0.00:0.73:0.00:0.71:0.00:0.71","None"
16,"COMPLETED","Andes","Frontier","1-391:542:5248-5282",44173.1,44173.1,44173.1,51703.5,0.00650412,0,7530.39,"0.71:0.76:0.00:0.76:0.69:0.75","None"
17,"COMPLETED","Perlmutter-Phase-1","Frontier","392-541:543-1383:2049-2051:2358-2361",44194.6,44194.6,44194.6,52089.7,0.000659392,0,7895.11,"0.00:0.74:0.00:0.78:0.63:0.71","None"
18,"COMPLETED","Frontier","Aurora","588-1024:1026-1103:1106-1109:1112-1883:2049-2051:2352-2355:2358-2361",46349.1,46349.1,46349.1,50981.1,0.000699535,0,4632,"0.00:0.74:0.00:0.72:0.65:0.73","None"
19,"COMPLETED","Frontier","Frontier","1384-2048:2052-2357:2362-2398:3788-4289:5088-5096:8193-8206",46419.8,46419.8,46419.8,52330.4,0.000651535,0,5910.61,"0.00:0.72:0.00:0.75:0.59:0.67","None"
20,"COMPLETED","Frontier","Frontier","4290-4722",46543.1,46543.1,46543.1,55028.2,0.000624535,0,8485.1,"0.00:0.80:0.00:0.82:0.74:0.00","None"
21,"COMPLETED","Perlmutter-Phase-1","Aurora","1884-2048:2052-2351:2356-2357:2362-2418:4097-4103:5082-5098",46623.7,46623.7,46623.7,53359.7,0.00667353,0,6736,"0.00:0.80:0.00:0.75:0.73:0.00","None"
22,"COMPLETED","Frontier","Aurora","1-587:1025:1104-1105:1110-1111:2419-2467",47363.3,47363.3,47363.3,52995.3,0.000843352,0,5632,"0.00:0.78:0.00:0.78:0.68:0.00","None"
23,"COMPLETED","Aurora","Frontier","2399-2923:4723-5087:5097-5247:5283-6426",47750.8,47750.8,47750.8,52921.3,0.000846267,0,5170.44,"0.00:0.70:0.00:0.72:0.00:0.64","None"
24,"COMPLETED","Perlmutter-Phase-2","Aurora","2468-3629",47832.1,47832.1,47832.1,53240.1,0.000626535,0,5408,"0.00:0.73:0.00:0.72:0.61:0.69","None"
25,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","482-541:543-997:1025:1110-1111",48147.6,48147.6,48147.6,64274.2,0.000675249,0,16126.5,"0.65:0.75:0.00:0.74:0.72:0.79","None"
