JobId,FinalStatus,SubmittedTo,ScheduledOn,NodeList,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Andes","Andes","1-557",0,5.20843e-05,5.20843e-05,33850,5.20843e-05,0,33850,"1.00","None"
2,"COMPLETED","Aurora","Aurora","1-1005:1025:1104-1105:1110-1111",3600,3600,3600,9440,5.20843e-05,0,5840,"1.00","None"
3,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","1-773:1025:1110-1111",10800,10800,10800,23363.3,5.20843e-05,0,12563.3,"1.00","None"
4,"COMPLETED","Aurora","Aurora","1-612:1025:1104-1105:1110-1111",18705.1,18705.1,18705.1,25161.1,5.20843e-05,0,6456,"1.00","None"
5,"COMPLETED","Frontier","Frontier","1-815:1025:1110-1111:5248-5282",22217,22217,22217,31624.6,5.20843e-05,0,9407.63,"1.00","None"
6,"COMPLETED","Aurora","Aurora","1-2316:2352-2355:2358-2361:4097-4103",28048.6,28048.6,28048.6,33640.6,5.20843e-05,0,5592,"1.00","None"
7,"COMPLETED","Frontier","Frontier","1-708:1025:1110-1111:5248-5282",34000.2,34000.2,34000.2,43010.9,5.20843e-05,0,9010.73,"1.00","None"
8,"COMPLETED","Aurora","Aurora","1-832:1025:1104-1105:1110-1111",34426.2,34426.2,34426.2,40210.2,5.20843e-05,0,5784,"1.00","None"
9,"COMPLETED","Aurora","Aurora","833-1024:1026-1103:1106-1109:1112-1751:2049-2051:2352-2355:2358-2361",34516.2,34516.2,34516.2,38956.2,5.20843e-05,0,4440,"1.00","None"
10,"COMPLETED","Frontier","Frontier","709-1024:1026-1109:1112-1570:2049-2051:2358-2361",36426.6,36426.6,36426.6,46402.8,5.20843e-05,0,9976.16,"1.00","None"
11,"COMPLETED","Frontier","Frontier","1571-2048:2052-2091:4097-4103",38596.7,38596.7,38596.7,47682.6,5.20843e-05,0,9085.82,"1.00","None"
12,"COMPLETED","Andes","Andes","1-592",39238,39238,39238,85988,5.20843e-05,0,46750,"1.00","None"
13,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","1-861:1025:1110-1111",41901.7,41901.7,41901.7,54348.1,5.20843e-05,0,12446.3,"1.00","None"
14,"COMPLETED","Aurora","Aurora","1-480:536:542",42246.1,42246.1,42246.1,48694.1,5.20843e-05,0,6448,"1.00","None"
15,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","1-1836:2049-2051:2358-2361",42281.7,42281.7,42281.7,51079.6,5.20843e-05,0,8797.96,"1.00","None"
16,"COMPLETED","Andes","Andes","1-426:542",44173.1,44173.1,85988,121088,5.20843e-05,41814.8,35100,"1.00","None"
17,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","1-995:1025:1110-1111",44194.6,44194.6,54348.1,70504.2,5.20843e-05,10153.5,16156.1,"1.00","None"
18,"COMPLETED","Frontier","Frontier","1-708:1025:1110-1111:2092-2357:2362-2642:5088-5096:5248-5282",46349.1,46349.1,46349.1,52560.1,5.20843e-05,0,6210.97,"1.00","None"
19,"COMPLETED","Frontier","Frontier","709-1024:1026-1109:1112-1570:2049-2051:2358-2361:2643-3309",46419.8,46419.8,46419.8,52330.4,5.20843e-05,0,5910.61,"1.00","None"
20,"COMPLETED","Frontier","Frontier","3310-3742",46543.1,46543.1,46543.1,55028.2,5.20843e-05,0,8485.1,"1.00","None"
21,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","1-545:1025:1110-1111",46623.7,46623.7,70504.2,88987.1,5.20843e-05,23880.5,18482.9,"1.00","None"
22,"COMPLETED","Frontier","Frontier","3743-4096:4104-4376:8193-8206",47363.3,47363.3,47363.3,54915.2,5.20843e-05,0,7551.85,"1.00","None"
23,"COMPLETED","Aurora","Aurora","481-535:537-541:543-2643:4097-4103:5082-5098",47750.8,47750.8,47750.8,51606.8,5.20843e-05,0,3856,"1.00","None"
24,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","1837-2048:2052-2357:2362-3005",47832.1,47832.1,47832.1,60248.4,5.20843e-05,0,12416.3,"1.00","None"
25,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","1-516:542:1025",48147.6,48147.6,51079.6,67206.2,5.20843e-05,2932.01,16126.5,"1.00","None"
26,"COMPLETED","Aurora","Aurora","2644-4096:4104-5081:5099-5588:8193-8206:10268-10302",48640.9,48640.9,48640.9,52800.9,5.20843e-05,0,4160,"1.00","None"
27,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","546-1024:1026-1109:1112-1289",48929.3,48929.3,70504.2,90216.4,5.20843e-05,21574.9,19712.2,"1.00","None"
28,"COMPLETED","Frontier","Frontier","1571-2048:2052-2091:4097-4103:4377-4465",51021.4,51021.4,51021.4,57532.7,5.20843e-05,0,6511.32,"1.00","None"
29,"COMPLETED","Aurora","Aurora","1-480:536:542:5589-6566",51187.9,51187.9,51187.9,55707.9,5.20843e-05,0,4520,"1.00","None"
30,"COMPLETED","Perlmutter-Phase-1","Perlmutter-Phase-1","1-545:1025:1110-1111:1290-1422",51338,51338,88987.1,105297,5.20843e-05,37649.1,16309.8,"1.00","None"
31,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2","517-541:543-1024:1026-1393:2049-2051:2358-2361",51774.8,51774.8,51774.8,61582.9,5.20843e-05,0,9808.16,"1.00","None"
32,"COMPLETED","Frontier","Frontier","4466-5087:5097-5247:5283-6799",52290.6,52290.6,52290.6,57160.6,5.20843e-05,0,4870.08,"1.00","None"
