JobId,FinalStatus,SubmittedTo,ScheduledOn,SubmissionTime,SchedulingTime,StartTime,EndTime,DecisionTime,WaitingTime,ExecutionTime,Bids,FailureCause
1,"COMPLETED","Frontier","Aurora",0,0.000618535,0.000618535,187.212,0.000618535,0,187.212,"0.00:0.72:0.00:0.72:0.00:0.70","None"
2,"COMPLETED","Aurora","Aurora",3600,3600,3600,3872.6,0.00342008,0,272.596,"0.00:0.82:0.00:0.60:0.45:0.00","None"
3,"COMPLETED","Perlmutter-Phase-2","Frontier",10800,10800,10800,11606.7,0.000616535,0,806.675,"0.00:0.76:0.00:0.80:0.66:0.73","None"
4,"COMPLETED","Frontier","Frontier",24830.1,24830.1,24830.1,25468.4,0.000605535,0,638.26,"0.00:0.78:0.00:0.78:0.69:0.00","None"
5,"COMPLETED","Frontier","Frontier",25979.9,25979.9,25979.9,26803.7,0.000626535,0,823.838,"0.00:0.65:0.00:0.79:0.46:0.00","None"
6,"COMPLETED","Andes","Perlmutter-Phase-2",26880.7,26880.7,26880.7,27726.7,0.000592392,0,846,"0.62:0.75:0.00:0.76:0.70:0.78","None"
7,"COMPLETED","Aurora","Frontier",28048.6,28048.6,28048.6,28932.5,0.000612535,0,883.909,"0.00:0.80:0.00:0.84:0.74:0.00","None"
8,"COMPLETED","Perlmutter-Phase-1","Frontier",29766.7,29766.7,29766.7,30279.4,0.000613535,0,512.753,"0.00:0.75:0.00:0.78:0.62:0.71","None"
9,"COMPLETED","Frontier","Frontier",29959.9,29959.9,29959.9,30538.1,0.000631579,0,578.188,"0.00:0.65:0.00:0.79:0.44:0.00","None"
10,"COMPLETED","Aurora","Frontier",31824.2,31824.2,31824.2,32917.3,0.00658153,0,1093.09,"0.68:0.77:0.00:0.81:0.70:0.76","None"
11,"COMPLETED","Aurora","Aurora",32992.1,32992.1,32992.1,33240.7,0.000604535,0,248.654,"0.00:0.82:0.00:0.59:0.43:0.00","None"
12,"COMPLETED","Perlmutter-Phase-2","Perlmutter-Phase-2",33017,33017,33017,34083.8,0.000589535,0,1066.8,"0.00:0.75:0.00:0.75:0.68:0.77","None"
